HCH_011_048_000077	永明年中，與魏氏和親，歲通聘好，特簡才學之士，以爲行人。
HCH_011_048_000078	縝及從弟雲、蕭琛、琅邪顏幼明、河東裴昭明相繼將命，皆著名鄰國。
HCH_011_048_000079	于時竟陵王子良盛招賓客，縝亦預焉。
HCH_011_048_000080	建武中，遷領軍長史。
HCH_011_048_000081	出爲宜都太守，母憂去職，歸居於南州。
HCH_011_048_000082	義軍至，縝墨絰來迎。
HCH_011_048_000083	高祖與縝有西邸之舊，見之甚悅。
HCH_011_048_000084	及建康城平，以縝爲晉安太守，在郡清約，資公祿而已。
HCH_011_048_000085	視事四年，徵爲尚書左丞。
HCH_011_048_000086	縝去還，雖親戚無所遺，唯餉前尚書令王亮。
HCH_011_048_000087	縝仕齊時，與亮同臺爲郎，舊相友，至是亮被擯棄在家。
HCH_011_048_000088	縝自迎王師，志在權軸，旣而所懷未滿，亦常怏怏，故私相親結，以矯時云。
HCH_011_048_000089	後竟坐亮徙廣州，語在。
HCH_011_048_000090	初，縝在齊世，嘗侍竟陵王子良。
HCH_011_048_000091	子良精信釋教，而縝盛稱無佛。
HCH_011_048_000092	子良問曰：「君不信因果，世間何得有富貴，何得有貧賤？」
HCH_011_048_000093	縝答曰：「人之生譬如一樹花，同發一枝，俱開一蔕，隨風而墮，自有拂簾幌墜於茵席之上，自有關籬牆落於糞溷之側。墜茵席者，殿下是也；落糞溷者，下官是也。貴賤雖復殊途，因果竟在何處？」
HCH_011_048_000094	子良不能屈，深怪之。
HCH_011_048_000095	縝退論其理，著《神滅論》曰：此論出，朝野喧嘩，子良集僧難之而不能屈。
HCH_011_048_000096	縝在南累年，追還京。
HCH_011_048_000097	旣至，以爲中書郎、國子博士，卒官。
HCH_011_048_000098	文集十卷。
HCH_011_048_000099	子胥，字長才。
HCH_011_048_000100	傳父學，起家太學博士。
HCH_011_048_000101	胥有口辯，大同中，常兼主客郎，對接北使。
HCH_011_048_000102	遷平西湘東王諮議參軍，侍宣城王讀。
HCH_011_048_000103	出爲鄱陽內史，卒於郡。
HCH_011_048_000104	嚴植之字孝源，建平秭歸人也。
HCH_011_048_000105	祖欽，宋通直散騎常侍。
HCH_011_048_000106	植之少善《莊》、《老》，能玄言，精解《喪服》、《孝經》、《論語》。
HCH_011_048_000107	及長，遍治鄭氏《禮》、《周易》、《毛詩》、《左氏春秋》。
HCH_011_048_000108	性淳孝謹厚，不以所長高人。
HCH_011_048_000109	少遭父憂，因菜食二十三載，後得風冷疾，乃止。
HCH_011_048_000110	齊永明中，始起家爲廬陵王國侍郎，遷廣漢王國右常侍。
HCH_011_048_000111	王誅，國人莫敢視，植之獨奔哭，手營殯殮，徒跣送喪墓所，爲起塚，葬畢乃還，當時義之。
HCH_011_048_000112	建武中，遷員外郎、散騎常侍。
HCH_011_048_000113	尋爲康樂侯相，在縣清白，民吏稱之。
HCH_011_048_000114	天監二年，板後軍騎兵參軍事。
HCH_011_048_000115	高祖詔求通儒治五禮，有司奏植之治凶禮。
HCH_011_048_000116	四年初，置《五經》博士，各開館教授，以植之兼《五經》博士。
HCH_011_048_000117	植之館在潮溝，生徒常百數。
HCH_011_048_000118	植之講，五館生必至，聽者千餘人。
HCH_011_048_000119	六年，遷中撫軍記室參軍，猶兼博士。
HCH_011_048_000120	七年，卒于館，時年五十二。
HCH_011_048_000121	植之自疾後，便不受廩俸，妻子困乏。
HCH_011_048_000122	旣卒，喪無所寄，生徒爲市宅，乃得成喪焉。
HCH_011_048_000123	植之性仁慈，好行陰德，雖在闇室，未嘗怠也。
HCH_011_048_000124	少嘗山行，見一患者，植之問其姓名，不能答，載與俱歸，爲營醫藥，六日而死。
HCH_011_048_000125	植之爲棺殮殯之，卒不知何許人也。
HCH_011_048_000126	嘗緣柵塘行，見患人臥塘側，植之下車問其故，云姓黃氏，家本荊州，爲人傭賃，疾旣危篤，船主將發，棄之于岸。
HCH_011_048_000127	植之心惻然，載還治之，經年而黃氏差，請終身充奴僕以報厚恩。
HCH_011_048_000128	植之不受，遺以資糧，遣之。
HCH_011_048_000129	其義行多如此。
HCH_011_048_000130	撰《凶禮儀注》四百七十九卷。
HCH_011_048_000131	賀瑒字德璉，會稽山陰人也。
HCH_011_048_000132	祖道力，善《三禮》，仕宋爲尚書三公郎、建康令。
HCH_011_048_000133	瑒少傳家業。
HCH_011_048_000134	齊時，沛國劉瓛爲會稽府丞，見瑒深器異之。
HCH_011_048_000135	嘗與俱造吳郡張融，指瑒謂融曰：「此生神明聰敏，將來當爲儒者宗。」
HCH_011_048_000136	瓛還，薦之爲國子生。
HCH_011_048_000137	舉明經，揚州祭酒，俄兼國子助教。
HCH_011_048_000138	歷奉朝請、太學博士、太常丞，遭母憂去職。
HCH_011_048_000139	天監初，復爲太常丞，有司舉治賓禮，召見說《禮》義，高祖異之，詔朝朔望，預華林講。
HCH_011_048_000140	四年初，開五館，以瑒兼《五經》博士，別詔爲皇太子定禮，撰《五經義》。
HCH_011_048_000141	瑒悉禮舊事。
HCH_011_048_000142	時高祖方創定禮樂，瑒所建議，多見施行。
HCH_011_048_000143	七年，拜步兵校尉，領《五經》博士。
HCH_011_048_000144	九年，遇疾，遣醫藥省問，卒于館，時年五十九。
HCH_011_048_000145	所著《禮》、《易》、《老》、《莊講疏》、《朝廷博議》數百篇，《賓禮儀注》一百四十五卷。
HCH_011_048_000146	瑒于《禮》尤精，館中生徒常百數，弟子明經封策至數十人。
HCH_011_048_000147	二子。
HCH_011_048_000148	革，字文明。
HCH_011_048_000149	少通《三禮》，及長，遍治《孝經》、《論語》、《毛詩》、《左傳》。
HCH_011_048_000150	起家晉安王國侍郎、兼太學博士，侍湘東王讀。
HCH_011_048_000151	敕於永福省爲邵陵、湘東、武陵三王講禮。
HCH_011_048_000152	稍遷湘東王府行參軍，轉尚書儀曹郎。
HCH_011_048_000153	尋除秣陵令，遷國子博士，于學講授，生徒常數百人。
HCH_011_048_000154	出爲西中郎湘東王諮議參軍，帶江陵令。
HCH_011_048_000155	王初於府置學，以革領儒林祭酒，講《三禮》，荊楚衣冠聽者甚衆。
HCH_011_048_000156	前後再監南平郡，爲民吏所德。
HCH_011_048_000157	尋加貞威將軍、兼平西長史、南郡太守。
HCH_011_048_000158	革性至孝，常恨貪祿代耕，不及養。
HCH_011_048_000159	在荊州歷爲郡縣，所得俸秩，不及妻孥，專擬還鄉造寺，以申感思。
HCH_011_048_000160	大同六年，卒官，時年六十二。
HCH_011_048_000161	弟季，亦明《三禮》，歷官尚書祠部郎，兼中書通事舍人。
HCH_011_048_000162	累遷步兵校尉、中書黃門郎，兼著作。
HCH_011_048_000163	司馬筠字貞素，河內溫人，晉驃騎將軍譙烈王承七世孫。
HCH_011_048_000164	祖亮，宋司空從事中郎。
HCH_011_048_000165	父端，齊奉朝請。
HCH_011_048_000166	筠孤貧好學，師事沛國劉瓛，強力專精，深爲瓛所器異。
HCH_011_048_000167	旣長，博通經術，尤明《三禮》。
HCH_011_048_000168	齊建武中，起家奉朝請，遷王府行參軍。
HCH_011_048_000169	天監初，爲本州治中，除暨陽令，有清績。
HCH_011_048_000170	入拜尚書祠部郎。
HCH_011_048_000171	七年，安成太妃陳氏薨，江州刺史安成王秀、荊州刺史始興王憺，並以《慈母表》解職，詔不許，還攝本任；而太妃薨京邑，喪祭無主。
HCH_011_048_000172	舍人周捨議曰：「賀彥先稱『慈母之子不服慈母之黨，婦又不從夫而服慈姑，小功服無從故也。』庾蔚之云：「非徒子不從母而服其黨，孫又不從父而服其慈母。』由斯而言，慈祖母無服明矣。尋門內之哀，不容自同於常；按父之祥禫，子並受弔。今二王諸子，宜以成服日，單衣一日，爲位受弔。」制曰：「二王在遠，諸子宜攝祭事。」捨又曰：「《禮》云『縞冠玄武，子姓之冠』。則世子衣服宜異於常。可著細布衣，絹爲領帶，三年不聽樂。又《禮》及《春秋》：庶母不世祭，蓋謂無王命者耳。吳太妃旣朝命所加，得用安成禮秩，則當祔廟，五世親盡乃毀。陳太妃命數之重，雖則不異，慈孫旣不從服，廟食理無傳祀，子祭孫止，是會經文。」高祖因是敕禮官議皇子慈母之服。筠議：「宋朝五服制，皇子服訓養母，依《禮》庶母慈己，宜從小功之制。按《曾子問》曰：子遊曰：「喪慈母如母，禮歟？』孔子曰：「非禮也。古者男子外有傅，內有慈母，君命所使教子也，何服之有？』鄭玄注云：「此指謂國君之子也。』若國君之子不服，則王者之子不服可知。又《喪服經》云『君子子爲庶母慈己者』。《傳》曰：「君子子者，貴人子也。』鄭玄引《內則》：三母止施於卿大夫。以此而推，則慈母之服，上不在五等之嗣，
HCH_011_048_000173	下不逮三士之息。
HCH_011_048_000174	儻其服者止卿大夫，尋諸侯之子尚無此服，況乃施之皇子。
HCH_011_048_000175	謂宜依《禮》刊除，以反前代之惑。
HCH_011_048_000176	高祖以爲不然，曰：「《禮》言慈母，凡有三條：一則妾子之無母，使妾之無子者養之，命爲母子，服以三年，《喪服齊衰章》所言『慈母』是也；二則嫡妻之子無母，使妾養之，慈撫隆至，雖均乎慈愛，但嫡妻之子，妾無爲母之義，而恩深事重，故服以小功，《喪服小功章》所以不直言慈母，而云『庶母慈己』者，明異於三年之慈母也；其三則子非無母，正是擇賤者視之，義同師保，而不無慈愛，故亦有慈母之名。師保旣無其服，則此慈亦無服矣。《內則》云『擇於諸母與可者，使爲子師；其次爲慈母；其次爲保母』，此其明文。此言擇諸母，是擇人而爲此三母，非謂擇取兄弟之母也。何以知之？若是兄弟之母其先有子者，則是長妾，長妾之禮，實有殊加，何容次妾生子，乃退成保母，斯不可也。又有多兄弟之人，於義或可；若始生之子，便應三母俱闕邪？由是推之，《內則》所言『諸母』，是謂三母，非兄弟之母明矣。子游所問，自是師保之慈，非三年小功之慈也，故夫子得有此對。豈非師保之慈母無服之證乎？鄭玄不辨三慈，混爲訓釋，引彼無服，以注『慈己』，後人致謬，實此之由。經言『君子子』者，此雖起於大夫，明大夫猶爾，自斯以上，彌應不異，故傳云『君子子者，貴人之子也』。總言曰貴，則無所不包。
HCH_011_048_000177	經傳互文，交相顯發，則知慈加之義，通乎大夫以上矣。
HCH_011_048_000178	宋代此科，不乖《禮》意，便加除削，良是所疑。
HCH_011_048_000179	於是筠等請依制改定：嫡妻之子，母沒爲父妾所養，服之五月，貴賤並同，以爲永制。
HCH_011_048_000180	累遷王府諮議、權知左丞事，尋除尚書左丞。
HCH_011_048_000181	出爲始興內史，卒官。
HCH_011_048_000182	子壽，傳父業，明《三禮》。
HCH_011_048_000183	大同中，歷官尚書祠部郎，出爲曲阿令。
HCH_011_048_000184	卞華字昭丘，濟陰冤句人也。
HCH_011_048_000185	晉驃騎將軍忠貞公壼六世孫。
HCH_011_048_000186	父倫之，給事中。
HCH_011_048_000187	華幼孤貧好學。
HCH_011_048_000188	年十四，召補國子生，通《周易》。
HCH_011_048_000189	旣長，遍治《五經》，與平原明山賓、會稽賀瑒同業友善。
HCH_011_048_000190	起家齊豫章王國侍郎，累遷奉朝請、征西行參軍。
HCH_011_048_000191	天監初，遷臨川王參軍事，兼國子助教，轉安成王功曹參軍，兼《五經》博士，聚徒教授。
HCH_011_048_000192	華博涉有機辯，說經析理，爲當時之冠。
HCH_011_048_000193	江左以來，鐘律絕學，至華乃通焉。
HCH_011_048_000194	遷尚書儀曹郎，出爲吳令，卒。
HCH_011_048_000195	崔靈恩，清河武城人也。
HCH_011_048_000196	少篤學，從師遍通《五經》，尤精《三禮》、《三傳》。
HCH_011_048_000197	先在北仕爲太常博士，天監十三年歸國。
HCH_011_048_000198	高祖以其儒術，擢拜員外散騎侍郎，累遷步兵校尉，兼國子博士。
HCH_011_048_000199	靈恩聚徒講授，聽者常數百人。
HCH_011_048_000200	性拙朴無風采，及解經析理，甚有精緻，京師舊儒咸稱重之，助教孔僉尤好其學。
HCH_011_048_000201	靈恩先習《左傳》服解，不爲江東所行；及改說杜義，每文句常申服以難杜，遂著《左氏條義》以明之。
HCH_011_048_000202	時有助教虞僧誕又精杜學，因作《申杜難服》，以報靈恩，世並行焉。
HCH_011_048_000203	僧誕，會稽餘姚人，以《左氏》教授，聽者亦數百人。
HCH_011_048_000204	其該通義例，當時莫及。
HCH_011_048_000205	先是儒者論天，互執渾、蓋二義，論蓋不合於渾，論渾不合於蓋。
HCH_011_048_000206	靈恩立義，以渾、蓋爲一焉。
HCH_011_048_000207	出爲長沙內史，還除國子博士，講衆尤盛。
HCH_011_048_000208	出爲明威將軍、桂州刺史，卒官。
HCH_011_048_000209	靈恩集注《毛詩》二十二卷，集注《周禮》四十卷，制《三禮義宗》四十七卷，《左氏經傳義》二十二卷，《左氏條例》十卷，《公羊穀梁文句義》十卷。
HCH_011_048_000210	孔僉，會稽山陰人。
HCH_011_048_000211	少師事何胤，通《五經》，尤明《三禮》、《孝經》、《論語》，講說並數十遍，生徒亦數百人。
