HCH_010_105_000079	徙知涿州新城縣。
HCH_010_105_000080	縣與宋接境，驛道所從出。
HCH_010_105_000081	人望治不擾，吏民畏愛。
HCH_010_105_000082	近臣有聘宋還者，帝問以外事，多薦之，擢中京度支司鹽鐵判官。
HCH_010_105_000083	轉南京三司度支判官，公私兼裕。
HCH_010_105_000084	遷警巡使。
HCH_010_105_000085	京城獄訟填委，人望處決，無一冤者。
HCH_010_105_000086	會檢括戶口，未兩旬而畢。
HCH_010_105_000087	同知留守蕭保先怪而問之，人望曰：「民產若括之無遺，他日必長厚斂之弊，大率十得六七足矣。」
HCH_010_105_000088	保先謝曰：「公慮遠，吾不及也。」
HCH_010_105_000089	先是，樞密使乙辛竊弄威柄，卒害太子。
HCH_010_105_000090	及天祚嗣位，將報父仇，選人望與蕭報恩究其事。
HCH_010_105_000091	人望平心以處，所活甚眾。
HCH_010_105_000092	改上京副留守。
HCH_010_105_000093	會劇賊趙鐘哥犯闕，劫宮女、禦物，人望率眾捕之。
HCH_010_105_000094	右臂中矢，炷以艾，力疾馳逐，賊棄所掠而遁。
HCH_010_105_000095	人望令關津譏察行旅，悉獲其盜。
HCH_010_105_000096	尋擢樞密都承旨。
HCH_010_105_000097	宰相耶律儼惡人望與己異，遷南京諸宮提轄制置。
HCH_010_105_000098	歲中，為保靜軍節度使。
HCH_010_105_000099	有二吏凶暴，民畏如虎。
HCH_010_105_000100	人望假以辭色，陰令發其事，黥配之。
HCH_010_105_000101	是歲諸處饑乏，惟人望所治粒食不闕，路不鳴桴。
HCH_010_105_000102	遙授彰義軍節度使。
HCH_010_105_000103	遷中京度支使，始至，府廩皆空；視事半歲，積粟十五萬斛，錢二十萬繦。
HCH_010_105_000104	徙左散騎常侍，累遷樞密直學士。
HCH_010_105_000105	未幾，拜參知政事，判南京三司使事。
HCH_010_105_000106	時錢粟出納之弊，惟燕為甚。
HCH_010_105_000107	人望以縑帛為通歷，凡庫物出入，皆使別籍，名曰「臨庫」。
HCH_010_105_000108	奸人黠吏莫得軒輊，乃以年老揚言道路。
HCH_010_105_000109	朝論不察，改南院宣徽使，以示優老。
HCH_010_105_000110	逾年，天祚手書「宣馬宣徽」四字詔之。
HCH_010_105_000111	既至，諭曰：「以卿為老，誤聽也。」
HCH_010_105_000112	遂拜南院樞密使。
HCH_010_105_000113	人不敢幹以私，用人必公議所當與者。
HCH_010_105_000114	如曹勇義、虞仲文嘗為奸人所擠，人望推薦，皆為名臣。
HCH_010_105_000115	當時民所甚患者，驛遞、馬牛、旗鼓、鄉正、廳隸、倉司之役，至破產不能給。
