HCH_009_019_000037	於是，婁室所下陝西城邑輒叛，宗翰等曰：「前討宋，故分西師合於東軍，而陝西五路兵力雄勁，當並力攻取。今撻懶撫定江北，宗弼以精兵二萬先往洛陽。以八月往陝西，或使宗弼遂將以行，或宗輔、宗幹、希尹中以一人往。」
HCH_009_019_000038	上曰：「婁室往者所向輒辦，今專征陝西，豈倦于兵而自愛邪？卿等其戮力焉！」
HCH_009_019_000039	由是詔帝往。
HCH_009_019_000040	是時，宋張浚兵取陝西，帝至洛水治兵，張浚騎兵六萬，步卒十二萬壁富平。
HCH_009_019_000041	帝至富平，婁室為左翼，宗弼為右翼，兩軍並進，自日中至於昏暮，凡六合戰，破之。
HCH_009_019_000042	耀州、鳳翔府皆來降。
HCH_009_019_000043	遂下涇、渭二州。
HCH_009_019_000044	敗宋經略使劉倪軍於瓦亭，原州降。
HCH_009_019_000045	撒離喝破德順軍靜邊寨，宋涇原路統制張中孚、知鎮戎軍李彥琦以城降。
HCH_009_019_000046	宋秦鳳路都統制吳玠軍於隴州境上，招討都監馬五擊走之，降一縣而還。
HCH_009_019_000047	帝進兵降甘泉等三堡，取保川城，破宋熙河路副總管軍三萬，獲馬千余，拔安西等二寨，熙州降。
HCH_009_019_000048	分遣左翼都統阿盧補、右翼都統守弼招撫城邑之未下者，遂得鞏、洮、河、樂、西寧、蘭、廓、積石等州，定遠、和政、甘峪、甯洮、安隴等城寨及鎮堡蕃漢營部四十餘，於是涇原、熙河兩路皆平。
HCH_009_019_000049	撒離喝降慶陽府，慕洧以環州降。
HCH_009_019_000050	既定陝西五路，乃選騎兵六千，使撒離喝列屯沖要。
HCH_009_019_000051	於是班師，與宗翰俱朝京師，立熙宗為諳版勃極烈，帝為左副元帥。
HCH_009_019_000052	十三年，行次媯州薨，年四十，陪葬睿陵，追封潞王，諡襄穆。
HCH_009_019_000053	皇統六年，進冀國王。
HCH_009_019_000054	正隆二年，追贈太師、上柱國，改封許王。
HCH_009_019_000055	世宗即位，追上尊諡立德顯仁啟聖廣運文武簡肅皇帝，廟號睿宗。
HCH_009_019_000056	二年，改葬於大房山，號景陵。
HCH_009_019_000057	顯宗體道弘仁英文睿德光孝皇帝，諱允恭，本諱胡土瓦，世宗第二子，母曰明德皇后烏林答氏。
HCH_009_019_000058	皇統六年丙寅歲生。
HCH_009_019_000059	體貌雄偉，孝友謹厚。
HCH_009_019_000060	大定元年十一月，世宗即位于東京。
HCH_009_019_000061	乙酉，封楚王，置官屬。
HCH_009_019_000062	十二月，從至中都。
HCH_009_019_000063	二年四月己卯，賜名允迪。
HCH_009_019_000064	五月壬寅，立為皇太子，世守謂之曰：「在禮貴嫡，所以立卿。卿友于兄弟，接百官以禮，勿以儲位生驕慢。日勉學問，非有召命，不須侍食。」
HCH_009_019_000065	帝上表謝。
HCH_009_019_000066	專心學問，與諸儒臣講議于承華殿。
HCH_009_019_000067	燕閑觀書，乙夜忘倦，翼日輒以疑字付儒臣校證。
HCH_009_019_000068	九月庚子，詔東宮三師對皇太子稱名，少師以降稱臣。
HCH_009_019_000069	十一月庚子，生辰，百官賀于承華殿，世宗賜以襲衣良馬，賜宴于仁政殿，皇族百官皆與。
HCH_009_019_000070	自後生辰，世宗或幸東宮，或宴內殿，歲以為常。
HCH_009_019_000071	十二月辛卯，奏曰：「東宮賀禮，親王及一品皇族皆北面拜伏，臣但答揖。伏望天慈聽臣答拜，庶惇親親友愛之道。」
HCH_009_019_000072	世宗從之，以為定制。
HCH_009_019_000073	世宗聞儒者鄭松賢，松先為同知博州防禦事致仕，起為左諭德，詔免朝參，令輔太子讀書。
HCH_009_019_000074	松以友諭自處，帝嘗顧松使取服帶，松對曰：「臣忝諭德，不敢奉命。」
HCH_009_019_000075	帝改容稱善，自是益加禮遇。
HCH_009_019_000076	每出獵獲鹿，輒分賜之。
HCH_009_019_000077	四年九月，納妃徒單氏，行親迎禮。
HCH_009_019_000078	故事，大賀鹵簿天子乘玉路，皇太子鹵簿乘金路。
HCH_009_019_000079	六年，世宗行自西京還都，禮官不知皇太子自有鹵簿金路，乃請太子就乘大駕綴路，行在天子之前。
HCH_009_019_000080	上疑其非禮，詳閱舊典，禮官始覺其誤。
HCH_009_019_000081	於是禮部郎中李邦直、員外郎李山削一階，太常少卿武之才、太常丞張子羽、博士張榘削兩階。
HCH_009_019_000082	頃之，禮官議受冊謁謝太廟，服常朝服，乘馬，世宗曰：「此與外宮禮上後謁諸神廟無異，海陵一時率意行之，何足為法？大冊與三歲祫享當用古禮為是。孔子曰：'禮與其奢也寧儉。'不當輕易如此。」
HCH_009_019_000083	又曰：「右丞蘇保衡雖漢人不通經史，參政石琚通經史而不言，前日禮官既已削奪，猶不懼邪？其具前代典禮以聞，朕將擇而處之。」
HCH_009_019_000084	久之，將授太子冊寶，儀注備儀仗告太廟。
HCH_009_019_000085	上曰：「朕受尊號謁謝，乃用故宋真宗故事，常朝服乘馬。皇太子乃用備禮，前後不稱，甚無謂也。」
HCH_009_019_000086	謂右丞相良弼、左丞守道曰：「此卿等不用心所致。」
HCH_009_019_000087	良弼等謝曰：「臣愚慮不及此。」
HCH_009_019_000088	上複曰：「此文臣因循故也。」
HCH_009_019_000089	是年十月甲申，祫享於太廟，行亞獻禮。
HCH_009_019_000090	七年，帝有疾，詔左丞守道侍湯藥，徙居瓊林苑臨芳殿調治。
HCH_009_019_000091	八年正月甲戌，改賜名允恭。
HCH_009_019_000092	庚辰，受皇太子冊寶，帝上表謝。
HCH_009_019_000093	九年五月，世宗命避暑於草濼，隋王惟功從行，其應從行者皆給道路費。
HCH_009_019_000094	帝奏曰：「遠去闕廷，獨就涼地，非臣子所安，願罷行。」
HCH_009_019_000095	世宗曰：「汝體羸弱，山后高涼，故命汝往。」
HCH_009_019_000096	丁丑，百官奉辭於都城之北，再拜，帝答拜。
HCH_009_019_000097	是月，百官承詔具箋問起居。
HCH_009_019_000098	六月，百官問起居如前。
HCH_009_019_000099	八月乙酉，至自草濼，百官迎謁於都城之北，如送儀。
HCH_009_019_000100	丙戌，入見，世宗曰：「吾兒相別經夏，極甚思憶也。」
HCH_009_019_000101	九月，詔皇太子供膳勿月支，歲給五千萬。
HCH_009_019_000102	十年八月，帝在承華殿經筵，太子太保壽王爽啟曰：「殿下頗未熟本朝語，何不屏去左右漢官，皆用女直人。」
HCH_009_019_000103	帝曰：「諭德、贊善及侍從官，曷敢輒去？」
HCH_009_019_000104	爽乃揖而退。
HCH_009_019_000105	帝曰：「宮官四員謂之諭德、贊善，義可見矣，而反欲去之，無學故也。」
HCH_009_019_000106	有使者自山東還，帝問民間何所苦，使者曰：「錢難最苦。官庫錢滿有露積者，而民間無錢，以此苦之。」
HCH_009_019_000107	帝曰：「貯之空室，雖多奚為。」
HCH_009_019_000108	謂戶部尚書張仲愈曰：「天子富藏天下，何必獨在府庫也。」
HCH_009_019_000109	因奏曰：「錢在府庫，何異銅礦在野。乞流轉，使公私俱利。」
HCH_009_019_000110	世宗嘉納，詔有司議行之。
HCH_009_019_000111	十年一月丁亥，有事於圓丘，帝行亞獻禮。
HCH_009_019_000112	十二年五月，世宗聞德州防禦使胡剌謀叛，因曰：「朕於親親之道未嘗不篤，而輒敢如此。」
HCH_009_019_000113	帝徐奏曰：「叔胡剌性荒縱，耽娛樂，而無子嗣，忽如此狂謀，望更閱實之。」
HCH_009_019_000114	十月己未，祫享於太廟，帝攝行祀事。
HCH_009_019_000115	十三年十月，承詔與趙王惟中、曹王惟功獵於保州、定州。
HCH_009_019_000116	十一月甲午，還京師。
HCH_009_019_000117	十四年四月乙亥，世宗禦垂拱殿，帝及諸王侍側。
HCH_009_019_000118	世宗論及兄弟妻子之際，世宗曰：「婦言是聽而兄弟相違，甚哉。」
HCH_009_019_000119	帝對曰：「《思齊》之詩曰：'刑于寡妻，至於兄弟，以禦於家邦。'臣等愚昧，願相勵而修之。」
HCH_009_019_000120	因引《棠棣》華萼相承，脊令急難之義，為文見意，以誡兄弟焉。
HCH_009_019_000121	十五年，世宗詔五品職事官謝見皇太子。
HCH_009_019_000122	十七年五月甲辰，侍宴于常武殿，典食令涅合進粥，帝將食，有蜘蛛在粥碗中，涅合恐懼失措，帝從容曰：「蜘蛛吐絲乘空，忽墮此中爾，豈汝罪哉。」
HCH_009_019_000123	十月己卯，祫享於太廟，攝行祀事。
