HCH_013_012_000057	衝霧而行，阻水，則已臨白石江矣。
HCH_013_012_000058	頃之，霧霽，達里麻望見，大驚，倉皇失措。
HCH_013_012_000059	友德即欲濟師，英曰：「我軍遠來，形勢既露，固利速戰。然亟濟，恐為所扼。」
HCH_013_012_000060	乃整師臨流，勢若欲渡。
HCH_013_012_000061	達里麻悉精銳扼水，英別遣數十人從下流潛渡，出其後，鳴金鼓，樹旗幟。
HCH_013_012_000062	達里麻急撤眾禦之，陣動。
HCH_013_012_000063	英乃拔劍督師濟江，以猛而善泅者先之。
HCH_013_012_000064	長刀蒙盾，破其前軍。
HCH_013_012_000065	敵氣索，退數里而陣。
HCH_013_012_000066	我師畢濟，友德麾兵進薄之，矢石雨發，呼聲動天地。
HCH_013_012_000067	戰數合，英縱鐵騎擣其中堅，敵眾披靡，遂大敗，生擒達里麻、橫屍十餘里，俘其眾二萬。
HCH_013_012_000068	友德悉撫而縱之，使各歸業。
HCH_013_012_000069	蠻人見歸者皆喜慰，軍聲益振。
HCH_013_012_000070	遂平曲靖，留兵鎮其地。
HCH_013_012_000071	友德分遣藍玉、沐英率師趨雲南，而自以眾數萬向烏撒，為郭英等聲援。
HCH_013_012_000072	壬申，元梁王把匝剌瓦爾密聞達里麻敗，棄城走入羅佐山。
HCH_013_012_000073	其右丞驢兒自曲靖馳歸，謂曰：「事急矣，將奈何？」
HCH_013_012_000074	于是把匝剌瓦爾密挈妻子與左丞達的驢兒俱入普寧州忽納砦，焚其龍衣，驅妻子俱赴滇池死。
HCH_013_012_000075	癸酉，藍玉、沐英等師至雲南之板橋，元右丞觀甫保出降。
HCH_013_012_000076	明日，駐兵金馬山，故梁王閹監也先帖木兒以金寶來獻，諸父老焚香出迎。
HCH_013_012_000077	玉等整眾入城，秋毫無犯，收梁王金印並宮府符信圖籍，撫定其民。
HCH_013_012_000078	自九月朔出師，迄下雲南，僅百餘日。
HCH_013_012_000079	藍玉別遣曹震、王弼、金朝興等率兵二萬，分道進取臨安諸路，皆下之。
HCH_013_012_000080	沐英分兵趨烏撒，會友德。
HCH_013_012_000081	先是，都督郭英等出永寧，路多險阻，諸將欲深入。
HCH_013_012_000082	英曰：「破敵貴先聲，攻取必自近始。舍近趨遠，非策之上也。」
HCH_013_012_000083	遂以兵攻赤水河，去河二十里為營。
HCH_013_012_000084	時久雨，水暴漲，英曰：「賊恃水漲，不意吾濟。」
HCH_013_012_000085	下令諸軍斬木造筏，夜半濟河。
HCH_013_012_000086	比曉，敵始覺，遂大驚潰，生擒阿客指蠻，雲南諸郡邑皆震。
HCH_013_012_000087	至是，友德自曲靖帥師循格孤山而南，直擣烏撒，元右丞實卜收兵屯赤水河拒郭英等。
HCH_013_012_000088	友德大軍至，實卜遁。
HCH_013_012_000089	友德下令城烏撒，版築方具，實卜引諸蠻復大集，友德據高岡嚴陣待之。
HCH_013_012_000090	諸將請戰，友德故勿許，士爭奮思致死。
HCH_013_012_000091	友德度其可用，下令曰：「我軍深入，有進無退。彼既遁而復來，心必不一，併力與戰，破之必矣。若使彼據險自固，未易克也。」
HCH_013_012_000092	遂進戰。
HCH_013_012_000093	師既陣，芒部土酋帥眾來援。
HCH_013_012_000094	實卜合勢迎戰，我師趨之。
HCH_013_012_000095	戰數十合，渠長多中槊墜馬死者。
HCH_013_012_000096	我師益奮，蠻眾大潰，斬首三千級，獲馬六百匹，實卜率餘眾遁。
HCH_013_012_000097	遂城烏撒，得七星關以通畢節，又進至可渡河，于是東川、烏蒙、芒部諸蠻震讋，皆望風降附。
HCH_013_012_000098	十五年春正月辛巳朔，元威楚路平章閻乃馬〔歹〕、參政列車不花等詣曹震營降。
HCH_013_012_000099	壬午，元曲靖宣慰司、行省樞密院同知怯列該、傅慰、高仁，廉訪司副使孛羅海千及中慶、武定、徵江三路，嵩盟、晉寧、昆陽、安寧、新興、路南、建永七州，昆明、富民、宜良、南甸、河陽、陽宗六縣達魯花赤、劄麻等官，皆詣藍玉、沐英營降。
HCH_013_012_000100	丁亥，置貴州都指揮使司，命平涼侯費聚、汝南侯梅思祖署司事。
HCH_013_012_000101	甲午，遣使諭傅友德等曰：「比得報，知雲南己克。然區畫布置，尚煩計慮。前已置貴州都指揮使司，然去雲南尚遠。今必置都司於雲南，以統諸軍。既有土有民，又必置布政使司及府、州、縣治之。其烏撒、烏蒙、東昌、芒部、建昌之地，更宜約束渠長，留兵守禦，禁民勿挾兵刃。至於靄翠輩，不盡服之，雖有雲南，亦難守也。」
HCH_013_012_000102	金朝興兵略徵江、臨安、沅江、尋甸、楚雄、洱海，俱下之。
HCH_013_012_000103	革宣慰司，立臨安府及各府十四衛，置雲南都指揮司，以都督謝熊、馮誠署司事。
HCH_013_012_000104	二月，置雲南布政司，改中慶路為雲南府，命汝南侯梅思祖、平章潘原明署司事，以張紞等為參政、參議等官。
HCH_013_012_000105	閏二月，靄翠至京，賜衣帽及鈔，遣還。
HCH_013_012_000106	藍玉、沐英等進兵攻大理。
HCH_013_012_000107	大理城倚點蒼山，西臨洱海為固。
HCH_013_012_000108	土目段世聞明師且至，聚眾扼下關以守。
HCH_013_012_000109	下關者，南詔皮羅閣所築龍尾關是也，號為險要。
HCH_013_012_000110	玉等至品甸，遣定遠侯王弼以兵由洱水東趨上關，為犄角勢，自率眾抵下關，造攻具。
HCH_013_012_000111	夜半，遣都督胡海洋出石門，間道渡河，繞出點蒼山後，攀木援崖而上，立旗幟。
HCH_013_012_000112	昧爽，大軍抵下關，望之，踴躍讙譟，敵眾驚亂。
HCH_013_012_000113	英身先士卒，策馬渡河，水沒馬腹，將士隨之，莫敢後，遂斬關而入。
HCH_013_012_000114	山上軍望見，亦下攻之。
HCH_013_012_000115	敵腹背受敵，大潰，拔其城，段世就擒。
HCH_013_012_000116	乃分兵取鶴慶，略麗江，破石門關，下金齒。
HCH_013_012_000117	于是車里、摩㱔、和泥、平緬等處相率降，雲南悉平。
HCH_013_012_000118	三月，藍玉遣兵攻拔三營萬戶砦，更定雲南所屬府五十二、州六十三、縣五十四。
HCH_013_012_000119	傅友德遣使以故元威順王之子伯伯及梁王家屬三百一十八人送京師，並奏云：「雲南自元世祖至今百有餘年，屢經兵燹，圖籍不存，兵數無從稽考，但當以今要害，量宜設衛戍守。其賦稅則故元司徒平章達里麻等言：「元末田土，多為豪右隱佔。』今循元舊制，歲用不足，已督布政司覆諸衛所，以給軍食。恐有不足，宜以今年所徵糧，并故官院寺入官田與土官供輸，鹽商中納，戍兵屯田所入，并給之。」上悉可其奏。未幾，置雲南鹽課司以益軍費。夏四月，烏撒、東川、芒部復叛，傅友德移檄沐英，合兵進討。西堡蠻賊寇普定，貴州衛指揮同知顧成擊敗之。六月，置大渡河守禦千戶所，傅友德調從征千戶吳中領兵守之，造舟以渡往來。上復遣使諭安陸侯吳復、平涼侯費聚，合征南三將軍攻烏撒、烏蒙、東川、芒部、磐石、關索嶺諸蠻。秋七月，沐英自大理還軍滇池，會傅友德兵進攻烏撒，大敗其眾，斬首三萬級，獲馬牛羊萬計，餘眾遁去，復遣兵捕擊，悉平之。乃以烏撒、烏蒙、芒部三府，地近四川，奏隸四川布政司。八月乙巳，遣使諭傅友德、沐英曰：「得報，知永昌侯駐兵建昌，大軍七月二十八日已擊破烏撒，次第搜捕林箐諸蠻。然此地山高道隘，慎勿輕動。人自七星關來者，又曰：「芒部、烏撒蠻至夜舉火，挈家入靄翠。
HCH_013_012_000120	符至，可諭靄翠之民，縛送軍前。
HCH_013_012_000121	其關索嶺非古道，古道又在西北。
HCH_013_012_000122	可以大軍蹂之，開此道以接普定，即芒部渠長可盡獲，將軍其熟圖之。
HCH_013_012_000123	已，復遣使諭曰：「雲南士卒既艱食，不宜分屯。止于赤水、畢節、七星關各置一衛；黑張之南，瓦店之北，中置一衛。如此分守，則雲南道路，往無礙矣。靄翠之地，必用十萬眾乃可定也。凡此者，朕所見大概耳。萬里之外，豈能周知，將軍便宜自處置。」
HCH_013_012_000124	九月，傅友德、沐英等分兵攻未服諸蠻，以指揮馮誠守雲南。
HCH_013_012_000125	諸蠻見大軍出，謂城守虛弱，遂相煽叛。
HCH_013_012_000126	土官楊苴尤桀黠，紿其下曰：「總兵領大軍歸矣，雲南城可圖也。」
HCH_013_012_000127	遂糾眾至二十萬，會于城下，合三十六營兵攻城。
HCH_013_012_000128	時城中乏食，士卒多病，倉猝聞寇至，頗以為憂。
HCH_013_012_000129	誠與指揮謝熊以孤軍嬰城拒守，備樓櫓戰具，多置強弓弩于城上。
HCH_013_012_000130	賊至，輒射之，多應弦而斃。
HCH_013_012_000131	伺賊少怠，出奇兵擊之。
HCH_013_012_000132	賊不能攻，遂圍城為久困計。
HCH_013_012_000133	時沐英駐師烏撒，聞之，選精騎萬餘來援。
HCH_013_012_000134	至曲靖，先遣人潛入城報知，為賊所得，紿之曰：「總兵官領大軍三十萬至矣。」
HCH_013_012_000135	賊相顧駭愕，拔營夜遁去，至安寧、羅次、邵甸、普寧、大祺、江川等處，據險樹柵，欲圖再舉。
HCH_013_012_000136	英至，與馮誠等合兵剿捕之，斬首六萬餘級，生擒四千餘人，諸部復定。
HCH_013_012_000137	誠，國用子也。
HCH_013_012_000138	十六年春二月，傅友德等遣人送故元雲南右丞觀音保、參政車里不花及渠長段世等一百六十人至京，各賜其家衣服。
HCH_013_012_000139	以觀音保為金齒指揮使，賜姓名李觀。
HCH_013_012_000140	時友德等平蒙化府、鄧川州，破佛光砦，過金沙江，攻北勝府，擒其平章高生。
HCH_013_012_000141	復平麗江府、平津等州，蠻民降者數十萬戶。
HCH_013_012_000142	三月甲辰，上以雲南平，命耿炳文往諭傅友德、藍玉等班師，而副將軍沐英以數萬眾留填之。
HCH_013_012_000143	雲南麓川之外，有國曰緬；車里之外，有國曰八百媳婦，皆請內附。
HCH_013_012_000144	上復置大理指揮使司，命周能為指揮，統兵守之。
HCH_013_012_000145	五月，命六安侯王志、安慶侯仇成、鳳翔侯張龍督兵往雲南、尋甸等處，繕城池，立屯堡，安輯其人民。
HCH_013_012_000146	十七年三月，征南將軍傅友德、左副將軍藍玉班師。
HCH_013_012_000147	友德平雲南，上前後下璽書數十，懸斷萬里外，委曲皆中。
HCH_013_012_000148	友德奉行不敢失，因土俗，定租賦，興學校，瘞戰骨，廣屯田，遠邇畏悅，以是遂大定。
HCH_013_012_000149	夏四月壬午，論平雲南功，進封傅友德潁國公。
HCH_013_012_000150	列侯藍玉、仇成、王弼子孫世及。
HCH_013_012_000151	陳桓普定侯，胡海東川侯，郭英武定侯，張翼鶴慶侯。
HCH_013_012_000152	將校遞陞有差。
HCH_013_012_000153	秋八月壬申，平緬宣慰使思倫發遣使獻方物，上元所授宣慰司印。
HCH_013_012_000154	平緬在西南夷稍遠，自大理越金齒至其地。
HCH_013_012_000155	有城郭宮室，其人皆樓居。
HCH_013_012_000156	地產象馬，官民皆髠髮如僧，出入則乘象。
HCH_013_012_000157	自前代未嘗通中國，元始遣使招諭，遂入貢。
HCH_013_012_000158	至是，大兵下金齒，與平緬壤地相接。
HCH_013_012_000159	思倫發聞之，懼，故遣使朝貢。
HCH_013_012_000160	冬十月乙酉，景川侯曹震奏言：「四川至建昌驛道，所經大渡河，往來之人多死於瘴癘。臣問諸父老，自眉州峨眉至建昌，有古驛道，平易可行，無瘴毒之患，而年久蔽塞，已令四川軍士乘閒暇時開通其道，以溫江至建昌各驛馬移置峨眉新驛為便。」
HCH_013_012_000161	詔從之。
HCH_013_012_000162	十八年春正月，東蘭州韋富亂，沐英討平之。
HCH_013_012_000163	英在滇，仞方物，定貢額，視民數，均力役，雲南民賴以安。
HCH_013_012_000164	分兵剪廣西維摩餘孽，通四川糧道。
HCH_013_012_000165	上喜曰：「英能如是，吾無南顧憂矣。」
HCH_013_012_000166	冬十二月，思倫發反，率眾寇景東，馮誠擊之，失利，千戶王昇死之。
HCH_013_012_000167	十九年春二月，雲南臻洞、西浦、擺金、擺榜諸蠻叛，命傅友德率師討之。
HCH_013_012_000168	友德復移兵討平越蠻麻哈、楊孟等，平之。
HCH_013_012_000169	秋九月庚申，沐英奏：「雲南地廣，宜置屯田，令軍士開耕，以備儲畜。」
HCH_013_012_000170	詔從之。
HCH_013_012_000171	二十年夏五月庚申，敕諭沐英等勿遣使往平緬，但葺壘金齒、楚雄、品甸及瀾滄江中諸道，固守待之。
HCH_013_012_000172	英自楚雄至景東，每百里置一營，率兵屯種，以備蠻寇。
HCH_013_012_000173	已，復命景川侯曹震選四川精兵駐雲南尋甸，普定侯陳桓、靖寧侯葉昇總制雲南諸軍，駐定邊、姚安、畢節、曲靖、越州諸處，立營屯種，候征討。
HCH_013_012_000174	二十一年春正月，思倫發入寇，結砦於摩沙勒。
HCH_013_012_000175	沐英遣都指揮甯正擊破之，斬首一千五百級。
HCH_013_012_000176	三月，思倫發悉其眾號三十萬，戰象百餘，復寇定邊，欲報摩沙勒之役，勢甚猖獗。
HCH_013_012_000177	沐英選驍騎三萬，晝夜兼行，凡十五日抵賊營，隔壘而陣。
HCH_013_012_000178	遣都督馮誠先出輕騎三百挑之，賊以萬人驅象三十餘逆戰。
HCH_013_012_000179	雲南前衛指揮張因率騎卒五十餘人為前鋒，其渠帥跨巨象直前，我軍注矢連發，矢中象左膝及脅，象仆地，渠長中矢走，追射殺之。
HCH_013_012_000180	諸軍譟而前，殺賊數百人，獲一象而還。
HCH_013_012_000181	英喜曰：「賊不足平也。」
HCH_013_012_000182	乃下令軍中，置火銃神機箭三行，列陣中。
HCH_013_012_000183	俟象進，則前行，銃箭俱發；不退，則次行繼之；又不退，則三行繼之。
HCH_013_012_000184	詰旦，分軍為三隊，命馮誠領其前，甯正領其左，都指揮湯昭領其右，將士皆鼓勇而進。
HCH_013_012_000185	賊悉眾出營，結陣以待。
HCH_013_012_000186	其渠帥把事招綱等皆乘象，象披甲，皆負戰樓若欄楯，懸竹筒于兩旁，置短槊其中，以備擊刺。
HCH_013_012_000187	陣既交，羣象突而前，我軍擊之，矢石俱發，聲震山谷，象皆股栗走。
HCH_013_012_000188	指揮張因、千戶張榮祖率騎士乘之，直擣其柵，遂縱火焚其寨，烟焰漲天。
HCH_013_012_000189	還，復以兵邀擊之，殺傷甚眾。
HCH_013_012_000190	賊黨有昔剌者，亦驍勇，復率眾殊死戰。
HCH_013_012_000191	我左師小却，英登高望之，命左右取帥之首來。
HCH_013_012_000192	左帥遙見一人拔刀飛騎而下，率眾更進。
HCH_013_012_000193	英督戰益急，三軍大呼而鏖。
HCH_013_012_000194	不移時，賊眾大敗，斬首三千級，俘萬餘人，生獲象三十有七，餘皆被矢如蝟死。
HCH_013_012_000195	渠帥刁斯郎理各中百餘矢，斃象背上，餘賊潰，英帥師追襲之。
HCH_013_012_000196	賊連日不得食，死者相枕藉，思倫發遁去。
HCH_013_012_000197	夏六月，東川蠻叛，命傅友德為征南將軍，沐英、陳桓為左、右副將軍，曹震、葉昇為左、右參將，率馬步諸軍討之。
HCH_013_012_000198	八月壬寅，沐英遣都督甯正從傅友德討東川。
HCH_013_012_000199	九月，越州土目阿資叛。
HCH_013_012_000200	阿資故囉囉種苦麻部。
HCH_013_012_000201	王師南征，沐英駐兵其地之湯池山，諭降之，至是叛。
HCH_013_012_000202	傅友德等將兵討之，道過平彝，以其山勢峭險，密邇阿資，遂遷其山民往居早上村，留神策衛千戶劉成等駐兵，立柵其上，後以為平彝千戶所。
HCH_013_012_000203	阿資等復帥眾寇普安，燒府治，大掠。
HCH_013_012_000204	友德進擊之，斬其渠滿巳青。
HCH_013_012_000205	二十二年春正月，阿資退屯普安，倚崖壁為砦。
HCH_013_012_000206	傅友德以精兵蹙之，蠻眾皆緣壁攀崖，墜死者不可勝數，生擒一千三百餘人，阿資遁還越州。
HCH_013_012_000207	沐英遣甯正從友德擊阿資于越州，大敗之，斬其黨火頭弄宗等五十餘人。
HCH_013_012_000208	初，阿資之遁也，揚言曰：「國家有萬軍之勇，而我地有萬山之險，豈能盡滅我輩！」
HCH_013_012_000209	英乃請置越州、馬隆二衛，扼其衝要，分兵追捕之，阿資窮蹙降。
HCH_013_012_000210	甲午，曹震、葉昇領兵分討東川叛蠻，悉平之。
HCH_013_012_000211	冬十一月，思倫發遣把事招綱等來言，叛逆之謀，皆其下刁厮郎等為之。
HCH_013_012_000212	以象馬白金入貢，願輸貢賦。
HCH_013_012_000213	百夷遂平。
HCH_013_012_000214	二十四年冬十二月，沐英以阿資叛服不常，請徙越州衛于陸涼鎮之。
HCH_013_012_000215	阿資復叛，平羌將軍何福督兵討之。
HCH_013_012_000216	至越州，阿資援絕，降。
HCH_013_012_000217	福扼險置寧越堡。
HCH_013_012_000218	二十五年夏六月丁卯，西平侯沐英卒于雲南。
HCH_013_012_000219	雲南二十郡，左右分畫，界以大江，東北曰金沙，西南曰蘭滄，俱入海，幅員萬里。
HCH_013_012_000220	英鎮雲南，簡官僚，修惠政，剔姦蠹，興學校，治水利，墾田一百一萬二千畝，軍食嬴足，恩威並著，教化大行，雲南遂為樂土。
HCH_013_012_000221	嘗入朝，賜宴奉天殿，賚黃金綵幣。
HCH_013_012_000222	陛辭，上撫之曰：「使我高枕無南顧憂者，爾也。」
HCH_013_012_000223	既卒，追封黔寧昭靖王，命其子春襲封西平侯鎮雲南。
HCH_013_012_000224	二十八年春正月，阿資復叛，西平侯沐春、平羌將軍何福擒斬之于越州。
HCH_013_012_000225	三十年春正月，置雲南按察司。
HCH_013_012_000226	秋九月，平緬諸蠻刁幹孟叛，逐宣慰使，思倫發奔訴京師。
HCH_013_012_000227	命西平侯沐春為征南大將軍，都督何福、徐凱為左、右副將軍，率雲南、四川兵討之。
HCH_013_012_000228	冬十二月乙巳，遣思倫發還雲南，駐怒江。
HCH_013_012_000229	上命沐春令刁幹孟歸而主，毋為不臣。
HCH_013_012_000230	三十一年春二月，刁幹孟請入貢。
HCH_013_012_000231	夏五月，西平侯沐春進兵擊平緬，先以兵送思倫發於金齒，使人諭刁幹孟，不從，乃遣左軍都督何福、瞿能等將兵五千往討之。
HCH_013_012_000232	福等躋高良公山，直擣南甸，大破之，殺其渠刁名孟，斬獲甚眾。
HCH_013_012_000233	還兵擊景罕寨，寨乘高據險，堅守不下，官軍糧械俱盡，賊勢益盛。
HCH_013_012_000234	福使告急於春，春率五百騎往救之，乘夜至怒江。
HCH_013_012_000235	詰旦徑渡，令騎馳躪寨下，揚塵以警之。
HCH_013_012_000236	賊乘高望見塵起蔽天，不意大軍卒至，驚懼，遂率眾降。
HCH_013_012_000237	春乘勝復擊崆峒寨，賊夜潰走。
HCH_013_012_000238	刁幹孟乃遣人乞降，帝以其反覆，不之許。
HCH_013_012_000239	尋春病卒，何福討擒刁幹孟，思倫發始得還，平緬悉定。
