HCH_012_125_000083	進克嶧州，王宣復叛，擊斬之。
HCH_012_125_000084	莒、密、海諸州悉下。
HCH_012_125_000085	乃使韓政分兵扼河，張興祖取東平、濟寧，而自帥大軍拔益都，徇下濰、膠諸州縣。
HCH_012_125_000086	濟南降，分兵取登、萊。
HCH_012_125_000087	齊地悉定。
HCH_012_125_000088	洪武元年，太祖即帝位，以達為右丞相。
HCH_012_125_000089	冊立皇太子，以達兼太子少傅。
HCH_012_125_000090	副將軍遇春克東昌，會師濟南，擊斬樂安反者。
HCH_012_125_000091	還軍濟寧，引舟師溯河，趨汴梁，守將李克彝走，左君弼、竹貞等降。
HCH_012_125_000092	遂自虎牢關入洛陽，與元將脫因帖木兒大戰洛水北，破走之。
HCH_012_125_000093	梁王阿魯溫以河南隆，略定嵩、陝、陳、汝諸州，遂搗潼關。
HCH_012_125_000094	李思齊奔鳳翔，張思道奔鹿阝城，遂入關，西至華州。
HCH_012_125_000095	捷聞，太祖幸汴梁，召達詣行在所，置酒勞之，且謀北伐。
HCH_012_125_000096	達曰：「大軍平齊魯，掃河洛，王保保逡巡觀望；潼關既克，思齊輩狼狽西奔。元聲援已絕，今乘勢直搗元都，可不戰有也。」
HCH_012_125_000097	帝曰：「善。」
HCH_012_125_000098	達復進曰：「元都克，而其主北走，將窮追之乎？」
HCH_012_125_000099	帝曰：「元運衰矣，行自澌滅，不煩窮兵。出塞之後，固守封疆，防其侵軼可也。」
HCH_012_125_000100	達頓首受命。
HCH_012_125_000101	遂與副將軍會師河陰，遣裨將分道徇河北地，連下衛輝、彰德、廣平。
HCH_012_125_000102	師次臨清，使傅友德開陸道通步騎，顧時浚河通舟師，遂引而北。
HCH_012_125_000103	遇春已克德州，合兵取長蘆，扼直沽，作浮橋以濟師。
HCH_012_125_000104	水陸並進，大敗元軍於河西務，進克通州。
HCH_012_125_000105	順帝帥後妃太子北去。
HCH_012_125_000106	逾日，達陳兵齊化門，填濠登城。
HCH_012_125_000107	監國淮王帖木兒不花，左丞相慶童，平章迭兒必失、樸賽因不花，右丞張康伯，御史中丞滿川等不降，斬之，其餘不戮一人。
HCH_012_125_000108	封府庫，籍圖書寶物，令指揮張勝以兵千人守宮殿門，使宦者護視諸宮人、妃、主，禁士卒毋所侵暴。
HCH_012_125_000109	吏民安居，市不易肆。
HCH_012_125_000110	捷聞，詔以元都為北平府，置六衛，留孫興祖等守之，而命達與遇春進取山西。
