HCH_012_260_000107	以承疇方督三邊，不可易，乃擢奇瑜兵部右侍郎兼右僉都御史，總督陜西、山西、河南、湖廣、四川軍務，專辦流賊。
HCH_012_260_000108	奇瑜檄諸將會兵陜州。
HCH_012_260_000109	先是，老回回、過天星、滿天星、闖塌天、混世王五大營自楚入蜀，陷夔州。
HCH_012_260_000110	阻險，復走還楚，分為三：一犯均州，往河南；一犯鄖陽，往淅川；一犯金漆坪，渡河犯商南。
HCH_012_260_000111	奇瑜乃馳至均州，檄四巡撫會討。
HCH_012_260_000112	陜西練國事駐商南，遏其西北；鄖陽盧象昇駐房、竹，遏其西；河南元默駐盧氏，遏其東北；湖廣唐暉駐南漳，遏其東南。
HCH_012_260_000113	奇瑜乃偕象昇督將士由竹溪至平利之烏林關，十餘戰，斬賊千七百餘級。
HCH_012_260_000114	越七日，大破之乜家溝，斬千八十餘級，總兵鄧玘功為多。
HCH_012_260_000115	已，設伏蚋溪，連戰，斬三百餘級。
HCH_012_260_000116	至獅子山，斬七百二十餘級。
HCH_012_260_000117	別將楊化麟、楊世恩、周任鳳、楊正芳等分道擊殺賊，擒其魁闖王、翻山虎等。
HCH_012_260_000118	奇瑜上言：「楚中屢捷，一時大盜幾盡，其竄伏深山者，臣督鄉兵為向道，無穴不搜，楚中漸有寧宇。」
HCH_012_260_000119	帝嘉勞之。
HCH_012_260_000120	乃督副將劉遷等搜竹溪、平利賊，追至五狼河，擒其魁十二人。
HCH_012_260_000121	遣參將賀人龍等追八晝夜至紫陽，賊死者萬餘人。
HCH_012_260_000122	先是，賊入蜀，復自蜀入秦，由陽平關奔鞏昌，承疇禦之秦州。
HCH_012_260_000123	賊遂越兩當，襲破鳳縣，分為二：一向漢中，取間道犯城固、洋縣；一由鳳縣奔寶雞、汧陽。
HCH_012_260_000124	於是賊在平利、洵陽間者數萬，自四川入西鄉者二三萬。
HCH_012_260_000125	犯城固、洋縣者，又東下石泉、漢陰，會漢、興，窺商、雒。
HCH_012_260_000126	當是時，奇瑜以湖廣賊盡，鼓行而西，謂賊不足平也。
HCH_012_260_000127	乃遣遊擊唐通防漢中，以護藩封；遣參將賀人龍、劉遷、夏鎬扼略陽、沔縣，防賊西遁；遣副將楊正芳、余世任扼褒城，防賊北遁；自督副將楊化麟、柳國鎮等駐洋縣，防賊東遁；又檄練國事、盧象昇、元默各守要害，截賊奔逸。
HCH_012_260_000128	賊見官軍四集，大懼，悉遁入興安之車廂峽，諸渠魁李自成、張獻忠等咸在焉。
HCH_012_260_000129	峽四山巉立，中亙四十里，易入難出。
HCH_012_260_000130	賊誤入其中，山上居民下石擊，或投以炬火，山口累石塞，路絕，無所得食，困甚。
HCH_012_260_000131	又大雨二旬，弓矢盡脫，馬乏芻，死者過半。
HCH_012_260_000132	當是時，官軍蹙之，可盡殲，自成等見勢絀，用其黨顧君恩謀以重寶賄奇瑜左右及諸將帥，偽請降。
HCH_012_260_000133	奇瑜無大計，遽許之，先後籍三萬六千餘人，悉勞遣歸農。
HCH_012_260_000134	每百人以安撫官一護之，檄所過州縣具糗糧傳送，諸將無邀撓撫事。
