HCH_012_198_000038	未至，征兵多擾費；既至，召援輒後時。
HCH_012_198_000039	欲戰，則彼不來；持久，則我師坐老。
HCH_012_198_000040	臣以為防邊之策，大要有四：修浚墻塹，以固邊防；增設衛所，以壯邊兵；經理靈、夏，以安內附；整飭韋州，以遏外侵。
HCH_012_198_000041	今河套即周朔方，漢定襄，赫連勃勃統萬城也。
HCH_012_198_000042	唐張仁願築三受降城，置烽堠千八百所，突厥不敢逾山牧馬。
HCH_012_198_000043	古之舉大事者，未嘗不勞於先，逸於後。
HCH_012_198_000044	夫受降據三面險，當千里之蔽。
HCH_012_198_000045	國初舍受降而衛東勝，已失一面之險。
HCH_012_198_000046	其後又輟東勝以就延綏，則以一面而遮千餘里之沖，遂使河套沃壤為寇巢穴。
HCH_012_198_000047	深山大河，勢乃在彼，而寧夏外險反南備河。
HCH_012_198_000048	此邊患所以相尋而不可解也。
HCH_012_198_000049	誠宜復守東勝，因河為固，東接大同，西屬寧夏，使河套方千里之地，歸我耕牧，屯田數百萬畝，省內地轉輸，策之上也。
HCH_012_198_000050	如或不能，及今增築防邊，敵來有以待之，猶愈無策。
HCH_012_198_000051	因條具便宜：延綏安邊營石澇池至橫城三百里，宜設墩臺九百座，暖譙九百間，守軍四千五百人；石澇池至定邊營百六十三里，平衍宜墻者百三十一里，險崖峻阜可鏟削者三十二里，宜為墩臺，連接寧夏東路；花馬池無險，敵至仰客兵，宜置衛；興武營守禦所兵不足，宜召募；自環慶以西至寧州，宜增兵備一人；橫城以北，黃河南岸有墩三十六，宜修復。
HCH_012_198_000052	帝可其議。
HCH_012_198_000053	大發帑金數十萬，使一清築墻。
HCH_012_198_000054	而劉瑾憾一清不附己，一清遂引疾歸。
HCH_012_198_000055	其成者，在要害間僅四十里。
HCH_012_198_000056	瑾誣一清冒破邊費，逮下錦衣獄。
HCH_012_198_000057	大學士李東陽、王鏊力救得解。
HCH_012_198_000058	仍致仕歸，先後罰米六百石。
HCH_012_198_000059	安化王寘鐇反。
HCH_012_198_000060	詔起一清總制軍務，與總兵官神英西討，中官張永監其軍。
HCH_012_198_000061	未至，一清故部將仇鉞已捕執之。
HCH_012_198_000062	一清馳至鎮，宣布德意。
HCH_012_198_000063	張永旋亦至，一清與結納，相得甚歡。
HCH_012_198_000064	知永與瑾有隙，乘間扼腕言曰：「賴公力定反側。然此易除也，如國家內患何。」
HCH_012_198_000065	永曰：「何謂也？」
HCH_012_198_000066	一清遂促席畫掌作「瑾」字。
HCH_012_198_000067	永難之曰：「是家晨夕上前，枝附根據，耳目廣矣。」
HCH_012_198_000068	一清慷慨曰：「公亦上信臣，討賊不付他人而付公，意可知。今功成奏捷，請間論軍事，因發瑾奸，極陳海內愁怨，懼變起心腹。上英武，必聽公誅瑾。瑾誅，公益柄用，悉矯前弊，收天下心。呂強、張承業暨公，千載三人耳。」
HCH_012_198_000069	永曰：「脫不濟，奈何？」
HCH_012_198_000070	一清曰：「言出於公必濟。萬一不信，公頓首據地泣，請死上前，剖心以明不妄，上必為公動。茍得請，即行事，毋須臾緩。」
HCH_012_198_000071	於是永勃然起曰：「嗟乎，老奴何惜余年不以報主哉！」
HCH_012_198_000072	竟如一清策誅瑾。
HCH_012_198_000073	永以是德一清，左右之，得召還，拜戶部尚書。
HCH_012_198_000074	論功，加太子少保，賜金幣。
HCH_012_198_000075	尋改吏部。
HCH_012_198_000076	一清於時政最通練，而性闊大。
HCH_012_198_000077	愛樂賢士大夫，與共功名。
HCH_012_198_000078	凡為瑾所構陷者，率見甄錄。
HCH_012_198_000079	朝有所知，夕即登薦，門生遍天下。
HCH_012_198_000080	嘗再帥關中，起偏裨至大將封侯者，累累然不絕。
HCH_012_198_000081	饋謝有所入，緣手即散之。
HCH_012_198_000082	大盜躪中原，一清疏請命將調兵。
HCH_012_198_000083	前後凡數上，皆報可。
HCH_012_198_000084	盜平，加少保、太子太保，蔭錦衣百戶。
HCH_012_198_000085	再推內閣，不用。
HCH_012_198_000086	用尚書靳貴，而進一清少傅、太子太傅。
HCH_012_198_000087	給事中王昂論選法幣，指一清植私黨，帝為謫昂。
HCH_012_198_000088	一清更申救，優旨報聞。
HCH_012_198_000089	乾清宮災，詔求直言。
HCH_012_198_000090	一清上書言視朝太遲，享祀太慢，西內創梵宇，禁中宿邊兵，畿內皇店之害，江南織造之擾。
HCH_012_198_000091	因引疾乞歸，帝慰留之。
HCH_012_198_000092	大學士楊廷和憂去，命一清兼武英殿大學士入參機務。
HCH_012_198_000093	張永尋得罪罷，而義子錢寧用事。
HCH_012_198_000094	寧故善一清，有構之者因蓄怨。
HCH_012_198_000095	會災異，一清自劾，極陳時政，中有「狂言惑聖聽，匹夫搖國是，禁廷雜介胄之夫，京師無藩籬之托」語，譏切近幸，帝弗省。
HCH_012_198_000096	寧與江彬輩聞之，大怒。
HCH_012_198_000097	使優人於帝前為蜚語，刺譏一清。
HCH_012_198_000098	時有考察罷官者，嗾武學生朱大周訐一清陰事，而以寧為內主。
HCH_012_198_000099	給事御史周金、陳軾等交章劾大周妄言，請究主使，帝不聽。
HCH_012_198_000100	一清乃力請骸骨歸，賜敕褒諭，給夫廩如制。
HCH_012_198_000101	帝南征，幸一清第，樂飲兩晝夜，賦詩賡和以十數。
HCH_012_198_000102	一清從容諷止，帝遂不為江浙行。
HCH_012_198_000103	世宗為世子時，獻王嘗言楚有三傑：劉大夏、李東陽及一清也，心識之。
HCH_012_198_000104	及即位，廷臣交薦一清，乃遣官賜金幣存問，諭以宣召期，趣使有言。
HCH_012_198_000105	一清陳謝，特予一子官中書舍人。
HCH_012_198_000106	嘉靖三年十二月戊午詔一清以少傅、太子太傅改兵部尚書、左都御史，總制陜西三邊軍務。
HCH_012_198_000107	故相行邊，自一清始。
HCH_012_198_000108	溫詔褒美，比之郭子儀。
HCH_012_198_000109	一清至是三為總制，部曲皆踴躍喜。
HCH_012_198_000110	亦不剌竄西海，為西寧洮河害，金獻民言撫便，獨一清請剿。
HCH_012_198_000111	土魯番求貢，陳九疇欲絕之，一清則請撫。
HCH_012_198_000112	時帥諸將肄習行陣，嘗曰：「無事時當如有事堤防，有事時當如無事鎮靜。」
HCH_012_198_000113	會張璁等力排費宏，御史吉棠因請還一清內閣。
HCH_012_198_000114	給事中章僑、御史侯秩等爭之。
HCH_012_198_000115	帝謫秩官，召一清為吏部尚書、武英殿大學士。
HCH_012_198_000116	既入見，加少師，仍兼太子太傅，非故事也。
HCH_012_198_000117	亡何，《獻皇帝實錄》成，加太子太師、謹身殿大學士。
HCH_012_198_000118	一清以不預纂修辭，不許。
HCH_012_198_000119	王憲奏捷，推功一清，加特進左柱國、華蓋殿大學士。
HCH_012_198_000120	費宏已去，一清遂為首輔。
HCH_012_198_000121	帝賜銀章二，曰「耆德忠正」，曰「繩愆糾違」，令密封言事。
HCH_012_198_000122	與張璁論張永前功，起為提督團營。
HCH_012_198_000123	給事中陸粲請增築邊墻，推明一清曩時議，一清因力從臾之。
HCH_012_198_000124	帝為發帑金，命侍郎王廷相往，然久之亦竟止。
HCH_012_198_000125	《明倫大典》成，加正一品俸。
HCH_012_198_000126	初，「大禮」議起，一清方家居，見張璁疏，寓書門人喬宇曰：「張生此議，聖人復起，不能易也。」
HCH_012_198_000127	又勸席書早赴召，以定大議。
HCH_012_198_000128	璁等既驟顯，頗引一清。
HCH_012_198_000129	帝亦以一清老臣，恩禮加渥。
HCH_012_198_000130	免常朝日講侍班，朔望朝參，令晨初始入閣視事。
HCH_012_198_000131	禦書、和章及金幣、牢醴之賜甚渥。
HCH_012_198_000132	所言邊事、國計，大小無不傾聽。
HCH_012_198_000133	璁與桂萼既攻去費宏，意一清必援己。
HCH_012_198_000134	一清顧請召謝遷，心怨之。
HCH_012_198_000135	遷未至，璁已入內閣，多所更建。
HCH_012_198_000136	一清引故事稍裁抑，其黨積不平。
HCH_012_198_000137	錦衣聶能遷訐璁，璁欲置之死，一清不可。
HCH_012_198_000138	璁怒，上疏陰詆一清，又嗾黃綰排之甚力。
HCH_012_198_000139	一清疏辨，言璁以能遷故排己，且傍及璁他語。
HCH_012_198_000140	因乞骸骨。
HCH_012_198_000141	帝為兩解之。
HCH_012_198_000142	一清又因災變請戒飭百官和衷，復乞宥議禮諸臣罪，璁益憾。
HCH_012_198_000143	柱萼入內閣，亦不相能。
HCH_012_198_000144	一清屢求去，且言：「今持論者尚紛更，臣獨主安靜；尚刻核，臣獨主寬平。用是多齟齬，願避賢者路。」
HCH_012_198_000145	帝復溫旨褒之。
HCH_012_198_000146	而給事中王準、陸粲發璁、萼招權納賄狀，帝立罷璁、萼，且暴其罪。
HCH_012_198_000147	其黨霍韜攘臂曰：「張、桂行，勢且及我。」
HCH_012_198_000148	遂上疏力攻一清，言其受張永、蕭敬賄。
HCH_012_198_000149	一清再疏辨，乞罷。
HCH_012_198_000150	帝雖慰留之，而璁復召還，韜攻益急，且言法司承一清風指，構成萼罪。
HCH_012_198_000151	帝果怒，令法司會廷臣雜議。
HCH_012_198_000152	出刑部尚書周倫於南京，以侍郎許贊代。
HCH_012_198_000153	贊乃實韜言，請削一清籍。
HCH_012_198_000154	帝令一清自陳。
HCH_012_198_000155	璁乃三上密疏，引一清贊禮功，乞賜寬假，實以堅帝意俾之去。
HCH_012_198_000156	帝果允致仕，馳驛歸，仍賜金幣。
HCH_012_198_000157	明年，璁等構朱繼宗獄，坐一清受張永弟容金錢，為永誌墓，又與容世錦衣指揮，遂落職閑住。
HCH_012_198_000158	一清大恨曰：「老矣，乃為孺子所賣！」
HCH_012_198_000159	疽發背死。
HCH_012_198_000160	遺疏言身被汙蔑，死且不瞑，帝令釋贓罪不問。
HCH_012_198_000161	後數年復故官。
HCH_012_198_000162	久之，贈太保，謚文襄。
HCH_012_198_000163	一清生而隱宮，貌寺人，無子。
HCH_012_198_000164	博學善權變，尤曉暢邊事。
HCH_012_198_000165	羽書旁午，一夕占十疏，悉中機宜。
HCH_012_198_000166	人或訾己，反薦揚之。
HCH_012_198_000167	惟晚與璁、萼異，為所軋，不獲以恩禮終。
HCH_012_198_000168	然其才一時無兩，或比之姚崇雲。
HCH_012_198_000169	王瓊，字德華，太原人。
HCH_012_198_000170	成化二十年進士。
HCH_012_198_000171	授工部主事，進郎中。
HCH_012_198_000172	出治漕河三年，臚其事為誌。
HCH_012_198_000173	繼者按稽之，不爽毫髮，由是以敏練稱。
HCH_012_198_000174	改戶部，歷河南右布政使。
HCH_012_198_000175	正德元年，擢右副都御史督漕運。
HCH_012_198_000176	明年入為戶部右侍郎。
HCH_012_198_000177	衡府有賜地，蕪不可耕，勒民出租以為常，王反誣民趙賢等侵據。
HCH_012_198_000178	瓊往按，奪旁近民地予之，賢等戍邊，民多怨者。
HCH_012_198_000179	三年春，廷推吏部侍郎，前後六人，皆不允。
HCH_012_198_000180	最後以瓊上，許之。
HCH_012_198_000181	坐任戶部時邊臣借太倉銀未償，所司奏遲，尚書顧佐奪俸，而瓊改南京。
HCH_012_198_000182	已，復改戶部。
HCH_012_198_000183	八年進尚書。
HCH_012_198_000184	瓊為人有心計，善鉤校。
HCH_012_198_000185	為郎時悉錄故牘條例，盡得其斂散盈縮狀。
HCH_012_198_000186	及為尚書，益明習國計。
HCH_012_198_000187	邊帥請芻糗，則屈指計某倉、某場庤糧草幾何；諸郡歲輸、邊卒歲采秋青幾何，曰：「足矣。重索妄也。」
HCH_012_198_000188	人益以瓊為才。
HCH_012_198_000189	十年代陸完為兵部尚書。
HCH_012_198_000190	時四方盜起，將士以首功進秩。
HCH_012_198_000191	瓊言：「此嬴秦弊政。行之邊方猶可，未有內地而論首功者。今江西、四川妄殺平民千萬，縱賊貽禍，皆此議所致。自今內地征討，惟以蕩平為功，不計首級。」
HCH_012_198_000192	從之。
HCH_012_198_000193	帝時遠遊塞外，經歲不還，近畿盜竊發。
HCH_012_198_000194	瓊請於河間設總兵一人，大名、武定各設兵備副使一人，責以平賊，而檄順天、保定兩巡撫，嚴要害為外防，集遼東、延綏士馬於行在，以護軍駕。
HCH_012_198_000195	中外恃以無恐。
HCH_012_198_000196	孝豐賊湯麻九反，有司請發兵剿。
HCH_012_198_000197	瓊請密敕勘糧都御史許廷光，出不意擒之，無一脫者。
HCH_012_198_000198	四方捷奏上，多推功瓊，數受蔭賚，累加至少師兼太子太師，子錦衣世千戶。
HCH_012_198_000199	及營建乾清宮，又蔭錦衣千戶者二，寵遇冠諸尚書。
HCH_012_198_000200	十四年，寧王宸濠反。
HCH_012_198_000201	瓊請敕南和伯方壽祥督操江兵防南都，南贛巡撫王守仁、湖廣巡撫秦金各率所部趨南昌，應天巡撫李充嗣鎮京口，淮揚巡撫叢蘭扼儀真。
HCH_012_198_000202	奏上，帝意欲親征，持三日不下。
HCH_012_198_000203	大學士楊廷和趣之，竟下親征詔，命瓊與廷和等居守。
HCH_012_198_000204	先是，瓊用王守仁撫南、贛，假便宜提督軍務。
HCH_012_198_000205	比宸濠反，書聞，舉朝惴惴。
HCH_012_198_000206	瓊曰：「諸君勿憂，吾用王伯安贛州，正為今日，賊旦夕擒耳。」
HCH_012_198_000207	未幾，果如其言。
HCH_012_198_000208	瓊才高，善結納。
HCH_012_198_000209	厚事錢寧、江彬等，因得自展，所奏請輒行。
HCH_012_198_000210	其能為功於兵部者，亦彬等力也。
HCH_012_198_000211	陸完敗，代為吏部尚書。
HCH_012_198_000212	瓊忌彭澤平流賊，聲望出己上，構於錢寧，中澤危法。
HCH_012_198_000213	又陷雲南巡撫範鏞、甘肅巡撫李昆、副使陳九疇於獄，中外多畏瓊。
HCH_012_198_000214	而大學士廷和亦以瓊所誅賞，多取中旨，不關內閣，弗能堪。
HCH_012_198_000215	明年，世宗入繼，言官交劾瓊，系都察院獄。
HCH_012_198_000216	瓊力訐廷和，帝愈不直瓊，下廷臣雜議。
HCH_012_198_000217	坐交結近侍律論死，命戍莊浪。
HCH_012_198_000218	瓊復訴年老，改戍綏德。
HCH_012_198_000219	張璁、桂萼、霍韜用事，以瓊與廷和仇，首薦之，不納。
HCH_012_198_000220	至嘉靖六年有邊警，萼力請用瓊，不果。
HCH_012_198_000221	帝亦憫瓊老病，令還籍為民。
HCH_012_198_000222	御史胡松因劾萼謫外任，其同官周在請宥松，並下詔獄。
HCH_012_198_000223	萼復言瓊前攻廷和，故廷臣群起排之。
HCH_012_198_000224	帝乃命復瓊尚書待用。
HCH_012_198_000225	明年遂以兵部尚書兼右都御史代王憲督陜西三邊軍務。
HCH_012_198_000226	土魯番據哈密，廷議閉關絕其貢，四年矣。
HCH_012_198_000227	至是，其將牙木蘭為酋速檀滿速兒所疑，率從二千求內屬。
HCH_012_198_000228	沙州番人帖木哥、土巴等，素為土魯番役屬者，苦其征求，亦率五千餘人入附。
HCH_012_198_000229	番人來寇，連為參將雲昌等所敗。
HCH_012_198_000230	其引瓦剌寇肅州者，遊擊彭濬擊退之。
HCH_012_198_000231	賊既失援，又數失利，乃獻還哈密。
HCH_012_198_000232	求通貢，乞歸羈留使臣，而語多謾。
HCH_012_198_000233	瓊奏乞撫納，帝從兵部尚書王時中議，如瓊請。
HCH_012_198_000234	霍韜難之，瓊再疏請詔還番使，通貢如故。
HCH_012_198_000235	自是西域復定，而北寇常為邊患。
HCH_012_198_000236	初入犯莊浪，瓊部諸將遮擊之，斬數十級。
HCH_012_198_000237	俄由紅城子入，殺部餉主簿張文明。
HCH_012_198_000238	明年以數萬騎寇寧夏。
HCH_012_198_000239	已又犯靈州，瓊督遊擊梁震等邀斬七十餘人。
HCH_012_198_000240	其秋，集諸道精卒三萬，按行塞下。
HCH_012_198_000241	寇聞，徙帳遠遁。
HCH_012_198_000242	諸軍分道出，縱野燒，耀兵而還。
HCH_012_198_000243	先是，南京給事中邱九仞劾瓊，帝慰留之。
HCH_012_198_000244	及璁、萼罷政，諸劾璁、萼黨者鹹首瓊，乃令致仕。
HCH_012_198_000245	俄寢前詔，遣慰諭。
HCH_012_198_000246	會番大掠臨洮，瓊集兵討若籠、板爾諸族，焚其巢，斬首三百六十，撫降七十餘族。
HCH_012_198_000247	錄功，加太子太保。
HCH_012_198_000248	瓊在邊，戎備甚飭。
HCH_012_198_000249	寇嘗入山西得利，逾歲復獵境上，陽欲東，瓊令備其西。
HCH_012_198_000250	寇果入，大敗之。
HCH_012_198_000251	諸番蕩平，西陲益靖。
HCH_012_198_000252	甘肅軍民素苦土魯番侵暴，恐瓊去，相率乞守臣奏留。
HCH_012_198_000253	於是巡撫唐澤、巡按胡明善具陳其功，乞如軍民請。
HCH_012_198_000254	優詔獎之。
HCH_012_198_000255	初，帝惡楊廷和，疑廷臣悉其黨，故連用桂萼、方獻夫為吏部。
HCH_012_198_000256	及獻夫去，帝不欲授他人，久不補。
HCH_012_198_000257	至十年冬，遣行人賫敕召瓊為吏部尚書。
HCH_012_198_000258	南京御史馬敭等十人力詆瓊先朝遺奸。
HCH_012_198_000259	帝大怒，盡逮敭等下詔獄，慰諭瓊。
HCH_012_198_000260	未凡，敭等亦還職。
HCH_012_198_000261	花馬池有警，兵部尚書王憲請發兵。
HCH_012_198_000262	瓊言花馬池備嚴，寇不能入，大軍至，且先退，徒耗中國。
HCH_012_198_000263	憲竟發六千人，比至彰德，寇果遁。
HCH_012_198_000264	明年秋卒官。
HCH_012_198_000265	贈太師，謚恭襄。
HCH_012_198_000266	是年，彭澤已先卒矣。
HCH_012_198_000267	當正、嘉間，澤、瓊並有才略，相中傷不已，亦叠為進退。
HCH_012_198_000268	而瓊險忮，公論尤不予。
HCH_012_198_000269	然在本兵時功多。
HCH_012_198_000270	而其督三邊也，人以比楊一清雲。
HCH_012_198_000271	彭澤，字濟物，蘭州人。
HCH_012_198_000272	幼學於外祖段堅，有誌節。
HCH_012_198_000273	會試二場畢，聞母病，徑歸，母病亦已。
HCH_012_198_000274	登弘治三年進士，授工部主事，歷刑部郎中。
HCH_012_198_000275	勢豪殺人，澤置之辟。
HCH_012_198_000276	中貴為祈免，執不聽。
HCH_012_198_000277	出為徽州知府。
HCH_012_198_000278	澤將遣女，治漆器數十，使吏送其家。
HCH_012_198_000279	澤父大怒，趣焚之，徒步詣徽。
HCH_012_198_000280	澤驚出迓，自吏負其裝。
HCH_012_198_000281	父怒曰：「吾負此數千里，汝不能負數步耶？」
HCH_012_198_000282	入，杖澤堂下。
HCH_012_198_000283	杖已，持裝徑去。
HCH_012_198_000284	澤益痛砥礪。
HCH_012_198_000285	政最，人以方前守孫遇。
HCH_012_198_000286	遇見《循吏傳》中。
HCH_012_198_000287	父喪歸。
HCH_012_198_000288	正德初，起知真定。
HCH_012_198_000289	閹人數撓禁，澤治一棺於廳事，以死怵之，其人不敢逞。
HCH_012_198_000290	遷浙江副使，歷河南按察使，所至以威猛稱。
HCH_012_198_000291	擢右僉都御史，巡撫遼東。
HCH_012_198_000292	進右副都御史，改保定。
HCH_012_198_000293	未赴，而劉惠、趙鐩等亂河南，命澤與鹹寧伯仇鉞提督軍務討之。
HCH_012_198_000294	陳便宜十一事，厚賞峻罰，以激勸將吏。
HCH_012_198_000295	澤體幹修偉，腰帶十二圍，大音聲，與人語若叱咤。
