HCH_010_046_000134	有兵马都总管，有总领南面边事，有总领南面军务，有总领南面戍兵等官。
HCH_010_046_000135	南京马步军都指挥使司。
HCH_010_046_000136	属南面。
HCH_010_046_000137	侍卫控鹤都指挥使司。
HCH_010_046_000138	属南面。
HCH_010_046_000139	南京都统军司。
HCH_010_046_000140	又名燕京统军司。
HCH_010_046_000141	圣宗統和十二年复置南京统军都监。
HCH_010_046_000142	距马河戍长司。
HCH_010_046_000143	圣宗開泰七年，沿距马河宋界东西七百馀里。
HCH_010_046_000144	特置戍长一员巡察。
HCH_010_046_000145	已上南京诸司，并隶元帅府，备御宋国。
HCH_010_046_000146	西南面都招讨司。
HCH_010_046_000147	太祖神冊元年置。
HCH_010_046_000148	亦曰西南路招讨司。
HCH_010_046_000149	西南路巡察司。
HCH_010_046_000150	又有西南巡边官。
HCH_010_046_000151	山北路都部署司。
HCH_010_046_000152	又有知山北道边境事官。
HCH_010_046_000153	南王府。
HCH_010_046_000154	见北面朝官。
HCH_010_046_000155	山金司。
HCH_010_046_000156	一作山阴司。
HCH_010_046_000157	置在金山之北。
HCH_010_046_000158	已上西京诸司，控制西夏。
HCH_010_046_000159	西北路招讨使司。
HCH_010_046_000160	有知西路招讨事，有监军。
HCH_010_046_000161	西北路总领司。
HCH_010_046_000162	有总领西北路军事官。
HCH_010_046_000163	西北路金吾军。
HCH_010_046_000164	属南面。
HCH_010_046_000165	西北部镇抚司。
HCH_010_046_000166	兼掌西北诸部军民。
HCH_010_046_000167	有镇抚西北部事官。
HCH_010_046_000168	黑水河提辖司。
HCH_010_046_000169	在中京黔州置。
HCH_010_046_000170	已上西北路诸司，控制诸国。
HCH_010_046_000171	东北路兵马详稳司。
HCH_010_046_000172	亦曰东北面详稳司。
HCH_010_046_000173	东北路监军马司。
HCH_010_046_000174	有东北路监军马使，有管押东北路军马事官。
HCH_010_046_000175	北女直兵马司。
HCH_010_046_000176	在东京辽州置。
HCH_010_046_000177	已上东北路诸司。
HCH_010_046_000178	东路兵马都总管府。
HCH_010_046_000179	有东路兵马都总管，有同知东路兵马事官。
HCH_010_046_000180	遥里军诸详稳司。
HCH_010_046_000181	未详。
HCH_010_046_000182	已上东路诸司。
HCH_010_046_000183	西南面节制司。
HCH_010_046_000184	有节制西南诸军事。
HCH_010_046_000185	已上西南边诸司。
HCH_010_046_000186	四蕃都军所。
HCH_010_046_000187	圣宗統和四年置，授李继冲。
HCH_010_046_000188	夏州管内蕃落使。
HCH_010_046_000189	圣宗统和四年置，授李继迁。
HCH_010_046_000190	已上西路诸司。
HCH_010_046_000191	辽行军官，枢密、都统、部署之司，上下相维，先锋、两翼严重，中军于远探侦候为尤谨，临阵委重于监战。
HCH_010_046_000192	司存有常，秩然整暇，所以为制胜之道也。
HCH_010_046_000193	行枢密院。
HCH_010_046_000194	有左右林牙，有参谋。
HCH_010_046_000195	行军都统所。
HCH_010_046_000196	有监军，有行军诸部都监，有监战。
HCH_010_046_000197	行军都押司。
HCH_010_046_000198	有都押官、副押官。
HCH_010_046_000199	远探军。
HCH_010_046_000200	有小校，有拽剌。
HCH_010_046_000201	候骑。
HCH_010_046_000202	有侦候，有候人，有拽剌。
HCH_010_046_000203	东征都统所。
HCH_010_046_000204	亦曰东面行军都统所，又曰东路行军都统所。
HCH_010_046_000205	南征都统所。
HCH_010_046_000206	亦曰南面行军都统所。
HCH_010_046_000207	辽制，属国、属部官，大者拟王封，小者准部使。
HCH_010_046_000208	命其酋长与契丹人区别而用恩威兼制，得柔远之道。
HCH_010_046_000209	考其可知者具如左。
HCH_010_046_000210	某国惕隐。
HCH_010_046_000211	亦曰司徒。
HCH_010_046_000212	某国司空。
HCH_010_046_000213	本名闼林女直国顺化王府。
HCH_010_046_000214	景宗保寧九年，女国来请宰相、夷离堇之职，以次授者二十一人。
HCH_010_046_000215	圣宗統和八年，封女直阿海为顺化王，亦作阿改。
HCH_010_046_000216	天祚天慶二年有顺国女直阿鹘产大王。
