HCH_009_041_000084	女宿旗一，三人，龍旗並黃排襴旗各一。
HCH_009_041_000085	虛宿旗一，三人，紅、黃排襴旗二。
HCH_009_041_000086	危宿旗一，三人，紅、紫排襴旗二。
HCH_009_041_000087	室宿旗一，三人，黃紫排襴旗二。
HCH_009_041_000088	壁宿旗一，三人，紅，黃排襴旗二。
HCH_009_041_000089	重輪旗一，三人，紅、紫排襴旗二。
HCH_009_041_000090	左攝提旗一，三人，黃、紫排襴旗二。
HCH_009_041_000091	青龍旗一，三人，紅、黃排襴旗二。
HCH_009_041_000092	木星旗一，三人，紅、紫排襴旗二。
HCH_009_041_000093	火星旗一，三人，黃、紫排襴旗二。
HCH_009_041_000094	土星旗一，三人，紅、黃排襴旗二。
HCH_009_041_000095	金星旗一，三人，紅、紫排襴旗二。
HCH_009_041_000096	水星旗一，三人，吏兵並紫排襴旗各一。
HCH_009_041_000097	北嶽旗一，三人，吏兵並龍君旗各一。
HCH_009_041_000098	東嶽旗一，三人，龍君並黃熊旗各一。
HCH_009_041_000099	中嶽旗一，三人，黃熊並赤豹旗各一。
HCH_009_041_000100	西嶽旗一，三人，赤豹並力士旗各一。
HCH_009_041_000101	南嶽旗一，三人，力士並虎君旗各一。
HCH_009_041_000102	硃雀旗一，三人，虎君並天馬旗各一。
HCH_009_041_000103	右第五行，從北。
HCH_009_041_000104	奎旗一，三人。
HCH_009_041_000105	婁旗一，三人。
HCH_009_041_000106	胃旗一，三人。
HCH_009_041_000107	昴旗一，三人。
HCH_009_041_000108	畢旗一，三人，觜旗一，三人。
HCH_009_041_000109	參旗一，三人。
HCH_009_041_000110	井旗一，三人。
HCH_009_041_000111	鬼旗一，三人。
HCH_009_041_000112	皆均用二旗如前。
HCH_009_041_000113	柳宿旗一，三人，紅龍並黃排襴旗各一。
HCH_009_041_000114	星宿旗一，三人，紅、黃排襴旗二。
HCH_009_041_000115	張宿旗一，三人，紅、紫排襴旗二。
HCH_009_041_000116	翼宿旗一，三人，紫、黃排襴旗二。
HCH_009_041_000117	軫宿旗一，三人，紅、黃排襴旗二。
HCH_009_041_000118	重輪旗一，三人，紅、紫排襴旗二。
HCH_009_041_000119	右攝提旗一，三人，紫、黃排襴旗二。
HCH_009_041_000120	白虎旗一，三人，紅、黃排襴旗二。
