HCH_012_158_000098	人稱為「顧獨坐」雲。
HCH_012_158_000099	然持法深，論者以為病。
HCH_012_158_000100	時雩都陳勉、嶧縣賈諒先後為副都御史，與佐同舉臺職，而蘭溪邵玘官南京，與佐齊名，繁昌嚴升名亦亞於玘。
HCH_012_158_000101	玘，字以先，永樂中進士。
HCH_012_158_000102	授御史。
HCH_012_158_000103	仁宗監國，知其廉直。
HCH_012_158_000104	每法司缺官，即命玘署，有重獄輒付之。
HCH_012_158_000105	歷仕中外，所過人不敢犯。
HCH_012_158_000106	宣德三年由福建按察使入為南京左副都御史。
HCH_012_158_000107	奏黜御史不職者十三人，簡黜諸司庸懦不肖者八十餘人，風紀大振。
HCH_012_158_000108	居二年，以疾卒官。
HCH_012_158_000109	玘負氣，好侮同列，治獄頗刻深。
HCH_012_158_000110	然持身廉潔，內行修，事母以孝聞。
HCH_012_158_000111	陳勉，與玘同年進士。
HCH_012_158_000112	仁宗初，以楊士奇薦，由廣東副使擢左副都御史。
HCH_012_158_000113	信、豐諸縣盜起，命勉撫之。
HCH_012_158_000114	招徠三千六百餘人，亂遂定。
HCH_012_158_000115	景泰初，仕至南京右都御史，掌院事。
HCH_012_158_000116	致仕，卒。
HCH_012_158_000117	勉外和內剛，精通法律，吏不敢欺。
HCH_012_158_000118	賈諒，字子信。
HCH_012_158_000119	永樂中由鄉舉入太學，選侍皇太孫說書，擢刑科給事中。
HCH_012_158_000120	宣德四年劾清軍侍郎金庠受賄，罷之。
HCH_012_158_000121	郎中胡玨、蕭翔等十一人，御史方鼎三人，以不職被劾。
HCH_012_158_000122	帝未信，命諒及張居傑密察之。
HCH_012_158_000123	得實，悉貶官。
HCH_012_158_000124	明年又劾陽武侯薛祿朋比不敬。
HCH_012_158_000125	廷中肅然。
HCH_012_158_000126	尋拜右副都御史。
HCH_012_158_000127	偕錦衣指揮王裕、參議黃翰、中官張義等巡視四川、江西、湖廣，按治豪強不少假。
HCH_012_158_000128	正統二年，江北、河南大水，命諒及工部侍郎鄭辰往振。
HCH_012_158_000129	芒、碭山盜為患，諒捕獲甚眾。
HCH_012_158_000130	四年還至德州，卒。
HCH_012_158_000131	諒內行修，當官有風采。
HCH_012_158_000132	嚴升，建文時進士。
HCH_012_158_000133	歷官大理寺右少卿。
HCH_012_158_000134	清軍蘇、松，執法不撓。
HCH_012_158_000135	調南京僉都御史，與玘同心治事。
HCH_012_158_000136	剛果自信，嘗著《神羊賦》以見誌焉。
HCH_012_158_000137	段民，字時舉，武進人。
HCH_012_158_000138	永樂二年進士。
HCH_012_158_000139	選庶吉士。
HCH_012_158_000140	與章敞、吾紳輩俱讀書文淵閣，又俱授刑部主事。
HCH_012_158_000141	民旋進郎中。
HCH_012_158_000142	山東妖婦唐賽兒作亂，三司官坐縱寇誅，擢民左參政。
HCH_012_158_000143	當是時索賽兒急，盡逮山東、北京尼及天下出家婦女，先後幾萬人。
HCH_012_158_000144	民力為矜宥，人情始安。
HCH_012_158_000145	車駕北征，餉舟由濟寧達潞河，陸挽出居庸至塞外。
HCH_012_158_000146	民深計曲算，下不擾而事集。
HCH_012_158_000147	既還，敕與巡按御史考所過府縣吏廉墨以聞。
HCH_012_158_000148	宣德三年召入京，命署南京戶部右侍郎，逾年實授。
HCH_012_158_000149	又明年改刑部。
HCH_012_158_000150	初，二部皆以不治聞。
HCH_012_158_000151	民至，紀綱修舉，宿弊以革。
HCH_012_158_000152	上元人有為侄毆者，憤甚，詣通政司告。
HCH_012_158_000153	時方令納米贖罪，而越訴禁甚嚴，犯者戍遼東。
HCH_012_158_000154	民上言：「依定例，卑幼之罪得贖，而尊長反遠竄，揆於理有未安，請更擬。」
HCH_012_158_000155	帝是之。
HCH_012_158_000156	帝以民廉介端謹，特賜敕，令考察南京百官。
HCH_012_158_000157	八年，詔書罪囚自十惡外並減一等。
HCH_012_158_000158	有重囚三十餘人，例不得赦，民亦減其罪。
HCH_012_158_000159	後有旨報決，乃復追還，而逃已數人。
HCH_012_158_000160	民自陳狀，給事中年富等劾民。
HCH_012_158_000161	帝知民賢，不問。
HCH_012_158_000162	九年二月卒於官，年五十九。
HCH_012_158_000163	貧不能殮，都御史吳訥裞以衣衾。
HCH_012_158_000164	帝聞，命有司營葬。
HCH_012_158_000165	成化間，葉盛請褒恤不果。
HCH_012_158_000166	其後百有餘年，始追謚襄介。
HCH_012_158_000167	吾紳，字叔縉，衢州人。
HCH_012_158_000168	官刑部主事，治獄有聲。
HCH_012_158_000169	歷郎中，拜禮部侍郎。
HCH_012_158_000170	成祖謂呂震曰：「紳出自翰林，可佐卿典禮矣。」
HCH_012_158_000171	既而為震所擠，出為廣東參政。
HCH_012_158_000172	尋召為南京刑部侍郎，奉敕考察兩廣、福建方面官。
HCH_012_158_000173	有故人官參政，素貪黷，權要多為之地。
HCH_012_158_000174	紳至，竟黜之，時稱其公。
HCH_012_158_000175	復改禮部。
HCH_012_158_000176	正統六年卒於官。
HCH_012_158_000177	紳清強有執，淡於榮利。
HCH_012_158_000178	初拜侍郎，賀者畢集。
HCH_012_158_000179	而一室蕭然，了無供具，眾笑而起。
HCH_012_158_000180	章敞，字尚文，會稽人。
HCH_012_158_000181	由庶吉士授刑部主事。
HCH_012_158_000182	山西盜發，捕逮數百人。
HCH_012_158_000183	敞察其冤，留詞色異者一人，余悉遣出。
HCH_012_158_000184	明日訊之，留者盜，余非也。
HCH_012_158_000185	遷郎中，改吏部。
HCH_012_158_000186	宣德六年擢禮部侍郎。
HCH_012_158_000187	偕徐琦使安南，命黎利權國事。
HCH_012_158_000188	利遣人白相見禮，敞曰：「汝敬使者，所以尊朝廷，奚白為？」
HCH_012_158_000189	利聽命，趨拜下坐。
HCH_012_158_000190	啖以聲色，不為動。
HCH_012_158_000191	還致厚贐，不受，利以付貢使。
HCH_012_158_000192	及關，悉閱貢物，封其贐，付關吏。
HCH_012_158_000193	利死，子麟嗣，敞復奉詔往，卻贐如初。
HCH_012_158_000194	正統初，纂洪武以來條格，使諸司參酌，吏無能為奸。
HCH_012_158_000195	尚書胡濙寬大，敞佐以嚴肅。
HCH_012_158_000196	二年十二月卒。
HCH_012_158_000197	子瑾亦累官至禮部侍郎。
HCH_012_158_000198	徐琦，字良玉。
HCH_012_158_000199	先世錢塘人，其祖謫戍寧夏，遂家焉。
HCH_012_158_000200	幼力學，通經史。
HCH_012_158_000201	永樂十三年舉進士，授行人。
HCH_012_158_000202	歷兵部員外郎。
HCH_012_158_000203	明敏有斷，居官務持大體。
HCH_012_158_000204	宣德六年擢右通政。
HCH_012_158_000205	副敞使安南，亦不受饋。
HCH_012_158_000206	還拜南京兵部右侍郎。
HCH_012_158_000207	八年，帝以安南貢賦不如額，南征士卒未盡返，命琦復往。
HCH_012_158_000208	時黎利已死，其子麟疑未決。
HCH_012_158_000209	琦曉以禍福，麟懼，鑄代身金人，貢方物以謝。
HCH_012_158_000210	帝悅，命落琦戍籍，宴賚甚厚。
HCH_012_158_000211	正統初，與工部侍郎鄭辰考察南畿有司，黜不法者三十人。
HCH_012_158_000212	時災異屢見，琦陳弭災十事。
HCH_012_158_000213	悉嘉納。
HCH_012_158_000214	五年命參贊南京機務。
HCH_012_158_000215	十四年進尚書，參贊如故。
HCH_012_158_000216	有言往年分調南京軍，家屬悉宜北徙，朝議欲行之。
HCH_012_158_000217	琦奏：「安土重遷，人之情也。今驟徙數萬眾，人心一搖，事或叵測。」
HCH_012_158_000218	事得寢。
HCH_012_158_000219	軍衛無學校，琦請天下衛所視府州縣例皆立學。
HCH_012_158_000220	從之。
HCH_012_158_000221	景泰元年，靖遠伯王驥贊機務，琦專理部事。
HCH_012_158_000222	驥解任，琦仍參贊。
HCH_012_158_000223	四年三月卒，年六十八。
HCH_012_158_000224	謚貞襄。
HCH_012_158_000225	敞、琦皆以使安南不辱命著稱。
HCH_012_158_000226	安南多寶貨，後使者率從水道挾估客往以為利，交人頗輕之。
HCH_012_158_000227	弘治時，侍講劉戩往頒詔，由南寧乘傳抵其國，交人大驚。
HCH_012_158_000228	戩依舊制，受陪臣拜謁，不交一語，越宿即行，饋遺一無所受。
HCH_012_158_000229	使人要於途，固致之，卒麾去，與敞、琦皆為交人所重。
HCH_012_158_000230	戩，字景元，安福人。
HCH_012_158_000231	吳訥，字敏德，常熟人。
HCH_012_158_000232	父遵，任沅陵簿，坐事系京師。
HCH_012_158_000233	訥上書乞身代。
HCH_012_158_000234	事未白而父歿，訥感奮力學。
HCH_012_158_000235	永樂中，以醫薦至京。
HCH_012_158_000236	仁宗監國，聞其名，命教功臣子弟。
HCH_012_158_000237	成祖召對稱旨，俾日侍禁廷，備顧問。
HCH_012_158_000238	洪熙元年，侍講學士沈度薦訥經明行修，授監察御史。
HCH_012_158_000239	敬慎廉直，不務矯飾。
HCH_012_158_000240	宣德初，出按浙江，以振風紀植綱常為務。
HCH_012_158_000241	時軍犯逃者，往往令家人妄訴，逮系至千人。
HCH_012_158_000242	訥請嚴禁，即冤不得越告。
HCH_012_158_000243	從之。
HCH_012_158_000244	繼按貴州，恩威並行，蠻人畏服。
HCH_012_158_000245	將代還，部民詣闕乞留。
HCH_012_158_000246	不許。
HCH_012_158_000247	五年七月，進南京右僉都御史，尋進左副都御史。
HCH_012_158_000248	正統初，光祿丞董正等盜官物，訥發之，謫戍四十四人。
HCH_012_158_000249	右通政李畛者，奉使蘇、松，行事多不謹。
HCH_012_158_000250	訥微誡之，畛不悅，誣訥稽延詔書等事。
HCH_012_158_000251	訥疏辯。
HCH_012_158_000252	互為臺省所劾，俱逮下獄，既而釋之。
HCH_012_158_000253	英宗初禦經筵，錄所輯《小學集解》上之。
HCH_012_158_000254	四年三月，以老致仕，以朱與言代。
HCH_012_158_000255	訥博覽，議論有根柢。
HCH_012_158_000256	於性理之奧，多有發明，所著書皆可垂於後。
HCH_012_158_000257	歸家，布衣蔬食，環堵蕭然。
HCH_012_158_000258	周忱撫江南，欲新其居，不可。
HCH_012_158_000259	家居十六年而卒，年八十六。
HCH_012_158_000260	謚文恪，鄉人祀之言偃祠。
HCH_012_158_000261	朱與言，字一鶚，萬安人。
HCH_012_158_000262	永樂九年進士，授湖廣按察僉事。
HCH_012_158_000263	宣德中遷四川副使。
HCH_012_158_000264	合州盜起，督吏目熊鼎斬六十餘人，賊勢遂衰。
HCH_012_158_000265	事聞，擢鼎合州同知。
HCH_012_158_000266	雅州妖人為亂，與言執送京師，境內以寧。
HCH_012_158_000267	正統元年召為南京右副都御史，入代訥領院事。
HCH_012_158_000268	年老致仕，卒。
HCH_012_158_000269	與言剛方廉慎，為政務大體。
HCH_012_158_000270	數建白，多切時弊。
HCH_012_158_000271	家居門庭清肅，鄉人有不善，惟恐與言知之。
HCH_012_158_000272	魏驥，字仲房，蕭山人。
HCH_012_158_000273	永樂中，以進士副榜授松江訓導。
HCH_012_158_000274	常夜分攜茗粥勞諸生。
HCH_012_158_000275	諸生感奮，多成就者。
HCH_012_158_000276	召修《永樂大典》。
HCH_012_158_000277	書成，還任。
HCH_012_158_000278	用師逵薦，還太常博士。
HCH_012_158_000279	帝謂曰：「劉履節為御史九年，高皇帝方授是官，不輕予人也。」
HCH_012_158_000280	宣德初，遷吏部考功員外郎，歷南京太常寺少卿。
HCH_012_158_000281	正統三年，召試行在吏部左侍郎，逾年實授。
HCH_012_158_000282	屢命巡視畿甸遺蝗，問民疾苦。
HCH_012_158_000283	八年改禮部，尋以老請致仕。
HCH_012_158_000284	吏部尚書王直言驥未衰，如念其老，宜令去繁就簡。
HCH_012_158_000285	乃改南京吏部。
HCH_012_158_000286	復以老辭，不允。
HCH_012_158_000287	十四年進尚書。
HCH_012_158_000288	英宗北狩，驥率諸司條上時務，多施行。
HCH_012_158_000289	景泰元年，年七十七，致仕。
HCH_012_158_000290	驥居官務大體。
HCH_012_158_000291	在太常，山川壇獲雙白兔，圻內生瑞麥，皆卻不進。
HCH_012_158_000292	在吏部，有進士未終制，求考功。
HCH_012_158_000293	同官將許之，驥持不可。
HCH_012_158_000294	法司因旱恤刑，有王綱者，惡逆當辟，或憫其少，欲緩之。
HCH_012_158_000295	驥曰：「此婦人之仁，天道不時，正此故也。」
HCH_012_158_000296	獄決而雨。
HCH_012_158_000297	正統中，王振怙寵，淩公卿，獨嚴重驥，呼「先生」。
HCH_012_158_000298	景泰初，以請老至京師。
HCH_012_158_000299	大學士陳循，驥門生也，請間曰：「公雖位冢宰，然未嘗立朝。願少待，事在循輩。」
HCH_012_158_000300	驥正色曰：「君為輔臣，當為天下進賢才，不得私一座主。」
HCH_012_158_000301	退語人曰：「渠以朝廷事為一己事，安得善終。」
HCH_012_158_000302	竟致仕去。
HCH_012_158_000303	驥端厚祗慎。
HCH_012_158_000304	顧勁直，好別白君子、小人。
HCH_012_158_000305	恒曰：「無是非之心，非人也。」
HCH_012_158_000306	家居，憂國憂民，老而彌篤。
HCH_012_158_000307	蕭山故多水患，有宋時縣令楊時湖堤遺跡。
