HCH_012_089_000026	又有幼官舍人營，掌操練京衛幼官及應襲舍人，坐營官一，四司把總各一。
HCH_012_089_000027	此五軍營之部分也。
HCH_012_089_000028	已，得邊外降丁三千，立營分五司。
HCH_012_089_000029	一，掌執大駕龍旗、寶纛、勇字旗、負御寶及兵仗局什物上直官軍。
HCH_012_089_000030	一，掌執左右二十隊勇字旗、大駕旗纛金鼓上直官軍。
HCH_012_089_000031	一，掌傳令營旗牌，御用監盔甲、尚冠、尚衣、尚履什物上直官軍。
HCH_012_089_000032	一，掌執大駕勇字旗、五軍紅盔貼直軍上直官軍。
HCH_012_089_000033	一，掌殺虎手、馬轎及前哨馬營上直明甲官軍、隨侍營隨侍東宮官捨、遼東備御回還官軍。
HCH_012_089_000034	提督內臣二，武臣二，掌號頭官二，坐司官五，見操把總三十四，上直把總十六，明甲把總四。
HCH_012_089_000035	此三千營之部分也。
HCH_012_089_000036	已，徵交阯，得火器法，立營肄習。
HCH_012_089_000037	提督內臣、武臣，掌號頭官，皆視三千營，亦分為五軍。
HCH_012_089_000038	中軍，坐營內臣一，武臣一。
HCH_012_089_000039	其下四司，各監槍內臣一，把司官一，把總官二。
HCH_012_089_000040	左右掖、哨皆如之。
HCH_012_089_000041	又因得都督譚廣馬五千匹，置營名五千下，掌操演火器及隨駕護衛馬隊官軍。
HCH_012_089_000042	坐營內臣、武臣各一，其下四司，各把司官二。
HCH_012_089_000043	此神機營之部分也。
HCH_012_089_000044	居常，五軍肄營陣，三千肄巡哨，神機肄火器。
HCH_012_089_000045	大駕徵行，則大營居中，五軍分駐，步內騎外，騎外為神機，神機外為長圍，週二十裡，樵採其中。
HCH_012_089_000046	三大營之制如此。
HCH_012_089_000047	洪熙時，始命武臣一人總理營政。
HCH_012_089_000048	宣德五年，以成國公硃勇言，選京衛卒隸五軍訓練。
HCH_012_089_000049	明年，命科道及錦衣官核諸衛軍數。
HCH_012_089_000050	帝之徵高煦及破兀良哈，皆以京營取勝焉。
HCH_012_089_000051	正統二年，復因勇言，令錦衣等衛、守陵衛卒存其半，其上直旗校隸錦衣督操，餘悉歸三大營。
HCH_012_089_000052	土木之難，京軍沒幾盡。
HCH_012_089_000053	景帝用于謙為兵部尚書，謙以三大營各為教令，臨期調撥，兵將不相習，乃請於諸營選勝兵十萬，分十營團練。
HCH_012_089_000054	每營都督一，號頭官一，都指揮二，把總十，領隊一百，管隊二百。
HCH_012_089_000055	於三營都督中推一人充總兵官，監以內臣，兵部尚書或都御史一人為提督。
HCH_012_089_000056	其餘軍歸本營，曰老家。
HCH_012_089_000057	京軍之制一變。
HCH_012_089_000058	英宗復闢，謙死，團營罷。
HCH_012_089_000059	憲宗立，復之，增為十二。
HCH_012_089_000060	成化二年復罷。
HCH_012_089_000061	命分一等、次等訓練。
HCH_012_089_000062	尋選得一等軍十四萬有奇。
HCH_012_089_000063	帝以數多，令仍分十二營團練，而區其名，有奮、耀、練、顯四武營，取、果、效、鼓四勇營，立、伸、揚、振四威營。
HCH_012_089_000064	命侯十二人掌之，各佐以都指揮，監以內臣，提督以勳臣，名其軍曰選鋒。
HCH_012_089_000065	不任者仍為老家以供役，而團營之法又稍變。
HCH_012_089_000066	二十年，立殫忠、效義二營；練京衛舍人、餘丁。
HCH_012_089_000067	二營，永樂間設，後廢，至是復設。
HCH_012_089_000068	未幾，以無益罷。
