HCH_012_152_000099	尋改禮部，兼庶子，考察山西官吏，黜布政使侯復以下五十餘人。
HCH_012_152_000100	巡視河南、鳳陽水災，與王竑請振。
HCH_012_152_000101	又請令諸生輸粟入監讀書。
HCH_012_152_000102	納粟入監自此始。
HCH_012_152_000103	成化二年振畿內饑，再遷禮部尚書，加太子少保。
HCH_012_152_000104	被劾乞休，卒，謚康靖。
HCH_012_152_000105	徐善述，字好古，天臺人。
HCH_012_152_000106	洪武中，行歲貢法，善述首貢入太學。
HCH_012_152_000107	授桂陽州學正。
HCH_012_152_000108	永樂初，以國子博士擢春坊司直郎。
HCH_012_152_000109	見重於皇太子，每稱為「先生」，嘗致書賜酒及詩。
HCH_012_152_000110	遷左贊善，坐累死。
HCH_012_152_000111	與鄒濟同日贈太子少師，謚文肅。
HCH_012_152_000112	立祠，春秋祀亦如濟。
HCH_012_152_000113	王汝玉，名遂，以字行，長洲人。
HCH_012_152_000114	穎敏強記。
HCH_012_152_000115	少從楊維楨學。
HCH_012_152_000116	年十七，舉於鄉。
HCH_012_152_000117	永樂初，由應天府學訓導擢翰林五經博士，歷遷右春坊右贊善，預修《永樂大典》。
HCH_012_152_000118	仁宗在東宮，特被寵遇。
HCH_012_152_000119	群臣應制撰《神龜賦》，汝玉第一，解縉次之。
HCH_012_152_000120	七年坐修《禮書》紊制度，當戍邊。
HCH_012_152_000121	皇太子監國，宥之，以為翰林典籍。
HCH_012_152_000122	尋進左贊善，坐解縉累，瘐死。
HCH_012_152_000123	洪熙初，贈太子賓客，謚文靖，遣官祭其家。
HCH_012_152_000124	梁潛，字用之，泰和人。
HCH_012_152_000125	洪武末，舉鄉試。
HCH_012_152_000126	授四川蒼溪訓導。
HCH_012_152_000127	以薦除知四會縣，改陽江、陽春，皆以廉平稱。
HCH_012_152_000128	永樂元年召修《太祖實錄》。
HCH_012_152_000129	書成，擢修撰。
HCH_012_152_000130	尋兼右春坊右贊善，代鄭賜總裁《永樂大典》。
HCH_012_152_000131	帝幸北京，屢驛召赴行在。
HCH_012_152_000132	十五年復幸北京，太子監國。
HCH_012_152_000133	帝親擇侍從臣，翰林獨楊士奇，以潛副之。
HCH_012_152_000134	有陳千戶者，擅取民財，令旨謫交阯。
HCH_012_152_000135	數日後念其有軍功，貸還。
HCH_012_152_000136	或讒於帝曰：「上所謫罪人，皇太子曲宥之矣。」
HCH_012_152_000137	帝怒，誅陳千戶，事連潛及司諫周冕，逮至行在，親詰之。
HCH_012_152_000138	潛等具以實對。
HCH_012_152_000139	帝謂楊榮、呂震曰：「事豈得由潛！」
HCH_012_152_000140	然卒無人為白者，俱繫獄。
HCH_012_152_000141	或毀冕放恣，遂並潛誅。
HCH_012_152_000142	潛妻楊氏痛潛非命，不食死。
HCH_012_152_000143	子楘，由進士為刑部主事，善辨冤獄。
HCH_012_152_000144	用薦擢廣西副使，進布政使。
HCH_012_152_000145	將士多殺良民報功，楘諭其帥，生致難民一人，準功一級，全活無算。
HCH_012_152_000146	田州土官岑鑒兄弟相仇，楘為解之，卻其厚饋。
HCH_012_152_000147	撫服梗化女土官，民夷服其信義。
HCH_012_152_000148	終浙江布政使。
HCH_012_152_000149	周述，字崇述，吉水人。
HCH_012_152_000150	永樂二年與從弟孟簡並進士及第。
HCH_012_152_000151	帝手題二人策，獎賞之，並授翰林編修。
HCH_012_152_000152	尋詔解縉選曾棨等二十八人讀書文淵閣，述、孟簡皆與焉。
HCH_012_152_000153	司禮監給紙筆，光祿給朝暮饌，禮部月給膏燭鈔人三錠，工部擇近宅居之，一時以為榮。
HCH_012_152_000154	述嘗扈北巡，累進左春坊諭德。
HCH_012_152_000155	仁宗即位，命從皇太子謁陵南京。
HCH_012_152_000156	召至榻前，問所以匡弼儲君者，對稱旨。
HCH_012_152_000157	宣宗時，進左庶子。
HCH_012_152_000158	正統初，卒官。
HCH_012_152_000159	孟簡在翰林二十年，始遷詹事府丞，出為襄王府長史。
HCH_012_152_000160	有言宜留備顧問者，帝曰：「輔朕弟，尤勝於輔朕也。」
HCH_012_152_000161	述溫厚簡靜，未嘗有疾言遽色，文章雅贍。
HCH_012_152_000162	孟簡謙退不伐，生平無睚眥於人。
HCH_012_152_000163	並為世所重雲。
