HCH_013_069_000067	崇明走，伏起，獲其從騎數人。
HCH_013_069_000068	崇明跳身免，乃謀遠遁。
HCH_013_069_000069	燮元偵知，造水牌數百面，投錦江順流而下，令有司沈舟斬筏，斷橋樑，嚴兵以待。
HCH_013_069_000070	賊夜半果逸，乾象等內變，賊營四面火起。
HCH_013_069_000071	崇明父子拔營走，乾象等皆來歸。
HCH_013_069_000072	成都圍凡百有二日而解。
HCH_013_069_000073	賊渡瀘歸重慶。
HCH_013_069_000074	事聞，以燮元為巡撫。
HCH_013_069_000075	三月，羅乾象復江安。
HCH_013_069_000076	四月，官兵復新都。
HCH_013_069_000077	初，奢賊據新都，繕城積粟為守計，因克安岳，攻保寧，聲言直取潼關，人心震動，安緜副使劉芬謙、湖廣監軍楊述程合兵攻之。
HCH_013_069_000078	兵至牛頭鎮，賊以騎數千、步萬人來援。
HCH_013_069_000079	秦良玉、譚大孝等夾擊敗之，遂復新都。
HCH_013_069_000080	賊退入［藺］州，復遵義府。
HCH_013_069_000081	時有湄潭叛民王倫引賊焚掠。
HCH_013_069_000082	湄潭為川、貴險要。
HCH_013_069_000083	都司陳一龍追至水西境，降之。
HCH_013_069_000084	諸軍進駐遵義。
HCH_013_069_000085	時惟重慶尚為賊巢。
HCH_013_069_000086	五月，諸軍進逼［重］慶。
HCH_013_069_000087	初，奢崇明父子據瀘、汭，倚樊龍為聲援，龍盤踞重慶，已九閱月。
HCH_013_069_000088	重慶，古渝州地也，三面臨江，春水泛漲，一望瀰漫不可渡。
HCH_013_069_000089	其出入必經之要道，惟佛圖關至二郎關一路。
HCH_013_069_000090	賊自通遠門城濠至二郎關，連營十有七，宿精兵數萬。
HCH_013_069_000091	監軍副使丘志充、楊述程，總兵杜文煥帥兵進攻之，再戰，幾入其壘。
HCH_013_069_000092	翌日，文煥帥參將楊克順等直抵賊營，石砫宣撫官秦民屏率部兵繞出其後，賊驚敗，遂連復佛圖、二郎二關，殺賊三千餘人，積屍深溝，兩岸俱平，乘勝進逼重慶。
HCH_013_069_000093	二十七日，以計擒賊首樊龍、張彤、何若海等三十一人，遂克之。
HCH_013_069_000094	六月，川師復瀘州。
HCH_013_069_000095	七月，遵義復陷。
HCH_013_069_000096	貴州水西土目安邦彥叛。
HCH_013_069_000097	邦彥，安堯臣別枝也。
HCH_013_069_000098	安堯臣冒隴姓，并隴地，受撫，得襲兄疆臣世職。
HCH_013_069_000099	堯臣死，妻奢社輝、子安位幼，邦彥挾之反。
HCH_013_069_000100	時四十八馬頭與頭目安邦俊、魯連、安若山、陳其愚、陳萬典等，蠭起和之。
HCH_013_069_000101	都司楊明廷以三千人敗沒於畢節。
HCH_013_069_000102	參將尹啓易等自烏撒奔回霑益，炎方、松林皆不守，平夷衞亦為賊黨李賢所破。
HCH_013_069_000103	賊圍普安、安南。
HCH_013_069_000104	雲南都司李天常帥兵四千救之。
HCH_013_069_000105	賊將羅應奎偽降，誘至疊水鋪，伏發，全軍皆沒。
HCH_013_069_000106	於是交水、曲靖、武定、尋甸、嵩明之間，騷然苦兵矣。
HCH_013_069_000107	賊分遣王倫、石勝俸下甕安，襲偏、沅以斷我軍。
HCH_013_069_000108	倫等，楊應龍餘孼也。
HCH_013_069_000109	洪邊土司宋萬化糾苗仲九股，據龍里，邦彥自統蜀賊苗仲數萬，進圍貴州。
HCH_013_069_000110	自二月初九日薄城下，造雲梯，製滾廂，築墩臺，百計攻城。
HCH_013_069_000111	撫臣李澐、按臣史永安悉力禦之。
HCH_013_069_000112	賊沿山紮營，四面伏路把截，以斷城中出入，盡掘環城墳墓，殺掠甚慘。
HCH_013_069_000113	置木柵壘戶牆，鳥雀不能飛渡。
HCH_013_069_000114	鎮將張彥芳將兵二萬赴援，隔龍里不得進。
HCH_013_069_000115	貴州總兵楊愈懋、推官郭象儀與賊戰於江門白杵營，死之。
HCH_013_069_000116	安邦彥破烏撒衞，指揮管良相死之。
HCH_013_069_000117	先是，水西未叛，良相與李澐曰：「奢氏反，安必繼之。黔中無兵餉，猝然有變，計將安出？宜招兵萬人，積二年穀，用許成名將之，以觀其變。」
HCH_013_069_000118	澐以力不能，止。
HCH_013_069_000119	後良相以祖母病乞假去，泣而曰：「烏撒孤城，且與安效良相仇，水西有難，禍必首及。良相隻身無子，願以死報國。乞圖長策，保此一方。」
HCH_013_069_000120	澐亦泣。
HCH_013_069_000121	良相去，甫一月而難起。
HCH_013_069_000122	烏撒首被賊破，良相自縊死。
HCH_013_069_000123	巡撫都御史王三善進兵平越。
HCH_013_069_000124	時平越所陳兵止萬餘人，副總兵徐時逢、參將范仲仁不相能。
HCH_013_069_000125	仲仁先進，遇賊於甕城河，戰不利，時逢擁兵不救，遂大敗，諸將馬一龍、白自強等殲焉。
HCH_013_069_000126	各處聲援俱絕，貴陽圍益困。
HCH_013_069_000127	城東隅有山岡，與城齊，賊踞其上，作廂樓，官兵設計燒之，火三晝夜不絕。
HCH_013_069_000128	城中糧久乏，將士病不能戰。
HCH_013_069_000129	巡按史永安上疏詆王三善，大聲疾呼。
HCH_013_069_000130	十一月，三善大會將士議曰：「省城不能待矣！外援不至，吾輩死法、死敵，等死耳，尚何俟耶！」
HCH_013_069_000131	命道臣何天麟督兵七千從清水江進，為右部；道臣楊世賞督兵萬人，從都勻進，為左部；三善自將二萬，與道臣向日升從中路進，當賊鋒。
HCH_013_069_000132	十二月抵新添，銜枚疾走，二日，進母豬洞。
HCH_013_069_000133	三日，次新安。
HCH_013_069_000134	是夜，賊報至，營中驚擾，議退兵。
HCH_013_069_000135	三善曰：「退即虀粉，以死捍之！」
HCH_013_069_000136	按兵不動，卒無賊。
HCH_013_069_000137	四日，命劉超為前部，抵龍頭營。
HCH_013_069_000138	三善以身尾之，相去不二里，聞銃聲，眾股栗欲止。
HCH_013_069_000139	三善曰：「前驅當賊，必無退者，吾當為後勁。」
HCH_013_069_000140	遂策馬而前，未一里，劉超捷音至。
HCH_013_069_000141	超兵遇先卻，超下馬斬二人，持刀斷賊一標。
HCH_013_069_000142	賊首阿成驍勇善戰，超與部兵張良俊直前斬其首，賊遂披靡。
HCH_013_069_000143	適大兵至，大呼齊進，奪龍里。
HCH_013_069_000144	賊眾復大集，大戰卻之。
HCH_013_069_000145	五日，住龍里城，眾議去省會不遠，賊必重兵堵截，宜少休息。
HCH_013_069_000146	三善曰：「我兵猝至，賊無備，不能持久，急擊之勿失！」
HCH_013_069_000147	六日，遂策馬先進，眾隨之。
HCH_013_069_000148	賊覘者亦知新撫自將，意有數十萬兵至，相顧駭愕。
HCH_013_069_000149	安邦彥紿其眾曰：「吾當增兵來助！」
HCH_013_069_000150	遂遁去。
HCH_013_069_000151	賊相率退屯龍洞，我師奪高寨、七里衝，乘勝進兵畢節鋪。
HCH_013_069_000152	賊步騎如雲，孫元謨將所製木發貢七門齊發，賊死無算。
HCH_013_069_000153	楊明楷率烏羅兵，如牆而進，賊大敗。
HCH_013_069_000154	其渠安邦俊被銃死，棄輜重器械山積，遂乘勝抵會城。
HCH_013_069_000155	撫臣李澐、按臣史永安、學臣劉玄錫死守者幾十月，旦夕城且陷，忽見賊兵奔潰如蟻，喊聲雷震。
HCH_013_069_000156	俄頃，五騎衝鋒至城下，云：「新撫至矣！」
HCH_013_069_000157	軍民大悅，慶更生。
HCH_013_069_000158	是時，三善同將卒披氈單騎冒矢石，以二萬人破賊十萬，澐等迎入城。
HCH_013_069_000159	三善曰：「賊兵不遠，軍心未定，我大帥也，不可即安。」
HCH_013_069_000160	遂營於南門外坡上。
HCH_013_069_000161	大雪。
HCH_013_069_000162	次日，移營宅溪。
HCH_013_069_000163	賊聞，遠遁陸廣河外。
HCH_013_069_000164	三善遣使諭奢社輝母子縛安邦彥降，不報。
HCH_013_069_000165	越數日，左右兩部兵至，又十日而楚、粵、蜀之兵亦至。
HCH_013_069_000166	三善怒其後期，且憂乏食，欲謝遣之。
HCH_013_069_000167	將校皆曰：「數千里赴援，不可卻也。」
HCH_013_069_000168	三善念眾多，倉儲空虛，欲因糧於敵。
HCH_013_069_000169	又諸軍視賊過易，十二月三十日前鋒楊明楷率兵渡河，紮營三十里外。
HCH_013_069_000170	一軍屯陸廣向大方奢社輝，一屯鴨池向安邦彥巢穴。
HCH_013_069_000171	三年春正月，賊復糾藺賊與雲南安效良等，帥眾數萬，并力攻陸廣。
HCH_013_069_000172	楊明楷奮勇接戰，蒙兵先潰，眾遂亂，溺水死者數千。
HCH_013_069_000173	明楷陷賊中，賊乘勝赴鴨池，我兵退屯威清。
HCH_013_069_000174	三善收兵入城，土司苗仲見我軍不利，復肆劫掠，自龍里至甕城，屍橫四十餘里。
HCH_013_069_000175	夏四月，川師復遵義。
HCH_013_069_000176	時賊首尤朝柄、楊維新、鄭應顯據遵義，副將秦衍祚、侯良柱督兵二千攻之，誘戰於九接灘，以銃斃其渠採賽，復追敗賊於南城外羅鋼渡，遂克之。
HCH_013_069_000177	賊安鑾帥妻子部眾降。
HCH_013_069_000178	安鑾為奢寅右臂，監軍道趙邦清密遣賊黨了相、喻文富招之，鑾心動，顧以妾石氏、子安在嵩在符國禎營，未敢發。
HCH_013_069_000179	十四日，官兵抵羅付大河口，擊奢寅，敗之。
HCH_013_069_000180	鑾見寅敗，乃密約副總兵侯良柱助兵挾取妻子。
HCH_013_069_000181	良柱分遣羅安良進陶公灘以牽賊，自帥親兵七百人，同鑾部兵夜經三寨抵賊巢，銃礮震天。
HCH_013_069_000182	賊倉卒不知我兵多少，符國禎先走，鑾率妻子及部兵數千，自拔來歸。
HCH_013_069_000183	川師復永寧。
HCH_013_069_000184	先是，川撫朱燮元會眾議曰：「我之久不得志於賊者，我以分，賊以合也。」
HCH_013_069_000185	於是列營納溪，陽為進取，而陰令大兵會長寧。
HCH_013_069_000186	首攻麻唐坎、觀音庵、青山厓、天蓬洞等處，乘霧奪險而入，與石砫兵會，進攻永寧。
HCH_013_069_000187	遇賊於土地坎，奢寅親率兵搏戰，我兵奮勇擊敗之。
HCH_013_069_000188	追至老君營涼傘鋪，盡燒賊營。
HCH_013_069_000189	寅身被二槍，樊虎亦創死。
HCH_013_069_000190	復敗賊於橫山、八甲、青岡坪等處，直抵城下，一鼓拔之。
HCH_013_069_000191	生擒周邦泰等，降賊二萬，踰城溺水死者無算。
HCH_013_069_000192	奢崇明父子列營江岸上，官兵隔水而壘，降者日至，賊復遁。
HCH_013_069_000193	安邦彥知我兵潰，煽誘苗仲，糾合逆黨宋萬化等，復欲犯貴州，使其黨何中尉據龍里，李阿二督四十八莊兵圍青巖，斷我糧道。
HCH_013_069_000194	宋萬化督洪邊兵苗仲為左翼，吳楚漢結八姑蕩、平八莊苗仲為右翼，自統水西兵約共犯會城。
HCH_013_069_000195	王三善遣遊擊祁繼祖統盧吉兆、左世選兵下龍里，一鼓破蓮花堡，連燒上中下三牌賊寨百五十處。
HCH_013_069_000196	何中尉敗逃深箐，龍里路通。
HCH_013_069_000197	遣參將王建中、劉志敏、宋迪、屈朝先等救青巖，斬首三百餘級。
HCH_013_069_000198	王元佐等兵繼進，焚賊寨四十八莊。
HCH_013_069_000199	李阿二中神槍，逃歸水西，定番路通。
HCH_013_069_000200	諜報賊方糾八姑蕩、洪邊二路兵進犯會城。
HCH_013_069_000201	三善夜遣王建中、祁繼祖等兵一萬五千，進勦八姑蕩，焚莊寨二百餘處，斬首五百級。
HCH_013_069_000202	窮追渡河，溺死者無算。
HCH_013_069_000203	焚其積聚數萬，賊糧絕，謀遂寢。
HCH_013_069_000204	宋萬化遣人詐降，覘動靜。
HCH_013_069_000205	三善佯許之，而調監軍楊世賞督劉志敏、祁繼祖等捲甲赴之。
HCH_013_069_000206	賊倉皇出戰，遂被擒，并其妻子及偽軍師劉洪祖等。
HCH_013_069_000207	萬化驍勇善戰，邦彥倚之。
HCH_013_069_000208	至是奪氣，四路既通，秦民屏兵至平越，復還守龍里，諸苗叛者相繼降。
HCH_013_069_000209	三善給黃旗，使各豎寨中。
HCH_013_069_000210	邦彥望見之，不敢復出，但於鴨池、陸廣諸要路，掘坑塹，修補水西，屯兵為自守計。
HCH_013_069_000211	五月，川兵發永寧，進追奢崇明，連克紅崖、天台二寨，賊數千人迎降，遂安撫紅潦四十八砦。
HCH_013_069_000212	時總兵盧世卿禽偽御史汪澤遠、偽參謀文道南，副將秦翼明禽偽監軍夏奇雲、偽給事中孔聞過等，并偽印十餘，鎧仗如山。
HCH_013_069_000213	又獲安兵田進忠，云：「奢賊計窮，將美女黃金降水西借兵。」
HCH_013_069_000214	安邦彥遣兵十六七營，已過河到獅子山。
HCH_013_069_000215	目把曾仲英領兵六營，尚駐赤水河，謀分兵，一由鎮雄兵三營乘永寧之後；一由普安入新寨，攻永寧之前。
HCH_013_069_000216	十三日，羅乾象督兵破藺州，焚其九鳳樓，掃其巢，奢賊狼狽走。
HCH_013_069_000217	雲南六佐縣營長安應龍合霑益賊首補鮓為亂，圍羅平。
HCH_013_069_000218	巡撫閔洪學攻羅平克之，移兵覆其巢，俘其妻子。
HCH_013_069_000219	應龍逃普安，復入烏撒。
HCH_013_069_000220	已，安效良乞降，責其縛補鮓、應龍以誘之，效良縛應龍以獻。
HCH_013_069_000221	水西藺賊合兵窺遵、永。
HCH_013_069_000222	時藺賊奢崇明、奢寅戰屢敗，窮蹙投水西，安邦彥復助兵合謀，一窺遵義，一窺永寧。
HCH_013_069_000223	官兵合長、納兩路，敗之於芝麻塘，賊遁入青山。
HCH_013_069_000224	六月，貴州總兵魯欽等三路進兵，直入賊巢，擒土司何中尉等，進營紅崖。
