HCH_012_115_000145	是年秋，用張璁等言，尊為聖母章聖皇太后。
HCH_012_115_000146	五年，獻帝世廟成，奉太后入謁。
HCH_012_115_000147	七年，上尊號曰慈仁。
HCH_012_115_000148	九年，頒太后所制《女訓》於天下。
HCH_012_115_000149	十五年，奉太后謁天壽山陵，命諸臣進賀行殿。
HCH_012_115_000150	是年加上尊號曰康靜貞壽。
HCH_012_115_000151	十七年十二月崩，諭禮、工二部將改葬獻皇帝于大峪山，以駙馬都尉京山侯崔元為奉迎行禮使，兵部尚書張瓚為禮儀護行使，指揮趙俊為吉凶儀仗官，翊國公郭勳知聖母山陵事。
HCH_012_115_000152	已，帝親幸大峪相視，令議奉太后南詣合葬。
HCH_012_115_000153	而禮部尚書嚴嵩等言：「靈駕北來，慈宮南詣，共一舉耳。大峪可朝發夕至，顯陵遠在承天，恐陛下春秋念之。臣謂如初議便。」
HCH_012_115_000154	帝曰：「成祖豈不思皇祖耶，何以南孝陵？」
HCH_012_115_000155	因止崔元等毋行，而令趙俊往，且啟視幽宮。
HCH_012_115_000156	是年上尊諡曰慈孝貞順仁敬誠一安天誕聖獻皇后。
HCH_012_115_000157	明年，俊歸，謂顯陵不吉，遂議南巡。
HCH_012_115_000158	九卿大臣許贊等諫。
HCH_012_115_000159	不聽。
HCH_012_115_000160	左都御史王廷相又諫。
HCH_012_115_000161	帝曰：「朕豈空行哉，為吾母耳！」
HCH_012_115_000162	已而侍御呂柟、給事中曾烶、御史劉賢、郎中岳倫等復相繼疏諫。
HCH_012_115_000163	不聽。
HCH_012_115_000164	三月，帝至承天，謁顯陵，作新宮焉，曰：「待合葬也。」
HCH_012_115_000165	歸過慶都，御史謝少南言：「慶都有堯母墓，佚於祀典，請祀之。」
HCH_012_115_000166	帝曰：「帝堯父母異陵，可知合葬非古。」
HCH_012_115_000167	即拜少南左春坊左司直兼翰林院檢討，定議葬大峪山。
HCH_012_115_000168	四月，帝謁長陵，諭嚴嵩曰：「大峪不如純德。」
HCH_012_115_000169	仍命崔元護梓宮南祔。
HCH_012_115_000170	閏七月，合葬顯陵，主祔睿宗廟。
HCH_012_115_000171	贊曰：興宗、睿宗雖未嘗身為天子，而尊號徽稱典禮具備，其實有不容泯者。
HCH_012_115_000172	史者所以記事也，記事必核其名與實。
HCH_012_115_000173	曰宗曰帝者，當時已定之名，名定而實著焉矣。
HCH_012_115_000174	爰據《元史》裕宗、睿宗列傳之例，別為一卷如右，而各以后附焉。
