HCH_010_009_000082	辛巳，將南伐，祭旗鼓。
HCH_010_009_000083	癸未，次南京。
HCH_010_009_000084	丁亥，獲敵人，射鬼箭。
HCH_010_009_000085	庚寅，次固安，以青牛白馬祭天地。
HCH_010_009_000086	己亥，圍瓦橋關。
HCH_010_009_000087	十一月庚子朔，宋兵夜襲營，突呂不部節度使蕭幹及四捷軍詳穩耶律痕德戰卻之。
HCH_010_009_000088	壬寅，休哥敗宋兵於瓦橋東，守將張師引兵出戰，休哥奮擊，敗之。
HCH_010_009_000089	戊申，宋兵陣於水南，休哥涉水擊破之，追至莫州，殺傷甚眾。
HCH_010_009_000090	己酉，宋兵復來，擊之殆盡。
HCH_010_009_000091	丙辰，班師。
HCH_010_009_000092	乙丑，還次南京。
HCH_010_009_000093	十二月庚午朔，休哥拜於越。
HCH_010_009_000094	大饗軍士。
HCH_010_009_000095	三年春二月丙子，東幸。
HCH_010_009_000096	己丑，復幸南京。
HCH_010_009_000097	三月乙卯，皇子韓八卒。
HCH_010_009_000098	辛酉，葬潢、土二河之間，置永州。
HCH_010_009_000099	以秦王韓匡嗣為西南面招討使。
HCH_010_009_000100	夏五月丙午，上京漢軍亂，劫立喜隱不克，偽立其子留禮壽，上京留守除室擒之。
HCH_010_009_000101	秋七月甲子，留禮壽伏誅。
HCH_010_009_000102	冬十月，如蒲瑰坡。
HCH_010_009_000103	十一月辛亥，加除室同政事門下平章事。
HCH_010_009_000104	是月，以南院樞密使郭襲為武定軍節度使。
HCH_010_009_000105	十二月，以遼興軍節度使韓德讓為南院樞密使。
HCH_010_009_000106	四年春正月己亥，如華林、天柱。
HCH_010_009_000107	三月乙未，清明，與諸王大臣較射，宴飲。
HCH_010_009_000108	夏四月，自將南伐。
HCH_010_009_000109	至滿城，戰不利，守太尉奚瓦里中流矢死。
HCH_010_009_000110	統軍使善補為伏兵所圍，樞密使斜軫救免，詔以失備杖之。
HCH_010_009_000111	五月，班師。
HCH_010_009_000112	清暑燕子城。
HCH_010_009_000113	秋七月壬辰，遣使賜喜隱死。
HCH_010_009_000114	八月，如西京。
HCH_010_009_000115	九月庚子，幸雲州。
HCH_010_009_000116	甲辰，獵於祥古山，帝不豫。
HCH_010_009_000117	壬子，次焦山，崩於行在。
HCH_010_009_000118	年三十五，在位十三年。
HCH_010_009_000119	遺詔梁王隆緒嗣位，軍國大事聽皇后命。
HCH_010_009_000120	統和元年正月壬戌，上尊謚孝成皇帝，廟號景宗。
HCH_010_009_000121	重熙二十一年，加謚孝成康靖皇帝。
HCH_010_009_000122	贊曰：遼興六十餘年，神冊、會同之間，日不暇給；天祿、應歷之君，不令其終；保寧而來，人人望治。
HCH_010_009_000123	以景宗之資，任人不疑，信賞必罰，若可與有為也。
HCH_010_009_000124	而竭國之力以助河東，破軍殺將，無救滅亡。
HCH_010_009_000125	雖一取償於宋，得不償失。
HCH_010_009_000126	知匡嗣之罪，數而不罰；善郭襲之諫，納而不用；沙門昭敏以左道亂德，寵以侍中。
HCH_010_009_000127	不亦惑乎！
HCH_010_009_000128	本元朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
