HCH_013_072_000082	十一月，河南府推官湯開遠言：「皇上急於求治，諸臣救過不給。臨御以來，明罰勅法，自小臣以至大臣，與衆推舉，或自簡拔，亡論爲故爲誤，俱褫奪配戍不少貸，甚者下獄考訊，幾於亂國用重典矣。皇上或以薦舉不當，疑其黨徇。四岳不薦鯀乎？績用弗成，初未併四岳殛之也。皇上又以執奏不移，疑其藐抗。漢帝不從廷尉之請乎？亦以張釋之曰法如是止耳，不聞責其逆命也。皇上以策勵望諸臣，於是多戴罪。夫不開以立功之路，而僅戴罪，戴罪無已時矣。皇上以詳愼望諸臣，於是有認罪。夫不晰其認罪之心，而槩以免究，認罪亦成故套矣。侵糧欺餉之墨吏，逮之宜也；恐夷、由之侶，不皆韓、范，宜稍寬之，不以清吏詘能臣。今諸臣怵於參罰之嚴，一切加派，帶征餘征，行無民矣。民窮則易與爲亂。皇上寬一分在臣子，卽寬一分在民生，如此則諸臣可幸無罪。而尤望皇上宮府之際，推諸臣以心，進退之間，與諸臣以禮；錦衣禁獄，非有寇賊奸宄不可入；而謂大小臣工不圖報爲安攘者，未之有也。」
HCH_013_072_000083	十二月，進禮部侍郎周延儒爲禮部尚書、東閣大學士。
HCH_013_072_000084	三年春正月甲申，召戶、兵、工各科於會極門，令註銷案牘，各委給事中一人清理六曹，勒期奏報。
HCH_013_072_000085	前尚寶司卿原抱奇劾大學士韓爌致寇，爌致仕歸。
HCH_013_072_000086	復故大學士張居正蔭，賜故都督戚繼光表忠祠。
HCH_013_072_000087	六月，進禮部尚書溫體仁東閣大學士。
HCH_013_072_000088	四年春正月，刑科給事中吳執御言：「理財加派，不得已而用之，未有年餘不罷者。捐助搜括，二者猶難爲訓。」
HCH_013_072_000089	上曰：「加派原不累貧，捐助聽之好義，惟搜括滋奸，若得良有司奉行，亦豈至病民乎！」
HCH_013_072_000090	不聽。
HCH_013_072_000091	上召廷臣及各省監司於平臺，問浙江按察副使周汝弼浙、閩相連，海寇備禦之策。
HCH_013_072_000092	對曰：「去秋寇犯海上，五日卽去。」
HCH_013_072_000093	問江西布政使何應瑞：「爾省宗祿，何以不報？」
HCH_013_072_000094	應瑞曰：「江西山多田少，瘠而且貧，撫按查覈，有司尚未報耳。」
HCH_013_072_000095	問湖廣右布政使杜詩：「爾楚去夏，民變樹幟何也？」
HCH_013_072_000096	詩曰：「樹幟之後，地方仍安。」
HCH_013_072_000097	問福建布政吳暘、陸之祺：「海寇備禦若何？」
HCH_013_072_000098	暘曰：「海寇與陸寇不同，故權撫之。但官軍狃撫爲安，賊又因撫益恣，故數年未息耳。」
HCH_013_072_000099	上問實計安在？
HCH_013_072_000100	祺曰：「海上官兵，肯出死力。有司練鄕兵，築城，要地多設火器，以戰爲守，此上策也。」
HCH_013_072_000101	問河南布政楊公翰、賈鴻洙以收稅耗重，宜斥有司。
HCH_013_072_000102	鴻洙曰：「近奉上命，已革去矣。」
HCH_013_072_000103	問廣東布政陳應元、焦元溥曰：「爾省所負宣、大兵餉數十萬，何也？」
HCH_013_072_000104	應元曰：「近已解納。」
HCH_013_072_000105	問其數，曰：「七千兩。」
HCH_013_072_000106	上少之，曰：「宣、大重鎭，急需，其毋玩！」
HCH_013_072_000107	問山西按察使杜喬林：「流氛若何？」
HCH_013_072_000108	對曰：「寇在平陽，或在河曲，須大創之，但兵寡餉乏耳。」
HCH_013_072_000109	上曰：「前言寇平，何尚阻也？」
HCH_013_072_000110	曰：「山、陝界河，倏去倏來，故河曲被困。」
HCH_013_072_000111	問河曲之陷。
HCH_013_072_000112	曰：「賊未嘗攻，失於內應。」
HCH_013_072_000113	問：「導賊何人乎？」
HCH_013_072_000114	喬林曰：「大抵出於飢民。」
HCH_013_072_000115	問陝西參政劉嘉遇。
HCH_013_072_000116	對曰：「寇見官兵卽散，退復嘯聚。」
HCH_013_072_000117	上曰：「寇亦我赤子也，可撫撫之。」
HCH_013_072_000118	曰：「今方用撫。」
HCH_013_072_000119	上曰：「前王子順旣降，何又殺之？」
HCH_013_072_000120	曰：「彼撫仍掠，宜其戮也。」
HCH_013_072_000121	問：「近寇何如？」
HCH_013_072_000122	對曰：「一在延安，一在雲巖、宜川。」
HCH_013_072_000123	問廣東布政使陸問禮、按察使孫朝肅。
HCH_013_072_000124	時問禮已除南贛巡撫。
HCH_013_072_000125	上曰：「南贛多盜若何？」
HCH_013_072_000126	對曰：「南贛在萬山中，接壤四省，當行保甲，練兵伍，庶足弭賊。」
HCH_013_072_000127	上曰：「此須實效，空言何爲？」
HCH_013_072_000128	問：「海寇若何？」
HCH_013_072_000129	曰：「廣東海寇，俱至自福建。舟大而多火器，兵船難近，但守海門，勿令登陸，則不爲害。」
HCH_013_072_000130	問廣西布政鄭茂華、李守俊：「靖江王府爭繼，何也？」
HCH_013_072_000131	對曰：「憲定王二子履祥、履祐，履祥早沒，王請立履祐爲世子，而履祥有未奏選之妾生子，今已長矣，是以爭。」
HCH_013_072_000132	問四川布政華敦復：「鄕紳挾御史，何也？」
HCH_013_072_000133	以逋賦對。
HCH_013_072_000134	上曰：「守臣何不彈壓？」
HCH_013_072_000135	對曰：「遠方有司多科貢，故不能耳！」
HCH_013_072_000136	時雲南布政婁九德被劾，問貴州布政朱芹以安位事。
HCH_013_072_000137	對曰：「督撫臣責安位以四事：一擒奢崇明，一獻樊虎、奢寅、妻馬人、子阿甫，一送賊巡撫王三善人，一責削地，故議未決。」
HCH_013_072_000138	對畢，召各官諭之：「正己率屬，愛養百姓。用命有顯擢，不則罰隨之。」
HCH_013_072_000139	各退謝。
HCH_013_072_000140	召左都御史閔洪學，左副僉都御史張捷、高洪圖，諭洪學曰：「巡按賢則守臣皆賢，若巡按不肖，其誤非小。屢飭回道嚴核，何近日不稱職之多也？」
HCH_013_072_000141	又曰：「卿與吏部實心任事，天下不難爲。」
HCH_013_072_000142	乃退。
HCH_013_072_000143	四月，上念旱，釋前工部尚書張鳳翔、左副都御史易應昌、御史李長春、給事中杜齊芳、都督李如楨於獄。
