HCH_009_026_000115	有黃河、甯鄉水。
HCH_009_026_000116	鎮二吳保、天澤。
HCH_009_026_000117	溫泉貞祐四年五月改隸汾州。
HCH_009_026_000118	有遠望山、溫泉。
HCH_009_026_000119	臨泉宋隸晉寧軍。
HCH_009_026_000120	有黃河、臨泉水。
HCH_009_026_000121	鎮一克胡。
HCH_009_026_000122	甯鄉舊名平夷，明昌六年更。
HCH_009_026_000123	葭州，下，刺史。
HCH_009_026_000124	本晉寧軍，貞元元年隸汾州，大定二十二年升為晉寧州，二十四年更今名。
HCH_009_026_000125	在黃河西，興定二年五月以河東殘破，改隸延安府。
HCH_009_026_000126	戶八千八百六十四。
HCH_009_026_000127	寨八、堡九：神泉寨、永祚堡、烏龍寨、康定堡、寧河寨、寧河堡、太和寨、神木寨、通津堡、彌川寨、護川堡、強川堡、清川堡、通秦寨、通秦堡、晉安堡、吳堡寨。
HCH_009_026_000128	已上皆在黃河西，臨西夏界。
HCH_009_026_000129	代州，中。
HCH_009_026_000130	宋雁門郡防禦，天會六年置震武軍節度使。
HCH_009_026_000131	貞祐二年四月僑置西經略司，八月罷。
HCH_009_026_000132	戶五萬七千六百九十。
HCH_009_026_000133	縣五、鎮十三：雁門倚。
HCH_009_026_000134	有夏屋山、雁門山、滹沱水。
HCH_009_026_000135	鎮三雁門、西陘、胡穀。
HCH_009_026_000136	崞倚。
HCH_009_026_000137	有崞山、石鼓山、滹沱河、沙河。
HCH_009_026_000138	鎮一樓板。
HCH_009_026_000139	五台貞祐四年三月升為台州。
HCH_009_026_000140	有五臺山、蠙慮水。
HCH_009_026_000141	鎮二興善、石觜。
HCH_009_026_000142	廣武貞祐三年七月來屬。
HCH_009_026_000143	繁畤貞祐三年九月升為堅州。
HCH_009_026_000144	鎮七茹越、大石、義興、麻穀、瓶形、梅乃、寶興。
HCH_009_026_000145	庾州，下。
HCH_009_026_000146	中宋舊火山軍，大定二十二年升為火山州，後更今名。
HCH_009_026_000147	興定二年九月改隸嵐州，四年以殘破徙治于黃河灘許父寨。
HCH_009_026_000148	戶七千五百九十二。
HCH_009_026_000149	縣一、鎮一：河曲貞元元年置。
HCH_009_026_000150	有火山、黃河。
HCH_009_026_000151	鎮一鄴鎮。
HCH_009_026_000152	寧化州，下，刺史。
HCH_009_026_000153	本寧化軍，大定二十二年升為州。
HCH_009_026_000154	戶六千一百。
HCH_009_026_000155	縣一、鎮一甯化鎮一窟穀。
HCH_009_026_000156	嵐州，下，宋舊樓煩郡軍事，天會六年置鎮西節度使。
HCH_009_026_000157	戶一萬七千五百五十七。
HCH_009_026_000158	縣三、鎮四：宜芳鎮一飛鳶。
HCH_009_026_000159	合河鎮三合河津、乳浪、鹽院渡。
HCH_009_026_000160	岢嵐州，下，刺史。
HCH_009_026_000161	本宋岢嵐軍，大定二十二年為州，貞祐三年九月升為防禦，四年正月升為節鎮，五月複防禦。
HCH_009_026_000162	戶五千八百五十一。
HCH_009_026_000163	縣一、堡一：嵐穀有岢嵐山、雪山、岢嵐水。
HCH_009_026_000164	堡一寒光。
HCH_009_026_000165	保德州，下，刺史。
HCH_009_026_000166	本宋保德軍，大定二十二年升為州，元光元年六月升為防禦。
HCH_009_026_000167	戶三千一百九十一。
HCH_009_026_000168	縣一：保德大定十一年置。
HCH_009_026_000169	有大堡津、沙穀津。
HCH_009_026_000170	管州，下，刺史。
HCH_009_026_000171	本宋憲州靜樂郡，天德三年更。
HCH_009_026_000172	興定三年升為防禦。
HCH_009_026_000173	戶五千八百八十一。
HCH_009_026_000174	縣一：河東南路，府二，領節鎮三，防禦一，刺郡六，縣六十八，鎮二十九，關六。
HCH_009_026_000175	平陽府，上。
HCH_009_026_000176	宋平陽郡建雄軍節度。
HCH_009_026_000177	本晉州，初為次府，置建雄軍節度使。
HCH_009_026_000178	天會六年升總管府。
HCH_009_026_000179	置轉運司。
HCH_009_026_000180	興定二年十二月以殘破降為散府。
HCH_009_026_000181	有書籍。
HCH_009_026_000182	產解鹽、隰州綠、卷子布、龍門椒、紫團參、甘草、蒼術。
HCH_009_026_000183	戶一十三萬六千九百三十六。
HCH_009_026_000184	縣十、鎮一：臨汾天會六年定臨汾為次赤，餘並次畿，置丞、簿、尉各一。
HCH_009_026_000185	有姑射山、平水、壺口山、汾水。
HCH_009_026_000186	襄陵倚。
HCH_009_026_000187	有浮山、汾水、橘水。
HCH_009_026_000188	鎮一故關。
HCH_009_026_000189	洪洞有霍山、汾水。
HCH_009_026_000190	趙城有姑射山、汾水、霍水。
HCH_009_026_000191	霍邑貞祐三年七月升為霍州，以趙城、汾西、靈石隸焉。
HCH_009_026_000192	興定元年七月升為節鎮，軍曰鎮定。
HCH_009_026_000193	有霍山、汾水、彘水。
HCH_009_026_000194	汾西有汾西山、汾水。
HCH_009_026_000195	岳陽有烏嶺山、通軍水。
HCH_009_026_000196	浮山舊名神山，大定七年更為浮山，興定四年更名曰忠孝。
HCH_009_026_000197	隰州，上，刺史。
HCH_009_026_000198	宋大寧郡。
HCH_009_026_000199	團練。
HCH_009_026_000200	舊大寧郡軍刺史，天會六年改為南隰州，以與北京隰州重也，天德三年去「南」字。
HCH_009_026_000201	戶二萬五千四百四十五。
HCH_009_026_000202	縣六、關四：隰川倚。
HCH_009_026_000203	有石馬山、石樓山。
HCH_009_026_000204	仵城興定五年正月升為隰川之午城鎮置。
HCH_009_026_000205	蒲興定五年正月升為蒲州，以大寧隸焉。
HCH_009_026_000206	有孤石山、橫木嶺。
HCH_009_026_000207	大寧有孔山、黃河、日斤水。
HCH_009_026_000208	關一馬門關。
HCH_009_026_000209	永和有樓山、黃河、仙芝水。
HCH_009_026_000210	關一永和關。
HCH_009_026_000211	石樓有石樓山、黃河、龍泉。
HCH_009_026_000212	關二永甯、上平關。
HCH_009_026_000213	吉州，下，刺史。
HCH_009_026_000214	宋置團練。
HCH_009_026_000215	舊名慈州，天德三年改為耿州，置文成郡軍，明昌元年更名吉。
HCH_009_026_000216	戶一萬三千三百二十四。
HCH_009_026_000217	縣二：吉鄉有壺口山、孟門山、黃河、蒲水。
HCH_009_026_000218	河中府，散，上。
HCH_009_026_000219	宋河東郡。
HCH_009_026_000220	舊置護國軍節度使，天會六年降為蒲州，置防禦使。
HCH_009_026_000221	天德元年升為河中府，仍舊護國軍節度使。
HCH_009_026_000222	大定五年置陝西元帥府。
HCH_009_026_000223	戶十萬六千五百三十九。
HCH_009_026_000224	縣七、鎮四：河東倚。
HCH_009_026_000225	有中條山、五老山、黃河、媯水、汭水。
HCH_009_026_000226	鎮二永樂、合河。
HCH_009_026_000227	滎河貞祐三年升為滎州，以河津、萬泉隸焉。
HCH_009_026_000228	有黃河、汾水。
HCH_009_026_000229	睢丘。
HCH_009_026_000230	鎮一北郎。
HCH_009_026_000231	虞鄉有雷首山、中條山、壇道山。
HCH_009_026_000232	萬泉鎮一胡壁。
HCH_009_026_000233	臨晉有三疑山、黃河。
HCH_009_026_000234	猗氏有涑水。
HCH_009_026_000235	絳州，上。
HCH_009_026_000236	宋置絳郡防禦。
HCH_009_026_000237	天會六年絳陽軍節度使。
HCH_009_026_000238	興定二年十二月升為晉安府，總管河東南路兵馬，三年三月置河東南路轉運司。
HCH_009_026_000239	戶一十三萬一千五百一十。
HCH_009_026_000240	縣七、鎮五、關一：正平倚。
HCH_009_026_000241	劇。
HCH_009_026_000242	有定境山、汾水、澮水、鼓水。
HCH_009_026_000243	鎮一澤掌。
HCH_009_026_000244	曲沃劇。
HCH_009_026_000245	有絳山、絳水、汾水、澮水。
HCH_009_026_000246	鎮二柴村、九王。
HCH_009_026_000247	稷山有稷山、汾水。
HCH_009_026_000248	翼城興定四年七月升為翼州，以垣曲、絳縣隸焉。
HCH_009_026_000249	元光二年升為節鎮，軍曰翼安。
HCH_009_026_000250	有澮高山、清野山、烏嶺山。
HCH_009_026_000251	太平有汾水。
HCH_009_026_000252	垣曲有王屋山、清廉山、黃河、清山。
HCH_009_026_000253	鎮一皋落。
HCH_009_026_000254	關一行台。
HCH_009_026_000255	絳有太陰山、教山、絳水。
HCH_009_026_000256	鎮一繪交。
HCH_009_026_000257	平水興定四年七月徙置汾河之西，從平陽公胡天作之請也。
HCH_009_026_000258	解州，上，刺史。
HCH_009_026_000259	宋慶成軍防禦，國初置解梁郡軍，後廢為刺郡。
HCH_009_026_000260	貞祐三年複升為節鎮，軍名寶昌。
HCH_009_026_000261	興定四年徙治平陸縣。
HCH_009_026_000262	戶七萬一千二百三十二。
HCH_009_026_000263	縣六、鎮四：解倚。
HCH_009_026_000264	有壇道山、鹽池。
HCH_009_026_000265	平陸有吳山、黃河。
HCH_009_026_000266	鎮一張店。
HCH_009_026_000267	芮城宋隸陝州。
HCH_009_026_000268	有中條山、黃河、龍泉。
HCH_009_026_000269	夏有巫鹹山、中條山、淡水。
HCH_009_026_000270	鎮一曹張。
HCH_009_026_000271	安邑有中條山、稷山、鹽池、涑水。
HCH_009_026_000272	聞喜有九龍山、湯山、涑水。
HCH_009_026_000273	鎮二東鎮、劉莊。
HCH_009_026_000274	澤州，上，刺史。
HCH_009_026_000275	宋高平郡。
HCH_009_026_000276	天會六年以北京澤州同，加「南」字。
HCH_009_026_000277	天德三年複去「南」字。
HCH_009_026_000278	貞祐四年隸潞州昭義軍，後又改隸孟州。
HCH_009_026_000279	元光二年升為節鎮，軍曰忠昌。
HCH_009_026_000280	戶五萬九升四百一十六。
HCH_009_026_000281	縣六、鎮二：晉城倚。
HCH_009_026_000282	有太行山、丹水、白水、天井關。
HCH_009_026_000283	鎮二周村、巴公。
HCH_009_026_000284	舊又置星軺鎮。
HCH_009_026_000285	端氏有石門山、巨峻山。
HCH_009_026_000286	陵川有太行山、九仙山。
HCH_009_026_000287	陽城元光二年十一月升為績州。
HCH_009_026_000288	有王屋山、濩澤。
HCH_009_026_000289	高平有頭顱山、米山、丹水。
HCH_009_026_000290	沁水有鹿臺山、沁水、馬邑山。
HCH_009_026_000291	潞州，上。
HCH_009_026_000292	宋隆德府上黨郡昭德軍節度使。
HCH_009_026_000293	天會六年，節度使兼潞南沁觀察處置使。
HCH_009_026_000294	戶七九千二百三十二。
HCH_009_026_000295	縣八、鎮四：上黨倚。
HCH_009_026_000296	鎮一八義。
HCH_009_026_000297	壺關有抱犢山、紫團山、赤壤山。
HCH_009_026_000298	屯留有盤秀山、絳水。
HCH_009_026_000299	鎮一寺底。
HCH_009_026_000300	長子有羊頭山、發鳩山、堯水鎮一橫水。
HCH_009_026_000301	潞城有三垂山、伏牛山、潞水、漳水。
HCH_009_026_000302	襄垣有鹿臺山、涅水、漳水。
HCH_009_026_000303	鎮一裭亭。
HCH_009_026_000304	黎城有白岩山、故壺口關。
HCH_009_026_000305	涉貞祐三年七月升為崇州，以黎城縣隸焉。
HCH_009_026_000306	四年八月以殘破複為縣。
HCH_009_026_000307	興定五年九月複升為州。
HCH_009_026_000308	有崇山、涉水。
HCH_009_026_000309	遼州，中，刺史。
HCH_009_026_000310	宋本樂平郡刺史，天會六年以與東京遼州同，加「南」字，天德三年複去「南」字。
HCH_009_026_000311	戶一萬五千八百五十。
HCH_009_026_000312	縣四、鎮一、關一：遼山倚。
HCH_009_026_000313	有箕山、青谷水。
HCH_009_026_000314	鎮一平城、舊縣也、貞元間廢為鎮，屬遼山縣，及廢舊芹泉鎮。
HCH_009_026_000315	關一黃澤。
HCH_009_026_000316	榆社有武鄉水、石勒漚麻池。
HCH_009_026_000317	和順有九原山。
HCH_009_026_000318	儀城舊為平城縣，貞元二年廢入遼山為鎮，貞祐四年複升為縣，更今名。
HCH_009_026_000319	沁州，中，刺史錦山郡。
HCH_009_026_000320	宋威勝軍，天會六年升為州。
HCH_009_026_000321	元光二年升為節鎮，軍曰義勝。
HCH_009_026_000322	戶一萬八千五十九。
HCH_009_026_000323	縣四、鎮一：銅鞮倚。
HCH_009_026_000324	有銅鞮山、石梯山、洹水、交水。
HCH_009_026_000325	武鄉有胡甲山、武鄉水。
HCH_009_026_000326	鎮一南關。
HCH_009_026_000327	沁原元光二年十一月升為穀州。
HCH_009_026_000328	有霍山、沁水。
HCH_009_026_000329	綿上有羊頭山、沁水。
HCH_009_026_000330	懷州，上，宋河內郡防禦，天會六年以與臨潢府懷州同、加「南」字，仍舊置沁南軍節度使，天德三年去「南」字。
HCH_009_026_000331	皇統三年閏四月置黃沁河堤都大管勾司。
HCH_009_026_000332	大定五年置行元帥府。
HCH_009_026_000333	興定五年置招撫司。
HCH_009_026_000334	戶八萬六千七百五十六。
HCH_009_026_000335	縣四、鎮六：河內倚。
HCH_009_026_000336	有太行陘、太行山、黃河、沁水、浿水。
HCH_009_026_000337	鎮四武德、柏鄉、萬善、清化。
HCH_009_026_000338	修武有濁鹿城。
HCH_009_026_000339	鎮一承恩。
HCH_009_026_000340	山陽興定四年以修武縣重泉村為山陽縣，隸輝州。
HCH_009_026_000341	武陟有太行山、天門山、黃河、沁水。
HCH_009_026_000342	鎮一宋郭。
HCH_009_026_000343	孟州，上。
HCH_009_026_000344	宋濟源郡節度，天會六年降河陽府為孟州，置防禦，守盟津。
HCH_009_026_000345	宣宗朝置經略司。
HCH_009_026_000346	戶四萬一千六百四十九。
HCH_009_026_000347	縣四、鎮二：河陽倚。
HCH_009_026_000348	有嶺山、黃河、湛水、同水。
HCH_009_026_000349	鎮二谷羅、沇河。
HCH_009_026_000350	王屋有王屋山、天壇山、析城山、黃河。
HCH_009_026_000351	濟源有太行山、孔山、濟水、澳水、沁水。
HCH_009_026_000352	溫有黃河、湋水。
HCH_009_026_000353	京兆府路，宋為永興軍路。
HCH_009_026_000354	皇統二年省並陝西六路為四，曰京兆，曰慶原，曰熙秦，曰鄜延。
HCH_009_026_000355	府一，領節鎮一，防禦一，刺郡四，縣三十六、鎮三十七。
HCH_009_026_000356	京兆府，上。
HCH_009_026_000357	宋京兆郡永興軍節度使。
HCH_009_026_000358	皇統二年置總管府，天德二置陝西路統軍司、陝西東路轉運司。
HCH_009_026_000359	產白芷、麻黃、白蒺藜、茴香、細辛。
HCH_009_026_000360	戶九萬八千一百七十七。
HCH_009_026_000361	縣十二、鎮十：舊又有中橋、臨涇二鎮，後廢。
HCH_009_026_000362	長安倚。
HCH_009_026_000363	有終南山、龍首山、灃水、渭水、鎬水。
HCH_009_026_000364	鎮一子午。
HCH_009_026_000365	咸寧倚。
HCH_009_026_000366	本萬年，後更名。
HCH_009_026_000367	泰和四年廢，尋複。
HCH_009_026_000368	鎮二鳴犢、乾祐。
HCH_009_026_000369	興平有渭水、醴泉。
HCH_009_026_000370	臨潼有驪山、渭水、戲水。
HCH_009_026_000371	鎮一零口。
HCH_009_026_000372	藍田有藍田山、匱山、灞水。
HCH_009_026_000373	雲陽鎮一孟店。
HCH_009_026_000374	高陵有涇水、渭水、白渠鎮二毗沙、渭城。
HCH_009_026_000375	終南宋清平軍。
HCH_009_026_000376	鎮一甘河。
HCH_009_026_000377	櫟陽有渭水、沮河、清泉陂。
HCH_009_026_000378	鎮一粟邑。
HCH_009_026_000379	鄠有終南山、牛首山、渼陂、渭水。
HCH_009_026_000380	鎮一秦渡。
HCH_009_026_000381	商州，下，刺史。
HCH_009_026_000382	宋上洛郡軍事。
HCH_009_026_000383	貞祐四年升為防禦，尋隸陝州，興定二年正月複來屬，元光二年五月改隸河南路。
HCH_009_026_000384	戶三千九百九十九。
HCH_009_026_000385	縣二、鎮一：舊又有西市、黃川、青雲三鎮，後廢。
HCH_009_026_000386	上洛有楚山、熊耳山、丹水、嶢關。
HCH_009_026_000387	鎮二商洛、豐陽，皆舊為縣，貞元二年廢為鎮。
HCH_009_026_000388	洛南有塚嶺山、洛水。
HCH_009_026_000389	虢州，下，刺史。
HCH_009_026_000390	宋虢郡軍事。
