HCH_011_013_000074	高祖爲之流涕，卽日輿駕臨殯。
HCH_011_013_000075	詔曰：「追遠興悼，常情所篤；況問望斯在，事深朝寄者乎！故散騎常侍、尚書右僕射、霄城侯雲，器範貞正，思懷經遠，爰初立志，素履有聞。脫巾來仕，清績仍著。燮務登朝，具瞻惟允。綢繆翊贊，義簡朕心，雖勤非負靮，而舊同論講。方騁遠塗，永毗庶政；奄致喪殞，傷悼於懷。宜加命秩，式備徽典。可追贈侍中、衛將軍，僕射、侯如故。並給鼓吹一部。」
HCH_011_013_000076	禮官請諡曰宣，勑賜諡文。
HCH_011_013_000077	有集三十卷。
HCH_011_013_000078	子孝才嗣，官至太子中舍人。
HCH_011_013_000079	沈約，字休文，吳興武康人也。
HCH_011_013_000080	祖林子，宋征虜將軍。
HCH_011_013_000081	父璞，淮南太守。
HCH_011_013_000082	璞元嘉末被誅，約幼潛竄，會赦免。
HCH_011_013_000083	旣而流寓孤貧，篤志好學，晝夜不倦。
HCH_011_013_000084	母恐其以勞生疾，常遣減油滅火。
HCH_011_013_000085	而晝之所讀，夜輒誦之，遂博通羣籍，能屬文。
HCH_011_013_000086	起家奉朝請。
HCH_011_013_000087	濟陽蔡興宗聞其才而善之；興宗爲郢州刺史，引爲安西外兵參軍，兼記室。
HCH_011_013_000088	興宗嘗謂其諸子曰：「沈記室人倫師表，宜善事之。」
HCH_011_013_000089	及爲荊州，又爲征西記室參軍，帶厥西令。
HCH_011_013_000090	興宗卒，始爲安西晉安王法曹參軍，轉外兵，並兼記室。
HCH_011_013_000091	入爲尚書度支郎。
HCH_011_013_000092	齊初爲征虜記室，帶襄陽令，所奉之王，齊文惠太子也。
HCH_011_013_000093	太子入居東宮，爲步兵校尉，管書記，直永壽省，校四部圖書。
HCH_011_013_000094	時東宮多士，約特被親遇，每直入見，影斜方出。
HCH_011_013_000095	當時王侯到宮，或不得進，約每以爲言。
HCH_011_013_000096	太子曰：「吾生平懶起，是卿所悉，得卿談論，然後忘寢。卿欲我夙興，可恒早入。」
HCH_011_013_000097	遷太子家令，後以本官兼著作郎，遷中書郎，本邑中正，司徒右長史，黃門侍郎。
HCH_011_013_000098	時竟陵王亦招士，約與蘭陵蕭琛、琅邪王融、陳郡謝朓、南鄉范雲、樂安任昉等皆遊焉，當世號爲得人。
HCH_011_013_000099	俄兼尚書左丞，尋爲御史中丞，轉車騎長史。
HCH_011_013_000100	隆昌元年，除吏部郎，出爲寧朔將軍、東陽太守。
HCH_011_013_000101	明帝卽位，進號輔國將軍，徵爲五兵尚書，遷國子祭酒。
HCH_011_013_000102	明帝崩，政歸塚宰，尚書令徐孝嗣使約撰定遺詔。
HCH_011_013_000103	遷左衛將軍，尋加通直散騎常侍。
HCH_011_013_000104	永元二年，以母老表求解職，改授冠軍將軍、司徒左長史，征虜將軍、南清河太守。
HCH_011_013_000105	高祖在西邸，與約遊舊，建康城平，引爲驃騎司馬，將軍如故。
HCH_011_013_000106	時高祖勳業旣就，天人允屬，約嘗扣其端，高祖默而不應。
