HCH_012_011_000093	丁亥，左都御史陳鎰、王文以鞫太監金英家人不實下獄，尋釋之。
HCH_012_011_000094	戊子，瓦剌寇宣府，都督朱謙、參將紀廣禦卻之。
HCH_012_011_000095	戊戌，免山東被災州縣稅糧。
HCH_012_011_000096	己亥，給事中李實、大理寺丞羅綺使瓦剌。
HCH_012_011_000097	秋七月庚戌，尚書侯璡、參將方瑛破貴州苗，擒其酋獻京師。
HCH_012_011_000098	庚申，右都御史楊善、工部侍郎趙榮使瓦剌。
HCH_012_011_000099	停山西民運糧大同。
HCH_012_011_000100	癸亥，李實、羅綺還。
HCH_012_011_000101	己巳，楊善至瓦剌，也先許上皇歸。
HCH_012_011_000102	八月癸酉，上皇發瓦剌。
HCH_012_011_000103	戊寅，祀社稷。
HCH_012_011_000104	甲申，遣侍讀商輅迎上皇於居庸關。
HCH_012_011_000105	丙戌，上皇還京師，帝迎於東安門，入居南宮，帝帥百官朝謁。
HCH_012_011_000106	庚寅，赦天下。
HCH_012_011_000107	辛卯，刑部右侍郎江淵兼翰林學士，直文淵閣，預機務。
HCH_012_011_000108	九月癸丑，巡撫河南副都御史王來總督湖廣、貴州軍務，討叛苗。
HCH_012_011_000109	冬十月辛卯，錄囚。
HCH_012_011_000110	癸巳，免畿內逋賦。
HCH_012_011_000111	十一月辛亥，禮部尚書胡濙請令百官賀上皇萬壽節。
HCH_012_011_000112	十二月丙申，復請明年正旦百官朝上皇於延安門。
HCH_012_011_000113	皆不許。
HCH_012_011_000114	是年，朝鮮貢馬者三。
HCH_012_011_000115	二年春正月庚戌，大祀天地於南郊。
HCH_012_011_000116	壬子，詔天下朝覲官當黜者運糧口外。
HCH_012_011_000117	二月辛未，釋奠於先師孔子。
HCH_012_011_000118	辛卯，以星變修省，詔廷臣條議寬卹諸政。
HCH_012_011_000119	癸巳，詔畿內及山東巡撫官舉廉能吏專司勸農，授民荒田，貸牛種。
HCH_012_011_000120	三月壬寅，賜柯潛等進士及第、出身有差。
HCH_012_011_000121	夏四月乙酉，梁珤、王來等破平越苗，獻俘京師。
HCH_012_011_000122	甲午，瓦剌寇宣府馬營，敕遊擊將軍石彪等巡邊。
HCH_012_011_000123	乙未，命石亨選京營兵操練，尚書石璞總督軍務。
HCH_012_011_000124	五月乙巳，城固原。
HCH_012_011_000125	六月戊辰朔，日當食不見。
HCH_012_011_000126	己卯，詔貴州各衞修舉屯田。
HCH_012_011_000127	秋七月戊申，普定、永寧、畢節諸苗復叛，梁珤等留軍討之。
HCH_012_011_000128	八月壬申，南京地震。
HCH_012_011_000129	辛巳，復午朝。
HCH_012_011_000130	九月乙卯，禁諸司起復。
HCH_012_011_000131	冬十月己丑，免山西被災稅糧。
