HCH_010_045_000112	其后内族、外戚及世官之家犯罪者，皆没入瓦里。
HCH_010_045_000113	人户益众，因复故名。
HCH_010_045_000114	皇太后、皇太妃帐，皆有著帐诸局。
HCH_010_045_000115	著帐户司。
HCH_010_045_000116	本诸斡鲁朵户析出，及诸色人犯罪没入。
HCH_010_045_000117	凡御帐、皇太后、皇太妃、皇后、皇太子、近位、亲王祗从、伶官，皆充其役。
HCH_010_045_000118	肃祖长子洽昚之族在五院司，叔子葛剌、季子洽礼及懿祖仲子帖剌、季子褭古直之族皆在六院司。
HCH_010_045_000119	此五房者，谓之二院皇族。
HCH_010_045_000120	玄祖伯子麻鲁无后，次子岩木之后曰孟父房；叔子释鲁曰仲父房；季子为德祖，德祖之元子是为太祖天皇帝，谓之横帐；次曰剌葛，曰迭剌，曰寅底石，曰安端，曰苏，皆曰季父房。
HCH_010_045_000121	此一帐三房，谓之四帐皇族。
HCH_010_045_000122	二院治之以北、南二王，四帐治之以大内惕隐，皆统于大惕隐司大内惕隐司。
HCH_010_045_000123	掌皇族四帐之政教。
HCH_010_045_000124	大横帐常衮司。
HCH_010_045_000125	掌太祖皇帝后九帐皇族之事。
HCH_010_045_000126	横帐常衮。
HCH_010_045_000127	亦曰横帐敞稳。
HCH_010_045_000128	孟父族帐常衮司。
HCH_010_045_000129	掌蜀国王岩木房族之事。
HCH_010_045_000130	仲父族帐常衮司。
HCH_010_045_000131	掌隋国王释鲁房族之事。
HCH_010_045_000132	季父族帐常衮司。
HCH_010_045_000133	掌德祖皇帝三房族之事。
HCH_010_045_000134	四帐都详稳司。
HCH_010_045_000135	掌四帐军马之事。
HCH_010_045_000136	将军。
HCH_010_045_000137	本名敞史。
HCH_010_045_000138	舍利司。
HCH_010_045_000139	掌皇族之军政。
HCH_010_045_000140	亲王国。
HCH_010_045_000141	官制未详。
HCH_010_045_000142	大东丹国中台省。
HCH_010_045_000143	太祖天顯元年置，乾亨四年圣宗省。
HCH_010_045_000144	王子院。
HCH_010_045_000145	掌王子各帐之事。
HCH_010_045_000146	驸马都尉府。
