HCH_012_253_000067	體仁訐奏，帝奪震孟官，兼罷吾騶。
HCH_012_253_000068	詳見《震孟傳》。
HCH_012_253_000069	居久之，唐王自立於福州，召為首輔，與鄭芝龍議事輒相牴牾。
HCH_012_253_000070	閩疆既失，踉蹌回廣州。
HCH_012_253_000071	永明王以原官召之，為給事中金堡、大理寺少卿趙昱等所攻。
HCH_012_253_000072	引疾辭去，卒於家。
HCH_012_253_000073	張至發，淄川人。
HCH_012_253_000074	萬歷二十九年進士。
HCH_012_253_000075	歷知玉田、遵化。
HCH_012_253_000076	行取，授禮部主事，改御史。
HCH_012_253_000077	時齊、楚、浙三黨方熾，至發，齊黨也，上疏陳內降之弊。
HCH_012_253_000078	因言：「陛下惡結黨，而秉揆者先不能超然門戶外。頃讀科臣疏云：「日來慰諭輔臣溫旨，輔臣與司禮自相參定，方聽禦批。』果若人言，天下事尚可問耶？」語皆刺葉向高，帝不報。時言官爭排東林，戶部郎中李樸不平，抗疏爭。至發遂劾樸背公死黨，誑語欺君，帝亦不報。尋出按河南。福王之藩洛陽，中使相望於道。至發以禮裁之，無敢橫。宗祿不給，為置義田，以贍貧者。四十三年，豫省饑，請留餉備振，又請改折漕糧，皆報聞。還朝，引病歸。天啟元年，進大理寺丞。三年請終養。魏忠賢黨薦之，矯旨令吏部擢用，至發方養親不出。崇禎五年，起順天府丞，進光祿卿。精核積弊，多所厘正，遂受帝知。八年春，遷刑部右侍郎。六月，帝將增置閣臣，以翰林不習世務，思用他官參之，召廷臣數十人，各授一疏，令擬旨。遂擢至發禮部左侍郎兼東閣大學士，與文震孟同入直。自世宗朝許贊後，外僚入閣，自至發始。時溫體仁為首輔，錢士升、王應熊、何吾騶次之。越二年，體仁輩盡去，至發遂為首輔。萬歷中，申時行、王錫爵先後柄政，大旨相紹述，謂之「傳衣缽」。至發代體仁，一切守其所為，而才智機變遜之，以位次居首，非帝之所註也。嘗簡東宮講官，擯黃道周，為給事中馮元飆所刺。至發怒，兩疏詆道周，
HCH_012_253_000079	而極頌體仁孤執不欺，復為編修吳偉業所劾。
HCH_012_253_000080	講官項煜論至發把持考選，庇兒女姻任浚而抑成勇。
HCH_012_253_000081	至發上章辯，帝遂逐煜去。
HCH_012_253_000082	內閣中書黃應恩悍戾，體仁、至發輩倚任之，恃勢恣橫。
HCH_012_253_000083	及為正字，不當復為東宮侍書，恐帝與太子開講同日也。
HCH_012_253_000084	至發不諳故事，令兼之。
HCH_012_253_000085	應恩不能兼，講官撰講義送應恩繕錄，拒不納。
HCH_012_253_000086	檢討楊士聰論之，至發揭寢其疏，士聰復上書閣中，極論其事，至發終庇之。
HCH_012_253_000087	會復故總督楊鶴官，許給誥命，應恩當撰文。
HCH_012_253_000088	因其子嗣昌得君，力為洗雪。
HCH_012_253_000089	忤旨，將加罪，至發擬公揭救。
HCH_012_253_000090	同官孔貞運、傅冠曰：「曩許士柔事，吾輩未嘗救，獨救應恩何也？」
HCH_012_253_000091	至發咈然曰：「公等不救，我自救之。」
HCH_012_253_000092	連上三揭。
HCH_012_253_000093	帝不聽，特降諭削應恩籍，嗣昌疏救，亦不聽。
HCH_012_253_000094	無何，大理寺副曹荃發應恩賕請事，詞連至發。
HCH_012_253_000095	至發憤，連疏請勘。
HCH_012_253_000096	帝雖優旨褒答，卒下應恩獄。
