HCH_015_027_000032	勑懷珍步從盱眙自淮陰濟淮救永等，而官軍為虜所逐，相繼奔歸，懷珍乃還。
HCH_015_027_000033	三年春，敕懷珍權鎮山陽。
HCH_015_027_000034	先是明帝遣青州刺史明僧暠北征，僧暠遣將於王城築壘，以逼沈文秀，壍壁未立，為文秀所破，仍進攻僧暠。
HCH_015_027_000035	帝使懷珍率龍驤將軍王廣之五百騎，步卒二千人，沿海救援，至東海，而僧暠已退保東萊。
HCH_015_027_000036	懷珍進據朐城，衆心忷懼，或欲且保郁州。
HCH_015_027_000037	懷珍謂衆曰：「卿等傳文秀厚賂胡師，規為外援，察其徒黨，何能必就左衽。齊士庶見於名義積葉，聲介一馳，東萊可飛書而下，何容阻軍緩邁止於此邪？」
HCH_015_027_000038	遂進至黔陬。
HCH_015_027_000039	偽高密、平昌二郡太守潰走，懷珍達朝廷意，送致文炳，文秀終不從命，焚燒郭邑。
HCH_015_027_000040	百姓聞懷珍至，皆喜。
HCH_015_027_000041	偽長廣太守劉桃根領數［千］人戍不其城，懷珍引軍次洋水。
HCH_015_027_000042	衆皆曰：「文秀今游騎滿境內，宜堅壁伺隙。」
HCH_015_027_000043	懷珍曰：「今衆少糧單，我懸彼固，政宜簡精銳，掩其不備耳。」
HCH_015_027_000044	遣王廣之將百騎襲陷其城，桃根走。
HCH_015_027_000045	偽東萊太守鞠延僧數百人據城，劫留高麗獻使。
HCH_015_027_000046	懷珍又遣寧朔將軍明慶符與廣之擊降延僧，遣高麗使詣京師。
HCH_015_027_000047	文秀聞諸城皆敗，乃遣使張靈碩請降，懷珍乃還。
HCH_015_027_000048	其秋，虜遂侵齊，圍歷城、梁鄒二城，游騎至東陽，擾動百姓。
HCH_015_027_000049	冀州刺史崔道固、兖州刺史劉休賓告急。
HCH_015_027_000050	休賓，懷珍從弟也。
HCH_015_027_000051	朝廷以懷珍為使持節、都督徐兖二州軍事、輔國將軍、平胡中郎將、徐州刺史，封艾縣侯，邑四百戶，督水步四十餘軍赴救。
HCH_015_027_000052	二城旣沒，乃止。
HCH_015_027_000053	改授寧朔將軍、竟陵太守，轉巴陵王征西司馬，領南義陽太守。
HCH_015_027_000054	建平王景素為荊州，仍徙右軍司馬，遷南郡太守，加寧朔將軍。
HCH_015_027_000055	明帝手詔懷珍曰：「卿性忠讜，平所仗賴。在彼與年少共事，不可深存受益。景素兒乃佳，但不能接物，頗亦墮事，卿每諫之。」
HCH_015_027_000056	懷珍奉旨。
HCH_015_027_000057	帝寢疾，又詔懷珍曰：「卿不應乃作景素佐，才舊所寄，今徵卿參二衛直。」
HCH_015_027_000058	會帝崩，乃為安成王撫軍司馬，領南高平太守。
HCH_015_027_000059	朝廷疑桂陽王休範，中書舍人王道隆宣旨，以懷珍為冠軍將軍、豫章太守。
HCH_015_027_000060	懷珍曰：「休範須有禍萌，安敢便發，若終為寇，必請奉律吞之。今者賜使，恐成猜迫。」
HCH_015_027_000061	固請不就，乃除黃門郎，領虎賁中郎將、青州大中正。
HCH_015_027_000062	桂陽反，加懷珍前將軍，守石頭。
HCH_015_027_000063	為使持節、督豫司二州郢州之西陽軍事、冠軍將軍、豫州刺史。
HCH_015_027_000064	建平王景素反，懷珍遣子靈哲領兵赴京師。
HCH_015_027_000065	昇明元年，進號征虜將軍。
HCH_015_027_000066	沈攸之在荊楚，朝議疑惑，懷珍遣冗從僕射張護使郢，致誠於世祖，幷陳計策。
HCH_015_027_000067	及攸之起兵，衆謂當沿流直下，懷珍謂僚佐曰：「攸之矜躁夙著，虐加楚服，必當阻兵中流，聲劫幼主。不敢長驅決勝明矣。」
HCH_015_027_000068	遣子靈哲領馬步數千人衛京師。
HCH_015_027_000069	攸之遣使許天保說結懷珍，懷珍斬之，送首于太祖。
HCH_015_027_000070	太祖送示攸之。
HCH_015_027_000071	進號左將軍，徙封中宿縣侯，增邑六百戶。
HCH_015_027_000072	攸之圍郢城，懷珍遣建寧太守張謨、游擊將軍裴仲穆統蠻漢軍萬人出西陽，破賊前鋒公孫方平軍數千人，收其器甲。
