HCH_012_231_000089	徐兆魁之徒遂以東林為口實。
HCH_012_231_000090	兆魁騰疏攻憲成，恣意誣詆。
HCH_012_231_000091	謂滸墅有小河，東林專其稅為書院費；關使至，東林輒以書招之，即不赴，亦必致厚饋；講學所至，仆從如雲，縣令館谷供億，非二百金不辦；會時必談時政，郡邑行事偶相左，必令改圖；及受黃正賓賄。
HCH_012_231_000092	其言絕無左驗。
HCH_012_231_000093	光祿丞吳炯上言為一致辨，因言：「憲成貽書救三才，誠為出位，臣嘗咎之，憲成亦自悔。今憲成被誣，天下將以講學為戒，絕口不談孔、孟之道，國家正氣從此而損，非細事也。」
HCH_012_231_000094	疏入，不報。
HCH_012_231_000095	嗣後攻擊者不絕，比憲成歿，攻者猶未止。
HCH_012_231_000096	凡救三才者，爭辛亥京察者，衛國本者，發韓敬科場弊者，請行勘熊廷弼者，抗論張差梃擊者，最後爭移宮、紅丸者，忤魏忠賢者，率指目為東林，抨擊無虛日。
HCH_012_231_000097	借魏忠賢毒焰，一網盡去之。
HCH_012_231_000098	殺戮禁錮，善類為一空。
HCH_012_231_000099	崇禎立，始漸收用。
HCH_012_231_000100	而朋黨勢已成，小人卒大熾，禍中於國，迄明亡而後已。
HCH_012_231_000101	歐陽東鳳，字千仞，潛江人。
HCH_012_231_000102	年十四喪父，哀毀骨立。
HCH_012_231_000103	母病嘔血，跪而食之。
HCH_012_231_000104	舉於鄉，縣令憫其貧，遺以田二百畝，謝不受。
HCH_012_231_000105	萬歷十七年成進士，除興化知縣。
HCH_012_231_000106	大水壞堤，請振於上官不應，遂自疏於朝。
HCH_012_231_000107	坐越奏停俸，然竟如所請。
HCH_012_231_000108	屢遷南京刑部郎中，擢平樂知府。
HCH_012_231_000109	撫諭生瑤，皆相親如子弟。
HCH_012_231_000110	因白督學監司，擇其俊秀者入學，瑤漸知禮讓。
HCH_012_231_000111	稅使橫行，東鳳力抗之。
HCH_012_231_000112	以才調常州。
HCH_012_231_000113	布帷瓦器，胥吏不能牟一錢，擒奸人劇盜且盡。
HCH_012_231_000114	憲成輩講學，為建東林書院。
HCH_012_231_000115	居四年，謝事歸。
HCH_012_231_000116	起山西副使，擢南京太僕少卿，並辭不就。
HCH_012_231_000117	卒於家。
HCH_012_231_000118	吳炯，字晉明，松江華亭人。
HCH_012_231_000119	萬歷十七年成進士，授杭州推官。
HCH_012_231_000120	入為兵部主事，乞假歸。
HCH_012_231_000121	恬靜端介，不騖榮利。
HCH_012_231_000122	家居十二年，始起故官。
HCH_012_231_000123	久之，進光祿丞。
HCH_012_231_000124	天啟中，累遷南京太僕卿。
HCH_012_231_000125	魏忠賢私人石三畏追論炯黨庇憲成，落職閑住。
HCH_012_231_000126	崇禎初，復官。
HCH_012_231_000127	炯家世素封，無子，置義田以贍族人。
HCH_012_231_000128	郡中貧士及諸生赴舉者，多所資給。
HCH_012_231_000129	嘗輸萬金助邊，被詔旌獎。
HCH_012_231_000130	顧允成，字季時，憲成弟。
HCH_012_231_000131	性耿介，厲名節，舉萬歷十一年會試，十四年始赴殿試。
HCH_012_231_000132	對策中有曰：「陛下以鄭妃勤於奉侍，冊為皇貴妃，廷臣不勝私憂過計。請立東宮，進封王恭妃，非報罷則峻逐。或不幸貴妃弄威福，其戚屬左右竊而張之，內外害可勝言！頃張居正罔上行私，陛下以為不足信，而付之二三匪人。恐居正之專，尚與陛下二。此屬之專，遂與陛下一。二則易間，一難圖也。」
HCH_012_231_000133	執政駭且恚，置末第。
HCH_012_231_000134	會南畿督學御史德清人房寰連疏詆都御史海瑞，允成不勝憤。
HCH_012_231_000135	偕同年生彭遵古、諸壽賢抗疏劾之。
HCH_012_231_000136	略言：「寰妒賢醜正，不復知人間羞耽事。臣等自幼讀書，即知慕瑞，以為當代偉人。寰大肆貪汙，聞瑞之風，宜愧且死，反敢造言逞誣，臣等所為痛心。」
HCH_012_231_000137	因劾其欺罔七罪。
HCH_012_231_000138	始寰疏出，朝野多切齒。
HCH_012_231_000139	而政府庇之，但擬旨譙讓。
HCH_012_231_000140	及得允成等疏，謂寰已切讓，不當出位妄奏，奪三人冠帶，還家省愆，且令九卿約束辦事進士，毋妄言時政。
HCH_012_231_000141	南京太僕卿沈思孝上言：「二三年來，今日以建言防人，明日以越職加人罪，且移牒諸司約禁，而進士觀政者，復令堂官鉗束之。夫禁其作奸犯科可也，而反禁其讜言直諫；教其砥行立節可也，而反教以緘默取容。此風一開，流弊何極。諫官避禍希寵不言矣，庶官又不當言；大臣持祿養交不言矣，小臣又不許言。萬一權奸擅朝，傾危宗社，陛下安從聞之？臣歷稽先朝故事，練綱、鄒智、孫磐、張璁並以書生建言，未聞以為罪，獨奈何錮允成等耶？」
HCH_012_231_000142	疏入，忤旨被責，三人遂廢。
HCH_012_231_000143	寰復詆瑞及思孝，其言絕狂誕，自是獲罪清議，出為江西副使。
HCH_012_231_000144	給事中張鼎思劾其奸貪，寰亦訐鼎思請寄事。
HCH_012_231_000145	諸給事中不平，連章攻寰，寰與鼎思並謫，遂不復振。
HCH_012_231_000146	久之，南京御史陳邦科請錄用允成等，不許。
HCH_012_231_000147	巡按御史復言之，詔許以教授用。
HCH_012_231_000148	允成歷任南康、保定。
HCH_012_231_000149	入為國子監博士，遷禮部主事。
HCH_012_231_000150	三王並封制下，偕同官張納陛、工部主事嶽元聲合疏諫曰：「冊立大典，年來無敢再瀆者，以奉二十一年舉行之明詔。茲既屆期，群臣莫不引領。而元輔王錫爵星駕趣朝，一見禮部尚書羅萬化、儀制郎於孔兼，即戒之弗言，慨然獨任，臣等實喜且慰。不意陛下出禁中密劄，竟付錫爵私邸，而三王並封之議遂成，即次輔趙誌臯、張位亦不預聞。夫天下事非一家私議。元子封王，祖宗以來未有此禮，錫爵安得專之，而陛下安得創之！」
HCH_012_231_000151	當是時，光祿丞朱維京、給事中王如堅疏先入。
HCH_012_231_000152	帝震怒，戍極邊。
HCH_012_231_000153	維京同官塗傑、王學曾繼之，斥為民。
HCH_012_231_000154	及是諫者益眾，帝知不可盡斥，但報「遵旨行」。
HCH_012_231_000155	已而竟寢。
HCH_012_231_000156	未幾，吏部尚書孫鑨等以拾遺事被責。
HCH_012_231_000157	允成謂閣臣張位實為之，上疏力詆位，因及錫爵。
HCH_012_231_000158	納陛亦抗章極論，並侵附執政者。
HCH_012_231_000159	帝怒，謫允成光州判官，納陛鄧州判官。
HCH_012_231_000160	皆乞假歸，不復出。
HCH_012_231_000161	納陛，字以登，宜興人。
HCH_012_231_000162	年十六，從王畿講學。
HCH_012_231_000163	舉萬歷十七年進士。
HCH_012_231_000164	由刑部主事改禮部。
HCH_012_231_000165	生平尚風節。
HCH_012_231_000166	鄉邑有利害，輒為請於有司而後已。
HCH_012_231_000167	東林書院之會，納陛為焉。
HCH_012_231_000168	又與同邑史孟麟、吳正誌為麗澤大會，東南人士爭赴之。
HCH_012_231_000169	時與允成等同以部曹爭三王並封，又爭拾遺事者，戶部主事滁人賈巖，亦貶曹州判官。
HCH_012_231_000170	投劾歸，卒。
HCH_012_231_000171	天啟中，贈允成、納陛光祿少卿，巖尚寶丞。
HCH_012_231_000172	諸壽賢，字延之，昆山人。
HCH_012_231_000173	既釋褐，上疏願放歸田，力學十年，然後從政。
HCH_012_231_000174	章下所司，寢不奏。
HCH_012_231_000175	既斥歸。
HCH_012_231_000176	久之，起南陽教授。
HCH_012_231_000177	入為國子助教，擢禮部主事。
HCH_012_231_000178	戚里中貴幹請，輒拒之。
HCH_012_231_000179	遘疾，請告歸，授徒自給。
HCH_012_231_000180	久之卒。
HCH_012_231_000181	彭遵古，麻城人，終光祿少卿。
HCH_012_231_000182	錢一本，字國瑞，武進人。
HCH_012_231_000183	萬歷十一年進士。
HCH_012_231_000184	除廬陵知縣，征授御史。
HCH_012_231_000185	入臺即發原任江西巡按祝大舟貪墨狀，大舟至遣戍。
HCH_012_231_000186	已，論請從祀曹端、陳真晟、羅倫、羅洪先於文廟。
HCH_012_231_000187	出按廣西。
HCH_012_231_000188	帝以張有德請備大禮儀物，復更冊立東宮期，而申時行柄國，不能匡救。
HCH_012_231_000189	一本上論相、建儲二疏。
HCH_012_231_000190	其論相曰：昨俞旨下輔臣，令輔臣總政。
HCH_012_231_000191	夫朝廷之政，輔臣安得總之？
HCH_012_231_000192	內閣代言擬旨，本顧問之遺，遇有章奏，閣臣宜各擬一旨。
HCH_012_231_000193	今一出時行專斷。
HCH_012_231_000194	皇上斷者十一，時行斷者十九。
HCH_012_231_000195	皇上斷謂之聖旨，時行斷亦謂之聖旨。
HCH_012_231_000196	惟嫌怨所在，則以出自聖斷為言，罪何可勝誅。
HCH_012_231_000197	所當論者一。
HCH_012_231_000198	評事雒於仁進四藥之箴，陛下欲見之施行，輔臣力勸留中。
HCH_012_231_000199	既有言及輔臣之章，亦盡留中不下。
HCH_012_231_000200	道吾君以遂非文過如此，復安望其盡忠補過耶？
HCH_012_231_000201	所當論者二。
HCH_012_231_000202	科場弊竇，汙人齒頰，而敢擬原無私弊之旨，以欺吾君。
HCH_012_231_000203	臣請執政子弟有中式而被人指摘者，除名改蔭。
HCH_012_231_000204	又與見從仕籍者，暫還裏居，俟父致政，乃議進止。
HCH_012_231_000205	毋令犬馬報主之心，不勝其牛馬子孫之計。
HCH_012_231_000206	所當論者三。
HCH_012_231_000207	大臣以身殉國，安復有家。
HCH_012_231_000208	乃以遠臣為近臣府庫，又合遠近之臣為內閣府庫。
HCH_012_231_000209	開門受賂自執政始，而歲歲申饋遺之禁何為哉？
HCH_012_231_000210	所當論者四。
HCH_012_231_000211	墨敕斜封，前代所患；密啟言事，先臣弗為。
HCH_012_231_000212	今閣臣或有救援之舉，或有密勿之謀，類具揭帖以進，雖格言正論，讜議忠謀，已類斜封密啟之為，非有公聽並觀之正。
HCH_012_231_000213	況所言公，當與天下公言之；所言私，忠臣不私。
HCH_012_231_000214	奈何援中書之故事，啟留中之弊端，昭恩怨之所由，示威福之自己。
HCH_012_231_000215	所當論者五。
HCH_012_231_000216	我國家仿古為治，部院即分職之六卿，內閣即論道之三公。
HCH_012_231_000217	未聞三公可盡攬六卿之權，歸一人掌握，而六卿又頫首屏氣，唯唯聽命於三公，必為請教而後行也。
HCH_012_231_000218	所當論者六。
HCH_012_231_000219	三公職在論道。
HCH_012_231_000220	師，道之教訓。
HCH_012_231_000221	今講幄經年不禦，是何師也？
HCH_012_231_000222	傅，傅之德義。
HCH_012_231_000223	今外帑匱乏，私藏充盈，不能一為救正，是何傅也？
HCH_012_231_000224	保，保其身體。
HCH_012_231_000225	今聖躬常年靜攝，尚以多疾為辭，是何保也？
