HCH_012_047_000051	下成周圍壇面，縱橫皆廣五丈，高視上成，陛皆九級，正南廣一丈二尺五寸，東、西、北殺五寸五分。
HCH_012_047_000052	甃證磚闌盾，皆以琉璃爲之。
HCH_012_047_000053	壝去壇十五丈，高八尺一寸，四面靈星門，南三門，東、西、北各一。
HCH_012_047_000054	外垣去壝十五丈，門制同。
HCH_012_047_000055	天下神祇壇東門外。
HCH_012_047_000056	神庫五楹，在外垣北，南向。
HCH_012_047_000057	廚房五楹祇，在外壇東北，西向。
HCH_012_047_000058	庫房五楹，南向。
HCH_012_047_000059	宰牲房三楹，天池一，又在外庫房之北。
HCH_012_047_000060	執事齋舍，在壇外垣之東南。
HCH_012_047_000061	坊二，在外門外橫甬道之東西，燎壇在內壝外東南丙地，高九尺，廣七尺，開上南出戶。
HCH_012_047_000062	方丘壇二成。
HCH_012_047_000063	上成廣六丈，高六尺，四出陛，南一丈，東、西、北八尺，皆八級。
HCH_012_047_000064	下成四面各廣二丈四尺，高六尺，四出陛，南丈二尺，東、西、北一丈，皆八級。
HCH_012_047_000065	壝去壇十五丈，高六尺，外垣四面各六十四丈，餘制同。
HCH_012_047_000066	南郊有浴室，瘞坎在內壝外壬地。
HCH_012_047_000067	洪武四年，改築圜丘。
HCH_012_047_000068	上成廣四丈五尺，高五尺二寸。
HCH_012_047_000069	下成每面廣一丈六尺五寸，高四尺九寸。
HCH_012_047_000070	二成通徑七丈八尺。
HCH_012_047_000071	壇至內壝牆，四面各九丈八尺五寸。
HCH_012_047_000072	內壝牆至外壝牆，南十三丈九尺四寸，北十一丈，東、西各十一丈七尺。
HCH_012_047_000073	方丘，上成廣三丈九尺四寸，高三尺九寸。
HCH_012_047_000074	下成每面廣丈五尺五寸，高三尺八寸，通徑七丈四寸。
HCH_012_047_000075	壇至內壝牆，四面皆八丈九尺五寸。
HCH_012_047_000076	內壝牆至外壝牆，四面各八丈二尺。
HCH_012_047_000077	十年，改定合祀之典。
HCH_012_047_000078	即圜丘舊制，而以屋覆之，名曰大祀殿，凡十二楹。
HCH_012_047_000079	中石臺設上帝、皇地祇座。
HCH_012_047_000080	東、西廣三十二楹。
HCH_012_047_000081	正南大祀門六楹，接以步廊，與殿廡通。
HCH_012_047_000082	殿後天庫六楹。
HCH_012_047_000083	瓦皆黃琉璃。
HCH_012_047_000084	廚庫在殿東北，宰牲亭井在廚東北，皆以步廊通殿兩廡，後繚以圍牆。
HCH_012_047_000085	南爲石門三洞以達大祀門，謂之內壇。
HCH_012_047_000086	外周垣九里三十步，石門三洞南爲甬道三，中神道，左御道，右王道。
HCH_012_047_000087	道兩旁稍低，爲從官之地。
HCH_012_047_000088	齋宮在外垣內西南，東向。
HCH_012_047_000089	其後殿瓦易青琉璃。
HCH_012_047_000090	二十一年增修壇壝，壇後樹松柏，外壝東南鑿池二十區。
HCH_012_047_000091	冬月伐冰藏凌陰，以供夏秋祭祀之用。
HCH_012_047_000092	成祖遷都北京，如其制。
HCH_012_047_000093	嘉靖九年，復改分祀。
