HCH_016_009_000129	”吳王乃與越粟萬石而令之曰：“寡人逆群臣之議而輸於越，年豐而歸寡人。
HCH_016_009_000130	”大夫種曰：“臣奉使返越，歲登誠還吳貸。
HCH_016_009_000131	”大夫種歸越，越國群臣皆稱萬歲。
HCH_016_009_000132	即以粟賞賜群臣及於萬民。
HCH_016_009_000133	二年，越王粟稔，揀擇精粟而蒸還於吳，復還鬥斛之數，亦使大夫種歸之吳王。
HCH_016_009_000134	王得越粟長太息謂太宰嚭曰：“越地肥沃，其種甚嘉，可留使吾民植之。
HCH_016_009_000135	”於是吳種越粟，粟種殺而無生者，吳民大飢。
HCH_016_009_000136	越王曰：“彼以窮居，其可攻也？
HCH_016_009_000137	”大夫種曰：“未可，國始貧耳，忠臣尚在，天氣未見，須俟其時。
HCH_016_009_000138	”越王又問相國范蠡曰：“孤有報復之謀，水戰則乘舟，陸行則乘輿，輿舟之利，頓於兵弩。
HCH_016_009_000139	今子為寡人謀事，莫不謬者乎？
HCH_016_009_000140	”范蠡對曰：“臣聞古之聖君，莫不習戰用兵，然行陣隊伍軍鼓之事，吉兇決在其工。
HCH_016_009_000141	今聞越有處女，出於南林，國人稱善。
HCH_016_009_000142	願王請之，立可見。
HCH_016_009_000143	”越王乃使使聘之，問以劍戟之術。
HCH_016_009_000144	處女將北見於王，道逢一翁，自稱曰袁公。
HCH_016_009_000145	問於處女：“吾聞子善劍，願一見之。
HCH_016_009_000146	”女曰：“妾不敢有所隱，惟公試之。
HCH_016_009_000147	”於是袁公即拔箖箊竹，竹枝上枯槁，未折墮地，女即捷末。
HCH_016_009_000148	袁公操其本而刺處女。
HCH_016_009_000149	處女應即入之，三入，因舉杖擊袁公。
HCH_016_009_000150	袁公則飛上樹，變為白猿。
HCH_016_009_000151	遂別去。
HCH_016_009_000152	見越王，越王問曰：“夫劍之道則如之何？
HCH_016_009_000153	”女曰：“妾生深林之中，長於無人之野，無道不習，不達諸侯。
HCH_016_009_000154	竊好擊之道，誦之不休。
HCH_016_009_000155	妾非受於人也，而忽自有之。
HCH_016_009_000156	”越王曰：“其道如何？
HCH_016_009_000157	”女曰：“其道甚微而易，其意甚幽而深。
HCH_016_009_000158	道有門戶，亦有陰陽。
HCH_016_009_000159	開門閉戶，陰衰陽興。
HCH_016_009_000160	凡手戰之道，內實精神，外示安儀，見之似好婦，奪之似懼虎，布形候氣，與神俱往，杳之若日，偏如滕兔，追形逐影，光若彿仿，呼吸往來，不及法禁，縱橫逆順，直復不聞。
HCH_016_009_000161	斯道者，一人當百，百人當萬。
HCH_016_009_000162	王欲試之，其驗即見。
HCH_016_009_000163	”越王大悅，即加女號，號曰“越女。
HCH_016_009_000164	”乃命五校之隊長、高才習之，以教軍士。
HCH_016_009_000165	當此之時皆稱越女之劍。
HCH_016_009_000166	於是范蠡復進善射者陳音。
HCH_016_009_000167	音，楚人也。
HCH_016_009_000168	越王請音而問曰：“孤聞子善射，道何所生？
HCH_016_009_000169	”音曰：“臣，楚之鄙人，嘗步於射術，未能悉知其道。
HCH_016_009_000170	”越王曰：“然願子一二其辭。
HCH_016_009_000171	”音曰：“臣聞弩生於弓，弓生於彈，彈起古之孝子。
HCH_016_009_000172	”越王曰：“孝子彈者柰何？
HCH_016_009_000173	”音曰：“古者人民樸質，飢食鳥獸，渴飲霧露，死則裹以白茅，投於中野。
HCH_016_009_000174	孝子不忍見父母為禽獸所食，故作彈以守之，絕鳥獸之害。
HCH_016_009_000175	故歌曰：「斷竹，續竹，飛土，逐害』之謂也。於是神農皇帝弦木為弧，剡木為矢，弧矢之利，以威四方。黃帝之後，楚有弧父。弧父者，生於楚之荊山，生不見父母，為兒之時，習用弓矢，所射無脫。以其道傳於羿，羿傳逄蒙，逄蒙傳於楚琴氏，琴氏以為弓矢不足以威天下。當是之時，諸侯相伐，兵刃交錯，弓矢之威不能制服。琴氏乃橫弓著臂，施機設樞，加之以力，然後諸侯可服。琴氏傳之楚三侯，所謂句亶、鄂、章，人號麋侯、翼侯、魏侯也。自楚之三侯傳至靈王，自稱之楚累世，蓋以桃弓棘矢而備鄰國也。自靈王之後，射道分流，百家能人用莫得其正。臣前人受之於楚，五世於臣矣。臣雖不明其道，惟王試之。”越王曰：“弩之狀何法焉？”陳音曰：“郭為方城，守臣子也；教為人君，命所起也；牙為執法，守吏卒也；牛為中將，主內裹也；關為守禦，檢去止也；錡為侍從，聽人主也；臂為道路，通所使也；弓為將軍，主重負也；弦為軍師，禦戰士也；矢為飛客，主教使也；金為實敵，往不止也；衛為副使，正道裏也；又為受教，知可否也；縹為都尉，執左右也。敵為百死，不得駭也，鳥不及飛，獸不暇走，弩之所向，無不死也，臣之愚劣，道悉如此。”越王曰：“願聞正射之道。”音曰：“臣聞正射之道，
HCH_016_009_000176	道眾而微。
HCH_016_009_000177	古之聖人射，弩未發而前名其所中。
HCH_016_009_000178	臣未能如古之聖人，請悉其要。
HCH_016_009_000179	夫射之道，身若戴板，頭若激卵，左蹉，右足橫，左手若附枝，右手若抱兒，舉弩望敵，翕心咽煙，與氣俱發，得其和平，神定思去，去止分離，右手發機，左手不知，一身異教，豈況雄雌？
HCH_016_009_000180	此正射持弩之道也。
HCH_016_009_000181	”“願聞望敵儀表，投分飛矢之道。
HCH_016_009_000182	”音曰：“夫射之道，從分望敵，合以參連。
HCH_016_009_000183	弩有鬥石，矢有輕重，石取一兩，其數乃平，遠近高下，求之銖分。
HCH_016_009_000184	道要在斯，無有遺言。
HCH_016_009_000185	”越王曰：“善。
HCH_016_009_000186	盡子之道，願子悉以教吾國人。
HCH_016_009_000187	”音曰：“道出於天，事在於人，人之所習，無有不神。
HCH_016_009_000188	”於是乃使陳音教士習射於北郊之外，三月，軍士皆能用弓弩之巧。
HCH_016_009_000189	陳音死，越王傷之，葬於國西，號其葬所曰陳音山。
