HCH_015_049_000068	明帝詔曰：「殷道矜有生便病，比更無橫病。恒因愚習惰，久妨清敘。左遷散騎常侍，領校尉。」
HCH_015_049_000069	恒歷官清顯，至金紫光祿大夫。
HCH_015_049_000070	建武中，卒。
HCH_015_049_000071	奐弟女爲長沙王晃妃，世祖詔曰：「奐自陷逆節，長沙王妃男女竝長，且奐又出繼，前代或當有准，可特不離絕。」
HCH_015_049_000072	奐從弟繢。
HCH_015_049_000073	繢字叔素，宋車騎將軍景文子也。
HCH_015_049_000074	弱冠，爲祕書郎，太子舍人，轉中書舍人。
HCH_015_049_000075	景文以此授超階，令繢經年乃受。
HCH_015_049_000076	景文封江安侯，繢襲其本爵，爲始平縣五等男。
HCH_015_049_000077	遷祕書丞，司徒右長史。
HCH_015_049_000078	元徽末，除寧朔將軍、建平王征北長史、南東海太守，黃門郎，寧朔將軍、東陽太守。
HCH_015_049_000079	世祖爲撫軍，吏部尚書張岱選繢爲長史，呈選牒。
HCH_015_049_000080	太祖笑謂岱曰：「此可謂素望。」
HCH_015_049_000081	遷散騎常侍，驍騎將軍。
HCH_015_049_000082	出補義興太守。
HCH_015_049_000083	輙錄郡吏陳伯喜付陽羨獄，欲殺之，縣令孔逭不知何罪，不受繢教，爲有司所奏，繢坐白衣領職。
HCH_015_049_000084	遷太子中庶子，領驍騎，轉長兼侍中。
HCH_015_049_000085	世祖出射雉，繢信佛法，稱疾不從駕。
HCH_015_049_000086	轉左民尚書，以母老乞解職，改授寧朔將軍、大司馬長史、淮陵太守。
HCH_015_049_000087	出爲宣城太守，秩中二千石。
HCH_015_049_000088	隆昌元年，遷輔國將軍、太傅長史，不拜。
HCH_015_049_000089	仍爲冠軍將軍、豫章內史。
HCH_015_049_000090	進號征虜。
HCH_015_049_000091	又坐事免官。
HCH_015_049_000092	除冠軍將軍，司徒左長史，散騎常侍，隨王師。
HCH_015_049_000093	除征虜將軍，驃騎長史，遷散騎常侍，太常。
HCH_015_049_000094	永元元年，卒。
HCH_015_049_000095	年五十三。
HCH_015_049_000096	諡靖子。
HCH_015_049_000097	繢女適安陸王子敬，世祖寵子。
HCH_015_049_000098	永明三年，納妃，脩外舅姑之敬。
HCH_015_049_000099	世祖遣文惠太子相隨往繢家置酒設樂，公卿皆冠冕而至，當世榮之。
HCH_015_049_000100	張沖字思約，吳郡吳人。
HCH_015_049_000101	父柬，通直郎。
HCH_015_049_000102	沖出繼從伯侍中景胤，小名查，父邵，小名梨。
HCH_015_049_000103	宋文帝戲景胤曰：「查何如梨。」
HCH_015_049_000104	景胤答曰：「梨是百果之宗，查何敢及。」
HCH_015_049_000105	沖亦少有至性，辟州主簿，隨從叔永爲將帥，除綏遠將軍、盱眙太守。
HCH_015_049_000106	永征彭城，遇寒雪，軍人足脛凍斷者十七八，沖足指皆墮。
HCH_015_049_000107	除尚書駕部郎，桂陽王征南中兵，振威將軍。
HCH_015_049_000108	歷驃騎太尉南中郎參軍，不拜。
HCH_015_049_000109	遷征西從事中郎，通直郎，武陵王北中郎直兵參軍，長水校尉，除寧朔將軍，本官如故。
HCH_015_049_000110	遷左軍將軍，加寧朔將軍，輔國將軍。
HCH_015_049_000111	沖少從戎事，朝廷以幹力相待，故歷處軍校之官。
HCH_015_049_000112	出爲馬頭太守，徙盱眙太守，輔國將軍如故。
HCH_015_049_000113	永明六年，遷西陽王冠軍司馬。
HCH_015_049_000114	八年，爲假節、監青冀二州刺史事，將軍如故。
HCH_015_049_000115	沖父初卒，遺命曰：「祭我必以郷土所產，無用牲物。」
HCH_015_049_000116	沖在鎮，四時還吳園中取果菜，流涕薦焉。
HCH_015_049_000117	仍轉刺史。
HCH_015_049_000118	鬱林卽位，進號冠軍將軍。
HCH_015_049_000119	明帝卽位，以晉壽太守王洪範代沖。
HCH_015_049_000120	除黃門郎，加征虜將軍。
HCH_015_049_000121	建武二年，虜寇淮泗，假沖節，都督青冀二州北討諸軍事，本官如故。
HCH_015_049_000122	虜并兵攻司州，詔青徐出軍分其兵勢。
HCH_015_049_000123	沖遣軍主桑係祖由渣口攻拔虜建陵、驛馬、厚丘三城，多所殺獲。
HCH_015_049_000124	又與洪範遣軍主崔季延襲虜紀城，據之。
HCH_015_049_000125	沖又遣軍主杜僧護攻拔虜虎坑、馮時、卽丘三城，驅生口輜重還，至溘溝，虜救兵至，緣道要擊，僧護力戰，大破之。
HCH_015_049_000126	其年，遷廬陵王北中郎司馬、加冠軍將軍。
HCH_015_049_000127	未拜，豐城公遙昌爲豫州，上慮寇難未已，徙沖爲征虜長史、南梁郡太守。
HCH_015_049_000128	永泰元年，除江夏王前軍長史。
HCH_015_049_000129	東昏卽位，出爲建安王征虜長史、輔國將軍、江夏內史，行郢州府州事。
HCH_015_049_000130	永元元年，遷持節、督豫州軍事、豫州刺史，代裴叔業。
HCH_015_049_000131	竟不行。
HCH_015_049_000132	明年，遷督南兖兖徐青冀五州、輔國將軍、南兖州刺史，持節如故。
HCH_015_049_000133	會司州刺史申希祖卒，以沖爲督司州軍事、冠軍將軍、司州刺史。
HCH_015_049_000134	裴叔業以壽春降虜，又遷沖爲督南兖兖徐青冀五州、南兖州刺史，持節、將軍如故。
HCH_015_049_000135	竝未拜。
HCH_015_049_000136	崔慧景事平，徵建安王寶夤還都，以沖爲督郢司二州、郢州刺史，持節、將軍如故。
HCH_015_049_000137	一歲之中，頻授四州，至此受任。
HCH_015_049_000138	其冬，進征虜將軍。
HCH_015_049_000139	封定襄侯，食邑千戶。
HCH_015_049_000140	梁王義師起，東昏遣驍騎將軍薛元嗣、制局監暨榮伯領兵及糧運百四十餘船送沖，使拒西師。
HCH_015_049_000141	元嗣等懲劉山陽之敗，疑沖不敢進，停住夏口浦。
HCH_015_049_000142	聞義師將至，元嗣、榮伯相率入郢城。
HCH_015_049_000143	時竟陵太守房僧寄被代還至郢，東昏敕僧寄留守魯山，除驍騎將軍。
HCH_015_049_000144	僧寄謂沖曰：「臣雖未荷朝廷深恩，實蒙先帝厚澤。蔭其樹者不折其枝，實欲微立塵效。」
HCH_015_049_000145	沖深相許諾，共結盟誓。
HCH_015_049_000146	乃分部拒守。
HCH_015_049_000147	遣軍主孫樂祖數千人助僧寄據魯山岸立城壘。
HCH_015_049_000148	明年二月，梁王出沔口，圍魯山城。
HCH_015_049_000149	遣軍主曹景宗等過江攻郢城，未及盡濟，沖遣中兵參軍陳光靜等開門出擊，爲義師所破，光靜戰死，沖固守不出。
HCH_015_049_000150	景宗於是據石橋浦，連軍相續，下至加湖。
HCH_015_049_000151	東昏遣軍主巴西梓潼二郡太守吳子陽、光子衿、李文釗、陳虎牙等十三軍援郢，至加湖不得進，乃築城舉烽，城內亦舉火應之。
HCH_015_049_000152	而內外各自保，不能相救。
HCH_015_049_000153	沖病死，元嗣、榮伯與沖子孜及長史江夏內史程茂固守。
HCH_015_049_000154	東昏詔贈沖散騎常侍、護軍將軍。
HCH_015_049_000155	假元嗣子陽節。
HCH_015_049_000156	江水暴長，加湖城淹漬，義師乘高艦攻之，子陽等大敗散。
HCH_015_049_000157	魯山城乏糧，軍人於磯頭捕細魚供食，密治輕船，將奔夏口。
HCH_015_049_000158	梁王命偏軍斷其取路，防備越逸。
HCH_015_049_000159	房僧寄病死，孫樂祖窘，以城降。
HCH_015_049_000160	郢城被圍二百餘日，士庶病死者七八百家。
HCH_015_049_000161	魯山旣敗，程茂及元嗣等議降，使孜爲書與梁王。
HCH_015_049_000162	沖故吏青州治中房長瑜謂孜曰：「前使君忠貫昊天，操逾松竹。郎君但當端坐畫一，以荷析薪。若天運不與，幅巾待命，以下從使君。今若隨諸人之計，非唯郢州士女失高山之望，亦恐彼所不取也。」
HCH_015_049_000163	魯山陷後二日，元嗣等以郢城降。
HCH_015_049_000164	東昏以程茂爲督郢司二州、輔國將軍、郢州刺史，元嗣爲督雍梁南北秦四州郢州之竟陵司州之隨郡、冠軍將軍、雍州刺史，竝持節。
HCH_015_049_000165	時郢魯二城已降，死者相積，竟無叛散。
HCH_015_049_000166	時以沖及房僧寄比臧洪之被圍也。
HCH_015_049_000167	贈僧寄益州刺史。
HCH_015_049_000168	時新蔡太守席謙，永明中爲中書郎王融所薦。
HCH_015_049_000169	父恭穆，鎮西司馬，爲魚復侯所害。
HCH_015_049_000170	至是謙鎮盆城，聞義師東下，曰：「我家世忠貞，殞死不二。」
HCH_015_049_000171	爲陳伯之所殺。
HCH_015_049_000172	史臣曰：石碏棄子，弘滅親之戒；鮑永晚降，知事新之節。
HCH_015_049_000173	王奐誠在靡貳，迹允嚴科；張沖未達天心，守迷義運。
HCH_015_049_000174	致危之理異，爲亡之事一也。
HCH_015_049_000175	贊曰：王居北牧，子未克家。
HCH_015_049_000176	終成干紀，覆此冑華。
HCH_015_049_000177	張壘窮守，死如亂麻。
HCH_015_049_000178	爲悟旣晚，辯見方賒。
HCH_015_049_000179	本南北朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
