HCH_012_235_000030	帝命逮應參、應望詔獄，革汝訓職，詰吏部都察院任用非人。
HCH_012_235_000031	尚書孫丕揚、都御史衷貞吉等引罪，且論救。
HCH_012_235_000032	帝意未釋，謫救應參者給事中喬胤等於外。
HCH_012_235_000033	言官訟汝訓、應參，亦及胤，帝愈怒。
HCH_012_235_000034	疏入，輒重胤譴，至除名，而謫應望戍煙瘴，應參為民。
HCH_012_235_000035	汝訓家居十五年，起南京刑部右侍郎。
HCH_012_235_000036	召改工部，署部事。
HCH_012_235_000037	初，礦稅興，以助大工為名。
HCH_012_235_000038	後悉輸內帑，不以供營繕。
HCH_012_235_000039	而四方采木之需多至千萬，費益不訾。
HCH_012_235_000040	汝訓屢請發帑佐工，皆不報。
HCH_012_235_000041	在部歲餘，力清夙弊。
HCH_012_235_000042	中官請乞，輒執奏不予，節冗費數萬。
HCH_012_235_000043	卒，贈工部尚書，謚恭介。
HCH_012_235_000044	余懋學，字行之，婺源人。
HCH_012_235_000045	隆慶二年進士。
HCH_012_235_000046	授撫州推官，擢南京戶科給事中。
HCH_012_235_000047	萬歷初，張居正當國，進《白燕白蓮頌》。
HCH_012_235_000048	懋學以帝方憂旱，下詔罪己，與百官圖修禳。
HCH_012_235_000049	而居正顧獻瑞，非大臣誼，抗疏論之。
HCH_012_235_000050	已，論南京守備太監申信不法，帝為罷信。
HCH_012_235_000051	久之，陳崇惇大、親謇諤、慎名器、戒紛更、防佞諛五事。
HCH_012_235_000052	時居正方務綜核，而懋學疏與之忤，斥為民，永不敘錄。
HCH_012_235_000053	居正死，起懋學故官，奏奪成國公朱希忠王爵，請召還光祿少卿嶽相、給事中魏時亮等十八人。
HCH_012_235_000054	帝俱報可。
HCH_012_235_000055	尋擢南京尚寶卿。
HCH_012_235_000056	十三年，御史李植、江東之等以言事忤執政。
HCH_012_235_000057	同官蔡系周、孫愈賢希執政指，紛然攻訐，懋學上言：諸臣之不能容植等，一則以科場不能無私，而惡植等之訐發；一則以往者常保留居正，而忌吳中行、沈思孝等之召用。
HCH_012_235_000058	二疑交於中，故百妒發於外也。
HCH_012_235_000059	夫威福自上，則主勢尊。
HCH_012_235_000060	植等三臣，陛下所親擢者也，乃舉朝臣工百計排之；假令政府欲用一人，諸臣敢力挫之乎？
HCH_012_235_000061	臣謹以臣工之十蠹為陛下言之。
HCH_012_235_000062	今執政大臣，一政之善，輒矜贊導之功，一事之失，輒諉挽回之難，是為誣上。
HCH_012_235_000063	其蠹一。
HCH_012_235_000064	進用一人，執政則曰我所註意也，冢宰則曰我所推轂也，選郎則曰我所登用也。
HCH_012_235_000065	受爵公朝，拜恩私室，是為招權。
HCH_012_235_000066	其蠹二。
HCH_012_235_000067	陛下天縱聖明，猶虛懷納諫。
HCH_012_235_000068	乃二三大僚，稍有規正，輒奮袂而起，惡聲相加，是為諱疾。
HCH_012_235_000069	其蠹三。
HCH_012_235_000070	中外臣工，率探政府意向，而不恤公論。
HCH_012_235_000071	論人則毀譽視其愛憎，行政則舉置徇其喜怒，是為承望。
HCH_012_235_000072	其蠹四。
HCH_012_235_000073	君子立身，和而不同。
HCH_012_235_000074	今當路意有所主，則群相附和，敢於抗天子，而難於違大臣，是為雷同。
HCH_012_235_000075	其蠹五。
HCH_012_235_000076	我國家諫無專官，今他曹稍有建白，不曰出位，則曰沽名，沮忠直之心，長壅蔽之漸，是為阻抑。
HCH_012_235_000077	其蠹六。
HCH_012_235_000078	自張居正蒙蔽主聰，道路以目，今余風未殄，欺罔日滋。
HCH_012_235_000079	如潘季馴之斥，大快人心，而猶累牘連章為之申雪，是為欺罔。
HCH_012_235_000080	其蠹七。
HCH_012_235_000081	近中外臣僚或大臣交攻，或言官相訐，始以自用之私，終之好勝之習。
HCH_012_235_000082	好勝不已，必致忿爭，忿爭不已，必致黨比。
HCH_012_235_000083	唐之牛、李，宋之洛、蜀，其初豈不由一言之相失哉？
HCH_012_235_000084	是為競勝。
HCH_012_235_000085	其蠹八。
HCH_012_235_000086	佞諛成風，日以浸甚。
HCH_012_235_000087	言及大臣，則等之伊、傅；言及邊帥，則擬以方、召；言及中官，則誇呂、張復出；言及外吏，則頌卓、魯重生。
HCH_012_235_000088	非藉結歡，即因邀賂，是為佞諛。
HCH_012_235_000089	其蠹九。
HCH_012_235_000090	國家設官，各有常職。
HCH_012_235_000091	近兩京大臣，務建白以為名高，侵職掌而聽民訟。
HCH_012_235_000092	長告訐之風，失具瞻之體，是為乖戾。
HCH_012_235_000093	其蠹十也。
HCH_012_235_000094	懋學夙以直節著稱，其摘季馴不無過當。
HCH_012_235_000095	然所言好勝之弊，必成朋黨，後果如其言。
HCH_012_235_000096	累遷南京戶部右侍郎，總理漕儲。
HCH_012_235_000097	疏白程任卿、江時之冤，二人遂得釋。
HCH_012_235_000098	二十一年，以拾遺論罷。
HCH_012_235_000099	卒，贈工部尚書。
HCH_012_235_000100	天啟初，追謚恭穆。
HCH_012_235_000101	張養蒙，字泰亨，澤州人。
HCH_012_235_000102	萬歷五年進士。
HCH_012_235_000103	選庶吉士，歷吏科左給事中。
HCH_012_235_000104	少負才名，明習天下事。
HCH_012_235_000105	居言職，慷慨好建白。
HCH_012_235_000106	以南北多水旱，條上治奸民、恤流民、愛富民三事，帝嘉納之。
HCH_012_235_000107	錦衣都指揮羅秀營僉書，兵部尚書王遴格不行，失歡權要而去，秀竟夤緣得之。
HCH_012_235_000108	養蒙疏發其狀，事具遴傳。
HCH_012_235_000109	御史高維崧等言事被謫，養蒙偕同官論救，復特疏訟之。
HCH_012_235_000110	忤旨，奪俸。
HCH_012_235_000111	尋遷工科都給事中。
HCH_012_235_000112	都御史潘季馴奏報河工，養蒙上言曰：「二十年來，河幾告患矣。當其決，隨議塞，當其淤，隨議浚，事竣輒論功。夫淤決則委之天災而不任其咎，浚塞則歸之人事而共蒙其賞。及報成未久，懼有後虞，急求謝事，而繼者復告患矣。其故皆由不久任也。夫官不久任，其弊有三：後先異時也，人己異見也，功罪難執也。請仿邊臣例，增秩久任，斯職守專而可責成功。」
HCH_012_235_000113	帝深然之。
HCH_012_235_000114	有詔潞安進綢二千四百匹。
HCH_012_235_000115	未幾，復命增五千。
HCH_012_235_000116	養蒙率同官力爭，且曰：「從來傳奉職造，具題者內臣，擬旨者閣臣，抄發者科臣。今徑下部，非祖制。」
HCH_012_235_000117	不從。
HCH_012_235_000118	出為河南右參政。
HCH_012_235_000119	尋召為太僕少卿，四遷左副都御史。
HCH_012_235_000120	二十四年，極諫時政闕失，言：邇來殿廷希禦，上下不交。
