HCH_010_068_000000	朔漠以畜牧射獵為業，猶漢人之劭農，生生之資于是乎出。
HCH_010_068_000001	自遼有國，建立五京，置南北院，控制諸夏，而遊田之習，尚因其舊。
HCH_010_068_000002	太祖經營四方，有所不暇，穆宗、天祚之世，史不勝書。
HCH_010_068_000003	今援司馬遷別書《封禪》例，列于表，觀者固足以鑒云。
HCH_010_068_000004	作《遊幸表》。
HCH_010_068_000005	本元朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
