HCH_012_249_000107	邦彥聞之，分守陸廣、鴨池、三岔諸要害，別以一軍趨遵義，自稱四裔大長老，號崇明大梁王，合兵十餘萬，先犯赤水。
HCH_012_249_000108	燮元授計成名，誘賊至永寧，乃遣總兵官林兆鼎從三岔入。
HCH_012_249_000109	副將王國禎從陸廣入，劉養鯤從遵義入，合傾其巢。
HCH_012_249_000110	邦彥恃勇，擬先破永寧軍，還拒諸將，急索戰。
HCH_012_249_000111	四川總兵官侯良柱、副使劉可訓遇賊十萬於五峰山、桃紅壩，大破之。
HCH_012_249_000112	賊奔據山巔。
HCH_012_249_000113	諸將乘霧力攻，賊復大敗。
HCH_012_249_000114	又追敗之紅土川，邦彥、崇明皆授首，時二年八月十有七日也。
HCH_012_249_000115	捷聞，帝大喜。
HCH_012_249_000116	以成名與良柱爭功，賞久不行。
HCH_012_249_000117	烏撒安效良死，其妻安氏招故沾益土酋安遠弟邊為夫，負固不服。
HCH_012_249_000118	燮元乘兵威脅走邊，遂復烏撒。
HCH_012_249_000119	燮元以境內賊略盡，不欲窮兵，乃檄招安位，位不決。
HCH_012_249_000120	燮元集將吏議曰：「水西地深險多箐篁，蠻煙僰雨，莫辨晝夜，深入難出。今當扼其要害，四面叠攻，賊乏食，將自斃。」
HCH_012_249_000121	於是攻之百餘日，斬級萬餘。
HCH_012_249_000122	養鯤復遣人入大方，燒其室廬。
HCH_012_249_000123	位大恐，三年春，遣使乞降。
HCH_012_249_000124	燮元與約四事：一、貶秩，二、削水外六目地歸之朝廷，三、獻殺王巡撫者首，四、開畢節等九驛。
HCH_012_249_000125	位請如約，率四十八目出降。
HCH_012_249_000126	燮元受之，貴州亦靖。
HCH_012_249_000127	遂上善後疏曰：「水西自河以外，悉入版圖。沿河要害，臣築城三十六所，近控蠻苗，遠聯滇、蜀，皆立邸舍，繕郵亭，建倉廩，賊必不敢猝入為寇。鴨池、安莊傍河可屯之土，不下二千頃，人賦土使自贍，鹽酪芻茭出其中。諸將士身經數百戰，咸願得尺寸地長子孫，請割新疆以授之，使知所激勸。」
HCH_012_249_000128	帝報可。
HCH_012_249_000129	初，崇明、邦彥之死，實川中諸將功，而黔將爭之。
HCH_012_249_000130	燮元頗右黔將，屢奏於朝，為四川巡按御史馬如蛟所劾。
HCH_012_249_000131	燮元力求罷，帝慰留之。
HCH_012_249_000132	其冬討平定番、鎮寧叛苗，乃通威清等上六衛及平越、清平、偏橋、鎮遠四衛道路，凡一千六百餘里，繕亭障，置遊僥。
HCH_012_249_000133	貴陽東北有洪邊十二馬頭，故宣慰宋嗣殷地也。
HCH_012_249_000134	嗣殷以助邦彥被剿滅，乃即其地置開州，又奏復故施秉縣，招流民實之。
HCH_012_249_000135	四年，阿迷州土官普名聲作亂，陷彌勒州曲江所，又攻臨安及寧州，遠近震動。
HCH_012_249_000136	巡撫王伉、總兵官沐天波不能禦，伉逮戍。
HCH_012_249_000137	燮元遣兵臨之，遂就撫。
HCH_012_249_000138	龍場壩者，鄰大方，邦彥以假崇明。
HCH_012_249_000139	崇明既滅，總兵侯良柱欲設官屯守以自廣。
HCH_012_249_000140	而安位謂己故地，數舉兵爭，燮元不之禁。
HCH_012_249_000141	會燮元劾良柱不職；良柱亦訐燮元曲庇安氏，納其重賄。
HCH_012_249_000142	章下四川巡按御史劉宗祥。
HCH_012_249_000143	宗祥亦劾燮元受賄，且以龍場、永寧不置邑衛為欺罔。
HCH_012_249_000144	帝以責燮元，燮元乃上言：「禦夷之法，來則安之，不專在攻取也。今水西已納款，惟明定疆界，俾自耕牧，以輸國賦。若設官屯兵，此地四面孤懸，中限河水，不利應援，築城守渡，轉運煩費。且內激藺州必死之鬥，外挑水西扼吭之嫌，兵端一開，未易猝止，非國家久遠計。」
HCH_012_249_000145	帝猶未許。
HCH_012_249_000146	後勘其地，果如所議。
HCH_012_249_000147	論桃紅壩功，進少師，世蔭錦衣指揮使。
HCH_012_249_000148	一品六年滿，加左柱國。
HCH_012_249_000149	再議平賊功，世蔭錦衣指揮僉事。
HCH_012_249_000150	十年，安位死，無嗣，族屬爭立。
HCH_012_249_000151	朝議又欲郡縣其地，燮元力爭。
HCH_012_249_000152	遂傳檄土目，布上威德。
