HCH_012_174_000095	也先逼京師，景帝詔聚與焦禮俱入衛。
HCH_012_174_000096	聚慟哭，即日引兵西。
HCH_012_174_000097	部下進牛酒，聚揮之曰：「天子安在？吾屬何心饗此！」
HCH_012_174_000098	比至，寇已退，乃還。
HCH_012_174_000099	聚以勇敢稱，官至左都督。
HCH_012_174_000100	值英宗推恩，得封伯。
HCH_012_174_000101	後義二年卒，贈侯，謚威靖。
HCH_012_174_000102	義三傳至棟，聚四傳至瑾，吏部皆言不當復襲，世宗特許之。
HCH_012_174_000103	傳爵至明亡。
HCH_012_174_000104	許貴，字用和，江都人，永新伯成子也。
HCH_012_174_000105	襲職為羽林左衛指揮使。
HCH_012_174_000106	安鄉伯張安舉貴將才，試騎射及策皆最，擢署都指揮同知。
HCH_012_174_000107	尋以武進伯朱冕薦擢山西行都司，督操大同諸衛士馬。
HCH_012_174_000108	正統末，守備大同西路。
HCH_012_174_000109	也先入寇，從石亨戰陽和後口，敗績，貴力戰得還。
HCH_012_174_000110	英宗北狩，邊城悉殘破，大同當敵沖，人心尤恟懼。
HCH_012_174_000111	貴以忠義激戰士。
HCH_012_174_000112	敵來，擊敗之。
HCH_012_174_000113	進都指揮使。
HCH_012_174_000114	景泰元年春，充右參將。
HCH_012_174_000115	敵寇威遠，追敗之浦州營，奪還所掠人畜。
HCH_012_174_000116	敵萬騎逼城下，禦卻之。
HCH_012_174_000117	再遷都督同知。
HCH_012_174_000118	大同乏馬，命求民間，得八百餘匹。
HCH_012_174_000119	所司不給直，貴為請，乃予之。
HCH_012_174_000120	嘗募死士入賊壘，劫馬百餘，悉畀戰士，士皆樂為用。
HCH_012_174_000121	分守中官韋力轉淫虐，眾莫敢言，貴劾奏之。
HCH_012_174_000122	三年，疾還京。
HCH_012_174_000123	英宗復辟，命理左府事，尋調南京。
HCH_012_174_000124	松潘地雜番苗，密邇董卜韓胡，舊設參將一人。
HCH_012_174_000125	天順五年，守臣告警，廷議設副總兵，以貴鎮守。
HCH_012_174_000126	未抵鎮而山都掌蠻叛，詔便道先翦之。
HCH_012_174_000127	貴分兩哨直抵其巢，連破四十餘寨。
HCH_012_174_000128	斬首千一百級，生擒八百餘人，余賊遠遁。
HCH_012_174_000129	貴亦感嵐氣，未至松潘卒。
HCH_012_174_000130	帝為輟朝一日，賜賻及祭葬如制。
HCH_012_174_000131	子寧，字誌道。
HCH_012_174_000132	正統末，自以舍人從軍有功，為錦衣千戶。
HCH_012_174_000133	貴歿，嗣指揮使。
HCH_012_174_000134	用薦擢署都指揮僉事，守禦柴溝堡。
HCH_012_174_000135	成化初，充大同遊擊將軍。
HCH_012_174_000136	寇入犯，與同官秦傑等禦之小龍州澗，擒其右丞把禿等十一人。
HCH_012_174_000137	改督宣府操練，移延綏。
HCH_012_174_000138	地逼河套，寇數入掠孤山堡。
HCH_012_174_000139	寧提孤軍奮擊之，三戰皆捷，寇渡河走。
HCH_012_174_000140	明年復以三千騎入沙河墩，與總兵官房能禦之。
HCH_012_174_000141	寇退，復掠康家岔。
HCH_012_174_000142	寧出塞百五十里，追與戰，獲馬牛羊千餘而還。
HCH_012_174_000143	時能守延綏，無將略，巡撫王銳請濟師。
HCH_012_174_000144	詔大同巡撫王越帥眾赴，越遣寧出西路。
HCH_012_174_000145	破敵黎家澗，進都指揮同知。
HCH_012_174_000146	復遣寧與都指揮陳輝追寇，獲馬騾六百。
HCH_012_174_000147	朝廷以阿羅出復入河套，頻擾邊，命越與朱永禦，而以寧才，擢都督僉事，佩靖虜副將軍印，代能充總兵官。
HCH_012_174_000148	寧起世胄，不十年至大將，同列推讓不及，父友多隸部下，亦不以為驟。
HCH_012_174_000149	逾月，寇大入，永遣寧及遊擊孫鉞禦之。
HCH_012_174_000150	至波羅堡，相持三日夜，寇乃解去。
HCH_012_174_000151	亡失多，寧以力戰得出，卒被賞。
HCH_012_174_000152	至冬，賊入安邊，寧追擊有功。
HCH_012_174_000153	七年又與諸將孫鉞、祝雄等敗寇於滉忽都河，璽書褒獎。
HCH_012_174_000154	迤北開元王把哈孛羅屢欲降，內懼朝廷見罪，外畏河羅出仇之，徬徨不決。
HCH_012_174_000155	寧請撫慰以固其心，卒降之。
HCH_012_174_000156	明年，參將錢亮敗績於師婆澗。
HCH_012_174_000157	士卒死者十三四，寧與越等俱被劾。
HCH_012_174_000158	帝不罪。
HCH_012_174_000159	時滿都魯等屢犯延綏，寧帥鎮兵力戰。
HCH_012_174_000160	寇不得誌，乃出西路，直犯環慶、固原。
HCH_012_174_000161	寧將輕騎夜襲之鴨子湖，奪馬畜而還。
HCH_012_174_000162	又明年，寇入榆林澗，與巡撫余子俊敗之。
HCH_012_174_000163	滿都魯等大入西路，留其家紅鹽池。
HCH_012_174_000164	越乘間與寧及宣府將周玉襲破其巢。
HCH_012_174_000165	進署都督同知。
HCH_012_174_000166	與子俊築邊墻，增營堡，寇患少衰。
HCH_012_174_000167	十八年，寇分數道入，寧蹙之邊墻，獲級百二十。
HCH_012_174_000168	予實授。
HCH_012_174_000169	時越方鎮大同，命寧與易鎮。
HCH_012_174_000170	至則與鎮守太監汪直不協。
HCH_012_174_000171	巡撫郭鏜以聞，調直南京。
HCH_012_174_000172	小王子大入。
HCH_012_174_000173	寧知敵勢盛，欲持重俟隙，乃斂兵守，而別遣將劉寧、董升與周璽相犄角。
HCH_012_174_000174	寇大掠，焚代王別堡。
HCH_012_174_000175	王趣戰，使眾哭於轅門。
HCH_012_174_000176	寧憤，與鏜等營城外。
HCH_012_174_000177	寇以十餘人為誘，太監蔡新部騎馳擊。
HCH_012_174_000178	寧將士爭赴之，遇伏大敗，死者千餘人。
HCH_012_174_000179	寧奔夏米莊，鏜、新馳入城。
HCH_012_174_000180	會璽等來援，寇乃退。
HCH_012_174_000181	寧還，陣亡家婦子號呼詬詈，擲以瓦礫，寧大喪氣。
HCH_012_174_000182	已而寇復入，劉寧、宋澄、莊鑒等禦之。
HCH_012_174_000183	十戰，少利，寇退。
HCH_012_174_000184	寧等掩其敗，更以捷聞。
HCH_012_174_000185	巡按程春震發之，與鏜、新俱下獄。
HCH_012_174_000186	鏜降六官，新以初任降三官，寧降指揮同知閑住。
HCH_012_174_000187	弘治中，用薦署都指揮使，分領操練。
HCH_012_174_000188	十一年十二月卒。
HCH_012_174_000189	贈都督僉事。
HCH_012_174_000190	寧束發從軍，大小百十餘戰，身被二十七創。
HCH_012_174_000191	性沈毅，守官廉，待士有恩，不屑幹進。
HCH_012_174_000192	劉寧、神英、李杲皆出麾下。
HCH_012_174_000193	子泰，自有傳。
HCH_012_174_000194	周賢，滁人，襲宣府前衛千戶。
HCH_012_174_000195	景泰初，累功至都指揮僉事，守備西貓兒峪，助副總兵孫安守石八城。
HCH_012_174_000196	尋充右參將，代安鎮守。
HCH_012_174_000197	兀良哈入寇，總兵官過興令宣府副將楊信及賢合擊。
HCH_012_174_000198	賢不俟信，徑擊敗之。
HCH_012_174_000199	信被劾，都御史李秉言信緩師，賢亦棄約。
HCH_012_174_000200	帝兩宥之。
HCH_012_174_000201	天順初，總兵官楊能奏賢擢都督僉事。
HCH_012_174_000202	寇駐塞下，能檄賢與大軍會，失期，征下獄。
HCH_012_174_000203	以故官赴寧夏，隸定遠伯石彪。
HCH_012_174_000204	寇二萬騎入安邊營。
HCH_012_174_000205	彪率賢等擊之，連戰皆捷，追至野馬澗、半坡墩，寇大敗。
HCH_012_174_000206	而賢追不已，中流矢卒。
HCH_012_174_000207	詔贈都督同知。
HCH_012_174_000208	賢初下吏，自以不復用，及得釋，感激誓死報，竟如其誌。
HCH_012_174_000209	子玉，字廷璧，當嗣指揮使。
HCH_012_174_000210	以父死事，超二官為萬全都司都指揮同知，督理屯田。
HCH_012_174_000211	進都指揮使，充宣府遊擊將軍。
HCH_012_174_000212	成化九年，會昌侯孫繼宗等奉詔舉將才，玉為首。
HCH_012_174_000213	詔率所部援延綏，從王越襲紅鹽池。
HCH_012_174_000214	進署都督僉事，還守宣府。
HCH_012_174_000215	寇入馬營、赤城，擊敗之。
HCH_012_174_000216	兵部言宣府諸大帥無功，玉所部三千人能追敵出境，請加一秩酬其勞，乃予實授。
HCH_012_174_000217	尋充宣府副總兵。
HCH_012_174_000218	十三年佩征朔將軍印，鎮宣府。
HCH_012_174_000219	破敵紅崖，追奔至水磨灣。
HCH_012_174_000220	進署都督同知。
HCH_012_174_000221	十七年五月，寇復入犯，參將吳儼、少監崖榮追出塞，至赤把都，為所遮，兵分為三，皆被圍。
HCH_012_174_000222	儼、榮走據北山，因甚。
HCH_012_174_000223	守備張澄率兵進，力戰，解二圍。
HCH_012_174_000224	抵北山下，儼、榮已夜遁。
HCH_012_174_000225	澄拔其眾而還，死者過半。
HCH_012_174_000226	澄所部七百人，亦多戰死。
HCH_012_174_000227	詔錄澄功，治儼等罪。
HCH_012_174_000228	玉先以葛谷堡、赤城頻受掠，凡三被論，至是復以節制不嚴見劾。
HCH_012_174_000229	帝皆置不問。
HCH_012_174_000230	十九年，小王子犯大同。
HCH_012_174_000231	敗總兵官許寧。
HCH_012_174_000232	入順聖川大掠，以六千騎寇宣府。
HCH_012_174_000233	玉將二千人前行，巡撫秦纮兵繼進，至白腰山擊敗之。
HCH_012_174_000234	指揮曹洪邀擊至西陽河，都指揮孫成亦敗寇七馬房。
HCH_012_174_000235	時寇乘勝，氣甚銳，竟為玉等所挫，一時稱其功。
HCH_012_174_000236	未幾，寇復入，玉伏兵敗之。
HCH_012_174_000237	朱永至大同，復會玉軍擊敗之鵓鴿峪。
HCH_012_174_000238	進署右都督。
HCH_012_174_000239	余子俊築邊墻，玉不為力，且與纮不相能。
HCH_012_174_000240	子俊惡之，奏與寧夏神英易鎮。
HCH_012_174_000241	久之，復移鎮甘肅。
HCH_012_174_000242	孝宗嗣位，實授右都督。
HCH_012_174_000243	玉督邊墻工峻急，部卒張伏興等以瓦石投之。
HCH_012_174_000244	兵部言，悍卒漸不可長，遂戮伏興，戍其黨。
HCH_012_174_000245	土魯番貢獅子，願獻還哈密成及金印，贖所留使者。
HCH_012_174_000246	玉為之奏，帝命與巡撫王繼經畫。
HCH_012_174_000247	既果來歸，玉等皆受賚。
HCH_012_174_000248	七年，病歸，尋卒。
HCH_012_174_000249	謚武僖。
HCH_012_174_000250	玉初為偏裨，及鎮宣府，甚有名。
HCH_012_174_000251	後蒞甘肅，部下屢失事，又侵屯田。
HCH_012_174_000252	死後事發，子襲職，降二等。
HCH_012_174_000253	歐信，嗣世職金吾右衛指揮使。
HCH_012_174_000254	景泰三年以廣東破賊功，擢都指揮同知。
HCH_012_174_000255	已，命守備白羊口，遷大寧都指揮使。
HCH_012_174_000256	天順初，以都督僉事充參將，守備廣東雷、廉諸府。
HCH_012_174_000257	巡撫葉盛薦其廉勇。
HCH_012_174_000258	進都督同知，代副總兵翁信。
HCH_012_174_000259	兩廣瑤僮陷開建，殺官吏，帝趣進兵。
HCH_012_174_000260	信破賊化州之馬裏村，再破之石城，擊斬海南衛反者邵瑄。
HCH_012_174_000261	時所在盜群起，將吏不能定。
HCH_012_174_000262	廣西參將範信守潯、梧，瑤盡在境內，陰納瑤賂，縱使越境流劫，約毋犯己。
HCH_012_174_000263	於是雷、廉、高、肇悉被寇。
HCH_012_174_000264	帝命廣西總兵官陳涇及信合剿。
HCH_012_174_000265	時有斬馘，而賊勢不衰，朝廷猶倚範信。
HCH_012_174_000266	會涇以罪征，乃擢範信都督僉事充副總兵，鎮廣東，而命信佩征蠻將軍印，代涇鎮廣西。
HCH_012_174_000267	成化元年，賊掠英德諸縣，信討斬五百餘人，奪還人口。
HCH_012_174_000268	韓雍督師，令信等分五哨，攻破大藤峽。
HCH_012_174_000269	已而余賊復入潯州，信被劾獲宥，召還，理前府事。
HCH_012_174_000270	七年春，充總兵官，鎮守遼東，累敗福余三衛。
HCH_012_174_000271	言者謂信已老，請召還。
HCH_012_174_000272	巡撫彭誼奏：「官軍耆老五千餘人，皆言信忠謹有謀勇，累立戰功，威鎮邊陲。年六旬，騎射勝壯士，不宜召回。」
HCH_012_174_000273	乃留鎮如故。
HCH_012_174_000274	久之，陳鉞代誼。
HCH_012_174_000275	鉞貪功，信不能違，十四年為巡按王崇之所劾。
HCH_012_174_000276	其冬，乃召歸。
HCH_012_174_000277	尋遣中官汪直等往按，直右鉞，歸罪信等。
HCH_012_174_000278	下獄，鐫一官閑住，飲恨而卒。
HCH_012_174_000279	範信既徙廣東，賊勢愈盛，劫掠不止，乃語人曰：「今賊仍犯廣東，亦我遣之耶。」
HCH_012_174_000280	而是時都督顏彪佩征夷將軍印，討賊久無功，濫殺良民報捷。
HCH_012_174_000281	嶺南人鹹疾之。
HCH_012_174_000282	王璽，太原左衛指揮同知也。
HCH_012_174_000283	成化初，擢署都指揮僉事，守禦黃河七墅。
HCH_012_174_000284	巡撫李侃薦於朝。
HCH_012_174_000285	阿魯出寇延綏，命充遊擊將軍赴援，戰孤山堡，敗之。
HCH_012_174_000286	寇再入，戰漫天嶺、劉宗塢及漫塔、水磨川，皆有功。
HCH_012_174_000287	進都指揮同知，充副總兵，鎮守寧夏。
HCH_012_174_000288	九年以將才與周玉同薦。
HCH_012_174_000289	十二年擢署都督僉事，充總兵官，鎮守甘肅。
HCH_012_174_000290	黃河以西，自莊浪抵肅州南山，其外番人阿吉等二十九族所居也。
HCH_012_174_000291	洪武間，立石畫界，約樵牧毋越疆，歲久湮廢，諸番往往闌入，而中國無賴人又潛與交通為邊患。
HCH_012_174_000292	璽請「復畫疆域，召集諸番，諭以界石廢，恐官軍欺淩諸部，今復立之，聽界外駐牧，互市則入關。如此，番人必聽命，可潛消他日憂。」
HCH_012_174_000293	帝稱善，從之。
HCH_012_174_000294	十七年進署都督同知。
HCH_012_174_000295	時璽以都督僉事為總兵官，而魯鑒以署都督同知為參將，璽恐難於節制，乞解兵柄，故有是命。
HCH_012_174_000296	初，哈密為土魯番所擾，使其將牙蘭守之。
HCH_012_174_000297	都督罕慎寄居苦峪口，近赤斤、罕東，數相攻，罕慎勢窮無援。
HCH_012_174_000298	朝議敕璽築城苦峪，別立哈密衛以居之。
HCH_012_174_000299	璽遣諜者間牙蘭。
HCH_012_174_000300	牙蘭不聽，得其所羈掠九十餘人以歸，具悉虛實。
HCH_012_174_000301	十七年召集赤斤、罕東將士，犒以牛酒，令助罕慎。
HCH_012_174_000302	罕慎合二衛兵，夜襲哈密及剌木等八城，遂復其地，仍令罕慎居之。
HCH_012_174_000303	事聞，獎勞，賚金幣。
HCH_012_174_000304	已，罕東入寇，璽禦卻之，請興師以討。
HCH_012_174_000305	帝念其常助罕慎，第遣使責諭。
HCH_012_174_000306	明年，北寇殺哨卒，璽率參將李俊及赤斤兵擊之於狼心山、黑河西，多所斬獲。
HCH_012_174_000307	二十年移鎮大同。
HCH_012_174_000308	璽有復哈密功，官不進，陳於朝，乃實授都督同知。
HCH_012_174_000309	璽習韜略，諳文事，勇而有謀。
HCH_012_174_000310	廷臣多稱之。
HCH_012_174_000311	在邊二十餘年，為番人所憚。
HCH_012_174_000312	弘治元年卒。
