HCH_015_032_000075	明帝初，四方反，帝以岱堪幹舊才，除使持節、督西豫州諸軍事、輔國將軍、西豫州刺史。
HCH_015_032_000076	尋徙爲冠軍將軍、北徐州刺史，都督北討諸軍事，竝不之官。
HCH_015_032_000077	泰始末，爲吳興太守。
HCH_015_032_000078	元徽中，遷使持節、督益寧二州軍事、冠軍將軍、益州刺史。
HCH_015_032_000079	數年，益土安其政。
HCH_015_032_000080	徵侍中，領長水校尉，度支尚書，領左軍，遷吏部尚書。
HCH_015_032_000081	王儉爲吏部郎，時專斷曹事，岱每相違執，及儉爲宰相，以此頗不相善。
HCH_015_032_000082	兄子瓌、弟恕，誅吳郡太守劉遐。
HCH_015_032_000083	太祖欲以恕爲晉陵郡，岱曰：「恕未閑從政，美錦不宜濫裁。」
HCH_015_032_000084	太祖曰：「恕爲人，我所悉。且又與瓌同勳，自應有賞。」
HCH_015_032_000085	岱曰：「若以家貧賜祿，此所不論；語功推事，臣門之恥。」
HCH_015_032_000086	尋加散騎常侍。
HCH_015_032_000087	建元元年，出爲左將軍、吳郡太守。
HCH_015_032_000088	太祖知岱歷任清直，至郡未幾，手敕岱曰：「大邦任重，乃未欲回換，但總戎務殷，宜須望實，今用卿爲護軍。」
HCH_015_032_000089	加給事中。
HCH_015_032_000090	岱拜竟，詔以家爲府。
HCH_015_032_000091	陳疾。
HCH_015_032_000092	明年，遷金紫光祿大夫，領鄱陽王師。
HCH_015_032_000093	世祖卽位，復以岱爲散騎常侍、吳興太守，秩中二千石。
HCH_015_032_000094	岱晚節在吳興，更以寬恕著名。
HCH_015_032_000095	遷使持節監南兖兖徐青冀五州諸軍事、後將軍、南兖州刺史，常侍如故。
HCH_015_032_000096	未拜，卒。
HCH_015_032_000097	年七十一。
HCH_015_032_000098	岱初作遺命，分張家財，封置箱中，家業張減，隨復改易，如此十數年。
HCH_015_032_000099	贈本官，諡貞子。
HCH_015_032_000100	褚炫字彥緒，河南陽翟人也。
HCH_015_032_000101	祖秀之，宋太常。
HCH_015_032_000102	父法顯，鄱陽太守。
HCH_015_032_000103	兄炤，字彥宣，少秉高節，一目眇，官至國子博士，不拜。
HCH_015_032_000104	常非從兄淵身事二代，聞淵拜司徒，歎曰：「使淵作中書郎而死，不當是一名士邪！名德不昌，遂令有期頤之壽。」
HCH_015_032_000105	炫少清簡，爲從舅王景文所知。
HCH_015_032_000106	從兄淵謂人曰：「從弟廉勝獨立，乃十倍於我也。」
HCH_015_032_000107	宋義陽王昶爲太常，板炫補五官，累遷太子舍人，撫軍車騎記室，正員郎。
HCH_015_032_000108	從宋明帝射雉，至日中，無所得。
HCH_015_032_000109	帝甚猜羞，召問侍臣曰：「吾旦來如皐，遂空行，可笑。」
HCH_015_032_000110	座者莫荅。
HCH_015_032_000111	炫獨曰：「今節候雖適，而雲露尚凝，故斯翬之禽，驕心未警。但得神駕游豫，羣情便爲載懽。」
HCH_015_032_000112	帝意解，乃於雉場置酒。
HCH_015_032_000113	遷中書侍郎，司徒右長史。
HCH_015_032_000114	昇明初，炫以清尚，與劉俁、謝朏、江效入殿侍文義，號爲「四友」。
HCH_015_032_000115	遷黃門郎，太祖驃騎長史，遷侍中，復爲長史。
HCH_015_032_000116	齊臺建，復爲侍中，領步兵校尉。
HCH_015_032_000117	以家貧，建元初，出補東陽太守，加秩中二千石。
HCH_015_032_000118	還，復爲侍中，領步兵。
HCH_015_032_000119	凡三爲侍中。
HCH_015_032_000120	出爲竟陵王征北長史，加輔國將軍，尋徙爲冠軍長史、江夏內史，將軍如故。
HCH_015_032_000121	永明元年，爲吏部尚書。
HCH_015_032_000122	炫居身清立，非弔問不雜交遊，論者以爲美。
HCH_015_032_000123	及在選部，門庭蕭索，賔客罕至。
HCH_015_032_000124	出行，左右捧黃紙帽箱，風吹紙剝僅盡。
HCH_015_032_000125	罷江夏還，得錢十七万，於石頭并分與親族，病無以市藥。
HCH_015_032_000126	表自陳解，改授散騎常侍，領安成王師。
HCH_015_032_000127	國學建，以本官領博士，未拜，卒，無以殯歛。
HCH_015_032_000128	時年四十一。
HCH_015_032_000129	贈太常，諡曰貞子。
HCH_015_032_000130	何戢字慧景，廬江灊人也。
HCH_015_032_000131	祖尚之，宋司空。
HCH_015_032_000132	父偃，金紫光祿大夫，被遇於宋武。
HCH_015_032_000133	選戢尚山陰公主，拜駙馬都尉。
HCH_015_032_000134	解褐祕書郎，太子中舍人，司徒主簿，新安王文學，祕書丞，中書郎。
HCH_015_032_000135	景和世，山陰主就帝求吏部郎褚淵入內侍己，淵見拘逼，終不肯從，與戢同居止月餘日，由是特申情好。
HCH_015_032_000136	明帝立，遷司徒從事中郎，從建安王休仁征赭圻，板轉戢司馬，除黃門郎，出爲宣威將軍、東陽太守，吏部郎。
HCH_015_032_000137	元徽初，褚淵參朝政，引戢爲侍中，時年二十九。
HCH_015_032_000138	戢以年未三十，苦辭內侍，表疏屢上，時議許之。
HCH_015_032_000139	改授司徒左長史。
HCH_015_032_000140	太祖爲領軍，與戢來往，數置歡讌。
