HCH_012_041_000000	山東《禹貢》青、兗二州地。
HCH_012_041_000091	北有大石關，舊置巡檢司，後廢。
HCH_012_041_000092	陵府西北。
HCH_012_041_000093	元德州，治安德縣，直隸中書省。
HCH_012_041_000094	洪武元年省安德縣入州。
HCH_012_041_000095	七年七月移州於故陵縣。
HCH_012_041_000096	十三年十一月置陵縣於此。
HCH_012_041_000097	東有德河，下流西入衛河。
HCH_012_041_000098	泰安州元直隸中書省。
HCH_012_041_000099	洪武初來屬，以州治奉符縣省入。
HCH_012_041_000100	北有泰山，即岱宗也，亦曰東嶽，汶水出焉，下流至汶上縣合大清河。
HCH_012_041_000101	又東南有徂徠山。
HCH_012_041_000102	南有樑父山。
HCH_012_041_000103	又城西有泰安巡檢司。
HCH_012_041_000104	北距府百八十里。
HCH_012_041_000105	領縣二：新泰州東南。
HCH_012_041_000106	西北有宮山，本名新甫。
HCH_012_041_000107	西南有龜山。
HCH_012_041_000108	東北有小汶河，西流合汶水。
HCH_012_041_000109	又西有上四莊巡檢司。
HCH_012_041_000110	萊蕪州東。
HCH_012_041_000111	洪武初，改屬濟南府。
HCH_012_041_000112	二年仍來屬。
HCH_012_041_000113	東北有原山，其山陽汶水別源出焉。
HCH_012_041_000114	又西南有冠山。
HCH_012_041_000115	西北有韶山。
HCH_012_041_000116	諸山多產銅鐵錫。
HCH_012_041_000117	德州元陵州，屬河間路。
HCH_012_041_000118	洪武元年降爲陵縣，屬濟寧府。
HCH_012_041_000119	二年七月改屬德州。
HCH_012_041_000120	七年七月省陵縣，移德州治焉。
HCH_012_041_000121	西有衛河。
HCH_012_041_000122	東南有故篤馬河，俗名土河。
HCH_012_041_000123	東南距府二百八十里。
HCH_012_041_000124	領縣二：德平州東。
HCH_012_041_000125	東北有般河，亦曰盤河，或以爲古鉤盤也。
HCH_012_041_000126	平原州東南。
HCH_012_041_000127	武定州元棣州，治厭次縣，屬濟南路。
HCH_012_041_000128	洪武初，州縣俱廢。
HCH_012_041_000129	六年六月復置州，改名樂安。
HCH_012_041_000130	宣德元年八月改爲武定州。
HCH_012_041_000131	永樂十五年，漢王府遷於此。
HCH_012_041_000132	宣德元年除。
HCH_012_041_000133	南有大清河，又有土河，又有商河。
HCH_012_041_000134	東南有清河巡檢司。
