HCH_012_097_000052	吳士奇《徵信編》五卷，《考信編》二卷已上統紀明代事。
HCH_012_097_000053	甯獻王權《漢唐祕史》二卷洪武中奉敕編次。
HCH_012_097_000054	──右雜史類，二百十七部，二千二百四十四卷。
HCH_012_097_000055	李贄《藏書》六十八卷，《續藏書》二十七卷──右史鈔類三十四部，一千四十三卷太祖《御製永鑒錄》一卷訓親籓、《紀非錄》一卷訓周、齊、潭、魯諸王。
HCH_012_097_000056	《祖訓錄》一卷洪武中編集，太祖制序，頒賜諸王。
HCH_012_097_000057	《祖訓條章》一卷封建王國之制。
HCH_012_097_000058	《宗籓昭鑒錄》五卷洪武中陶凱等編集。
HCH_012_097_000059	《歷代公主錄》一卷洪武中編集。
HCH_012_097_000060	《臣戒錄》一卷俱洪武中頒行。
HCH_012_097_000061	《存心錄》十八卷吳沉等編集。
HCH_012_097_000062	《省躬錄》三卷劉三吾等編集。
HCH_012_097_000063	《精誠錄》三卷吳沉等編集。
HCH_012_097_000064	《國朝製作》一卷王叔銘等編集。
HCH_012_097_000065	宣宗《御製歷代臣鑒》三十七卷，《外戚事鑒》五卷萬曆中重修《大明會典》二百二十八卷，《條例全文》三十卷，《增修條例備考》二十六卷《大明會要》八十卷太祖開國時事，凡三十九則，不知撰人。
HCH_012_097_000066	周子義《國朝故實》二百卷一名《國朝典故備遺》。
HCH_012_097_000067	《宗籓條例》二卷李春芳等輯。
HCH_012_097_000068	張朝瑞《皇明貢舉考》八卷，《明曆科殿試錄》七十卷，《曆科會試錄》七十卷趙官《後湖志》十一卷，《後湖黃志》六卷席書《漕船志》一卷，《漕運錄》二卷──右故事類，一百六部，二千一百二十一卷。
HCH_012_097_000069	《諸司職掌》十卷洪武中翟善等編。
HCH_012_097_000070	《憲綱》一卷洪武中御史臺進。
HCH_012_097_000071	鄭曉《直文淵閣表》一卷，《典銓表》一卷陳盟《崇禎閣臣年表》一卷，《內閣行略》一卷張位《詞林典故》一卷，《史職議》一卷汪宗伊《南京吏部志》二十卷，《留銓志餘》二卷《國子監規》一卷錄洪武以來訓諭。
HCH_012_097_000072	汪俊《四夷館則例》二十卷，《四夷館考》二卷──右職官類九十三部，一千四百七十九卷。
HCH_012_097_000073	《集禮》五十卷洪武中樑寅等纂修。
HCH_012_097_000074	初系寫本，嘉靖中，詔禮部校刊。
HCH_012_097_000075	《孝慈錄》一卷宋濂等考定喪服古制為是書，太祖有序。
HCH_012_097_000076	《行移繁減體式》一卷洪武中，以元季官府文移紛冗，詔廷臣減繁，著為定式。
HCH_012_097_000077	《稽制錄》一卷編輯功臣服舍制度。
HCH_012_097_000078	《禮制集要》一卷官民服舍器用等式。
HCH_012_097_000079	《稽古定制》一卷頒示功臣。
HCH_012_097_000080	《禮儀定式》一卷，《教民榜文》一卷，《鄉飲酒禮圖式》一卷俱洪武中頒行。
HCH_012_097_000081	《祭祀禮儀》六卷，《郊壇祭享儀注》一卷皆明初定式《巡狩事宜》一卷永樂中儀注。
HCH_012_097_000082	《瑞應圖說》一卷永樂中編次。
HCH_012_097_000083	世宗《御製忌祭或問》一卷，《祀儀成典》七十一卷嘉靖間更定儀文。
HCH_012_097_000084	《郊祀通典》二十七卷夏言等編次。
HCH_012_097_000085	《乘輿冕服圖說》一卷嘉靖間考古衣冠之制，張璁為注說《武弁服製圖說》一卷親徵冠服之制，張璁為注說。
HCH_012_097_000086	《玄端冠服圖說》一卷燕居冠服之制，張璁為注說。
HCH_012_097_000087	《保和冠服圖說》一卷宗室冠服之制，張璁為注說。
HCH_012_097_000088	《沙河行宮圖》一卷已上俱嘉靖間制式。
HCH_012_097_000089	《皇明典禮》一卷萬曆中頒。
HCH_012_097_000090	《朝儀》二卷，《車駕巡幸禮儀》一卷，《親王昏禮儀注》一卷，《昏禮傳制遣官圖》一卷，《陵寢儀式》一卷，《王國儀注》一卷，《儀注事例》一卷，《鴻臚儀注》二卷，《出使儀注》二卷，《射禮儀注》一卷已上俱萬曆間制式《禮書》四十一卷不知撰人，凡十七冊。
HCH_012_097_000091	目錄一，吉禮五，軍禮、兇禮共一，喪禮三，制度一，考正一，宮制二，公式二，雜禮一。
HCH_012_097_000092	《大明禮制》二十五卷不知撰人。
HCH_012_097_000093	《嘉靖祀典》十七卷不知撰人。
HCH_012_097_000094	羅青霄《儀注輯錄》一卷郡邑慶賀祭祀諸儀。
HCH_012_097_000095	──右儀注類五十七部，四百二十四卷。
HCH_012_097_000096	《大明律》三十卷洪武六年，命刑部尚書劉惟謙詳定。
HCH_012_097_000097	篇目皆準唐律，合六百有六條。
HCH_012_097_000098	九年復釐正十有三條，餘仍故。
HCH_012_097_000099	《更定大明律》三十卷洪武二十八年，命詞臣同刑官參考比年律條，以類編附，凡四百六十條。
HCH_012_097_000100	太祖《御製大誥》一卷、《大誥續編》一卷、《大誥三編》一卷、《大誥武臣》一卷、《武臣敕諭》一卷、《昭示奸黨錄》一卷、《第二錄》一卷、《第三錄》三卷已上三《錄》皆胡黨獄詞。
HCH_012_097_000101	《逆臣錄》五卷藍黨獄詞。
HCH_012_097_000102	《彰善癉惡錄》三卷，《癉惡續錄》一卷，《集犯諭》一卷，《戒敕功臣鐵榜》一卷已上皆洪武中頒。
HCH_012_097_000103	何文淵《牧民備用》一卷，《司刑備用》一卷舒化《問刑條例》七卷，《刑書會據》三十卷──右刑法類，四十六部，五百九卷。
HCH_012_097_000104	《開國功臣錄》三十一卷黃金編次，自徐達至指揮李觀，凡五百九十一人謝鐸《名臣事略》二十卷洪武至成化時人。
HCH_012_097_000105	楊廉《名臣言行錄》四卷，《理學名臣言行錄》二卷徐鹹《名臣言行錄前集》十二卷，《後集》十二卷王道《名臣琬琰錄》二卷，《續錄》二卷唐龍《康山羣忠錄》一卷，《二忠錄》二卷紀王禕、吳雲事。
HCH_012_097_000106	雷禮《閣臣行實》八卷，《列卿記》一百六十五捲起洪武，訖嘉靖。
HCH_012_097_000107	禮子映補隆慶一朝。
HCH_012_097_000108	王世貞《嘉靖以來首輔傳》八卷，《名卿紀跡》六卷薛應旂《皇明人物考》七卷鄭以偉注。
HCH_012_097_000109	史繼偕《越章》六卷明代八閩人傳。
HCH_012_097_000110	焦竑《國史獻徵錄》一百二十卷《經籍志》作三百六十卷、《遜國忠節錄》八卷唐鶴徵《輔世編》六卷，《續編》五卷餘翹《池陽三忠傳》一卷紀黃觀、金焦、陳敬宗事。
