HCH_012_042_000114	又東北有沙水。
HCH_012_042_000115	沈丘州東南。
HCH_012_042_000116	元屬潁州。
HCH_012_042_000117	洪武初廢。
HCH_012_042_000118	弘治十年改乳香臺巡檢司置，來屬。
HCH_012_042_000119	東北有潁水，東入南直潁州界。
HCH_012_042_000120	又北有沙河，東入南直太和縣界。
HCH_012_042_000121	又東有界首巡檢司。
HCH_012_042_000122	又北有南頓縣，洪武初廢。
HCH_012_042_000123	景泰初，置南頓巡檢司於此。
HCH_012_042_000124	許州洪武初，以州治長社縣省入。
HCH_012_042_000125	西有潁水。
HCH_012_042_000126	北有潩水。
HCH_012_042_000127	又東有東湖，一名秋湖。
HCH_012_042_000128	又西北有石固鎮，與長葛縣界。
HCH_012_042_000129	東北距府二百二十里。
HCH_012_042_000130	領縣四：臨潁州東南。
HCH_012_042_000131	西有潁水，潩水自縣北流入焉。
HCH_012_042_000132	又西南有小㶏水。
HCH_012_042_000133	襄城州西南。
HCH_012_042_000134	南有首山。
HCH_012_042_000135	東北有潁水。
HCH_012_042_000136	南有汝河。
HCH_012_042_000137	郾城州東南。
HCH_012_042_000138	南有沙水，亦曰大溵水，上流即故汝水也，又東南有澧水來入焉。
HCH_012_042_000139	長葛州西北。
HCH_012_042_000140	北有洧水。
HCH_012_042_000141	西有潩水。
HCH_012_042_000142	禹州元曰鈞州。
HCH_012_042_000143	洪武初，以州治陽翟縣省入。
HCH_012_042_000144	萬曆三年四月避諱改曰禹州。
HCH_012_042_000145	成化二年七月建徽王府。
HCH_012_042_000146	嘉靖三十五年除。
HCH_012_042_000147	北有禹山，又西北有礦山，有鐵母山，舊俱產鐵。
HCH_012_042_000148	又北有潁水，下經襄城，一名渚水，至臨潁合沙河。
HCH_012_042_000149	東北距府三百二十里。
HCH_012_042_000150	領縣一：密州西北。
HCH_012_042_000151	南有洧水，又有溱水。
HCH_012_042_000152	鄭州洪武初，以州治管城縣省入。
HCH_012_042_000153	西南有梅山，鄭水出焉，下流舊入汴水，後堙。
HCH_012_042_000154	又西有須水，源出滎陽縣，舊亦入於汴水。
HCH_012_042_000155	正統八年嘗浚以分決河之流，後亦堙。
HCH_012_042_000156	東北距府百四十里。
HCH_012_042_000157	領縣四：滎陽州西。
HCH_012_042_000158	南有大周山，汴水出焉。
HCH_012_042_000159	又東南有嵩渚山，京水出焉。
HCH_012_042_000160	又有索水，源出小徑山，北流與京水合，下流入於鄭水。
HCH_012_042_000161	又大河在北。
HCH_012_042_000162	東有須水鎮，崇禎十年築城。
HCH_012_042_000163	滎澤州北少西。
HCH_012_042_000164	元直隸汴梁路。
HCH_012_042_000165	洪武中，改屬州。
HCH_012_042_000166	北有故城。
HCH_012_042_000167	洪武八年因河患徙於南。
HCH_012_042_000168	成化十五年正月又徙北，濱大河。
HCH_012_042_000169	東南有孫家渡，正統十三年，大河決於此。
HCH_012_042_000170	河陰州西北。
HCH_012_042_000171	舊治在大峪口，洪武三年爲水所圮，徙於此。
HCH_012_042_000172	東北有廣武山，與三皇山連。
HCH_012_042_000173	西有敖倉，北濱大河。
HCH_012_042_000174	汜水州西。
HCH_012_042_000175	故城在縣東，洪武十一年七月徙於成皋。
HCH_012_042_000176	崇禎十六年又遷西北。
HCH_012_042_000177	北濱河，洛水自西，東至滿家溝合汜水入焉。
HCH_012_042_000178	又西有虎牢關，洪武四年九月改曰古崤關，有巡檢司。
HCH_012_042_000179	河南府元河南府路，屬河南江北行中書省。
HCH_012_042_000180	洪武元年爲府。
HCH_012_042_000181	領州一，縣十三。
HCH_012_042_000182	東距布政司三百八十里。
HCH_012_042_000183	洛陽倚。
HCH_012_042_000184	洪武二十四年建伊王府。
HCH_012_042_000185	嘉靖四十三年廢。
HCH_012_042_000186	萬曆二十九年十月建福王府。
HCH_012_042_000187	北有北邙山，西南有闕塞山，亦曰闕口山，亦曰伊闕山，俗曰龍門山。
HCH_012_042_000188	又西北有谷城山，亦曰簪亭山，湹水所出。
HCH_012_042_000189	又東南有大谷，谷口有關。
HCH_012_042_000190	又大河在北。
HCH_012_042_000191	又有洛水，源自洛南冢嶺山，東經盧氏、永寧諸縣，至洛陽、偃師、鞏縣入於河。
HCH_012_042_000192	又東有伊水，自盧氏縣東北流至偃師縣而入洛。
HCH_012_042_000193	又北有朅水，西有澗水，俱流會於洛。
HCH_012_042_000194	又西南有孝水。
HCH_012_042_000195	偃師府東少北。
HCH_012_042_000196	南有緱氏山。
HCH_012_042_000197	又有洛水，西有伊水流合焉。
HCH_012_042_000198	鞏府東北。
HCH_012_042_000199	西南有軒轅山，上有關。
HCH_012_042_000200	北濱河。
HCH_012_042_000201	西北有洛水，舊經縣北入河，謂之洛汭，亦曰洛口。
HCH_012_042_000202	嘉靖後，東過汜水縣入河。
HCH_012_042_000203	又南有鄩水，會洛入河，亦曰鄩口也。
HCH_012_042_000204	又東南有石子河，西南有長羅川，皆流入洛水。
HCH_012_042_000205	又西南有黑石渡巡檢司。
HCH_012_042_000206	孟津府東北。
HCH_012_042_000207	舊治在縣東，今治本聖賢莊，嘉靖十四年七月遷於此。
HCH_012_042_000208	西北有大河。
HCH_012_042_000209	又西有硤石津，又西有委粟津，又有高渚、馬渚、陶渚，皆大河津濟處。
HCH_012_042_000210	東北有孟津巡檢司。
HCH_012_042_000211	宜陽府西南。
HCH_012_042_000212	西有女幾山。
HCH_012_042_000213	東南有鹿蹄山，一名非山，甘水出焉。
HCH_012_042_000214	又北有洛水。
HCH_012_042_000215	西有宜水，又有昌谷水，與甘水俱流注於洛。
HCH_012_042_000216	又西南有趙保鎮、木冊鎮二巡檢司。
HCH_012_042_000217	永寧府西南。
HCH_012_042_000218	北有崤山，崤水出焉，北注於河。
HCH_012_042_000219	其東曰谷陽谷，谷水所出焉。
HCH_012_042_000220	又南有洛水。
HCH_012_042_000221	東北有刀軒川，下流爲昌谷水。
HCH_012_042_000222	又有大宋川，下流爲宜水。
HCH_012_042_000223	又西有崇陽鎮、又有高門關、東有崤底關三巡檢司。
HCH_012_042_000224	新安府西。
HCH_012_042_000225	西有缺門山。
HCH_012_042_000226	北有大河。
HCH_012_042_000227	又南有澗水，谷水自北流入焉。
HCH_012_042_000228	東有慈澗水，亦流入谷水。
HCH_012_042_000229	又有函谷新關。
HCH_012_042_000230	澠池府西。
HCH_012_042_000231	元屬陝州。
HCH_012_042_000232	洪武中改屬。
HCH_012_042_000233	東北有廣陽山，亦曰澠池山，北溪水出焉。
HCH_012_042_000234	又有白石山，澗水所出。
HCH_012_042_000235	西北濱河。
HCH_012_042_000236	南有谷水。
HCH_012_042_000237	又西北有南村巡檢司。
HCH_012_042_000238	登封府東南。
HCH_012_042_000239	北有嵩山，即中嶽也，亦曰太室山。
