HCH_011_019_000075	梁台建，遷鎮軍司馬、中書侍郎、尚書左丞。
HCH_011_019_000076	時營造器甲，舟艦軍糧，及朝廷儀憲，悉資藹焉。
HCH_011_019_000077	尋遷給事黃門侍郎，左丞如故。
HCH_011_019_000078	和帝東下，道兼衛尉卿。
HCH_011_019_000079	天監初，遷驍騎將軍、領少府卿；俄遷御史中丞，領本州大中正。
HCH_011_019_000080	初，藹發江陵，無故於船得八車輻，如中丞健步避道者，至是果遷焉。
HCH_011_019_000081	藹性公強，居憲臺甚稱職。
HCH_011_019_000082	時長沙宣武王將葬，而車府忽於庫火油絡，欲推主者。
HCH_011_019_000083	藹曰：「昔晉武庫火，張華以爲積油萬石必然。今庫若有灰，非吏罪也。」
HCH_011_019_000084	旣而檢之，果有積灰。
HCH_011_019_000085	時稱其博物弘恕焉。
HCH_011_019_000086	二年，出爲持節、督廣交越三州諸軍、冠軍將軍、平越中郎將、廣州刺史。
HCH_011_019_000087	前刺史徐元瑜罷歸，道遇始興人士反，逐內史崔睦舒，因掠元瑜財產。
HCH_011_019_000088	元瑜走歸廣州，借兵於藹，托欲討賊，而實謀襲藹。
HCH_011_019_000089	藹覺之，誅元瑜。
HCH_011_019_000090	尋進號征虜將軍，卒官。
HCH_011_019_000091	藹姊適徵士同郡劉虯，亦明識有禮訓。
HCH_011_019_000092	藹爲州，迎姊居官舍，參分祿秩，西土稱之。
HCH_011_019_000093	子法才，字元備，幼與弟法藏俱有美名。
HCH_011_019_000094	少游京師，造沈約，約見而稱之。
HCH_011_019_000095	齊和帝爲相國，召爲府參軍，鎮軍蕭穎胄辟主簿。
HCH_011_019_000096	梁臺建，除起部郎。
HCH_011_019_000097	天監二年，藹出鎮嶺表，法才留任京邑，遷金部郎，父憂去官。
HCH_011_019_000098	服闋，除中書通事舍人，出爲本州別駕。
HCH_011_019_000099	入爲通直散騎侍郎，復掌通事，遷尚書右丞。
HCH_011_019_000100	晉安王爲荊州，重除別駕從事史。
HCH_011_019_000101	復徵爲尚書右丞，出爲招遠將軍、建康令。
HCH_011_019_000102	不受俸秩，比去任，將至百金，縣曹啟輸臺庫。
HCH_011_019_000103	高祖嘉其清節，曰：「居職若斯，可以爲百城表矣。」
HCH_011_019_000104	卽日遷太府卿。
HCH_011_019_000105	尋除南康內史，恥以讓俸受名，辭不拜。
HCH_011_019_000106	俄轉雲騎將軍、少府卿。
HCH_011_019_000107	出爲信武長史、江夏太守。
HCH_011_019_000108	因被代，表便道還鄉。
HCH_011_019_000109	至家，割宅爲寺，棲心物表。
HCH_011_019_000110	皇太子以法才舊臣，累有優令，召使東下，未及發而卒，時年六十三。
HCH_011_019_000111	陳吏部尚書姚察曰：蕭穎胄起大州之衆以會義，當其時，人心未之能悟。
HCH_011_019_000112	此三人者，楚之鎮也。
HCH_011_019_000113	經營締構，蓋有力焉。
HCH_011_019_000114	方面之功，坦爲多矣；當官任事，藹則兼之。
HCH_011_019_000115	咸登寵秩，宜乎！
HCH_011_019_000116	本唐朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
