HCH_010_015_000088	詔裴玄感、邢祥知禮部貢舉，放進士史簡等十九人及第。
HCH_010_015_000089	以駙馬蕭紹宗為鄭州防禦使。
HCH_010_015_000090	乙亥，以邢抱質為大同軍節度使。
HCH_010_015_000091	六月，駐蹕上京。
HCH_010_015_000092	秋七月丙子，以耶律遂貞為遼興軍節度使，遂正北院宣徽使，張昭瑩南院宣徽使，耶律受益上京副留守，寇卿彰德軍節度使。
HCH_010_015_000093	命耶律釋身奴、李操充賀宋國生辰信使副，蕭涅袞、齊泰賀宋正旦使副。
HCH_010_015_000094	進士康文昭、張素臣、郎玄達坐論知貢舉裴玄感、邢祥私曲，秘書省正字李萬上書，辭涉怨訕，皆杖而徒之，萬役陷河冶。
HCH_010_015_000095	八月丙申朔，鐵驪那沙等送兀惹百餘戶至賓州，賜絲絹。
HCH_010_015_000096	是日，那沙乞賜佛像、儒書，詔賜《護國仁王佛像》一，《易》、《詩》、《書》、《春秋》、《禮記》各一部。
HCH_010_015_000097	己未，高麗王詢遣田拱之奉表，稱病不能朝，詔復取六州地。
HCH_010_015_000098	是月，齊國王隆祐薨，輟朝五日。
HCH_010_015_000099	冬十月辛亥，如中京。
HCH_010_015_000100	閏月丁卯，贈隆祐守太師，謚仁孝。
HCH_010_015_000101	十一月甲午朔，文武百官加上尊號曰弘文宣武尊道至德崇仁廣孝聰睿昭聖神贊天輔皇帝。
HCH_010_015_000102	大赦，改元開泰。
HCH_010_015_000103	改幽都府為析津府，薊北縣為析津縣，幽都縣為宛平縣，覃恩中外。
HCH_010_015_000104	己亥，賜夏國使、東頭供奉官曹文斌、呂文貴、竇珪祐、守榮、武元正等爵有差。
HCH_010_015_000105	癸卯，前遼州錄事張庭美六世同居，儀坤州劉興胤四世同居，各給復三年。
HCH_010_015_000106	甲辰，西北招討使蕭圖玉奏七部太師阿裏底因其部民之怨，殺本部節度使霸暗並屠其家以叛，阻卜執阿裏底以獻，而沿邊諸部皆叛。
HCH_010_015_000107	十二月丙寅，奉遷南京諸帝石像於中京觀德殿，景宗及宣獻皇后於上京五鸞殿。
HCH_010_015_000108	壬申，振奉聖州饑民。
HCH_010_015_000109	庚辰，賜皇弟秦晉國王隆慶鐵券。
HCH_010_015_000110	癸未，劉晨言殿中高可垣、中京留守推官李可舉治獄明允，詔超遷之。
HCH_010_015_000111	甲申，詔諸道水災饑民質男女者，起來年正月，日計傭錢十文，價折傭盡，遣還其家。
HCH_010_015_000112	歸州言其居民本新羅所遷，未習文字，請設學以教之，詔允所請。
HCH_010_015_000113	貴德、龍化、儀坤、雙、遼、同、祖七州，至是有詔始征商。
HCH_010_015_000114	己丑，詔諸鎮建宣敕樓。
HCH_010_015_000115	二年春正月癸巳朔，以裴玄感為翰林承旨，邢祥給事中，石用中翰林學士，呂德推樞密直學士，張儉政事舍人，邢抱質加開府儀同三司、守司空兼侍中，王繼忠中京留守、檢校太師，戶部侍郎劉涇加工部尚書，駙馬蕭紹宗加檢校太師，耶律控溫加政事令，封幽王。
HCH_010_015_000116	丁未，如瑞鹿原。
HCH_010_015_000117	北院樞密使耶律化哥封豳王。
HCH_010_015_000118	以馬氏為麗儀，耿氏淑儀，尚寢白氏昭儀，尚服李氏順儀，尚功艾氏芳儀，尚書孫氏和儀。
HCH_010_015_000119	己未，錄囚。
HCH_010_015_000120	烏古、敵烈叛，右皮室詳穩延壽率兵討之。
HCH_010_015_000121	是月，達旦國兵圍鎮州，州軍堅守，尋引去。
HCH_010_015_000122	二月丙子，詔以麥務川為象雷縣，女河川為神水縣，羅家軍為閭山縣，山子川為富庶縣，習家砦為龍山縣，阿覽峪為勸農縣，松山川為松山縣，金甸子為金原縣。
HCH_010_015_000123	壬午，遣北院樞密副使高正按察諸道獄。
HCH_010_015_000124	三月壬辰朔，化哥以西北路略平，留兵戍鎮州，赴行在。
HCH_010_015_000125	夏四月甲子，拜日。
HCH_010_015_000126	詔從上京請，以韓斌所括贍國、撻魯河、奉、豪等州戶二萬五千四百有奇，置長霸、興仁、保和等十縣。
HCH_010_015_000127	丙子，如緬山。
HCH_010_015_000128	五月辛卯朔，復命化哥等西討。
HCH_010_015_000129	六月辛酉朔，遣中丞耶律資忠使高麗，取六州舊地。
HCH_010_015_000130	秋七月壬辰，烏古、敵烈皆復故疆。
HCH_010_015_000131	乙未，西南招討使、政事令斜軫奏党項諸部叛者皆遁黃河北模赧山，其不叛者曷黨、烏迷兩部因據其地，今復西遷，詰之則曰逐水草，不早圖之，後恐為患。
HCH_010_015_000132	又聞前後叛者多投西夏，西夏不納。
HCH_010_015_000133	詔遣使再問西遷之意，若歸故地，則可就加撫諭。
HCH_010_015_000134	使不報，上怒，欲伐之。
HCH_010_015_000135	遂詔李德昭：「今党項叛，我欲西伐，爾當東擊，毋失掎角之勢。」
HCH_010_015_000136	仍命諸軍各市肥馬。
HCH_010_015_000137	丁酉，以惕隱耶律滌洌為南府宰相，太尉五哥為惕隱。
HCH_010_015_000138	癸卯，釣魚曲溝。
HCH_010_015_000139	戊申，詔以敦睦宮子錢振貧民。
HCH_010_015_000140	己酉，化哥等破阻卜酋長烏八之眾。
HCH_010_015_000141	丁卯，封皇子宗訓大內惕隱。
HCH_010_015_000142	八月壬戌，遣引進使李延弘賜夏國王李德昭及義成公主車馬。
HCH_010_015_000143	己丑，耶律資忠使高麗還。
HCH_010_015_000144	冬十月己未朔，畋麃井之北。
HCH_010_015_000145	命耶律阿營等使宋賀生辰。
HCH_010_015_000146	辛酉，駐蹕長濼。
HCH_010_015_000147	丙寅。
HCH_010_015_000148	詳穩張馬留獻女直人知高麗事者。
HCH_010_015_000149	上問之，曰：「臣三年前為高麗所虜，為郎官，故知之。自開京東馬行七日，有大砦，廣如開京，旁州所貢珍異，皆積於此。勝、羅等州之南，亦有二大砦，所積如之。若大軍行由前路，取曷蘇館女直北，直渡鴨祿江，並大河而上，至郭州與大路會，高麗可取而有也。」
HCH_010_015_000150	上納之。
HCH_010_015_000151	十一月甲午，錄囚。
HCH_010_015_000152	癸丑，樞密使豳王化哥以西征有罪，削其官封，出為大同軍節度使。
HCH_010_015_000153	十二月甲子，以北院大王耶律世良為北院樞密使，封岐王。
HCH_010_015_000154	以宰臣劉晟監修國史，牛璘為彰國軍節度使，蕭孝穆為西北路招討使。
HCH_010_015_000155	放進士鮮于茂昭等六人及第。
HCH_010_015_000156	三年春正月己丑，錄囚。
HCH_010_015_000157	阻卜酋長烏八來朝，封為王。
HCH_010_015_000158	乙未，如渾河。
HCH_010_015_000159	丁酉，女直及鐵驪各遣使來貢。
HCH_010_015_000160	是夕，彗星見西方。
HCH_010_015_000161	丙午，畋潢河濱。
HCH_010_015_000162	壬子，帝及皇后獵瑞鹿原。
HCH_010_015_000163	二月戊午，詔增樞密使以下月俸。
HCH_010_015_000164	甲子，遣上京副留守耶律資忠復使高麗取六州舊地。
HCH_010_015_000165	三月庚子，遣耶律世良城招州。
HCH_010_015_000166	戊申，南京、奉聖、平、蔚、雲、應、朔等州置轉運使。
HCH_010_015_000167	夏四月戊午，詔南京管內毋淹刑獄，以妨農務。
HCH_010_015_000168	癸亥，烏古叛。
HCH_010_015_000169	乙亥，沙州回鶻曹順遣使來貢。
HCH_010_015_000170	丙子，以西北路招討都監蕭孝穆為北府宰相。
HCH_010_015_000171	五月乙酉朔，清暑緬山。
HCH_010_015_000172	六月乙亥，合拔裏、乙室二國舅為一帳，以乙室夷離畢蕭敵烈為詳穩以總之。
HCH_010_015_000173	甲申，封皇侄胡都古為廣平郡王。
HCH_010_015_000174	是夏，詔國舅詳穩蕭敵烈、東京留守耶律團石等討高麗，造浮梁於鴨淥江，城保、宣義、定遠等州。
HCH_010_015_000175	秋七月乙酉朔，如平地松林。
HCH_010_015_000176	壬辰，詔政事省、樞密院，酒間授官釋罪，毋即奉行，明日覆奏。
HCH_010_015_000177	八月甲寅朔，幸沙嶺。
HCH_010_015_000178	九月丁酉，八部敵烈殺其詳穩稍瓦，皆叛，詔南府宰相耶律吾剌葛招撫之。
HCH_010_015_000179	辛亥，釋敵烈數人，令招諭其眾。
HCH_010_015_000180	壬子，耶律世良遣使獻敵烈俘。
HCH_010_015_000181	冬十月甲寅朔，幸中京。
HCH_010_015_000182	丙子，以旗鼓拽剌詳穩題裏姑為奚六部大王。
HCH_010_015_000183	放進士張用行等三十一人及第出身。
HCH_010_015_000184	四年春正月乙酉，如瑞鹿原。
HCH_010_015_000185	丙戌，詔耶律世良再伐迪烈得。
HCH_010_015_000186	戊子，命詳穩拔姑瀦水瑞鹿原，以備春蒐。
HCH_010_015_000187	丁酉，獵馬蘭澱。
HCH_010_015_000188	壬寅，東征。
HCH_010_015_000189	東京留守善寧、平章涅裏袞奏，已總大軍及女直諸部兵分道進討，遂遣使賫密詔軍前。
HCH_010_015_000190	二月壬子朔，如薩堤濼。
HCH_010_015_000191	于闐國來貢。
HCH_010_015_000192	夏四月癸丑，以林牙建福為北院大王。
HCH_010_015_000193	甲寅，蕭敵烈等伐高麗還。
HCH_010_015_000194	丙辰，曷蘇館部請括女直王殊只你戶舊無籍者，會其丁入賦役，從之。
HCH_010_015_000195	樞密使貫寧奏大破八部迪烈得，詔侍御撒剌獎諭，代行執手之禮。
HCH_010_015_000196	丙寅，耶律世良等上破阻卜俘獲數。
HCH_010_015_000197	戊辰，駐蹕沿柳湖。
HCH_010_015_000198	己巳，女直遣使來貢。
HCH_010_015_000199	壬申，耶律世良討烏古，破之。
HCH_010_015_000200	甲戌，遣使賞有功將校。
HCH_010_015_000201	世良討迪烈得至清泥堝。
HCH_010_015_000202	時於厥既平，朝廷議內徙其眾，於厥安土重遷，遂叛。
HCH_010_015_000203	世良懲創，既破迪烈得，輒殲其丁壯。
HCH_010_015_000204	勒兵渡曷剌河，進擊餘黨，斥候不謹，其將勃括聚兵稠林中，擊遼軍不備。
HCH_010_015_000205	遼軍小卻，結陣河曲。
HCH_010_015_000206	勃括是夜來襲。
HCH_010_015_000207	翌日，遼後軍至，勃括誘於厥之眾皆遁，世良追之，軍至險厄。
HCH_010_015_000208	勃括方阻險少休，遼軍偵知其所，世良不亟掩之，勃括輕騎遁去。
HCH_010_015_000209	獲其輜重及所誘於厥之眾，並遷迪烈得所獲轄麥裏部民，城臚朐河上以居之。
HCH_010_015_000210	是月，蕭楊哥尚南平郡主。
HCH_010_015_000211	五月辛巳，命北府宰相劉晟為都統，樞密使耶律世良為副，殿前都點檢蕭屈烈為都監以伐高麗。
HCH_010_015_000212	晟先攜家置邊郡，致緩師期，追還之。
HCH_010_015_000213	以世良、屈烈總兵進討。
HCH_010_015_000214	以耶律德政為遼興軍節度使，蕭年骨烈天成軍節度使。
HCH_010_015_000215	李仲舉卒，詔賻恤其家。
HCH_010_015_000216	六月庚戌，上拜日如禮。
HCH_010_015_000217	以麻都骨世勛，易衣馬為好。
HCH_010_015_000218	以上京留守耶律八哥為北院樞密副使。
HCH_010_015_000219	秋七月，上又拜日，遂幸秋山。
HCH_010_015_000220	自八月射鹿至於九月，復自癸丑至於辛酉，連獵於有柏、碎石、太保、響應、松山諸山。
HCH_010_015_000221	丁卯，與夷離畢、兵部尚書蕭榮寧定為交契，以重君臣之好。
HCH_010_015_000222	丙子，以旗鼓拽剌詳穩題裏姑為六部奚王。
HCH_010_015_000223	冬十月，駐蹕撻剌割濼。
HCH_010_015_000224	十一月庚申，詔汰東京僧，及命上京、中京洎諸宮選精兵五萬五千人以備東征。
HCH_010_015_000225	十二月，南巡海僥。
HCH_010_015_000226	還，幸顯州。
HCH_010_015_000227	五年春正月丁未，北幸。
HCH_010_015_000228	庚戌，耶律世良、蕭屈烈與高麗戰於郭州西，破之，斬首數萬級，盡獲其輜重。
HCH_010_015_000229	乙卯，師次南海軍，耶律世良薨於軍。
HCH_010_015_000230	癸酉，駐蹕雪林。
HCH_010_015_000231	二月己卯，阻卜長來朝。
HCH_010_015_000232	辛巳，如薩堤濼。
HCH_010_015_000233	庚寅，以前東京統軍使耶律韓留為右夷離畢。
HCH_010_015_000234	戊戌，皇子宗真生。
HCH_010_015_000235	三月乙卯，鼻骨德長撒保特、賽剌等來貢。
HCH_010_015_000236	辛酉，諸道獄空，詔進階賜物。
HCH_010_015_000237	丙寅，以前北院大王耶律敬溫為阿紥割只。
HCH_010_015_000238	辛未，党項魁可來降。
HCH_010_015_000239	夏四月乙亥，振招州民。
HCH_010_015_000240	戊寅，以左夷離畢蕭合卓為北院樞密使，曷魯寧為副使。
HCH_010_015_000241	庚辰，清暑孤樹澱。
HCH_010_015_000242	五月甲子，尚書蕭姬隱坐出使後期，削其官。
HCH_010_015_000243	丁卯，以耿元吉為戶部使。
HCH_010_015_000244	六月，以政事舍人吳克昌按察霸州刑獄。
HCH_010_015_000245	丁丑，回鶻獻孔雀。
HCH_010_015_000246	秋七月甲辰，獵於赤山。
HCH_010_015_000247	八月丙子，幸懷州，有事於諸陵。
HCH_010_015_000248	戊寅，還上京。
HCH_010_015_000249	九月癸卯，皇弟南京留守秦晉國王隆慶來朝，上親出迎勞，至實德山，因同獵於松山。
HCH_010_015_000250	乙丑，駐蹕杏堝。
HCH_010_015_000251	冬十月甲午，封秦晉國王隆慶長子查割中山郡王，次子遂哥樂安郡王。
HCH_010_015_000252	十一月辛丑朔，以參知政事馬保忠同知樞密院事、監修國史。
HCH_010_015_000253	丁巳，以北面林牙蕭隈窪為國舅詳隱。
HCH_010_015_000254	十二月乙酉，秦晉國王隆慶還，至北安薨，訃聞，上為哀慟，輟朝七日。
HCH_010_015_000255	丁酉，宋遣張遜、王承德來賀千齡節。
HCH_010_015_000256	是歲，放進士孫傑等四十八人及第。
HCH_010_015_000257	六年春正月癸卯，如錐子河。
HCH_010_015_000258	二月甲戌，以公主賽哥殺無罪婢，駙馬蕭圖玉不能齊家，降公主為縣主，削圖玉同平章事。
HCH_010_015_000259	丁丑，詔國舅帳詳穩蕭隗窪將本部兵東征高麗，其國舅司事以都監攝之。
HCH_010_015_000260	庚辰，以南面林牙涅合為南院大王。
HCH_010_015_000261	三月乙巳，如顯州，葬秦晉國王隆慶。
HCH_010_015_000262	有事於顯、乾二陵。
HCH_010_015_000263	追冊隆慶為太弟。
HCH_010_015_000264	夏四月辛卯，封隆慶少子謝家奴為長沙郡王，以樞密使漆水郡王耶律制心權知諸行宮都部署事。
HCH_010_015_000265	壬辰，禁命婦再醮。
HCH_010_015_000266	丙申，如涼陘。
HCH_010_015_000267	五月戊戌朔，命樞密使蕭合卓為都統，漢人行宮都部署王繼忠為副，殿前都點檢蕭屈烈為都監，以伐高麗。
HCH_010_015_000268	翌日，賜合卓劍，俾得專殺。
HCH_010_015_000269	丙午，錄囚。
HCH_010_015_000270	己酉，設四帳都詳穩。
HCH_010_015_000271	甲寅，以南京統軍使蕭惠為右夷離畢。
HCH_010_015_000272	乙卯，祠木葉山、潢河。
HCH_010_015_000273	乙丑，駐蹕九層臺。
HCH_010_015_000274	六月戊辰朔，德妃蕭氏賜死，葬兔兒山西。
HCH_010_015_000275	後數日，大風起冢上，晝暝，大雷電而雨不止者逾月。
HCH_010_015_000276	是月，南京諸縣蝗。
HCH_010_015_000277	秋七月辛亥，如秋山。
