HCH_012_169_000085	濙等議遣禮部署迎於龍虎臺，錦衣具法駕迎居庸關，百司迎土城外，諸將迎教場門；上皇自安定門入，進東安門，於東上北門南面坐；皇帝謁見畢，百官朝見，上皇入南城大內。
HCH_012_169_000086	議上，傳旨以一轎二馬迎於居庸關，至安定門易法駕，余如奏。
HCH_012_169_000087	給事中劉福等言禮太薄。
HCH_012_169_000088	帝報曰：朕尊大兄為太上皇帝，尊禮無加矣。
HCH_012_169_000089	福等顧雲太薄，其意何居？
HCH_012_169_000090	禮部其會官詳察之。
HCH_012_169_000091	濙等言：「諸臣意無他，欲陛下篤親親耳。」
HCH_012_169_000092	帝曰：「昨得太上皇書，具言迎駕之禮宜從簡損，朕豈得違之。」
HCH_012_169_000093	群臣乃不敢言。
HCH_012_169_000094	會千戶龔遂榮為書投大學士高谷，言奉迎宜厚，具言唐肅宗迎上皇故事。
HCH_012_169_000095	谷袖之以朝，與王直等共觀之。
HCH_012_169_000096	直與濙欲聞之帝，為都御史王文所阻，而給事中葉盛竟以聞。
HCH_012_169_000097	盛同官林聰復劾直、濙、谷等，皆股肱大臣，有聞必告，不宜偶語竊議。
HCH_012_169_000098	有詔索書。
HCH_012_169_000099	濙等因以書進，且言：「肅宗迎上皇典禮，今日正可仿行。陛下宜躬迎安定門外，分遣大臣迎龍虎臺。」
HCH_012_169_000100	帝不悅曰：「第從朕命，無事紛更。」
HCH_012_169_000101	上皇至，居南城宮。
HCH_012_169_000102	濙請帝明年正旦率群臣朝延安門，不許。
HCH_012_169_000103	上皇萬壽節，請令百官拜賀延安門，亦不許。
HCH_012_169_000104	三年正月與王直並進少傅。
HCH_012_169_000105	易太子，加兼太子太師。
HCH_012_169_000106	王文惡林聰，文致其罪，欲殺之。
HCH_012_169_000107	濙不肯署，遂稱疾，數日不朝。
HCH_012_169_000108	帝使興安問疾。
HCH_012_169_000109	對曰：「老臣本無疾，聞欲殺林聰，殊驚悸耳。」
HCH_012_169_000110	聰由是得釋。
HCH_012_169_000111	英宗復位，力疾入朝，遂求去。
HCH_012_169_000112	賜璽書、白金、楮幣、襲衣，給驛，官其一子錦衣，世鎮撫。
HCH_012_169_000113	濙歷事六朝，垂六十年，中外稱耆德。
HCH_012_169_000114	及歸，有三弟，年皆七十餘，須眉皓白，燕聚一堂，因名之曰「壽愷」。
HCH_012_169_000115	又七年始卒，年八十九。
HCH_012_169_000116	贈太保，謚忠安。
HCH_012_169_000117	濙節儉寬厚，喜怒不形於色，能以身下人。
HCH_012_169_000118	在禮部久，表賀祥瑞，以官當首署名，人因謂其性善承迎。
HCH_012_169_000119	南城人龔謙多妖術，濙薦為天文生，又薦道士仰彌高曉陰陽兵法，使守邊，時頗譏之。
HCH_012_169_000120	王直，字行儉，泰和人。
HCH_012_169_000121	父伯貞，洪武十五年以明經聘至京。
HCH_012_169_000122	時應詔者五百餘人，伯貞對第一。
HCH_012_169_000123	授試僉事，分巡廣東雷州。
HCH_012_169_000124	復呂塘廢渠，清鹽法。
HCH_012_169_000125	會罷分巡官，召還為戶部主事。
HCH_012_169_000126	以父喪服闋，不時起，謫居安慶。
HCH_012_169_000127	建文初，復以薦知瓊州，崖州黎相仇殺，以反聞，且用兵。
HCH_012_169_000128	伯貞捕其首惡，兵遂罷。
HCH_012_169_000129	瓊田歲常三獲，以賦軍，軍不時受，俟民乏，乃急斂以要利。
HCH_012_169_000130	伯貞為立期，三輸之，弊始絕。
HCH_012_169_000131	居數年，大治，流民占籍者萬餘。
HCH_012_169_000132	憂歸，卒於家。
HCH_012_169_000133	直幼而端重，家貧力學。
HCH_012_169_000134	舉永樂二年進士，改庶吉士，與曾棨、王英等二十八人同讀書文淵閣。
HCH_012_169_000135	帝善其文，召入內閣，俾屬草。
HCH_012_169_000136	尋授修撰。
HCH_012_169_000137	歷事仁宗、宣宗，累遷少詹事兼侍讀學士。
HCH_012_169_000138	正統三年，《宣宗實錄》成。
HCH_012_169_000139	進禮部侍郎，學士如故。
HCH_012_169_000140	五年出蒞部事。
HCH_012_169_000141	尚書胡濙悉以部政付之，直處之若素習者。
HCH_012_169_000142	八年正月代郭琎為吏部尚書。
HCH_012_169_000143	十一年，戶部侍郎奈亨附王振，構郎中趙敏，詞連直及侍郎曹義、趙新，並下獄。
HCH_012_169_000144	三法司廷鞫，論亨斬，直等贖徒。
HCH_012_169_000145	帝宥直、義，奪亨、新俸。
HCH_012_169_000146	帝將親征也先，直率廷臣力諫曰：「國家備邊最為謹嚴。謀臣猛將，堅甲利兵，隨處充滿，且耕且守，是以久安。今敵肆猖獗，違天悖理，陛下但宜固封疆，申號令，堅壁清野，蓄銳以待之，可圖必勝。不必親禦六師，遠臨塞下。況秋署未退，旱氣未回，青草不豐，水泉猶塞，士馬之用未充。兵兇戰危，臣等以為不可。」
HCH_012_169_000147	帝不從，命直留守。
HCH_012_169_000148	王師覆於土木。
HCH_012_169_000149	大臣群請太后立皇子為皇太子，命郕王攝政。
HCH_012_169_000150	已，勸王即位，以安反側。
HCH_012_169_000151	時變起倉卒，朝臣議屢上，皆直為首。
HCH_012_169_000152	而直自以不如于謙，每事推下之，雍容鎮率而已。
HCH_012_169_000153	加太子太保。
HCH_012_169_000154	景泰元年，也先使使議和，且請還上皇，下禮部議未決。
HCH_012_169_000155	直率群臣上言曰：「太上皇惑細人言，輕身一出，至於蒙塵。陛下宵衣旰食，征天下兵，與群臣兆姓同心僇力，期滅此朝食，以雪不共戴天之恥。乃者天誘其衷，也先有悔心之萌，而來求成於我，請還乘輿，此轉禍為福之機也。望陛下俯從其請，遣使往報，因察其誠偽而撫納之，奉太上皇以歸，少慰祖宗之心。陛下天位已定，太上皇還，不復蒞天下事。陛下第崇奉之，則天倫厚而天眷益隆，誠古今盛事也。」
HCH_012_169_000156	帝曰：「卿等言良然。但前後使者五輩往，終不得要領。今復遣使，設彼假送駕為名，來犯京師，豈不為蒼生患。賊詐難信，其更議之。」
HCH_012_169_000157	已而瓦剌別部阿剌使復至，胡濙等復以為言。
HCH_012_169_000158	於是帝御文華殿門，召諸大臣及言官諭以宜絕狀。
HCH_012_169_000159	直對曰：「必遣使，毋貽後悔。」
HCH_012_169_000160	帝不悅。
HCH_012_169_000161	于謙前為解，帝意釋。
HCH_012_169_000162	群臣既退，太監興安匍匐出呼曰：「若等固欲遣使，有文天祥、富弼其人乎？」
HCH_012_169_000163	直大言曰：「廷臣惟天子使，既食其祿，敢辭難乎！」
HCH_012_169_000164	言之再，聲色愈厲。
HCH_012_169_000165	安語塞，乃議遣使，命李實、羅綺往。
HCH_012_169_000166	既行，而瓦剌可汗脫脫不花及也先使先後至，將遣歸。
HCH_012_169_000167	使者謂館伴曰：「中國關外十四城皆為我有。前阿剌知院使來，尚遣人偕往。今亦必得大臣同行，庶有濟。」
HCH_012_169_000168	胡濙以聞，下廷議。
HCH_012_169_000169	直等固請，乃遣楊善等報之。
HCH_012_169_000170	比實還，又以也先使至，具言也先欲和狀。
HCH_012_169_000171	直與寧陽侯陳懋等上疏，請更遣使賫禮幣往迎上皇，不許。
HCH_012_169_000172	復上疏曰：「臣等與李實語，具得彼中情事。其所需衣物資斧者，上皇言也；而奉迎車駕，也先意也。昨者脫脫不花及阿剌知院使來，皆有報使。今也先使以迎請為辭，乃不遣使與偕，是疑敵而召兵也。」
HCH_012_169_000173	又不許。
