HCH_011_034_000069	纘初聞邵陵王綸當代己爲湘州，其後定用河東王譽，纘素輕少王，州府候迎及資待甚薄，譽深銜之。
HCH_011_034_000070	及至州，遂託疾不見纘，仍檢括州府庶事，留纘不遣。
HCH_011_034_000071	會聞侯景寇京師，譽飾裝當下援，時荊州刺史湘東王赴援，軍次郢州武城，纘馳信報曰：「河東已豎檣上水，將襲荊州。」
HCH_011_034_000072	王信之，便回軍鎮，荊、湘因構嫌隙。
HCH_011_034_000073	尋棄其部伍，單舸赴江陵，王卽遣使責讓譽，索纘部下。
HCH_011_034_000074	旣至，仍遣纘向襄陽，前刺史岳陽王察推遷未去鎮，但以城西白馬寺處之。
HCH_011_034_000075	會聞賊陷京師，詧因不受代。
HCH_011_034_000076	州助防杜岸紿纘曰：「觀岳陽殿下必不容使君，使君素得物情，若走入西山，招聚義衆，遠近必當投集，又帥部下繼至，以此義舉，無往不克。」
HCH_011_034_000077	纘信之，與結盟約，因夜遁入山。
HCH_011_034_000078	岸反以告詧，仍遣岸帥軍追纘。
HCH_011_034_000079	纘衆望岸軍大喜，謂是赴期，旣至，卽執纘並其衆，並俘送之。
HCH_011_034_000080	始被囚縶，尋又逼纘剃髮爲道人。
HCH_011_034_000081	其年，詧舉兵襲江陵，常載纘隨後。
HCH_011_034_000082	及軍退敗，行至湕水南，防守纘者慮追兵至，遂害之，棄尸而去，時年五十一。
HCH_011_034_000083	元帝承制，贈纘侍中、中衛將軍、開府儀同三司。
HCH_011_034_000084	諡簡憲公。
HCH_011_034_000085	纘有識鑒，自見元帝，便推誠委結。
HCH_011_034_000086	及元帝卽位，追思之，嘗爲詩，其《序》曰：「簡憲之爲人也，不事王侯，負才任氣，見余則申旦達夕，不能已已。懷夫人之德，何日忘之。」
HCH_011_034_000087	纘著《鴻寶》一百卷，文集二十卷。
HCH_011_034_000088	次子希，字子顏，早知名，選尚太宗第九女海鹽公主。
HCH_011_034_000089	承聖初，官至黃門侍郎。
HCH_011_034_000090	綰字孝卿，纘第四弟也。
HCH_011_034_000091	初爲國子生，射策高第。
HCH_011_034_000092	起家長兼秘書郎，遷太子舍人，洗馬，中舍人，並掌管記。
HCH_011_034_000093	累遷中書郎，國子博士。
HCH_011_034_000094	出爲北中郎長史、蘭陵太守，還除員外散騎常侍。
HCH_011_034_000095	時丹陽尹西昌侯蕭淵藻以久疾未拜，敕綰權知尹事，遷中軍宣城王長史，俄徙御史中丞。
HCH_011_034_000096	高祖遣其弟中書舍人絢宣旨曰：「爲國之急，惟在執憲直繩，用人本不限升降。晉宋之世，周閔、蔡廓並以侍中爲之，卿勿疑是左遷也。」
HCH_011_034_000097	時宣城王府望重，故有此旨焉。
HCH_011_034_000098	大同四年元日，舊制僕射中丞坐位東西相當，時綰兄纘爲僕射，及百司就列，兄弟導騶，分趨兩陛，前代未有也，時人榮之。
HCH_011_034_000099	歲餘，出爲豫章內史。
HCH_011_034_000100	綰在郡，述《制旨禮記正言》義，四姓衣冠士子聽者常數百人。
HCH_011_034_000101	八年，安成人劉敬宮挾祅道，遂聚黨攻郡，內史蕭侻棄城走。
HCH_011_034_000102	賊轉寇南康、廬陵，屠破縣邑，有衆數萬人，進寇豫章新淦縣。
HCH_011_034_000103	南中久不習兵革，吏民恇擾奔散。
HCH_011_034_000104	或勸綰宜避其鋒，綰不從，仍修城隍，設戰備，募召敢勇，得萬餘人。
HCH_011_034_000105	刺史湘東王遣司馬王僧辯帥兵討賊，受綰節度，旬月間，賊黨悉平。
