HCH_013_079_000047	上下罪己詔，曰：「朕嗣守鴻緒，十有七年。深念上帝陟降之威，祖宗付託之重，宵旦兢兢，罔敢怠荒。乃者災害頻仍，流氛日熾，忘累世之豢養，肆廿載之凶殘。赦之益驕，撫而輒叛。甚至有受其煽惑，頓忘敵愾者。朕爲民父母，不得而卵翼之；民爲朕赤子，不得而懷保之。坐令秦、豫丘墟，江、楚腥穢，罪非朕躬，誰任其責！所以使民罹鋒鏑，蹈水火，殣量以壑，骸積成丘者，皆朕之過也。使民輸芻輓粟，居送行齎，加賦多無藝之征，預徵有稱貸之苦者，又朕之過也。使民室如懸磬，田卒汙萊，望烟火而無門，號冷風而絕命者，又朕之過也。使民日月告凶，旱潦薦至，師旅所處，疫癘爲殃，上干天地之和，下叢室家之怨者，又朕之過也。至於任大臣而不法，用小臣而不廉，言官首鼠而議不清，武將驕懦而功不奏，皆由朕撫馭失道，誠感未孚。中夜以思，跼蹐無地。朕自今痛加創艾，深省夙愆。要在惜人才以培元氣，守舊制以息煩囂，行不忍之政以收人心，蠲額外之科以養民力。至於罪廢諸臣，有公忠正直，廉潔幹才尚堪用者，不拘文武，吏、兵二部確核推用。草澤豪傑之士，有恢復一郡一邑者，分官世襲，功等開疆。卽陷沒脅從之流，能舍逆反正，率衆來歸，許赦罪立功，能擒斬闖、獻，仍予通侯之賞。於戲！忠君愛國，
HCH_013_079_000048	人有同心；雪恥除凶，誰無公憤！
HCH_013_079_000049	尚懷祖宗之厚澤，助成底定之大功。
HCH_013_079_000050	思克厥愆，歷告朕意。
HCH_013_079_000051	詔下，賊前鋒已至大安驛，議京師城守。
HCH_013_079_000052	賊至忻州，官民迎降。
HCH_013_079_000053	遂攻代州、五臺，官吏迎降。
HCH_013_079_000054	總兵周遇吉守代州，出奇奮擊，連戰十餘日，殺賊萬餘。
HCH_013_079_000055	賊合諸路賊進攻，遇吉兵少食盡，退守寧武關。
HCH_013_079_000056	賊陷懷慶，抵固關，分趨眞定、保定。
HCH_013_079_000057	督輔李建泰兵過東光不戢，士民閉城拒守。
HCH_013_079_000058	建泰怒，留攻三日，破之。
HCH_013_079_000059	上至是始聞山西全陷，命跡訪諸王。
HCH_013_079_000060	遣內官監制各鎭，太監高起潛監寧前鎭，盧惟寧監天津、通、德、臨津，方正化監眞定、保定，杜勳監宣府，王夢弼監順德、彰德，閻思印監大名、廣平，牛文柄監衞輝、懷慶，楊茂林監大同，李宗允監薊鎭中協，張澤民監西協。
HCH_013_079_000061	兵部言：「各處物力不繼，而事權紛拏，反使督撫藉口。」
HCH_013_079_000062	上不聽。
HCH_013_079_000063	眞定兵叛降賊。
HCH_013_079_000064	知府丘茂華聞儆，先遣家人出城，總督徐標執茂華下獄。
HCH_013_079_000065	標麾下中軍伺標登城晝守禦，劫標城外殺之，出茂華。
HCH_013_079_000066	茂華遂檄屬縣叛待寇，賊數騎入城收帑籍。
HCH_013_079_000067	近京三百里，寂然無言者。
HCH_013_079_000068	進魏藻德禮部尚書、文淵閣大學士、總督河道、屯練，往天津。
HCH_013_079_000069	進方岳貢戶部尚書兼兵部尚書、文淵閣大學士、總督漕運、屯練，往濟寧。
HCH_013_079_000070	魏藻德辭新銜，允之。
HCH_013_079_000071	有言各官不可令出，出卽潛遁，遂止藻德等不遣。
HCH_013_079_000072	詔徵天下兵勤王，命府部大臣各條戰守事宜。
HCH_013_079_000073	上候於文華殿，都察院左都御史李邦華、少詹事項煜、右庶子李明睿各言南遷及東宮監撫南京。
HCH_013_079_000074	上驟覽之，怒甚，曰：「諸臣平日所言若何？今國家至此，無一忠臣義士爲朝廷分憂，而謀乃若此！夫國君死社稷，乃古今之正。朕志已定，毋復多言！」
HCH_013_079_000075	吏科都給事中吳麟徵請「棄山海關外寧遠、前屯二城。徙吳三桂入關，屯宿近郊，以衞京師」。
HCH_013_079_000076	廷臣皆以棄地非策，不敢主其議。
HCH_013_079_000077	前總督陝西余應桂奏：「賊衆號百萬，非天子全力注之不可。天下鎭將，河南左良玉，關東吳三桂，幷高傑、唐通、周遇吉、黃得功、曹友義、馬科、張天祿、馬岱、劉澤清、土國寶、劉良佐、葛汝芝及副將丘磊、惠登相、王光恩、孔希賢、金守亮等合之，調赴軍前，會師眞、保之間。督撫之外，加一督師，如史可法、王永吉其人，賜以尚方，懸公侯之賞以鼓勵之，庶賊可滅也。」
HCH_013_079_000078	大學士陳演乞休，許之，賜金幣。
HCH_013_079_000079	始上憂秦寇，演謂無足慮，至是不自安，求去。
HCH_013_079_000080	寇薄寧武關，傳檄五日不下，且屠。
HCH_013_079_000081	總兵周遇吉悉力拒守，大礮擊賊萬餘人。
HCH_013_079_000082	會火藥盡，或言：「賊勢重，可款也。」
HCH_013_079_000083	遇吉曰：「戰三日，殺賊且萬，若輩何怯耶？能勝之，一軍盡爲忠義；萬一不支，縛我以獻，若輩可無恙。」
HCH_013_079_000084	於是開門奮擊，殺賊數千人，賊懼欲退。
HCH_013_079_000085	或爲賊策曰：「我衆彼寡，但使主客分別，以十擊一，蔑不勝矣。請去帽爲識，見戴帽者擊之。遞出戰，不二日可殲也。」
HCH_013_079_000086	賊引兵復進，迭戰，脫帽以自別，我兵大敗。
HCH_013_079_000087	遇吉闔室自焚，揮短刀力鬬，被流矢，牙兵且盡，見執罵賊，賊於市磔焉。
HCH_013_079_000088	遂屠寧武，嬰穉不遺。
HCH_013_079_000089	李自成旣殺遇吉，歎曰：「使守將盡周將軍者，吾安得至此！」
HCH_013_079_000090	寇犯大同，兵民皆欲降，命城守不應。
HCH_013_079_000091	總兵朱三樂自刎，巡撫衞景瑗，督理糧儲戶部郎中徐有聲、朱家仕俱死之。
HCH_013_079_000092	文學李若葵闔家九人自縊，先題曰「一門完節」。
HCH_013_079_000093	李自成入大同六日，殺代府宗室殆盡，留僞將張天琳守之。
HCH_013_079_000094	天琳殺戮凶暴，閱兩月，陽和軍民約鎭城軍民內應，殺天琳。
HCH_013_079_000095	三月己丑，命部院廠衞司捕各官稽察奸宄，申嚴保甲。
HCH_013_079_000096	巷設邏卒，禁夜行，巡視倉庫草場。
HCH_013_079_000097	魏藻德請自出京議餉，不許。
HCH_013_079_000098	召兵部尚書張國維、庶吉士史可程、進士朱長治、陳［州］諸生張鑻於中左門。
HCH_013_079_000099	鑻言三策，首請太子監國南京，擇耆臣輔之。
HCH_013_079_000100	宣府告急，命鎭朔將軍王承胤偵寇所向。
HCH_013_079_000101	庚寅，召文武大臣、科、道於中極殿，問今日方略。
HCH_013_079_000102	奏對可三十餘人，有言守門乏員，當今之急，無如考選科、道，餘皆練兵加餉習聞也。
HCH_013_079_000103	是日，命內監分守九門，稽出入。
HCH_013_079_000104	京城武備積弛，禁兵皆南征，太倉久罄。
HCH_013_079_000105	至是，命襄城伯李國楨提督城守，守西直門，各門勳臣一，卿亞二。
HCH_013_079_000106	諭文武各官輸助。
HCH_013_079_000107	初議僉民兵，魏藻德曰：「民畏賊，如一人走，大事去矣。」
HCH_013_079_000108	上然之，禁民上城。
HCH_013_079_000109	辛卯，督師大學士李建泰上書請駕南遷，願奉太子先行。
HCH_013_079_000110	壬辰，上召對平臺，諭閣臣曰：「李建泰有疏，勸朕南遷。國君死社稷，朕將何往！」
HCH_013_079_000111	大學士范景文、左都御史李邦華、少詹事項煜請先奉太子撫軍江南。
HCH_013_079_000112	兵科給事中光時亨大聲曰：「奉太子往南，諸臣意欲何爲！將欲爲唐肅宗靈武故事乎？」
HCH_013_079_000113	景文等遂不敢言。
HCH_013_079_000114	上復問戰守之策，衆臣默然，上歎曰：「朕非亡國之君，諸臣盡亡國之臣爾！」
HCH_013_079_000115	遂拂袖起。
HCH_013_079_000116	欽天監奏帝星下移。
HCH_013_079_000117	詔封總兵吳三桂平西伯，左良玉寧南伯，唐通定西伯，黃得功靖南伯，給勅印。
HCH_013_079_000118	劉澤清實陞一級。
HCH_013_079_000119	劉良佐、周遇吉、高傑、馬岳、馬科、姜宣、孔希貴、黃蜚、葛汝芝、高第、許定國、王承胤、劉芳名、李棲鳳、曹友義、杜允登、趙光遠、卜從吉、楊御蕃各陞署一級。
HCH_013_079_000120	督撫馬士英、王永吉、黎玉田、李希沆，分別應加實署。
HCH_013_079_000121	始棄寧遠，徵吳三桂、王永吉率兵入衞。
