HCH_015_053_000081	海邊有越王石，常隱雲霧。
HCH_015_053_000082	相傳云：「清廉太守乃得見。」
HCH_015_053_000083	愿往觀視，清徹無隱蔽。
HCH_015_053_000084	後琅邪王秀之爲郡，與朝士書曰：「此郡承虞公之後，善政猶存，遺風易遵，差得無事。」
HCH_015_053_000085	以母老解職，除後軍將軍。
HCH_015_053_000086	褚淵常詣愿，不在，見其眠牀上積塵埃，有書數袠。
HCH_015_053_000087	淵歎曰：「虞君之清，一至於此。」
HCH_015_053_000088	令人掃地拂牀而去。
HCH_015_053_000089	遷中書郎，領東觀祭酒。
HCH_015_053_000090	兄季，爲上虞令，卒。
HCH_015_053_000091	愿從省步還家，不待詔便歸東。
HCH_015_053_000092	除驍騎將軍，遷廷尉，祭酒如故。
HCH_015_053_000093	愿嘗事宋明帝，齊初宋神主遷汝陰廟，愿拜辭流涕。
HCH_015_053_000094	建元元年，卒。
HCH_015_053_000095	年五十四。
HCH_015_053_000096	愿著《五經論問》，撰《會稽記》，文翰數十篇。
HCH_015_053_000097	劉懷慰字彥泰，平原平原人也。
HCH_015_053_000098	祖奉伯，元嘉中，爲冠軍長史。
HCH_015_053_000099	父乘民，冀州刺史。
HCH_015_053_000100	懷慰初爲桂陽王征北板行參軍。
HCH_015_053_000101	乘民死於義嘉事難，懷慰持喪，不食醯醬，冬月不絮衣。
HCH_015_053_000102	養孤弟妹，事寡叔母，皆有恩義。
HCH_015_053_000103	復除邵陵王南中郎參軍，廣德令，尚書駕部郎。
HCH_015_053_000104	懷慰宗從善明等，太祖心腹，懷慰亦豫焉。
HCH_015_053_000105	沈攸之有舊，令爲書戒喻攸之，太祖省之稱善。
HCH_015_053_000106	除步兵校尉。
HCH_015_053_000107	齊國建，上欲置齊郡於京邑，議者以江右土沃，流民所歸，乃治瓜步，以懷慰爲輔國將軍、齊郡太守。
HCH_015_053_000108	上謂懷慰曰：「齊邦是王業所基，吾方以爲顯任。經理之事，一以委卿。」
HCH_015_053_000109	又手勑曰：「有文事者，必有武備。今賜卿玉環刀一口。」
HCH_015_053_000110	懷慰至郡，修治城郭，安集居民，墾廢田二百頃，決沈湖灌溉。
HCH_015_053_000111	不受禮謁，民有餉其新米一斛者，懷慰出所食麥飯示之，曰：「旦食有餘，幸不煩此。」
HCH_015_053_000112	因著《廉吏論》以達其意。
HCH_015_053_000113	太祖聞之，手勑褒賞。
HCH_015_053_000114	進督秦、沛二郡。
HCH_015_053_000115	妻子在都，賜米三百斛。
HCH_015_053_000116	兖州刺史柳世隆與懷慰書曰：「膠東淵化，潁川致美，以今方古，曾何足云。」
HCH_015_053_000117	在郡二年，遷正員郎，領青冀二州中正。
HCH_015_053_000118	懷慰本名聞慰，世祖卽位，以與舅氏名同，勑改之。
HCH_015_053_000119	出監東陽郡，爲吏民所安。
HCH_015_053_000120	還兼安陸王北中郎司馬。
HCH_015_053_000121	永明九年，卒。
HCH_015_053_000122	年四十五。
HCH_015_053_000123	明帝卽位，謂僕射徐孝嗣曰：「劉懷慰若在，朝廷不憂無清吏也。」
