HCH_012_167_000037	景帝立，贈鼐少傅、吏部尚書、文淵閣大學士，謚文襄，官其子恩大理評事。
HCH_012_167_000038	英宗復位，加贈太傅，改謚文忠，復官其孫榮錦衣百戶。
HCH_012_167_000039	鼐弟鼎進士，歷吏科都給事中。
HCH_012_167_000040	張益，字士謙，江寧人。
HCH_012_167_000041	永樂十三年進士。
HCH_012_167_000042	由庶吉士授中書舍人，改大理評事。
HCH_012_167_000043	與修《宣宗實錄》成，改修撰。
HCH_012_167_000044	博學強記，詩文操筆立就，三楊雅重之。
HCH_012_167_000045	尋進侍讀學士，正統十四年入文淵閣。
HCH_012_167_000046	未三月，遽蒙難以歿。
HCH_012_167_000047	景帝立，贈學士，謚文僖。
HCH_012_167_000048	曾孫琮進士。
HCH_012_167_000049	嘉靖初歷官南京右都御史。
HCH_012_167_000050	鄺埜，字孟質，宜章人。
HCH_012_167_000051	永樂九年進士，授監察御史。
HCH_012_167_000052	成祖在北京，或奏南京鈔法為豪民沮壞，帝遣埜廉視。
HCH_012_167_000053	眾謂將起大獄，埜執一二市豪歸。
HCH_012_167_000054	奏曰：「市人聞令震懼，鈔法通矣。」
HCH_012_167_000055	事遂已。
HCH_012_167_000056	倭犯遼東，戍守失律者百餘人，皆應死。
HCH_012_167_000057	命埜按問，具言可矜狀，帝為宥之。
HCH_012_167_000058	營造北京，執役者鉅萬，命埜稽省，病者多不死。
HCH_012_167_000059	十六年有言秦民群聚謀不軌者，擢埜陜西按察副使，敕以便宜調兵剿捕。
HCH_012_167_000060	埜白其誣，詔誅妄言者。
HCH_012_167_000061	宣德四年振關中饑。
HCH_012_167_000062	在陜久，刑政清簡。
HCH_012_167_000063	父憂服除，擢應天府尹。
HCH_012_167_000064	蠲苛急政，市征田稅皆酌其平。
HCH_012_167_000065	正統元年進兵部右侍郎。
HCH_012_167_000066	明年，尚書王驥出督軍，埜獨任部事。
HCH_012_167_000067	時邊陲多警，將帥乏人，埜請令中外博舉謀略材武士，以備任使。
HCH_012_167_000068	六年，山東災。
HCH_012_167_000069	埜請寬民間孳牧馬賠償之令，以蘇其力。
HCH_012_167_000070	十年進尚書。
HCH_012_167_000071	舊例諸衛自百戶以下當代者，必就試京師，道遠無資者，終身不得代。
HCH_012_167_000072	埜請就令各都司試之，人以為便。
HCH_012_167_000073	瓦剌也先勢盛，埜請為備，又與廷臣議上方略，請增大同兵，擇智謀大臣巡視西北邊務。
HCH_012_167_000074	尋又請罷京營兵修城之役，令休息以備緩急。
HCH_012_167_000075	時不能用。
HCH_012_167_000076	也先入寇，王振主親征，不與外廷議可否。
HCH_012_167_000077	詔下，埜上疏言：「也先入犯，一邊將足制之。陛下為宗廟社稷主，奈何不自重。」
HCH_012_167_000078	不聽。
HCH_012_167_000079	既扈駕出關，力請回鑾。
HCH_012_167_000080	振怒，令與戶部尚書王佐皆隨大營。
HCH_012_167_000081	埜墮馬幾殆，或勸留懷來城就醫。
HCH_012_167_000082	埜曰：「至尊在行，敢托疾自便乎？」
HCH_012_167_000083	車駕次宣府，朱勇敗沒。
HCH_012_167_000084	埜請疾驅入關，嚴兵為殿。
HCH_012_167_000085	不報。
HCH_012_167_000086	又詣行在申請。
HCH_012_167_000087	振怒曰：「腐儒安知兵事，再言者死！」
HCH_012_167_000088	埜曰：「我為社稷生靈言，何懼？」
HCH_012_167_000089	振叱左右扶出。
HCH_012_167_000090	埜與佐對泣帳中。
HCH_012_167_000091	明日，師覆，埜死，年六十五。
HCH_012_167_000092	埜為人勤廉端謹，性至孝。
HCH_012_167_000093	父子輔為句容教官，教埜甚嚴。
HCH_012_167_000094	埜在陜久，思一見父，乃謀聘父為鄉試考官。
HCH_012_167_000095	父怒曰：「子居憲司，而父為考官，何以防閑？」
HCH_012_167_000096	馳書責之。
HCH_012_167_000097	埜又嘗寄父褐，復貽書責曰：「汝掌刑名，當洗冤釋滯，以無忝任使，何從得此褐，乃以汙我。」
HCH_012_167_000098	封還之。
HCH_012_167_000099	埜奉書跪誦，泣受教。
HCH_012_167_000100	景泰初，贈埜少保，官其子儀為主事。
HCH_012_167_000101	成化初，謚忠肅。
HCH_012_167_000102	王佐，海豐人。
HCH_012_167_000103	永樂中舉於鄉。
HCH_012_167_000104	卒業太學，以學行聞，擢吏科給事中。
HCH_012_167_000105	器宇凝重，奏對詳雅，為宣宗所簡註。
HCH_012_167_000106	宣德二年，超拜戶部右侍郎。
HCH_012_167_000107	以太倉、臨清、德州、淮、徐諸倉多積弊，敕佐巡視。
HCH_012_167_000108	平江伯陳瑄言，漕卒十二萬人，歲漕艱苦，乞僉南方民如軍數，更番轉運。
HCH_012_167_000109	詔佐就瑄及黃福議之。
HCH_012_167_000110	佐還奏，東南民力已困，議遂寢。
HCH_012_167_000111	受命治通州至直沽河道。
HCH_012_167_000112	已，赴宣府議屯田事宜。
HCH_012_167_000113	英宗初立，出鎮河南。
HCH_012_167_000114	奏言軍衛收納稅糧，奸弊百出，請變其制。
HCH_012_167_000115	廷議自邊衛外，皆改隸有司。
HCH_012_167_000116	尋召還，命督理甘肅軍餉。
HCH_012_167_000117	正統元年理長蘆鹽課，三年提督京師及通州倉場，所至事無不辦。
HCH_012_167_000118	六年，尚書劉中敷得罪，召理部事，尋進尚書。
HCH_012_167_000119	十一年承詔訊安鄉伯張安兄弟爭祿事，坐與法司相諉，被劾下吏，獲釋。
HCH_012_167_000120	時軍旅四出，耗費動以鉅萬，府庫空虛。
HCH_012_167_000121	佐從容調劑，節縮有方。
HCH_012_167_000122	在戶部久，不為赫赫名，而寬厚有度，政務糾紛，未嘗廢學，人稱其君子。
HCH_012_167_000123	土木之變，與鄺埜、丁鉉、王永和、鄧棨同死難。
HCH_012_167_000124	贈少保，官其子道戶部主事。
HCH_012_167_000125	成化初，謚忠簡。
HCH_012_167_000126	丁鉉，字用濟，豐城人。
HCH_012_167_000127	永樂中進士。
HCH_012_167_000128	授太常博士。
HCH_012_167_000129	歷工、刑、吏三部員外郎，進刑部郎中。
HCH_012_167_000130	正統三年超拜刑部侍郎。
