HCH_012_015_000032	丙辰，禁廷臣請託公事。
HCH_012_015_000033	三月乙丑，疏文武大臣及中外四品以上官姓名，揭文華殿壁。
HCH_012_015_000034	癸酉，釋奠於先師孔子。
HCH_012_015_000035	乙亥，小王子寇蘭州，都指揮廖斌擊敗之。
HCH_012_015_000036	丙子，御經筵。
HCH_012_015_000037	丁丑，命儒臣日講。
HCH_012_015_000038	夏四月甲寅，以天暑錄囚。
HCH_012_015_000039	嗣後歲以為常。
HCH_012_015_000040	六月癸巳朔，日有食之。
HCH_012_015_000041	秋七月戊辰，減浙江銀課，汰管理銀場官。
HCH_012_015_000042	八月乙巳，小王子犯山丹、永昌。
HCH_012_015_000043	辛亥，犯獨石、馬營。
HCH_012_015_000044	冬十月乙卯，振湖廣、四川饑。
HCH_012_015_000045	十一月甲申，妖僧繼曉伏誅。
HCH_012_015_000046	乙酉，免河南被災秋糧。
HCH_012_015_000047	是年，土魯番殺忠順王罕慎，復據哈密。
HCH_012_015_000048	琉球、占城、撒馬兒罕、烏斯藏入貢。
HCH_012_015_000049	二年春正月丁卯，收已故內臣賜田，給百姓。
HCH_012_015_000050	辛未，大祀天地於南郊。
HCH_012_015_000051	二月癸巳，振四川饑。
HCH_012_015_000052	三月己未，免陝西被災秋糧三分之二。
HCH_012_015_000053	戊寅，閉會川衞銀礦。
HCH_012_015_000054	夏五月庚申，河決開封，入沁河，役五萬人治之。
HCH_012_015_000055	秋七月癸亥，以京師霪雨、南京大風雷修省，求直言。
HCH_012_015_000056	戊寅，振畿內水災，免稅糧，給貧民麥種。
HCH_012_015_000057	八月丁酉，復四川流民復業者雜役三年。
HCH_012_015_000058	己酉，憲宗神主祔太廟。
HCH_012_015_000059	十一月戊午，順天饑，發粟平糶。
HCH_012_015_000060	十二月甲申朔，日有食之。
HCH_012_015_000061	辛卯，賜于謙諡，立祠曰「旌功」。
HCH_012_015_000062	是年，土魯番入貢。
HCH_012_015_000063	撒馬兒罕貢獅子、鸚鵡，卻之。
HCH_012_015_000064	三年春正月甲子，大祀天地於南郊。
HCH_012_015_000065	二月壬辰，免河南被災秋糧。
HCH_012_015_000066	甲午，戶部請免南畿、湖廣稅糧。
HCH_012_015_000067	上曰：「凶歲義當損上益下。必欲取盈，如病民何。」
HCH_012_015_000068	悉從之。
HCH_012_015_000069	三月丙辰，命天下預備倉積粟，以里數多寡為差，不及額者罪之。
HCH_012_015_000070	庚午，賜錢福等進士及第、出身有差。
HCH_012_015_000071	甲戌，侍郎張海、通政使元守直閱邊。
HCH_012_015_000072	秋九月庚戌，禁內府加派供御物料。
