HCH_012_044_000001	湖廣《禹貢》荊、揚、樑、豫四州之域。
HCH_012_044_000002	元置湖廣等處行中書省，治武昌路，又分置湖南道宣慰司治天臨路屬焉。
HCH_012_044_000003	又以襄陽等三路屬河南江北等處行中書省，又分置荊湖北道宣慰司治中興路並屬焉。
HCH_012_044_000004	太祖甲辰年二月平陳理，置湖廣等處行中書省。
HCH_012_044_000005	洪武三年十二月置武昌都衛。
HCH_012_044_000006	與行中書省同治。
HCH_012_044_000007	八年十月改都衛爲湖廣都指揮使司。
HCH_012_044_000008	九年六月改行中書省爲承宣布政使司。
HCH_012_044_000009	領府十五，直隸州二，屬州十七，縣一百有八，宣慰司二，宣撫司四，安撫司五，長官司二十一，蠻夷長官司五。
HCH_012_044_000010	爲裏三千四百八十有奇。
HCH_012_044_000011	北至均州，與河南、陝西界。
HCH_012_044_000012	南至九疑，與廣東、廣西界。
HCH_012_044_000013	東至蘄州，與江南、江西界。
HCH_012_044_000014	西至施州，與四川、貴州界。
HCH_012_044_000015	距南京一千七百一十五里，京師五千一百七十里。
HCH_012_044_000016	洪武二十六年編戶七十七萬五千八百五十一，口四百七十萬二千六百六十。
HCH_012_044_000017	弘治四年，戶五十萬四千八百七十，口三百七十八萬一千七百一十四。
HCH_012_044_000018	萬曆六年，戶五十四萬一千三百一十，口四百三十九萬八千七百八十五。
HCH_012_044_000019	武昌府元武昌路，屬湖廣行省。
HCH_012_044_000020	太祖甲辰年二月爲府。
HCH_012_044_000021	領州一，縣九：江夏倚。
HCH_012_044_000022	洪武三年四月建楚王府於城內黃龍山。
HCH_012_044_000023	東有黃鵠山，下爲黃鵠磯，臨大江。
HCH_012_044_000024	又南有金水，一名塗水，西流至金口入江，有金口鎮巡檢司。
HCH_012_044_000025	又北有滸黃洲、西南有鮎魚口鎮二巡檢司。
HCH_012_044_000026	武昌府東。
HCH_012_044_000027	西有樊山，一名西山，產銀銅鐵及紫石英。
HCH_012_044_000028	南有神人山，其下爲白鹿磯。
HCH_012_044_000029	西有西塞山，與大冶縣界。
HCH_012_044_000030	北濱江，中有蘆洲，亦曰羅洲。
HCH_012_044_000031	又西南有樊港，一名樊溪，又名袁溪，匯縣南湖澤凡九十九，北入大江，曰樊口。
HCH_012_044_000032	又東有南湖，一名五丈湖，通大江。
HCH_012_044_000033	東有金子磯鎮、又有赤土磯鎮、西南有白湖鎮三巡檢司。
HCH_012_044_000034	南有金牛鎮、西有三江口鎮二巡檢司，後廢。
HCH_012_044_000035	嘉魚府西南。
HCH_012_044_000036	西有赤壁山，與江夏縣界。
HCH_012_044_000037	北岸對烏林。
HCH_012_044_000038	西北濱大江，有陸水流入焉，曰陸口，亦曰蒲圻口。
HCH_012_044_000039	東北有簰洲鎮、西南有石頭口鎮二巡檢司。
HCH_012_044_000040	蒲圻府西南。
HCH_012_044_000041	西有蒲首山。
HCH_012_044_000042	南有蒲圻河，即陸水也。
HCH_012_044_000043	又西有蒲圻湖。
HCH_012_044_000044	西南有新店等湖，下流至嘉魚縣之石頭口，注於大江。
HCH_012_044_000045	西南有羊樓巡檢司。
HCH_012_044_000046	咸寧府東南。
HCH_012_044_000047	陳友諒時徙治河北。
HCH_012_044_000048	洪武中復還故城，即今治也。
HCH_012_044_000049	西有淦水，即金水之別名。
HCH_012_044_000050	崇陽府南。
HCH_012_044_000051	西有巖頭山。
HCH_012_044_000052	西南有龍泉山。
HCH_012_044_000053	東北有壺頭山，下有壺頭港，亦曰崇陽港，匯羣川西合陸水，又名雋水。
HCH_012_044_000054	通城府西南。
HCH_012_044_000055	南有錫山，舊產銀錫。
HCH_012_044_000056	北有陸水，自巴陵縣流入。
HCH_012_044_000057	興國州元興國路，屬湖廣行省。
HCH_012_044_000058	太祖甲辰年二月爲府。
HCH_012_044_000059	洪武九年四月降爲州，以州治永興縣省入，來屬。
HCH_012_044_000060	北有銀山，西有黃姑山，舊俱產銀。
HCH_012_044_000061	南有太平山，與九宮山接。
HCH_012_044_000062	東有大坡山，產茶。
HCH_012_044_000063	東北有大江。
HCH_012_044_000064	東有富池湖，亦曰富水，北流注於江，有富池鎮巡檢司。
HCH_012_044_000065	又東北有黃顙口鎮巡檢司。
HCH_012_044_000066	西北距府三百八十里。
HCH_012_044_000067	領縣二：大冶州西北。
HCH_012_044_000068	北有鐵山，又有白雉山，出銅礦。
HCH_012_044_000069	又東有圍爐山，出鐵。
HCH_012_044_000070	又西南有銅綠山，舊產銅。
HCH_012_044_000071	大江在北。
HCH_012_044_000072	有道士洑巡檢司。
HCH_012_044_000073	通山州西少南。
