HCH_009_092_000084	上曰：「方春耕作，不可勞民。以宮籍監戶及摘東宮、諸王人從充役，若不足即以五百里內軍夫補之。」
HCH_009_092_000085	《太宗實錄》成，監修國史紇石烈良弼賜金帶一、重彩二十端。
HCH_009_092_000086	同修國史張景仁、劉仲淵、望之皆賜銀幣有差。
HCH_009_092_000087	望之歎賞薄，謂人曰：「栽花接本乃加爵命，勤勞者不遷官。」
HCH_009_092_000088	無何，張景仁遷翰林學士，望之又曰：「止與他人便遣，獨不及我哉。」
HCH_009_092_000089	世宗聞之，出望之德州防禦使，謂之曰：「汝為人能幹而心不忠實。朕前往安州春水，人言汝無事君之義。朕敕臣下，有過即當諫爭。汝但面從，退則謗議，此不忠不孝也。汝自五品起遷四品，《太宗皇帝實錄》成，優賜銀幣，不思盡心竭力，惟官賞是覬。今出汝於外，宜改心滌慮。不然，則身亦莫保。」
HCH_009_092_000090	望之到德州，有惠政，百姓為立生祠。
HCH_009_092_000091	改同知西京留守事。
HCH_009_092_000092	上書論便宜事：其一，論山東、河北猛安謀克與百姓雜處，民多失業。
HCH_009_092_000093	陳、蔡、汝、潁之間土廣人稀，宜徙百姓以實其處，複數年之賦以安輯之。
HCH_009_092_000094	百姓亡命及避役軍中者，閱實其人，使還本貫。
HCH_009_092_000095	或編近縣以為客戶，或留為佃戶者，亦籍其姓名。
HCH_009_092_000096	州縣與猛安事干涉者無相黨匿，庶幾軍民協和，盜賊弭息。
HCH_009_092_000097	其二，論薦舉之法虛文無實。
HCH_009_092_000098	宰相拔擢及其所識，不及其所不識。
HCH_009_092_000099	內外官所舉亦輒不用，或指以為朋黨，遂不敢複舉。
HCH_009_092_000100	宜令宰執歲舉三品二人，御史大夫以下內外官終秩舉二人，自此以下以品殺為差等。
HCH_009_092_000101	終秩不舉者遇轉官勒不遷，三品者削後任俸三月。
HCH_009_092_000102	其舉者已改除，吏部以類品第，季而上之。
HCH_009_092_000103	三品闕則於類第四品中補授，四品五品以下視此為差。
HCH_009_092_000104	其待以不次者，宰執具才行功實以聞。
HCH_009_092_000105	舉當否罪當如律。
