HCH_009_011_000093	御史大夫張暐以奏事不實，追一官，侍御史路鐸追兩官，俱罷之。
HCH_009_011_000094	姬端修杖七十，贖。
HCH_009_011_000095	壬午，英王從憲進封瀛王。
HCH_009_011_000096	詔同州、許州節度使罷兼陝西、河南副統軍。
HCH_009_011_000097	五月壬辰朔，以旱，下詔責躬，求直言，避正殿，減膳，審理冤獄，命奏事於泰和殿。
HCH_009_011_000098	戊戌，命有司望祭嶽瀆禱雨。
HCH_009_011_000099	己亥，應奉翰林文字陳載言四事：其一，邊民苦於寇掠；其二，農民困于軍須；其三，審決冤滯，一切從寬，苟縱有罪；其四，行省官員，例獲厚賞，而沿邊司縣，曾不沾及，此亦幹和氣，致旱災之所由也。
HCH_009_011_000100	上是之。
HCH_009_011_000101	壬寅，以兵部郎中完顏撒裏合為夏國生日使。
HCH_009_011_000102	戊申，宰臣以京畿雨，率百官請御正殿，復常膳。
HCH_009_011_000103	不從。
HCH_009_011_000104	尚書省奏上更定給發虎符制，著於令。
HCH_009_011_000105	庚戌，諭宰臣曰：「諸路旱，或關執政。今惟大興、宛平兩縣不雨，得非其守令之過歟？」
HCH_009_011_000106	司空襄、平章政事萬公、參知政事揆上表待罪。
HCH_009_011_000107	上以罪己答之，令各還職。
HCH_009_011_000108	詔頒銅杖式。
HCH_009_011_000109	壬子，祈雨於太廟。
HCH_009_011_000110	乙卯，更定軍功賞格。
HCH_009_011_000111	戊午，司空襄以下再請御正殿，復常膳。
HCH_009_011_000112	不從。
HCH_009_011_000113	庚申，平章政事夾穀衡薨。
HCH_009_011_000114	以宿直將軍徒單仲華為橫賜夏國使。
HCH_009_011_000115	六月丁卯，雨。
HCH_009_011_000116	司空襄以下復表請御正殿，復常膳。
HCH_009_011_000117	從之。
HCH_009_011_000118	甲戌，以雨足，命有司報謝於太廟。
HCH_009_011_000119	丁丑，右補闕楊庭秀言：「自轉對官外，復令隨朝八品以上、外路五品以上及出使外路有可言者，並許移檢院以聞。則時政得失，民間利病，可周知矣。」
HCH_009_011_000120	從之。
