HCH_012_173_000144	累功至指揮僉事。
HCH_012_173_000145	正統末，進都指揮僉事，守柴溝堡。
HCH_012_173_000146	也先犯京師，入衛，進都指揮同知。
HCH_012_173_000147	景泰改元，守懷來，寇入不能禦。
HCH_012_173_000148	護餉永寧，聞炮聲奔還，皆被劾。
HCH_012_173_000149	朝議以方用兵，不問。
HCH_012_173_000150	累進都督僉事，代能為左副總兵，協鎮宣府。
HCH_012_173_000151	上言：「鹿角之制，臨陣可捍敵馬，結營可衛士卒，每隊宜置十具。遇敵團牌拒前，鹿角列後，神銃弓矢相繼叠發，則守無不固，戰無不克。」
HCH_012_173_000152	從之。
HCH_012_173_000153	天順初，移鎮延綏，進都督同知。
HCH_012_173_000154	明年破寇青陽溝，大獲。
HCH_012_173_000155	封彰武伯，佩副將軍印，充總兵官，鎮守如故。
HCH_012_173_000156	延綏設總兵官佩印，自信始也。
HCH_012_173_000157	頃之，破寇高家堡。
HCH_012_173_000158	三年與石彪大破寇於野馬澗。
HCH_012_173_000159	明年，寇二萬騎入榆林，信擊卻之。
HCH_012_173_000160	追奔至金雞峪，斬平章阿孫帖木兒，還所掠人畜萬計。
HCH_012_173_000161	其冬，代李文鎮大同。
HCH_012_173_000162	憲宗即位，信自陳前後戰功，予世券。
HCH_012_173_000163	成化元年冬禦寇延綏無功，召還，督三千營。
HCH_012_173_000164	毛裏孩據河套，命佩將軍印，總諸鎮兵往禦。
HCH_012_173_000165	寇既渡河北去，已，復還據套，分掠水泉營及朔州，信等屢卻之。
HCH_012_173_000166	寇遂東入大同。
HCH_012_173_000167	因詔信還鎮大同。
HCH_012_173_000168	六年，信與副將徐恕、參將張瑛分道出塞，敗寇於胡柴溝，獲馬五百餘匹。
HCH_012_173_000169	璽書獎勵。
HCH_012_173_000170	信在邊三十年，鎮以安靜，人樂為用。
HCH_012_173_000171	然性好營利。
HCH_012_173_000172	代王嘗奏其違法事，詔停一歲祿。
HCH_012_173_000173	十三年冬卒於鎮。
HCH_012_173_000174	贈侯，謚武毅。
HCH_012_173_000175	洪父子兄弟皆佩將印，一門三侯伯。
HCH_012_173_000176	其時稱名將者，推楊氏。
HCH_012_173_000177	昌平侯既廢，能以流爵弗世。
HCH_012_173_000178	而信獨傳其子瑾，弘治初領將軍宿衛。
HCH_012_173_000179	三傳至曾孫炳。
HCH_012_173_000180	隆慶時，協守南京。
HCH_012_173_000181	召掌京營戎政，屢加少師。
HCH_012_173_000182	卒，謚恭襄。
HCH_012_173_000183	傳子至孫崇猷。
HCH_012_173_000184	李自成陷京師，被殺。
HCH_012_173_000185	石亨，渭南人。
HCH_012_173_000186	生有異狀，方面偉軀，美髯及膝。
HCH_012_173_000187	其從子彪魁梧似之，須亦過腹。
HCH_012_173_000188	就飲酒肆，相者曰：「今平也，二人何乃有封侯相？」
HCH_012_173_000189	亨嗣世父職，為寬河衛指揮僉事。
HCH_012_173_000190	善騎射，能用大刀，每戰輒摧破。
HCH_012_173_000191	正統初，以獲首功，累遷都指揮僉事。
HCH_012_173_000192	敗敵黃牛坡，獲馬甚眾。
HCH_012_173_000193	三年正月，敵三百餘騎飲馬黃河，亨追擊至官山下，多所斬獲。
HCH_012_173_000194	進都指揮同知。
HCH_012_173_000195	尋充左參將，佐武進伯朱冕守大同。
HCH_012_173_000196	六年上言：「邊餉難繼，請分大同左右、玉林、雲川四衛軍，墾凈水坪迤西曠土，官給牛種，可歲增糧萬八千石。」
