HCH_010_084_000060	上釋其罪，降為南京侍衛親軍都指揮使。
HCH_010_084_000061	四年卒。
HCH_010_084_000062	耶律善補，字瑤升，孟父楚國王之後。
HCH_010_084_000063	純謹有才智。
HCH_010_084_000064	景宗即位，授千牛衛大將軍，遷大同軍節度使。
HCH_010_084_000065	及伐宋，韓匡嗣與耶律沙將兵由東路進，善補以南京統軍使由西路進。
HCH_010_084_000066	善補聞匡嗣失利，斂兵還。
HCH_010_084_000067	乾亨末，與宋軍戰於滿城，為伏兵所圍，斜軫救之獲免。
HCH_010_084_000068	以失備，大杖決之。
HCH_010_084_000069	統和初，為惕隱。
HCH_010_084_000070	會宋來侵，善補為都元帥逆之，不敢戰，故嶺西州郡多陷，罷惕隱。
HCH_010_084_000071	以其叔安端有匡輔世宗功，上湣之，征善補為南府宰相，遷南院大王。
HCH_010_084_000072	會再舉伐宋，欲攻魏府，召眾集議。
HCH_010_084_000073	將士以魏城無備，皆言可攻。
HCH_010_084_000074	善補曰：「攻固易，然城大叵量，若克其城，士卒貪俘掠，勢必不可遏。且傍多巨鎮，各出援兵，內有重敵，何以當之？」
HCH_010_084_000075	上乃止。
HCH_010_084_000076	善補性懦，守靜。
HCH_010_084_000077	凡征討，憚攻戰，急還，以故戰多不利。
HCH_010_084_000078	年七十四卒。
HCH_010_084_000079	耶律海裏，字留隱，令穩拔裏得之長子。
HCH_010_084_000080	察割之亂，其母的魯與焉。
HCH_010_084_000081	遣人召海裏，海裏拒之。
HCH_010_084_000082	亂平，的魯以子故獲免。
HCH_010_084_000083	海裏儉素，不喜聲利，以射獵自娛。
HCH_010_084_000084	雖居閑，人敬之若貴官然。
HCH_010_084_000085	保寧初，拜彰國軍節度使，遷惕隱。
HCH_010_084_000086	秩滿，稱疾不仕。
HCH_010_084_000087	久之，復為南院大王。
HCH_010_084_000088	及曹彬、米信等來侵，海裏有卻敵功，賜資忠保義匡國功臣。
HCH_010_084_000089	帝屢親征，海裏在南院十餘年，鎮以寬靜，戶口增給，時議重之。
HCH_010_084_000090	封漆水郡王，遷上京留守，薨。
HCH_010_084_000091	詔以家貧，給葬具。
HCH_010_084_000092	論曰：當高梁、朔州之捷，偏裨之將如沙與抹只，既因休哥、斜軫類見其功，所謂失之東隅，收之桑榆。
HCH_010_084_000093	若蕭幹、海裏拒察割之招，討古告海思之變，則不止有戰功而已。
HCH_010_084_000094	其視善補畏懦，豈不優哉！
HCH_010_084_000095	本元朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
