HCH_015_015_000033	泰始旣遷，領義陽，僑立汝南，領三郡。
HCH_015_015_000034	元徽四年，又領安陸、隨、安蠻三郡。
HCH_015_015_000035	領郡如左：鎮襄陽，晉中朝荊州都督所治也。
HCH_015_015_000036	元帝以魏該爲雍州，鎮酇城，襄陽別有重戍。
HCH_015_015_000037	庾翼爲荊州，謀北伐，鎮襄陽。
HCH_015_015_000038	自永嘉亂，襄陽民戶流荒。
HCH_015_015_000039	咸康八年，尚書殷融言：「襄陽、石城，疆埸之地，對接荒寇。諸荒殘寄治郡縣，民戶寡少，可幷合之。」
HCH_015_015_000040	朱序爲雍州，於襄陽立僑郡縣，沒苻氐。
HCH_015_015_000041	氐敗，復還南，復用朱序。
HCH_015_015_000042	襄陽左右，田土肥良，桑梓野澤，處處而有。
HCH_015_015_000043	郗恢爲雍州，于時舊民甚少，新戶稍多。
HCH_015_015_000044	宋元嘉中，割荊州五郡屬，遂爲大鎮。
HCH_015_015_000045	疆蠻帶沔，阻以重山，北接宛、洛，平塗直至，跨對樊、沔，爲鄢郢北門。
HCH_015_015_000046	部領蠻左，故別置蠻府焉。
HCH_015_015_000047	領郡如左：南上洛郡鎮長沙郡。
HCH_015_015_000048	湘川之奧，民豐土閑。
HCH_015_015_000049	晉永嘉元年，分荊州置，苟眺爲刺史。
HCH_015_015_000050	此後三省，輙復置。
HCH_015_015_000051	元嘉十八年置，至今爲舊鎮。
HCH_015_015_000052	南通嶺表，脣齒荊區。
HCH_015_015_000053	領郡如左：始安郡鎮南鄭。
HCH_015_015_000054	魏景元四年平蜀所置也。
HCH_015_015_000055	晉永嘉元年，蜀賊沒漢中，刺史張光治魏興，三年，還漢中。
HCH_015_015_000056	建興元年，又爲氐楊難敵所沒。
HCH_015_015_000057	桓溫平蜀，復舊土。
HCH_015_015_000058	後爲譙縱所沒，縱平復舊。
HCH_015_015_000059	每失漢中，刺史輙鎮魏興。
HCH_015_015_000060	漢中爲巴蜀扞蔽，故劉備得漢中，云「曹公雖來，無能爲也」。
HCH_015_015_000061	是以蜀有難，漢中輙沒。
HCH_015_015_000062	雖時還復，而戶口殘耗。
HCH_015_015_000063	宋元嘉中，甄法護爲氐所攻，失守。
HCH_015_015_000064	蕭思話復還漢中。
HCH_015_015_000065	後氐虜數相攻擊，關隴流民，多避難歸化，於是民戶稍實。
HCH_015_015_000066	州境與氐、胡相隣，亦爲威御之鎮。
HCH_015_015_000067	領郡如左：上洛商豐陽流民秬陽陽亭齊化西豐陽東鄴陽齊寧京兆新寧新附凡四十五郡，荒或無民戶。
HCH_015_015_000068	晉武帝泰始五年置。
HCH_015_015_000069	舊土有秦之富，跨帶壠坂。
HCH_015_015_000070	太康省，惠帝元康七年復置。
HCH_015_015_000071	中原亂，沒胡。
HCH_015_015_000072	穆帝永和八年，胡偽秦州刺史王擢降，仍以爲刺史，尋爲苻健所破。
HCH_015_015_000073	十一年，桓溫以氐王楊國爲秦州刺史，未有民土。
HCH_015_015_000074	至泰元十四年，雍州刺史朱序始督秦州，則孝武所置也。
HCH_015_015_000075	寄治襄陽，未有刺史，是後雍州刺史常督之。
HCH_015_015_000076	隆安二年，郭銓始爲梁、南秦州刺史，州寄治漢中。
HCH_015_015_000077	四年，桓玄督七州，但云秦州。
HCH_015_015_000078	元興元年，以苻堅子宏爲北秦州刺史。
HCH_015_015_000079	自此荊州都督常督秦州，梁州常帶南秦州刺史。
HCH_015_015_000080	義熙三年，以氐王楊國爲北秦州刺史。
HCH_015_015_000081	十四年，置東秦州，劉義真爲刺史。
HCH_015_015_000082	郭恭爲梁州刺史，尹雅爲秦州刺史。
HCH_015_015_000083	宋文帝爲荊州都督，督秦州，又進督北秦州。
HCH_015_015_000084	州名雜出，省置不見。
HCH_015_015_000085	《永明郡國志》秦州寄治漢中南鄭，不曰南北。
HCH_015_015_000086	《元嘉計偕》亦云秦州，而荊州都督常督二秦，梁、南秦一刺史。
HCH_015_015_000087	是則《志》所載秦州爲南秦，氐爲北秦。
HCH_015_015_000088	領郡如左：鎮成都，起魏景元四年所治也。
HCH_015_015_000089	開拓夷荒，稍成郡縣，如漢之永昌，晉之雲山之類是也。
HCH_015_015_000090	蜀侯惲壯以來，四爲偏據，故諸葛亮云「益州險塞，沃野天府」。
HCH_015_015_000091	劉頌亦謂「成都宜處親子弟，以爲王國」。
HCH_015_015_000092	故立成都王穎，竟不之國。
HCH_015_015_000093	三峽險阻，蠻夷孔熾。
HCH_015_015_000094	西通芮芮河南，亦如漢武威張掖，爲西域之道也。
HCH_015_015_000095	方面疆鎮，塗出萬里，晉世以處武臣。
HCH_015_015_000096	宋世亦以險遠，諸王不牧。
HCH_015_015_000097	泰始中，成都市橋忽生小洲，始康人邵碩有術數，見之曰：「洲生近市，當有貴王臨境。」
HCH_015_015_000098	永明二年，而始興王鎮爲刺史。
HCH_015_015_000099	州土瓌富，西方之一都焉。
HCH_015_015_000100	領夷、齊諸郡如左：南新巴郡蚕陵令，無戶數。
HCH_015_015_000101	鎮建寧郡，本益州南中，諸葛亮所謂不毛之地也。
HCH_015_015_000102	道遠土塉，蠻夷衆多，齊民甚少，諸爨、氐彊族，恃遠擅命，故數有土反之虞。
HCH_015_015_000103	領郡如左：益寧郡安上郡
HCH_015_015_000104	贊曰：郡國旣建，因州而部。
HCH_015_015_000105	離過十三，合不踰九。
HCH_015_015_000106	分城列邑，名號殷阜。
HCH_015_015_000107	遷徙叛逆，代亡代有。
HCH_015_015_000108	本南北朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
