HCH_012_189_000048	廷臣多薦文祥，率為吉、直所沮。
HCH_012_189_000049	弘治二年以王恕薦召為兵部主事，監司以下饋贐皆不納。
HCH_012_189_000050	到官未逾月，復以吉人事下獄，貶貴州興隆衛經歷。
HCH_012_189_000051	都御史鄧廷瓚征苗，咨以兵事，大奇之，欲薦為監司。
HCH_012_189_000052	文祥曰：「昔以言事出，今以軍功進，不可。」
HCH_012_189_000053	固辭不得，乃請齎表入都，固乞告歸。
HCH_012_189_000054	疏再上，不許。
HCH_012_189_000055	還經商城，渡冰陷，死焉，年僅三十。
HCH_012_189_000056	孫磐，遼陽人。
HCH_012_189_000057	弘治九年進士。
HCH_012_189_000058	觀政在部時，刑部典吏徐珪以滿倉兒事劾中官楊鵬得罪，磐上疏曰：「近諫官以言為諱，而排寵倖觸權奸者乃在胥吏，臣竊羞之。請定建言者為四等。最上不避患害，抗彈權貴者。其次揚清激濁，能補闕拾遺。又其次，建白時政，有裨軍國。皆分別擢敘。而粉飾文具、循默不言者，則罷黜之。庶言官知警，不至曠鳷。」
HCH_012_189_000059	時不見用。
HCH_012_189_000060	徐珪者，應城人。
HCH_012_189_000061	先是，千戶吳能以女滿倉兒付媒者鬻于樂婦張，紿曰：「周皇親家也。」
HCH_012_189_000062	後轉鬻樂工袁璘所。
HCH_012_189_000063	能歿，妻聶訪得之。
HCH_012_189_000064	女怨母鬻己，詭言非己母。
HCH_012_189_000065	聶與子劫女歸。
HCH_012_189_000066	璘訟于刑部，郎中丁哲、員外郎王爵訊得情。
HCH_012_189_000067	璘語不遜，哲笞璘，數日死。
HCH_012_189_000068	御史陳玉、主事孔琦驗璘屍，瘞之。
HCH_012_189_000069	東廠中官楊鵬從子嘗與女淫，教璘妻訴冤于鵬而令張指女為妹，又令賈校尉屬女亦如張言。
HCH_012_189_000070	媒者遂言聶女前鬻周皇親矣。
HCH_012_189_000071	奏下鎮撫司，坐哲、爵等罪。
HCH_012_189_000072	復下法司、錦衣衛讞，索女皇親周彧家，無有。
HCH_012_189_000073	復命府部大臣及給事、御史廷訊，張與女始吐實。
