HCH_012_163_000098	宣德元年起修兩朝實錄。
HCH_012_163_000099	明年轉南京國子監司業。
HCH_012_163_000100	帝諭之曰：「侍講，清華之選；司業，師儒之席。位雖不崇，任則重矣。」
HCH_012_163_000101	九年，秩滿，選祭酒，正統三年上書言：「舊制，諸生以在監久近，送諸司歷事。比來，有因事予告者，遷延累歲，至撥送之期始赴，實長奸惰，請以肄業多寡為次第。又近有願就雜職之例，士風卑陋，誠非細故，請加禁止。」
HCH_012_163_000102	從之。
HCH_012_163_000103	敬宗美須髯，容儀端整，步履有定則，力以師道自任。
HCH_012_163_000104	立教條，革陋習。
HCH_012_163_000105	六館士千餘人，每升堂聽講，設饌會食，整肅如朝廷。
HCH_012_163_000106	稍失容，即令待罪堂下。
HCH_012_163_000107	僚屬憚其嚴，誣以他事，訟之法司。
HCH_012_163_000108	周忱與敬宗善，曰：「盍具疏自理。」
HCH_012_163_000109	為屬草，辭稍遷就。
HCH_012_163_000110	敬宗驚曰：「得無誑君耶？」
HCH_012_163_000111	不果上，事亦竟白。
HCH_012_163_000112	滿考，入京師，王振欲見之，令忱道意。
HCH_012_163_000113	敬宗曰：「吾為諸生師表，而私謁中貴，何以對諸生？」
HCH_012_163_000114	振知不可屈，乃貽之文錦羊酒，求書程子《四箴》，冀其來謝。
HCH_012_163_000115	敬宗書訖，署名而已。
HCH_012_163_000116	返其幣，終不往見。
HCH_012_163_000117	王直為吏部尚書，從容謂曰：「先生官司成久，將薦公為司寇。」
HCH_012_163_000118	敬宗曰：「公知我者，今與天下英才終日論議，顧不樂耶？」
HCH_012_163_000119	性善飲酒，至數鬥不亂。
HCH_012_163_000120	襄城伯李隆守備南京，每留飲，聲伎滿左右。
HCH_012_163_000121	竟日舉杯，未嘗一盼。
HCH_012_163_000122	其嚴重如此。
HCH_012_163_000123	十二年冬乞休，不允。
HCH_012_163_000124	景泰元年九月與尚書魏驥同引年致仕。
HCH_012_163_000125	家居不輕出。
HCH_012_163_000126	有被其容接者，莫不興起。
HCH_012_163_000127	天順三年五月卒，年八十三。
HCH_012_163_000128	後贈禮部侍郎，謚文定。
HCH_012_163_000129	初，敬宗與李時勉同在翰林，袁忠徹嘗相之。
HCH_012_163_000130	曳二人並列曰：「二公他日功名相埒。」
HCH_012_163_000131	敬宗儀觀魁梧，時勉貌稍寢，後二人同時為兩京祭酒。
HCH_012_163_000132	時勉平恕得士，敬宗方嚴。
HCH_012_163_000133	終明世稱賢祭酒者，曰南陳北李。
HCH_012_163_000134	劉鉉，字宗器，長洲人。
HCH_012_163_000135	生彌月而孤。
HCH_012_163_000136	及長，刲股療母疾。
HCH_012_163_000137	母卒，哀毀，以孝聞。
HCH_012_163_000138	永樂中，用善書征入翰林，舉順天鄉試，授中書舍人。
HCH_012_163_000139	宣德時，預修成祖、仁宗《實錄》，遷兵部主事，仍供事內廷。
HCH_012_163_000140	正統中，再修《宣宗實錄》，進侍講。
HCH_012_163_000141	以學士曹鼐等薦，與修撰王振教習庶吉士。
HCH_012_163_000142	景帝立，進侍講學士，直經筵。
HCH_012_163_000143	三年，以高谷薦，遷國子祭酒。
HCH_012_163_000144	時以國計不足，放遣諸生，不願歸者停其月廩。
HCH_012_163_000145	鉉言：「養才，國家急務。今倉廩尚盈，奈何靳此？」
HCH_012_163_000146	遂得復給。
HCH_012_163_000147	又今甄別六館生，年老貌寢，學藝疏淺者，斥為民。
HCH_012_163_000148	鉉言：「諸生荷教澤久，豈無片長？況離親戚，棄墳墓，艱苦備至，一旦被斥，非朝廷育才意。乞揀年貌衰而有學者，量授之官。」
HCH_012_163_000149	帝可其奏。
HCH_012_163_000150	尋以母喪歸。
HCH_012_163_000151	服闕，赴都，陳詢已為祭酒。
HCH_012_163_000152	帝重鉉，命與詢並任。
HCH_012_163_000153	天順初，改少詹事，侍東宮講讀。
HCH_012_163_000154	明年十月卒。
HCH_012_163_000155	帝及太子皆賜祭，賻贈有加。
HCH_012_163_000156	憲宗立，贈禮部侍郎，謚文恭。
HCH_012_163_000157	鉉性介特，言行不茍。
HCH_012_163_000158	教庶吉士及課國子生，規條嚴整，讀書至老彌篤。
HCH_012_163_000159	仲子瀚以進士使南方。
HCH_012_163_000160	瀕行，閱其衣篋。
HCH_012_163_000161	比還，篋如故，乃喜曰：「無玷吾門矣。」
HCH_012_163_000162	瀚官終副使，能守父訓。
HCH_012_163_000163	薩琦，字廷珪。
HCH_012_163_000164	其先西域人，後著籍閩縣。
HCH_012_163_000165	舉宣德五年進士。
HCH_012_163_000166	歷官禮部侍郎兼少詹事。
HCH_012_163_000167	天順元年卒。
HCH_012_163_000168	琦有文德，狷潔不茍合。
HCH_012_163_000169	名行與鉉相頡頏云。
HCH_012_163_000170	邢讓，字遜之。
HCH_012_163_000171	襄陵人。
HCH_012_163_000172	年十八，舉於鄉，入國子監。
HCH_012_163_000173	為李時勉所器，與劉珝齊名。
HCH_012_163_000174	登正統十三年進士。
HCH_012_163_000175	改庶吉士，授檢討。
HCH_012_163_000176	景泰元年，李實自瓦剌還，請再遣使迎上皇。
HCH_012_163_000177	景帝不許。
HCH_012_163_000178	讓疏曰：「上皇於陛下有君之義，有兄之恩，安得而不迎？且令寇假大義以問我，其何辭以應？若從群臣請，仍命實賫敕以往，且述迎復之指。雖上皇還否未可必，而陛下恩義之篤昭然於天下。萬一迎而不許，則我得責直於彼，以興問罪之師，不亦善乎。」
HCH_012_163_000179	疏入，帝委曲諭解之。
HCH_012_163_000180	天順末，父憂歸。
HCH_012_163_000181	未終喪，起修《英宗實錄》，進修撰。
HCH_012_163_000182	成化二年超遷國子祭酒。
HCH_012_163_000183	慈懿太后崩，議祔廟禮，讓率僚屬疏諫。
HCH_012_163_000184	兩京國學教官，例不得遷擢，讓等以為言，由科目者，滿考得銓敘。
HCH_012_163_000185	讓在太學，亦力以師道自任，修《辟雍通志》，督諸生誦小學及諸經。
HCH_012_163_000186	痛懲謁告之弊，時以此見稱，而謗者亦眾。
HCH_012_163_000187	為人負才狹中。
HCH_012_163_000188	意所輕重，輒形於詞色，名位相軋者多忌之。
HCH_012_163_000189	五年擢禮部右侍郎。
HCH_012_163_000190	越二年，以在國子監用會饌錢事，與後祭酒陳鑒、司業張業、典籍王允等，俱得罪坐死。
HCH_012_163_000191	諸生訴闕下，請代。
HCH_012_163_000192	復詔廷臣雜治，卒坐死，贖為民。
HCH_012_163_000193	鑒既得罪，吏部尚書姚夔請起致仕禮部侍郎李紹為祭酒。
HCH_012_163_000194	馳召之，而紹已卒。
HCH_012_163_000195	紹字克述，安福人。
HCH_012_163_000196	宣德八年進士。
HCH_012_163_000197	改庶吉士，授檢討。
HCH_012_163_000198	大學士楊士奇臥病，英宗遣使詢人才，士奇舉紹等五人以對。
HCH_012_163_000199	土木之敗，京師戒嚴，朝士多遣家南徙。
HCH_012_163_000200	紹曰：「主辱臣死，奚以家為？」
HCH_012_163_000201	卒不遣。
HCH_012_163_000202	累遷翰林學士。
HCH_012_163_000203	以李賢、王翺薦，擢禮部侍郎。
HCH_012_163_000204	成化二年以疾求解職。
HCH_012_163_000205	紹好學問，居官剛正有器局，能獎掖後進。
HCH_012_163_000206	其卒也，帝深惜之。
HCH_012_163_000207	林瀚，字亨大，閩人。
HCH_012_163_000208	父元美，永樂末進士，撫州知府。
HCH_012_163_000209	瀚舉成化二年進士。
HCH_012_163_000210	改庶吉士，授編修。
HCH_012_163_000211	再遷諭德，請急歸。
HCH_012_163_000212	弘治初，召修《憲宗實錄》。
HCH_012_163_000213	充經筵講官。
HCH_012_163_000214	稍遷國子監祭酒，進禮部右侍郎，掌監事如故。
HCH_012_163_000215	典國學垂十年，饌銀歲以百數計，悉貯之官，以次營立署舍。
HCH_012_163_000216	師儒免僦居，由瀚始。
HCH_012_163_000217	歷吏部左、右侍郎。
HCH_012_163_000218	十三年拜南京吏部尚書。
HCH_012_163_000219	以災異率群僚陳十二事。
HCH_012_163_000220	御史王獻臣自遼東逮下詔獄，儒士孫伯堅等夤緣為中書舍人。
HCH_012_163_000221	瀚疏爭，忤旨。
HCH_012_163_000222	乞罷，不許。
HCH_012_163_000223	已，奏請重根本：曰保固南京，曰佑啟皇儲，曰撫綏百姓，曰增進賢才。
HCH_012_163_000224	正德元年四月，吏部尚書馬文升去位，言官丘俊、石介等薦瀚。
HCH_012_163_000225	帝用侍郎焦芳，乃改瀚南京兵部，參贊機務。
HCH_012_163_000226	命未至，瀚引疾乞休，因陳養正心、崇正道、務正學、親正人四事。
HCH_012_163_000227	優詔慰留。
HCH_012_163_000228	時災異數見，瀚及南京諸臣條時政十二事。
HCH_012_163_000229	語涉近幸，多格不行。
HCH_012_163_000230	瀚素剛方，與守備中官不合，他內臣進貢道其地者，瀚每裁抑之，遂交譖於劉瑾。
HCH_012_163_000231	會劉健、謝遷罷政，瀚聞太息。
HCH_012_163_000232	言官戴銑等以留健、遷被征，瀚獨贐送，瑾聞益恨。
HCH_012_163_000233	明年二月假銑等獄詞，謫瀚浙江參政。
HCH_012_163_000234	致仕。
HCH_012_163_000235	旋指為奸黨。
HCH_012_163_000236	瑾誅，復官，致仕。
HCH_012_163_000237	予月廩歲隸如故事。
HCH_012_163_000238	尋命有司歲時存問。
HCH_012_163_000239	瀚為人謙厚，而自守介然。
HCH_012_163_000240	卒年八十六。
HCH_012_163_000241	贈太子太保，謚文安。
HCH_012_163_000242	子九人，庭㭿、庭機最顯。
HCH_012_163_000243	庭㭿，字利瞻。
HCH_012_163_000244	瀚次子也。
HCH_012_163_000245	弘治十二年進士。
HCH_012_163_000246	授兵部主事。
HCH_012_163_000247	歷職方郎中。
HCH_012_163_000248	吏部尚書張彩欲改為御史，固謝之，乃以為蘇州知府。
HCH_012_163_000249	頻歲大水，疏請停織造，罷繁征，割關課備振。
HCH_012_163_000250	再上，始報可。
