HCH_013_017_000097	二十一年春二月，建文帝入楚，程濟從，登章臺山，賦弔古詩：「楚歌趙舞今何在？惟見寒鴉繞樹啼。」
HCH_013_017_000098	六月，帝遊漢陽，登晴川樓，吟云：「江波猶湧憾，林靄欲翻愁。」
HCH_013_017_000099	七月，帝留大別山。
HCH_013_017_000100	二十二年春二月，建文帝東行，冬十月，與史彬相遇於旅店，言及榆木川，稍色喜。
HCH_013_017_000101	史彬問道路起居狀，答曰：「近來強飯，精爽倍常。」
HCH_013_017_000102	即同彬下江南，至彬家。
HCH_013_017_000103	彬具酒肴於所居之重慶堂，帝上座，程濟東列，彬西列。
HCH_013_017_000104	彬有從叔祖名弘者，嘉興縣史家村人也，直入，至堂上，彬不得已，亦與坐。
HCH_013_017_000105	問：「師何來？」
HCH_013_017_000106	彬未答。
HCH_013_017_000107	即起趨出，招彬曰：「此建文皇帝也。」
HCH_013_017_000108	彬曰：「非也。」
HCH_013_017_000109	弘曰：「吾曾於東宮見之。當吾家籍沒時，非帝，吾無死所矣。帝實活我，恩無以報。」
HCH_013_017_000110	彬不得已，實告之。
HCH_013_017_000111	即頓首堂下，涕泣問向來狀。
HCH_013_017_000112	帝曰：「賴諸從亡者給我衣食，周旋險阻之間，二十年來，戰戰兢兢。」
HCH_013_017_000113	復大慟。
HCH_013_017_000114	慟已，曰：「今想可老終矣！」
HCH_013_017_000115	弘曰：「帝今欲何之？」
HCH_013_017_000116	曰：「游天台諸勝。」
HCH_013_017_000117	弘曰：「吾當具一日之積隨行。」
HCH_013_017_000118	居數日，帝行，戒彬曰：「有叔在，爾勿往也。」
HCH_013_017_000119	弘從之去。
HCH_013_017_000120	十一月，至寧波渡蓮花洋。
HCH_013_017_000121	仁宗洪熙元年春正月，建文帝謁大士於潮音洞。
HCH_013_017_000122	五月，自閩、粵還山，止程濟從。
HCH_013_017_000123	聞仁宗崩，帝曰：「吾心放下矣！今後往來亦少如意也。」
HCH_013_017_000124	且悲且喜。
HCH_013_017_000125	宣宗宣德元年秋八月，建文帝祭從亡諸臣於菴前。
HCH_013_017_000126	二年春正月，建文帝移居鶴慶之靜室。
HCH_013_017_000127	秋八月，滇寇亂，帝入蜀，程濟從。
HCH_013_017_000128	冬十月，宿永慶寺，題詩云：「杖錫來遊歲月深，山雲水月傍閑吟。塵心消盡無些子，不受人間物色侵。」
HCH_013_017_000129	三年夏五月，建文帝遊神女廟。
HCH_013_017_000130	秋七月，遊黃牛磯。
HCH_013_017_000131	冬十月，遊漢中。
HCH_013_017_000132	四年春正月，建文帝至成都，再宿而去。
HCH_013_017_000133	五月，帝還浪穹。
HCH_013_017_000134	六月，至鶴慶山中。
HCH_013_017_000135	五年夏四月，建文帝欲稍廣其菴，程濟等出募。
HCH_013_017_000136	六年春二月，建文帝往陝西。
HCH_013_017_000137	夏四月，至延安。
HCH_013_017_000138	秋七月，南行入蜀。
HCH_013_017_000139	九月，至夔，阻雪。
HCH_013_017_000140	七年春正月，建文帝入楚，至公安。
HCH_013_017_000141	夏五月，至武昌。
HCH_013_017_000142	秋八月，下九江。
HCH_013_017_000143	九月，游杭州吳山。
HCH_013_017_000144	冬十一月，游天台。
HCH_013_017_000145	八年春正月，建文帝在赤城。
HCH_013_017_000146	九年夏五月，建文帝復至吳江史彬家，程濟從。
HCH_013_017_000147	時彬已死，帝悲悼久之，慰勞其子倍至。
HCH_013_017_000148	復為會稽之游，八月，還。
HCH_013_017_000149	十年春三月，建文帝往粵西。
HCH_013_017_000150	英宗正統元年秋八月，建文帝還至滇，卜築舊日之浪穹。
HCH_013_017_000151	二年夏五月，建文帝復游峨眉。
HCH_013_017_000152	冬十一月，還至浪穹。
HCH_013_017_000153	三年秋七月，建文帝欲往粵西，不果，會有弟子亡去，帝恐跡露，遂有粵西之行。
HCH_013_017_000154	四年夏四月，程濟勸建文帝還滇，不聽。
HCH_013_017_000155	五年春三月十三日，建文帝謂程濟曰：「我決意東行，子盍為我蓍？」
HCH_013_017_000156	得《兌》之《歸妹》，濟拊几大呼曰：「大凶！今太歲干支皆金，火必尅之，行夏之時，其危乎！」
