HCH_010_042_000108	推五星術：木率：千五百七十五萬三千八十二。
HCH_010_042_000109	火率：三千八十萬四千一百九十六。
HCH_010_042_000110	土率：千四百九十三萬三百五十四。
HCH_010_042_000111	金率：二千三百六萬一十四。
HCH_010_042_000112	水率：四百五十七萬六千二百四。
HCH_010_042_000113	推五星術：置度實各以率去之，余以減率，其餘，如紀法而一，為入歲日，不盡為日餘，命以天正朔，算外，星合日。
HCH_010_042_000114	求星合度：以入歲日及余從天正朔日積度及余，滿紀法從度，滿三百六十餘度分則去之，命以虛一，算外，星合所在度也。
HCH_010_042_000115	求星日見：以術伏日及余加星合日及余，余滿紀法從日，命如前，見日也。
HCH_010_042_000116	求星見度：以術伏度及余加星合度及余，余滿紀法從度，入虛去度分，命如前，星見度也。
HCH_010_042_000117	行五星法：以小分法除度餘，所得為行分，不盡為小分，及日加所行分，滿法從度，留者因前，逆則減之，伏不盡度。
HCH_010_042_000118	從行入虛，去行分六，小分百四十七，逆往出虛，則加之。
HCH_010_042_000119	初與日合，伏，十六日，日餘萬七千八百三十二，行二度，度餘三萬七千五百四，晨見東方。
HCH_010_042_000120	從，日行四分，百一十二日行十九度十一分。
HCH_010_042_000121	留，二十八日。
HCH_010_042_000122	逆，日行三分，八十六日退十一度五分。
HCH_010_042_000123	又留二十八日。
HCH_010_042_000124	從，日行四分，百一十二日，夕伏西方，日度餘如初。
HCH_010_042_000125	一終三百九十八日，日餘三萬五千六百六十四，行三十三度，度餘二萬五千二百一十五。
HCH_010_042_000126	初與日合，伏，七十二日，日餘六百八，行五十五度，度餘二萬八千八百六十五，晨見東方。
HCH_010_042_000127	從，疾，日行十七分，九十二日行六十八度。
HCH_010_042_000128	小遲，日行十四分，九十二日行五十六度。
HCH_010_042_000129	大遲，日行九分，九十二日行三十六度。
HCH_010_042_000130	留，十日。
HCH_010_042_000131	逆，日行六分，六十四日退十六度十六分。
HCH_010_042_000132	又留，十日。
HCH_010_042_000133	從，遲，日行九分，九十二日。
HCH_010_042_000134	小疾，日行十四分，九十二日。
HCH_010_042_000135	大疾，日行十七分，九十二日。
HCH_010_042_000136	夕伏西方，日度餘如初。
HCH_010_042_000137	一終七百八十日，日餘千二百一十六，行四百一十四度，度餘三萬二百五十八，除一周，定行四十九度，度餘萬九千八百九。
HCH_010_042_000138	初與日合，伏，十七日，日餘千三百七十八，行一度，度餘萬九千三百三十三，晨見東方，行順，日行二分，八十四日行七度七分。
HCH_010_042_000139	留，三十三日。
HCH_010_042_000140	行逆，日行一分，百一十日退四度十八分。
HCH_010_042_000141	又留，三十三日。
HCH_010_042_000142	從，日行二分，八十四日，夕伏西方，日度餘如初。
HCH_010_042_000143	一終三百七十八日，日餘二千七百五十六，行十二度，度餘三萬一千七百九十八。
HCH_010_042_000144	初與日合，伏，三十九日，日餘三萬八千一百二十六，行四十九度，度餘三萬八千一百二十六，夕見西方。
HCH_010_042_000145	從，疾，日行一度五分，九十二日行百十二度。
HCH_010_042_000146	小遲，日行一度四分，九十二日行百八度。
HCH_010_042_000147	大遲，日行十七分，四十五日行三十三度六分。
HCH_010_042_000148	留，九日。
HCH_010_042_000149	遲，日行十六分，九日退六度六分，夕伏西方。
HCH_010_042_000150	伏五日，退五度，而與日合。
HCH_010_042_000151	又五日退五度，而晨見東方，逆，日行十六分，九日，留，九日。
HCH_010_042_000152	從，遲，日行十七分，四十五日。
HCH_010_042_000153	小疾，日行一度四分，九十二日。
HCH_010_042_000154	大疾，日行一度五分，九十二日。
HCH_010_042_000155	晨伏東方，日度餘如初。
HCH_010_042_000156	一終五百八十三日，日餘三萬六千七百六十一，行星如之。
HCH_010_042_000157	除一周，定行二百十八度，度餘二萬六千三百一十三。
HCH_010_042_000158	合二百九十一日，日餘三萬八千一百二十六，行星亦如之。
HCH_010_042_000159	初與日合，伏，十四日，日餘三萬七千一百一十五，行三十度，度餘三萬七千一百一十五，夕見西方。
HCH_010_042_000160	從，疾，日行一度六分，二十三日行二十九度遲，日行二十分，八日行六度二十二分。
HCH_010_042_000161	留，二日。
HCH_010_042_000162	遲，日行十一分，二日退二十二分，夕伏西方。
HCH_010_042_000163	伏八日，退八度，而與日合。
HCH_010_042_000164	又八日退八度，晨見東方。
HCH_010_042_000165	逆，日行十一分，二日。
HCH_010_042_000166	留，二日。
HCH_010_042_000167	從，遲，日行二十分，八日。
HCH_010_042_000168	疾，日行一度六分，二十三日。
HCH_010_042_000169	晨伏東方，日度餘如初。
HCH_010_042_000170	一終百一十五日，日餘三萬四千七百三十九，行星如之。
HCH_010_042_000171	一合五十七日，日餘三萬七千一百一十五，行星亦如之。
HCH_010_042_000172	上元之歲，歲在甲子，天正甲子朔夜半冬至，日月五星聚於虛度之初，陰陽遲疾亦自此始。
HCH_010_042_000173	梁武帝天監三年，沖之子恒上疏，論何承天歷乖謬不可用。
HCH_010_042_000174	九年正月，詔用祖沖之所造《甲子元曆》頒朔。
HCH_010_042_000175	陳氏因梁，亦用祖沖之歷。
HCH_010_042_000176	至遼，聖宗以賈俊所進新歷，因宋《大明》舊號行之。
HCH_010_042_000177	金曰《重修大明曆》。
HCH_010_042_000178	傳至皇元亦曰《重修大明曆》。
HCH_010_042_000179	及改《授時曆》，別立司天監存肄之，每歲甲子冬至重修其法。
HCH_010_042_000180	書在太史院，禁莫得聞。
HCH_010_042_000181	本元朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
