HCH_010_061_000025	贖銅之數，杖一百者，輸錢千。
HCH_010_061_000026	亦有八議、八縱之法。
HCH_010_061_000027	籍沒之法，始自太祖為撻馬狘沙里時，奉痕德菫可汗命，按于越釋魯遇害事，以其首惡家屬沒入瓦里。
HCH_010_061_000028	及淳欽皇后時析出，以為著帳郎君，至世宗詔免之。
HCH_010_061_000029	其後內外戚屬及世官之家，犯反逆等罪，復沒入焉；餘人則沒為著帳戶；其沒入宮分、分賜臣下者亦有之。
HCH_010_061_000030	木劍、大棒者，太宗時制。
HCH_010_061_000031	木劍面平背隆，大臣犯重罪，欲寬宥則擊之。
HCH_010_061_000032	沙袋者，穆宗時制，其制用熟皮合縫之，長六寸，廣二寸，柄一尺許。
HCH_010_061_000033	徒刑之數詳于重熙制，杖刑以下之數詳于咸雍制；其餘非常用而無定式者，不可殫紀。
HCH_010_061_000034	太祖初年，庶事草創，犯罪者量輕重決之。
HCH_010_061_000035	其後治諸弟逆黨，權宜立法。
HCH_010_061_000036	親王從逆，不磬諸甸人，或投高崖殺之；淫亂不軌者，五車轘殺之；逆父母者視此；訕詈犯上者，以熟鐵錐摏其口殺之。
HCH_010_061_000037	從坐者，量罪輕重杖決。
HCH_010_061_000038	杖有二：大者重錢五百，小者三百。
HCH_010_061_000039	又為梟磔、生瘞、射鬼箭、砲擲、支解之刑。
HCH_010_061_000040	歸於重法，閑民使不為變耳。
HCH_010_061_000041	歲癸酉，下詔曰：「朕自北征以來，四方獄訟，積滯頗多。今休戰息民，羣臣其副朕意，詳決之，無或寃枉。」
HCH_010_061_000042	乃命北府宰相蕭敵魯等分道疏決。
HCH_010_061_000043	有遼欽恤之意，昉見于此。
HCH_010_061_000044	神冊六年，克定諸夷，上謂侍臣曰：「凡國家庶務，鉅細各殊，若憲度不明，則何以為治，羣下亦何由知禁。」
HCH_010_061_000045	乃詔大臣定治契丹及諸夷之法，漢人則斷以律令，仍置鐘院以達民寃。
HCH_010_061_000046	至太宗時，治渤海人一依漢法，餘無改焉。
HCH_010_061_000047	會同四年，皇族舍利郎君謀毒通事解里等，已中者二人，命重杖之，及其妻流于厥拔離弭河，族造藥者。
HCH_010_061_000048	世宗天祿二年，天德、蕭翰、劉哥及其弟盆都等謀反，天德伏誅，杖翰，流劉哥，遣盆都使轄戞斯國。
HCH_010_061_000049	夫四人之罪均而刑異。
HCH_010_061_000050	遼之世，同罪異論者蓋多。
HCH_010_061_000051	穆宗應曆十二年，國舅帳郎君蕭延之奴海里強陵拽剌禿里年未及之女，以法無文，加之宮刑，仍付禿里以為奴。
HCH_010_061_000052	因著為令。
HCH_010_061_000053	十六年，諭有司：「自先朝行幸頓次，必高立標識以禁行者。比聞楚古輩，故低置其標深草中，利人誤入，因之取財。自今有復然者，以死論。」
HCH_010_061_000054	然帝嗜酒及獵，不恤政事，五坊、掌獸、近侍、奉饍、掌酒人等，以獐鹿、野豕、鶻雉之屬亡失傷斃，及私歸逃亡，在告踰期，召不時至，或以奏對少不如意，或以飲食細故，或因犯者遷怒無辜，輒加炮烙鐵梳之刑。
HCH_010_061_000055	甚者至于無算。
HCH_010_061_000056	或以手刃刺之，斬擊射燎，斷手足，爛肩股，折腰脛，劃口碎齒，棄尸于野。
HCH_010_061_000057	且命築封于其地，死者至百有餘人。
HCH_010_061_000058	京師置百尺牢以處繫囚。
HCH_010_061_000059	蓋其即位未久，惑女巫肖古之言，取人膽合延年藥，故殺人頗眾。
HCH_010_061_000060	後悟其詐，以鳴鏑叢射、騎踐殺之。
HCH_010_061_000061	及海里之死，為長夜之飲，五坊、掌獸人等及左右給事誅戮者，相繼不絕。
HCH_010_061_000062	雖嘗悔其因怒濫刑，諭大臣切諫；在廷畏懦，鮮能匡救，雖諫又不能聽。
HCH_010_061_000063	當其將殺壽哥、念古，殿前都點檢耶律夷臘葛諫曰：「壽哥等斃所掌雉，畏罪而亡，法不應死。」
HCH_010_061_000064	帝怒，斬壽哥等，支解之。
HCH_010_061_000065	命有司盡取鹿人之在繫者凡六十五人，斬所犯重者四十四人，餘悉痛杖之。
HCH_010_061_000066	中有欲置死者，賴王子必攝等諫得免。
HCH_010_061_000067	已而怒頗德飼鹿不時，致傷而斃，遂殺之。
HCH_010_061_000068	季年，暴虐益甚，嘗謂太尉化葛曰：「朕醉中有處決不當者，醒當覆奏。」
HCH_010_061_000069	徒能言之，竟無悛意，故及於難。
HCH_010_061_000070	雖云虐止褻御，上不及大臣，下不及百姓，然刑法之制，豈人主快情縱意之具邪。
HCH_010_061_000071	景宗在潛，已鑒其失。
HCH_010_061_000072	及即位，以宿衞失職，斬殿前都點檢耶律夷臘葛。
HCH_010_061_000073	趙王喜隱自囚所擅去械鎖，求見自辯，語之曰：「枉直未分，焉有出獄自辯之理？」
HCH_010_061_000074	命復縶之。
HCH_010_061_000075	既而躬錄囚徒，盡召而釋之。
HCH_010_061_000076	保寧三年，以穆宗廢鐘院，窮民有寃者無所訴，故詔復之，仍命鑄鐘，紀詔其上，道所以廢置之意。
HCH_010_061_000077	吳王稍為奴所告，有司請鞫，帝曰：「朕知其誣，若按問，恐餘人效之。」
HCH_010_061_000078	命斬以徇。
HCH_010_061_000079	五年，近侍實魯里誤觸神纛，法應死，杖而釋之。
HCH_010_061_000080	庶幾寬猛相濟。
HCH_010_061_000081	然緩于討賊，應曆逆黨至是始獲而誅焉，議者以此少之。
HCH_010_061_000082	聖宗冲年嗣位，睿智皇后稱制，留心聽斷，嘗勸帝宜寬法律。
HCH_010_061_000083	帝壯，益習國事，銳意於治。
HCH_010_061_000084	當時更定法令凡十數事，多合人心，其用刑又能詳慎。
HCH_010_061_000085	先是，契丹及漢人相毆致死，其法輕重不均，至是一等科之。
HCH_010_061_000086	統和十二年，詔契丹人犯十惡，亦斷以律。
HCH_010_061_000087	舊法，死囚尸市三日，至是一宿即聽收瘞。
HCH_010_061_000088	二十四年，詔主非犯謀反大逆及流死罪者，其奴婢無得告首；若奴婢犯罪至死，聽送有司，其主無得擅殺。
HCH_010_061_000089	二十九年，以舊法，宰相、節度使世選之家子孫犯罪，徒杖如齊民，惟免黥面，詔自今但犯罪當黥，即准法同科。
HCH_010_061_000090	開泰八年，以竊盜贓滿十貫，為首者處死，其法太重，故增至二十五貫，其首處死，從者決流。
HCH_010_061_000091	嘗敕諸處刑獄有寃，不能申雪者，聽詣御史臺陳訴，委官覆問。
HCH_010_061_000092	往時大理寺獄訟，凡關覆奏者，以翰林學士、給事中、政事舍人詳決；至是始置少卿及正主之。
HCH_010_061_000093	猶慮其未盡，而親為錄囚。
HCH_010_061_000094	數遣使詣諸道審決寃滯，如邢抱朴之屬，所至，人自以為無寃。
HCH_010_061_000095	五院部民有自壞鎧甲者，其長佛奴杖殺之，上怒其用法太峻，詔奪官。
HCH_010_061_000096	吏以故不敢酷。
HCH_010_061_000097	撻剌干乃方十因醉言宮掖事，法當死，特貰其罪。
HCH_010_061_000098	五院部民偶遺火，延及木葉山兆域，亦當死，杖而釋之，因著為法。
HCH_010_061_000099	至於敵八哥始竊薊州王令謙家財，及覺，以刃刺令謙，幸不死。
HCH_010_061_000100	有司擬以盜論，止加杖罪。
HCH_010_061_000101	又那母古犯竊盜者十有三次，皆以情不可恕，論棄市。
HCH_010_061_000102	因詔自今三犯竊盜者，黥額、徒三年；四則黥面、徒五年；至于五則處死。
HCH_010_061_000103	若是者，重輕適宜，足以示訓。
HCH_010_061_000104	近侍劉哥、烏古斯嘗從齊王妻而逃，以赦，後會千齡節出首，乃詔諸近侍、護衞集視而腰斬之。
HCH_010_061_000105	於是國無倖民，綱紀修舉，吏多奉職，人重犯法。
HCH_010_061_000106	故統和中，南京及易、平二州以獄空聞。
HCH_010_061_000107	至開泰五年，諸道皆獄空，有刑措之風焉。
HCH_010_061_000108	故事，樞密使非國家重務，未嘗親決，凡獄訟惟夷離畢主之。
HCH_010_061_000109	及蕭合卓、蕭朴相繼為樞密使，專尚吏才，始自聽訟。
HCH_010_061_000110	時人轉相效習，以狡智相高，風俗自此衰矣。
HCH_010_061_000111	故太平六年下詔曰：「朕以國家有契丹、漢人，故以南、北二院分治之，蓋欲去貪枉，除煩擾也；若貴賤異法，則怨必生。夫小民犯罪，必不能動有司以達於朝，惟內族、外戚多恃恩行賄，以圖苟免，如是則法廢矣。自今貴戚以事被告，不以事之大小，並令所在官司按問，具申北、南院覆問得實以聞；其不按輒申，及受請託為奏言者，以本犯人罪罪之。」
HCH_010_061_000112	七年，詔中外大臣曰：「制條中有遺闕及輕重失中者，其條上之，議增改焉。」
HCH_010_061_000113	本元朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
