HCH_012_319_000085	成化元年，泗城岑豹攻劫上林，殺長官誌威，滅其族，劫印，占其境上。
HCH_012_319_000086	兵部移文議豹罪，仍以地與印給上林。
HCH_012_319_000087	弘治三年，上林長官司遣頭目入貢，禮部以過期至，給半賞。
HCH_012_319_000088	既而泗城岑應復奪據上林長官司，然正、嘉、隆、萬間朝貢猶時至。
HCH_012_319_000089	利州，漢屬交阯，號阪麗莊。
HCH_012_319_000090	宋建利州，隸橫山寨，元因焉。
HCH_012_319_000091	土官亦岑姓，洪武初歸附。
HCH_012_319_000092	授知州，以流官吏目佐之，直隸布政司。
HCH_012_319_000093	宣德二年，利州知州岑顏遣頭目羅向貢馬。
HCH_012_319_000094	正統元年，泗城岑豹侵據利州地，並掠顏妻子財物。
HCH_012_319_000095	總兵官山雲以聞，帝敕鎮、巡官撫諭之。
HCH_012_319_000096	四年，顏遣族人岑忻貢銀器方物。
HCH_012_319_000097	五年，顏奏：「本州地二十五甲，被豹興兵攻占，母覃被囚，妻財被掠，累奉敕撫諭，猖獗不服。」
HCH_012_319_000098	帝遣行人黃恕、朱升敕諭豹，事具前傳。
HCH_012_319_000099	七年，豹復與顏相仇殺，帝敕總兵官吳亮宣布恩威，令各罷兵，而豹終殺顏及其子得，奪州印去，遂以流官判州事。
HCH_012_319_000100	數十年間，屢經諸司勘奏，移檄督追，歷岑應、岑接二世如故。
HCH_012_319_000101	嘉靖二年歸並泗城。
HCH_012_319_000102	龍州，古百粵地。
HCH_012_319_000103	漢屬交阯。
HCH_012_319_000104	宋置龍州，隸太平寨。
HCH_012_319_000105	元大德中，升州為萬戶府。
HCH_012_319_000106	洪武二年，龍州土官趙帖堅遣使奉表，貢方物。
HCH_012_319_000107	詔以帖堅為龍州知州，世襲。
HCH_012_319_000108	八年改隸廣西布政司。
HCH_012_319_000109	時帖堅言：「地臨交阯，所守關隘二十七處，有警須申報太平，達總司，比報下，已涉旬月，恐誤事機，乞依奉議、泗城二州，隸廣西便。」
HCH_012_319_000110	從之。
HCH_012_319_000111	十六年，帖堅以孝慈皇后喪，上慰表，貢馬及方物，賜綺帛鈔錠有差。
HCH_012_319_000112	二十一年，帖堅病，無子，以其從子宗壽代署州事。
HCH_012_319_000113	帖堅卒，宗壽襲。
HCH_012_319_000114	鄭國公常茂以罪謫居龍州。
HCH_012_319_000115	帖堅妻黃氏有二女，一為太平州土官李圓泰妻，茂納其一為妾。
HCH_012_319_000116	時宗壽雖襲職，帖堅妻猶持土官印，與茂、圓泰專擅州事，數陵逼宗壽。
HCH_012_319_000117	會茂以病卒，其閽者趙觀海等亦肆侮宗壽。
HCH_012_319_000118	宗壽乃與把事等以計取土官印，上奏，言茂已死，並械觀海等至京。
HCH_012_319_000119	於是帖堅妻惶懼，使人告宗壽擄掠，又與圓泰謀劫茂妾並其奴婢往太平州，又盡掠趙氏祖父官誥諸物，又欲並取龍州之地。
HCH_012_319_000120	乃自至京，告宗壽實從子，不應襲，宗壽亦上章言狀。
HCH_012_319_000121	帝乃詔宗壽勿問，下吏議帖堅妻與圓泰罪，既而以遠蠻俱釋之。
HCH_012_319_000122	久之，復有人告茂匿龍州未死，前宗壽所言皆妄。
HCH_012_319_000123	遂詔右軍都督府榜諭宗壽及龍州官民，言：「昔鄭國公常茂有罪，上以開平王之功，不忍遽置於法，安置龍州。土官趙帖堅故，其妻與茂結為婚姻，誘合諸蠻，肆為不道。帖堅侄宗壽襲職，與黃氏互相告訐，言茂已死。上以功臣子，猶加憐憫，釋二人告訐罪。今有人言茂實未死，宗壽等知狀。已遣散騎舍人諭宗壽捕茂，延玩使者久不復命，其意莫測。特命榜諭爾宗壽等知之，如茂果存，則送至京師以贖罪，如茂果死，宗壽亦宜親率大小頭目至京，具陳其由。」
HCH_012_319_000124	廣西布政司言宗壽屢詔赴京，拒命不出，又言南丹、奉議等蠻梗化。
HCH_012_319_000125	帝復命致仕兵部尚書唐鐸往諭宗壽，訖不從命。
HCH_012_319_000126	詔發湖廣、江西所屬衛所馬步官軍六萬餘，各賫三月糧，期以秋初俱赴廣西。
