HCH_012_150_000192	皇太子監國南京，壽日陳兵民困，又乘間言左右幹恩澤者多，恐累明德。
HCH_012_150_000193	太子深納之。
HCH_012_150_000194	嘗目送之出，顧侍臣曰：「侍郎中第一人也。」
HCH_012_150_000195	九年以漢王高煦譖，下獄，貧不能給朝夕。
HCH_012_150_000196	官屬有饋之者，拒不受，竟死獄中。
HCH_012_150_000197	逾年，啟殯如生。
HCH_012_150_000198	仁宗即位，贈工部尚書，謚敏肅，官其子常中書舍人，後亦至工部侍郎。
HCH_012_150_000199	與壽同下獄死者，有馬京、許思溫。
HCH_012_150_000200	京，武功人。
HCH_012_150_000201	洪武中，以進士授翰林編修，歷左通政、大理卿。
HCH_012_150_000202	永樂元年為行部左侍郎。
HCH_012_150_000203	皇太子守北京，命兼輔導，盡誠翊贊，太子甚重之。
HCH_012_150_000204	數為高煦所譖，謫戍廣西，仍坐前事，逮下獄。
HCH_012_150_000205	思溫，字叔雍，吳人。
HCH_012_150_000206	以國子生署刑部主事，累官北平按察副使。
HCH_012_150_000207	燕師起，思溫佐城守有勞，擢刑部侍郎，改吏部，兼贊善。
HCH_012_150_000208	亦以讒下獄。
HCH_012_150_000209	皆瘐死。
HCH_012_150_000210	仁宗立，贈京少傅，謚文簡；思溫吏部尚書，官其子俊贊禮郎，進學翰林。
HCH_012_150_000211	劉季篪，名韶，以字行，余姚人。
HCH_012_150_000212	洪武中進士。
HCH_012_150_000213	除行人。
HCH_012_150_000214	使朝鮮，卻其饋贐。
HCH_012_150_000215	帝聞，賜衣鈔，擢陜西參政。
HCH_012_150_000216	陜有逋賦，有司峻刑督，民不能輸。
HCH_012_150_000217	季篪至，與其僚分行郡縣，悉縱械者，緩為期。
HCH_012_150_000218	民感其德，悉完納。
HCH_012_150_000219	陜不產碙砂，而歲有課。
HCH_012_150_000220	季篪言於朝，罷之。
HCH_012_150_000221	洪渠水溢，為治堰蓄泄，遂為永利。
HCH_012_150_000222	建文中，召為刑部侍郎。
HCH_012_150_000223	民有為盜所引者，逮至，盜已死，乃召盜妻子使識之。
HCH_012_150_000224	聽其辭，誣也，釋之。
HCH_012_150_000225	吏虧官錢，誣千餘人，悉為辨免。
HCH_012_150_000226	河陽逆旅朱、趙二人異室寢。
HCH_012_150_000227	趙被殺，有司疑朱殺之，考掠誣服。
HCH_012_150_000228	季篪獨曰：「是非夙仇，且其裝無可利。」
HCH_012_150_000229	緩其獄，竟得殺趙者。
HCH_012_150_000230	揚州民家，盜夜入殺人，遺刀屍傍，刀有記識，其鄰家也。
HCH_012_150_000231	官捕鞫之。
HCH_012_150_000232	鄰曰：「失此刀久矣。」
HCH_012_150_000233	不勝掠，誣服。
HCH_012_150_000234	季篪使人懷刀就其裏潛察之。
HCH_012_150_000235	一童子識曰：「此吾家物。」
HCH_012_150_000236	盜乃得。
HCH_012_150_000237	永樂初，纂修《大典》，命姚廣孝、解縉及季篪總其事。
HCH_012_150_000238	八年坐失出下獄，謫外任。
HCH_012_150_000239	逡巡未行，復下獄。
HCH_012_150_000240	久之始釋。
HCH_012_150_000241	命以儒服隸翰林院編纂。
HCH_012_150_000242	尋授工部主事，卒於官。
HCH_012_150_000243	劉辰，字伯靜，金華人。
HCH_012_150_000244	國初，以署典簽使方國珍。
HCH_012_150_000245	國珍飾二姬以進，叱卻之。
HCH_012_150_000246	李文忠駐師嚴州，辟置幕下。
HCH_012_150_000247	元帥葛俊守廣信，盛冬發民浚城濠。
HCH_012_150_000248	文忠止之。
HCH_012_150_000249	不聽。
HCH_012_150_000250	文忠怒，欲臨以兵。
HCH_012_150_000251	辰請往諭之。
HCH_012_150_000252	俊悔謝，事遂已。
HCH_012_150_000253	以親老辭歸。
HCH_012_150_000254	建文中，用薦擢監察御史，出知鎮江府，勤於職事。
HCH_012_150_000255	瀕江田八十餘頃，久淪於水，賦如故，以辰言得除。
HCH_012_150_000256	京口閘廢，轉漕者道新河出江，舟數敗。
HCH_012_150_000257	辰修故閘，公私皆便。
HCH_012_150_000258	漕河易涸，仰練湖益水，三鬥門久廢。
HCH_012_150_000259	辰修築之，運舟既通，湖下田益稔。
HCH_012_150_000260	永樂初，李景隆言辰知國初事，召至，預修《太祖實錄》。
HCH_012_150_000261	遷江西布政司參政，奏蠲九郡荒田糧。
HCH_012_150_000262	歲饑，勸富民貸饑者，蠲其徭役以為之息。
HCH_012_150_000263	官為立券，期年而償。
