HCH_013_027_000054	當文皇北征晏駕時，高煦子瞻圻在北京，凡朝廷事，潛遣人馳報，一晝夜六七行。
HCH_013_027_000055	高煦日亦遣數十人入京師潛伺，幸有變。
HCH_013_027_000056	上固知之，顧益厚遇，倍加歲祿，賜賚萬計。
HCH_013_027_000057	先是，瞻圻憾父殺其母，屢發父過惡。
HCH_013_027_000058	文皇曰：「爾父子何忍也！」
HCH_013_027_000059	至是，高煦悉上瞻圻前後覘報中朝事，又曰「廷議旦夕發兵取樂安」。
HCH_013_027_000060	上召瞻圻示之，曰：「汝處父子兄弟間，讒搆至此乎？穉子不足誅，遣鳳陽守皇陵。」
HCH_013_027_000061	五月辛巳，仁宗崩。
HCH_013_027_000062	六月，太子自南京奔喪，高煦謀伏兵邀于路，倉卒不果。
HCH_013_027_000063	庚戌，太子即位，改明年宣德元年。
HCH_013_027_000064	七月，高煦陳奏利國安民四事。
HCH_013_027_000065	上顧侍臣曰：「永樂中，皇祖常諭皇考及朕，謂此叔有異心，宜備之。然皇考待之極厚。如今日所言，果出于誠，則是舊心已革，不可不順從也。」
HCH_013_027_000066	命有司施行，仍復書謝之。
HCH_013_027_000067	宣宗宣德元年春正月，漢王高煦遣人獻元宵燈。
HCH_013_027_000068	有言于上曰：「漢府所遣來者，多是窺瞰朝廷之事，特以進獻為名。」
HCH_013_027_000069	上曰：「吾惟推誠以待之耳。」
HCH_013_027_000070	復書報謝。
HCH_013_027_000071	秋八月，北京地震，漢王高煦反。
HCH_013_027_000072	初，高煦既之國樂安，反謀未嘗一日忘。
HCH_013_027_000073	及仁宗崩，帝即位，賜高煦視他府特厚。
HCH_013_027_000074	高煦日有請，及言朝政，上曲徇其意。
HCH_013_027_000075	索駝與之四十，索馬與之百二十，索袍服又與之。
HCH_013_027_000076	高煦益自肆，八月壬戌朔，遂反。
HCH_013_027_000077	遣枚青潛來京，約英國公張輔內應，輔暮夜繫青聞于朝。
HCH_013_027_000078	又約山東都指揮靳榮等反濟南為應。
HCH_013_027_000079	又散弓兵旗，令真定諸衛所，盡奪傍郡縣畜馬。
HCH_013_027_000080	立五軍都督府：指揮王斌領前軍，韋達左軍，千戶盛堅右軍，知州朱煊後軍。
HCH_013_027_000081	諸子瞻垐、瞻域、瞻埣、瞻墿各監一軍。
HCH_013_027_000082	高煦率中軍，世子瞻垣居守。
HCH_013_027_000083	指揮韋賢、韋興，千戶王玉、李智領四哨。
HCH_013_027_000084	部署已定，偽授王斌、朱煊等大帥、都督等官。
HCH_013_027_000085	御史李濬，樂安人，棄其家，變姓名，間道詣京上變，言高煦刻日取濟南，然後率兵犯闕。
HCH_013_027_000086	陞濬行在左僉都御史，遣中官侯太賜書高煦，言：「昨枚青來，言叔督過朝廷，予誠不信。皇考至親唯二叔，子所賴亦唯二叔。小人離間，不得不敷露中懇。且傳播驚疑，或有乘間竊發者，不得不略為之備。唯叔鑒之。」
HCH_013_027_000087	太至樂安，高煦陳兵見太，傲倨不拜敕，南面坐，跪太，大言曰：「我何負朝廷哉！靖難之戰，非我死力，燕之為燕，未可知也。太宗信讒，削我護衛，徙我樂安。仁宗徒以金帛餌我。今又輒云祖宗故事，我豈能鬱鬱無動作？汝循營視漢士馬，豈不可洸洋天下耶？速報上，縛奸臣來，徐議吾所欲。」
HCH_013_027_000088	太懼，唯唯歸。
HCH_013_027_000089	上問高煦何言，太對無所言。
HCH_013_027_000090	上曰：「太二心。」
HCH_013_027_000091	已而，錦衣官從太往者，具陳所見。
HCH_013_027_000092	上大怒太曰：「事定必治汝！」
HCH_013_027_000093	是月丁卯，高煦遣百戶陳剛進疏，言仁宗違洪武、永樂舊制，與文臣誥敕封贈，今上修理南巡席殿等事，為朝廷罪過。
HCH_013_027_000094	又斥二三大臣夏原吉等為奸佞，並索誅之。
HCH_013_027_000095	又書與公侯大臣，驕言巧詆，污蔑乘輿。
HCH_013_027_000096	上歎曰：「高煦果反。」
