HCH_012_225_000074	詔許之，且命詿誤者聽從公辯雪。
HCH_012_225_000075	明年大計京朝官，徇張居正意，置吳中行等五人於察籍。
HCH_012_225_000076	國光有才智。
HCH_012_225_000077	初掌邦計，多所建白。
HCH_012_225_000078	及是受制執政，聲名損於初。
HCH_012_225_000079	給事中商尚忠論國光銓選私所親，而給事中張世則出為河南僉事，憾國光，劾其鬻官黷貨。
HCH_012_225_000080	國光再奏辯，帝再慰留，責世則挾私，貶儀真丞。
HCH_012_225_000081	及居正卒，御史楊寅秋劾國光六罪。
HCH_012_225_000082	帝遂怒，落職閑住。
HCH_012_225_000083	已，念其勞，命復官致仕。
HCH_012_225_000084	梁夢龍，字乾吉，真定人。
HCH_012_225_000085	嘉靖三十二年進士，改庶吉士。
HCH_012_225_000086	授兵科給事中，首劾吏部尚書李默。
HCH_012_225_000087	帝方顧默厚，不問。
HCH_012_225_000088	出核陜西軍儲。
HCH_012_225_000089	劾故延綏巡撫王輪、督糧郎中陳燦等，廢斥有差。
HCH_012_225_000090	歷吏科都給事中。
HCH_012_225_000091	帝怒禮部尚書吳山，夢龍惡獨劾山得罪清議，乃並吏部尚書吳鵬劾罷之。
HCH_012_225_000092	嘗上疏，言：「相臣賢否，關治道汙隆。請毋拘資格，敕在廷公舉名德宿望之臣，以光聖治。」
HCH_012_225_000093	帝疑諸臣私有所推引，責令陳狀。
HCH_012_225_000094	夢龍惶恐謝罪，乃奪俸。
HCH_012_225_000095	擢順天府丞。
HCH_012_225_000096	坐京察拾遺，出為河南副使。
HCH_012_225_000097	河決沛縣，尚書朱衡議開徐、邳新河，夢龍董其役。
HCH_012_225_000098	三遷河南右布政使。
HCH_012_225_000099	隆慶四年，擢右僉都御史，巡撫山東。
HCH_012_225_000100	是秋，河決宿遷，覆漕糧八百艘。
HCH_012_225_000101	朝議通海運，以屬夢龍。
HCH_012_225_000102	夢龍言：「海道南自淮安至膠州，北自天津至海倉，各有商艇往來其間。自膠州至海倉，島人及商賈亦時出入。臣等因遣人自淮安轉粟二千石，自膠州轉麥千五百石，入海達天津，以試海道，無不利者。由淮安至天津，大要兩旬可達。歲五月以前，風勢柔順，揚帆尤便。況舟由近洋，洋中島嶼聯絡，遇風可依。茍船非朽敝，按占候以行，自可無虞。較元人殷明略故道，安便尤甚。丘浚所稱『傍海通運』，即此是也。請以河為正運，海為備運。萬一河未易通，則海運可濟，而河亦得悉心疏浚，以圖經久。又海防綦重，沿海衛所玩愒歲久，不加繕飭，識者有未然之憂。今行海運兼治河防，非徒足裨國計，兼於軍事有補。」
HCH_012_225_000103	章下戶部，部議海運久廢，猝難盡復，請令漕司量撥糧十二萬石，自淮入海以達天津。
HCH_012_225_000104	工部給銀，為海艘經費。
HCH_012_225_000105	報可。
HCH_012_225_000106	已而海運卒不行，事具《王宗沐傳》。
HCH_012_225_000107	明年冬，遷右副都御史，移撫河南。
HCH_012_225_000108	神宗初，張居正當國。
HCH_012_225_000109	夢龍其門下士，特愛之，召為戶部右侍郎。
HCH_012_225_000110	尋改兵部，出賚遼東有功將士。
HCH_012_225_000111	五年，以兵部左侍郎進右都御史，總督薊、遼、保定軍務。
HCH_012_225_000112	李成梁大破土蠻於長定堡，帝為告廟宣捷，大行賞賚，官夢龍一子。
HCH_012_225_000113	已，給事中光懋言：「此乃保塞內屬之部，遊擊陶承嚳假犒賚掩襲之，請坐以殺降罪。」
HCH_012_225_000114	兵部尚書方逢時曲為解，夢龍等亦辭免恩蔭。
HCH_012_225_000115	及土蠻三萬騎入東昌堡，成梁擊敗之。
HCH_012_225_000116	寧前復警，夢能親率勁卒三千出山海關為成梁聲援，分遣兩參將遮擊，復移繼光駐一片石邀之，敵引去。
HCH_012_225_000117	前後奏永奠堡、丁字泊、馬蘭峪、養善木、紅土城、寬奠、廣寧右屯、錦、義、大寧堡諸捷，累賜敕獎勵，就加兵部尚書。
HCH_012_225_000118	以修築黃花鎮、古北口邊墻，加太子少保，再蔭子至錦衣世千戶。
HCH_012_225_000119	召入掌部務，疏陳軍政四事。
HCH_012_225_000120	尋錄防邊功，加太子太保。
HCH_012_225_000121	十年六月，居正歿，吏部尚書王國光劾罷，夢龍代其位。
HCH_012_225_000122	逾月，御史江東之劾夢龍浼徐爵賄保得吏部，以孫女聘保弟為子婦，御史鄧練、趙楷復劾之，遂令致仕。
HCH_012_225_000123	家居十九年卒。
HCH_012_225_000124	天啟中，趙南星訟其邊功，贈少保。
HCH_012_225_000125	崇禎末，追謚貞敏。
HCH_012_225_000126	楊巍，字伯謙，海豐人。
HCH_012_225_000127	嘉靖二十六年進士。
HCH_012_225_000128	除武進知縣。
HCH_012_225_000129	擢兵科給事中。
HCH_012_225_000130	操江僉都御史史褒善已遷大理卿，巍言：「東南倭患方劇，參贊、巡撫俱論罪，褒善獨幸免，又夤緣美遷，請並吏部罰治。」
HCH_012_225_000131	帝怒，停選司俸，還褒善故官。
HCH_012_225_000132	巍既忤吏部，遂出為山西僉事。
HCH_012_225_000133	已，遷參議，分守宣府。
HCH_012_225_000134	寇入犯，偕副將馬芳擊斬其部長，賚銀幣。
HCH_012_225_000135	尋為陽和兵備副使。
HCH_012_225_000136	擢右僉都御史，巡撫宣府。
HCH_012_225_000137	錄搗巢功，進秩二級。
HCH_012_225_000138	逾年，以養母歸。
HCH_012_225_000139	歸二年，召起巡撫陜西。
HCH_012_225_000140	增補屯戍軍伍，清還屯地之奪於藩府者。
HCH_012_225_000141	隆慶初，進右副都御史，移撫山西。
HCH_012_225_000142	所部驛遞銀歲征五十四萬，巍請減四之一。
HCH_012_225_000143	修築沿邊城堡，檄散大盜李九經黨。
HCH_012_225_000144	復乞養母去。
HCH_012_225_000145	神宗立，起兵部右侍郎。
HCH_012_225_000146	萬歷二年，改吏部，進左，又以終養歸。
HCH_012_225_000147	母年逾百歲卒。
HCH_012_225_000148	十年，起南京戶部尚書，旋召為工部尚書。
HCH_012_225_000149	有詔營建行宮，近功德寺。
HCH_012_225_000150	巍爭之，乃止。
HCH_012_225_000151	明年，改戶部，遷吏部尚書。
HCH_012_225_000152	明制，六部分蒞天下事，內閣不得侵。
HCH_012_225_000153	至嚴嵩，始陰撓部權。
HCH_012_225_000154	迨張居正時，部權盡歸內閣，逡巡請事如屬吏，祖制由此變。
HCH_012_225_000155	至是，申時行當國。
HCH_012_225_000156	巍素厲清操，有時望，然年耄骫骳，多聽其指揮。
HCH_012_225_000157	御史丁此呂論科場事，時行及余有丁、許國輩皆惡之。
HCH_012_225_000158	巍論謫此呂，為御史江東之、李植等所攻，與時行俱乞罷。
HCH_012_225_000159	帝從諸大臣請，慰留巍等而戒諭言者，巍乃起復視事。
HCH_012_225_000160	當居正初敗，言路張甚，帝亦心疑諸大臣朋比，欲言官摘發之以杜壅蔽。
HCH_012_225_000161	諸大臣懼見攻，政府與銓部陰相倚以制言路。
HCH_012_225_000162	先是，九年京察，張居正令吏部盡除異己者。
HCH_012_225_000163	十五年，復當大計，都御史辛自修欲大有所澄汰，巍徇政府指持之。
HCH_012_225_000164	出身進士者，貶黜僅三十三人，而翰林、吏部、給事、御史無一焉。
HCH_012_225_000165	賢否混淆，群情失望。
HCH_012_225_000166	十七年夏，帝久不視朝，中外疑帝以張鯨不用故托疾。
HCH_012_225_000167	巍率同列請以秋日禦殿。
HCH_012_225_000168	至十月，巍等復請。
HCH_012_225_000169	帝不悅，責以沽名。
HCH_012_225_000170	巍初敭歷中外，甚有聲。
HCH_012_225_000171	及秉銓，素望大損。
HCH_012_225_000172	然有清操，性長厚，不為刻核行。
HCH_012_225_000173	明年，以年幾八十，屢疏乞歸。
HCH_012_225_000174	詔乘傳、給廩隸如故事。
HCH_012_225_000175	歸十五年，年九十二而卒。
HCH_012_225_000176	贈少保。
HCH_012_225_000177	李戴，字仁夫，延津人。
HCH_012_225_000178	隆慶二年進士。
HCH_012_225_000179	除興化知縣，有惠政。
HCH_012_225_000180	擢戶科給事中。
HCH_012_225_000181	廣東以軍興故，增民間稅。
HCH_012_225_000182	至萬歷初亂定，戴奏正之。
HCH_012_225_000183	累遷禮科都給事中。
HCH_012_225_000184	出為陜西右參政，進按察使。
HCH_012_225_000185	張居正尚名法，四方大吏承風刻核，戴獨行之以寬。
HCH_012_225_000186	由山西左布政使擢右副都御史，巡撫山東。
HCH_012_225_000187	歲兇，累請蠲振。
HCH_012_225_000188	入為刑部侍郎。
HCH_012_225_000189	累進南京戶部尚書，召拜工部尚書，以繼母憂去。
HCH_012_225_000190	二十六年，吏部尚書蔡國珍罷。
HCH_012_225_000191	廷推代者七人，戴居末，帝特擢用之。
HCH_012_225_000192	當是時，趙誌臯、沈一貫輔政，雖不敢撓部權，然大僚缺人，九卿及科道掌印者鹹得自舉聽上裁，而吏部諸曹郎亦由九卿推舉，尚書不得自擇其屬，在外府佐及州縣正、佐官則盡用掣簽法，部權日輕。
HCH_012_225_000193	戴視事，謹守新令，幸無罪而已。
HCH_012_225_000194	明年，京察。
HCH_012_225_000195	編修劉綱、中書舍人丁元薦、南京評事龍起雷嘗以言事忤當路，鹹置察中，時議頗不直戴。
HCH_012_225_000196	而是時國本未定，皇長子冠婚久稽，戴每倡廷臣直諫。
HCH_012_225_000197	及礦稅害劇，戴率九卿言：「陳增開礦山東，知縣吳宗堯逮。李道抽分湖口，知府吳寶秀等又逮。天下為增、道者何限，有司安所措手足？且今水旱頻仍，田裏蕭耗，重以東征增兵益餉，而西事又見告矣。民不聊生，奸宄方竊發，奈何反為發其機，速其變哉！」
HCH_012_225_000198	不報。
HCH_012_225_000199	山西稅使張忠奏調夏縣知縣韓薰簡僻。
HCH_012_225_000200	戴以內官不當擅舉刺，疏爭之。
HCH_012_225_000201	湖廣陳奉屢奏逮有司，戴等又極論，且言：「奉及遼東高淮擅募勁卒橫民間，尤不可不問。」
HCH_012_225_000202	帝亦弗聽。
HCH_012_225_000203	已，復偕同列言：「自去夏六月不雨至今，路堇相望，巡撫汪應蛟所奏饑民十八萬人。加以頻值寇警，屢興征討之師，按丁增調，履畝加租，賦額視二十年前不啻倍之矣。瘡痍未起，而采榷之害又生。不論礦稅有無，概勒取之民間，此何理也。天下富室無幾，奸人肆虐何極。指其屋而恐之曰『彼有礦』，則家立破矣；『彼漏稅』，則橐立罄矣。持無可究詰之說，用無所顧畏之人，蚩蚩小民，安得不窮且亂也。湖廣激變已數告，而近日武昌尤甚。此輩寧不愛性命哉？變亦死，不變亦死，與其吞聲獨死，毋寧與仇家俱糜。故一發不可遏耳。陛下可視為細故耶？」
HCH_012_225_000204	亦不報。
HCH_012_225_000205	三十年二月，帝有疾，詔罷礦稅、釋系囚、錄建言譴謫諸臣。
HCH_012_225_000206	越日，帝稍愈，命礦稅采榷如故。
HCH_012_225_000207	戴率同官力諫。
HCH_012_225_000208	時釋罪、起廢二事，猶令閣臣議行，戴即欲疏名上請，而刑部尚書蕭大亨謂釋罪必當奏聞。
HCH_012_225_000209	方具疏上，太僕卿南企仲以二事久稽，劾戴等不能將順。
HCH_012_225_000210	帝怒，並停前詔。
HCH_012_225_000211	戴引罪求罷，帝不許。
HCH_012_225_000212	自是請起廢者再，率九卿乞停礦稅者四，皆不省。
HCH_012_225_000213	稽勛郎中趙邦清素剛介，為給事中張鳳翔所劾，疑出文選郎中鄧光祚、驗封郎中侯執躬意，辨疏侵之。
HCH_012_225_000214	御史沈正隆、給事中田大益交章劾邦清。
HCH_012_225_000215	邦清憤，盡發光祚、執躬私事。
HCH_012_225_000216	光祚亦騰疏力攻，部中大哄，戴無所裁抑。
HCH_012_225_000217	御史左宗郢、李培遂劾戴表率無狀，戴引疾乞去。
HCH_012_225_000218	帝諭留，為貶邦清三秩，允光祚執躬歸，群囂乃息。
HCH_012_225_000219	明年冬，妖書事起。
HCH_012_225_000220	錦衣官王之楨等與同官周嘉慶有隙，言妖書嘉慶所為，下詔獄窮治。
HCH_012_225_000221	嘉慶，戴甥也，比會鞫，戴引避。
HCH_012_225_000222	帝聞而惡之。
HCH_012_225_000223	會王士騏通書事發，下部議。
HCH_012_225_000224	士騏奏辨。
HCH_012_225_000225	帝謂士騏不宜辨，責戴不能鉗屬官。
HCH_012_225_000226	戴引罪，而疏紙誤用印，復被譙讓，罪其司屬。
HCH_012_225_000227	戴疏謝，用印如故。
HCH_012_225_000228	帝怒，令致仕，奪郎中以下俸。
HCH_012_225_000229	戴秉銓六年，溫然長者，然聲望出陸光祖諸人下。
HCH_012_225_000230	趙誌臯、沈一貫柄政，戴不敢為異，以是久於其位，而銓政益頹廢矣。
HCH_012_225_000231	卒贈少保。
HCH_012_225_000232	趙煥，字文光，掖縣人。
HCH_012_225_000233	嘉靖四十四年進士。
HCH_012_225_000234	授烏程知縣。
HCH_012_225_000235	入為工部主事，改御史。
HCH_012_225_000236	萬歷三年，中官張宏請遣其黨榷真定材木，煥及給事中侯於趙執奏，不從。
HCH_012_225_000237	張居正遭父喪，言官交章請留，煥獨不署名。
HCH_012_225_000238	擢順天府丞，累遷左僉都御史。
HCH_012_225_000239	十四年三月，風霾求言。
HCH_012_225_000240	煥請恢聖度，納忠言，謹嚬笑，信政令，時召大臣商榷治理，次第舉行實政，弊在內府者一切報罷，而飭戒督撫有司務求民瘼。
HCH_012_225_000241	帝嘉納焉。
HCH_012_225_000242	尋遷工部右侍郎。
HCH_012_225_000243	改吏部，進左。
HCH_012_225_000244	乞假去。
HCH_012_225_000245	起南京右都御史，以親老辭。
HCH_012_225_000246	時煥兄遼東巡撫僉都御史燿亦乞歸養。
HCH_012_225_000247	吏部言二人情同，燿為長子，且任封疆久，可聽其歸。
HCH_012_225_000248	乃趣煥就職。
HCH_012_225_000249	尋召為刑部尚書。
HCH_012_225_000250	議日本貢事，力言非策。
HCH_012_225_000251	男子諸龍光訐奏李如松通倭下吏，並及其黨陳仲登枷赤日中，期滿戍瘴鄉。
HCH_012_225_000252	煥以盛暑必斃，而二人罪不當死，兩疏力爭。
HCH_012_225_000253	忤旨，詰責。
HCH_012_225_000254	復以議浙江巡按彭應參獄失帝意，遂引疾歸。
HCH_012_225_000255	再起南京右都御史，就改吏部尚書，皆不赴。
HCH_012_225_000256	家居十六年。
HCH_012_225_000257	召拜刑部尚書，尋兼署兵部。
HCH_012_225_000258	四十年二月，孫丕揚去，改署吏部。
HCH_012_225_000259	時神宗怠於於事，曹署多空。
HCH_012_225_000260	內閣惟葉向高，杜門者已三月。
HCH_012_225_000261	六卿止一煥在，又兼署吏部，吏部無復堂上官。
HCH_012_225_000262	兵部尚書李化龍卒，召王象乾未至，亦不除侍郎。
HCH_012_225_000263	戶、禮、工三部各止一侍郎而已。
HCH_012_225_000264	都察院自溫純罷去，八年無正官。
HCH_012_225_000265	故事，給事中五十人，御史一百十人，至是皆不過十人。
