HCH_013_004_000065	文忠出奇兵，大敗之，取所斬俘馘，載巨筏中，乘流而下，水寇見之，亦遁。
HCH_013_004_000066	夏六月，張士誠兵寇常州，湯和力戰，敗之，擒其卒三百人。
HCH_013_004_000067	士誠復寇常熟，廖永安與戰于福山港，大破之，追至通州狼山，獲其戰艦而還。
HCH_013_004_000068	九月，元苗帥左丞楊完者為張士誠所殺。
HCH_013_004_000069	先是江、淮既亂，元兵屢敗，議者以為苗兵可用，遂自湖廣招至，累破張士誠兵，歷陞至左丞。
HCH_013_004_000070	然苗性貪殘好殺，所過抄掠，屠戮無遺，郡縣苦之。
HCH_013_004_000071	士誠為所窘，既降，欲圖之，而達識帖睦邇亦厭完者驕橫不可制，乃陰定計，用士誠兵圍之，完者兵敗，自殺。
HCH_013_004_000072	丁酉，其部將員成、蔣英、劉震等率所部詣李文忠降。
HCH_013_004_000073	完者死，士誠益無所憚，尋遣兵據杭州、嘉興，達識無如之何矣。
HCH_013_004_000074	冬十月，張士誠兵寇常州，湯和等擊敗之，俘甲士千餘人、舟千艘、馬千匹。
HCH_013_004_000075	甲戌，克宜興。
HCH_013_004_000076	徐達、邵榮帥師攻宜興，久不下。
HCH_013_004_000077	太祖遣使謂曰：「宜興城小而堅，未易猝拔。聞其城西通太湖，張士誠餉道所出，若斷其餉道，軍食內乏，破之必矣。」
HCH_013_004_000078	達乃遣丁德興分兵絕太湖口，而併力急攻，城遂破。
HCH_013_004_000079	既拔宜興，廖永安復帥舟師擊士誠兵于太湖，乘勝深入，遇呂珍，與戰不利，遂為所獲，不屈，士誠囚之。
HCH_013_004_000080	太祖欲以所獲將士三千人易永安，士誠不從。
HCH_013_004_000081	士誠母念士德，欲以永安易士德，太祖亦不許。
HCH_013_004_000082	士德尋謀間，殺之。
HCH_013_004_000083	楊國興出太湖口，與諸將趨湖州，攻舊館，破張士信兵，又平宜堰口二十六寨。
HCH_013_004_000084	太祖命國興總督元帥沈仁等守之。
HCH_013_004_000085	國興勞徠安集，民多歸之，遂城宜興，三月城完。
HCH_013_004_000086	士誠水陸來寇，國興率諸將擊敗之，士誠遁去。
HCH_013_004_000087	十九年春正月庚申，胡大海、李文忠取諸暨州，張士誠將華元帥遁去。
HCH_013_004_000088	已而士誠遣呂珍率兵圍諸暨，堰水灌城。
HCH_013_004_000089	大海援之，奪堰水灌珍軍，珍窮蹙，即馬上折矢，誓求解兵去，大海然之。
HCH_013_004_000090	都事王愷諫曰：「賊狡猾難信，不如擊之。」
HCH_013_004_000091	大海曰：「彼果來，吾有以待之。且言出而背之，不信；既縱而擊之，不武。」
HCH_013_004_000092	遂縱之去。
HCH_013_004_000093	二月，張士誠兵寇江陰，艨艟蔽江，偽將蘇同僉者建牙君山，指畫為進攻狀。
HCH_013_004_000094	守將吳良下令曰：「彼眾我寡，當以計破之，勿輕動。」
HCH_013_004_000095	有頃，敵陣于江壖，良命弟禎整兵北門，當其西北面，以十餘騎蹂之，擒其卒數人，餘黨莫敢前。
HCH_013_004_000096	賊分兵欲攻東門，良遣元帥王子明馳擊之，擒其將士五百人，殺溺死者甚眾，敵大敗，宵遁。
HCH_013_004_000097	時賊屢侵常州，良及其弟禎守禦有方，每寇至，輒破走之。
HCH_013_004_000098	士誠數敗氣索，自是不敢犯境。
