HCH_012_058_000083	降殿，內侍官請梓宮升龍輴，執事官以彩帷幕梓宮，內侍持傘扇侍衛如儀。
HCH_012_058_000084	舊御儀仗居前，冊寶、神帛、神亭、銘旌以次行。
HCH_012_058_000085	皇帝由殿左門出，后妃、皇太子、親王及宮妃後隨。
HCH_012_058_000086	至午門內，設遣奠，如祖奠儀。
HCH_012_058_000087	內侍請靈駕進發，皇帝以下哭盡哀，俱還宮。
HCH_012_058_000088	梓宮至午門外，禮官請梓宮升大升轝。
HCH_012_058_000089	執事官奉升轝訖，禮官請靈駕進發。
HCH_012_058_000090	皇太子、親王以下哭送出端門外，行辭祖禮。
HCH_012_058_000091	執事官設褥位於太廟帛香案前。
HCH_012_058_000092	皇太子易常服，捧神帛，由左門入，至褥位跪，置神帛於褥，興，正立於神後跪。
HCH_012_058_000093	禮官跪於左，奏太宗體天弘道高明廣運聖武神功純仁至孝文皇帝謁辭。
HCH_012_058_000094	皇太子俯伏，興。
HCH_012_058_000095	贊五拜三叩頭畢，皇太子捧神帛興，以授禮官。
HCH_012_058_000096	禮官安輿中，請靈駕進發。
HCH_012_058_000097	皇太子仍喪服，親王以下隨行。
HCH_012_058_000098	梓宮由大明中門出，皇太子以下由左門出，步送至德勝門外，乘馬至陵，在途朝夕哭奠臨。
HCH_012_058_000099	諸王以下及百官、軍民耆老、四品以上命婦，以序沿途設祭。
HCH_012_058_000100	文武官不繫山陵執事者悉還。
HCH_012_058_000101	至陵，執事官先陳龍輴於獻殿門外，俟大升轝至。
HCH_012_058_000102	禮官請靈駕降轝，升龍輴詣獻殿。
HCH_012_058_000103	執事官奉梓宮入，皇太子、親王由左門入，安奉訖，行安神禮。
HCH_012_058_000104	皇太子四拜，興，奠酒，讀祝。
HCH_012_058_000105	俯伏，興，四拜，舉哀。
HCH_012_058_000106	親王以下陪拜，如常儀。
HCH_012_058_000107	遣官祀告后土並天壽山，設遷奠禮，如上儀。
HCH_012_058_000108	將掩玄宮，皇太子以下詣梓宮前跪。
HCH_012_058_000109	內侍請靈駕赴玄宮，執事官奉梓宮入皇堂。
