HCH_009_112_000058	三年，詔遷平涼行省。
HCH_009_112_000059	四年二月，征還，拜平章政事，芮國公。
HCH_009_112_000060	七年七月庚寅朔，以平章政事妨職樞密副使。
HCH_009_112_000061	初，蒲阿面奏：「合達在軍中久，今日多事之際乃在於省，用違其長。臣等欲與樞密協力軍務，擢之相位似亦未晚。」
HCH_009_112_000062	故有此授。
HCH_009_112_000063	十月己未朔，詔合達及樞密副使蒲阿救衛州。
HCH_009_112_000064	初，朝廷以恆山公仙屯衛州，公府節制不一，欲合而一之。
HCH_009_112_000065	至是，河朔諸軍圍衛，內外不通已連月，但見塔上時舉火而已。
HCH_009_112_000066	合達等既至，先以親衛兵三千嘗之，北兵小退，翼日圍解。
HCH_009_112_000067	上登承天門犒軍，皆授世襲謀克，賜良馬玉帶，全給月俸本色，蓋異恩也。
HCH_009_112_000068	未幾，以蒲阿權參和政事，同合達行省事於閿鄉，以備潼關。
HCH_009_112_000069	先是，陝省言備禦策，朝官集議，上策親征，中策幸陝，下策棄秦保潼關。
HCH_009_112_000070	議者謂止可助陝西軍以決一戰，使陝西不守，河南亦不可保。
HCH_009_112_000071	至是，自陝以西亦不守矣。
HCH_009_112_000072	八年正月，北帥速不泬攻破小關，殘盧氏、硃陽，散漫百餘里間。
HCH_009_112_000073	潼關總帥納合買住率夾穀移迪烈、都尉高英拒之，求救地二省。
HCH_009_112_000074	省以陳和尚忠孝軍一千，都尉夾穀澤軍一萬往應，北軍退，追至穀口而還。
HCH_009_112_000075	兩省輒稱大捷，以聞。
HCH_009_112_000076	既而北軍攻風翔，二省提兵出關二十裏，與渭北軍交，至晚複收兵入關，鳳翔遂破。
HCH_009_112_000077	二省遂棄京兆，與牙古塔起遷居民于河南，留慶山奴守之。
HCH_009_112_000078	九月，北兵入河中，時二相防秋還陝，量以軍馬出冷水穀以為聲援。
HCH_009_112_000079	十一月，鄧州報，北兵道饒峰關，由金州而東。
HCH_009_112_000080	於是，兩省軍入鄧，遣提控劉天山以劄付下襄陽制置司，約同禦北兵，且索軍食。
HCH_009_112_000081	兩省以前月癸卯行，留楊沃衍軍守閿鄉。
HCH_009_112_000082	沃衍尋被旨取洛南路入商州，屯豐陽川備上津，與恆山公仙相掎角。
HCH_009_112_000083	合達複留禦侮中郎將完顏陳和尚于閿鄉南十五裏，乃行。
HCH_009_112_000084	陳和尚亦隨而往。
HCH_009_112_000085	沃衍軍八千及商州之木瓜平，一日夜馳三百里入桃花堡，知北兵由豐陽而東，亦東還，會大軍于鎮平。
HCH_009_112_000086	恆山公仙萬人元駐胡陵關，至是亦由荊子口、順陽來會。
HCH_009_112_000087	十二月朔，俱至鄧下，屯順陽。
HCH_009_112_000088	乃遣天山入宋。
HCH_009_112_000089	初，宋人于國朝君之、伯之、叔之，納歲幣將百年。
HCH_009_112_000090	南渡以後，宋以我為不足慮，絕不往來。
