HCH_012_280_000083	明年正月與監軍御史李膺品先赴湘陰，期大會岳州。
HCH_012_280_000084	先璧逗遛，諸營亦觀望，獨赤心自湖北至，為大兵所敗而還，諸鎮兵遂罷，騰蛟威望由此損。
HCH_012_280_000085	時諸將皆驕且貪殘，朝宣尤甚，劫人而剝其皮。
HCH_012_280_000086	永忠效之，殺民無虛日。
HCH_012_280_000087	騰蛟不能制。
HCH_012_280_000088	故總督楊鶚者，克餉失軍心，至是復夤緣為偏沅總督。
HCH_012_280_000089	騰蛟以為言，乃召鶚還。
HCH_012_280_000090	王數議出關，為鄭氏所阻。
HCH_012_280_000091	騰蛟屢請幸贛，協力取江西。
HCH_012_280_000092	王遣使征兵，騰蛟發永忠精騎五千往。
HCH_012_280_000093	永忠不肯前，五月始抵郴州。
HCH_012_280_000094	會大兵破汀州，聿鍵被執死，贛州亦失。
HCH_012_280_000095	騰蛟聞王死，大慟，厲兵保境如平時。
HCH_012_280_000096	已，聞永明王立，乃稍自安。
HCH_012_280_000097	王尋以騰蛟為武英殿大學士，加太子太保。
HCH_012_280_000098	王進才故守益陽，聞大兵漸逼，還長沙。
HCH_012_280_000099	四年春，進才揚言乏餉，大掠，並及湘陰。
HCH_012_280_000100	適大兵至長沙，進才走湖北。
HCH_012_280_000101	騰蛟不能守，單騎走衡州，長沙、湘陰並失。
HCH_012_280_000102	盧鼎時守衡州，而先璧兵突至，大掠。
HCH_012_280_000103	鼎不能抗，走永州。
HCH_012_280_000104	先璧遂挾騰蛟走祁陽，又間道走辰州。
HCH_012_280_000105	騰蛟脫還，走永州。
HCH_012_280_000106	甫至，鼎部將復大掠。
HCH_012_280_000107	鼎走道州，騰蛟與侍郎嚴起恒走白牙市，大兵遂下衡、永。
HCH_012_280_000108	初，騰蛟建十三鎮以衛長沙，至是皆自為盜賊。
HCH_012_280_000109	大兵入衡州，守將黃朝宣降。
HCH_012_280_000110	數其罪，支解之，遠近大快。
HCH_012_280_000111	大清以一知府守永州，副將周金湯間城虛，夜鼓噪而登，知府出走，金湯遂入永。
HCH_012_280_000112	六月，騰蛟在白牙。
HCH_012_280_000113	王密遣中使告以劉承胤罪，令入武岡除之。
HCH_012_280_000114	騰蛟乃走謁王，王及太后皆召見。
HCH_012_280_000115	承胤由小校，以騰蛟薦至大將，已漸倨。
HCH_012_280_000116	騰蛟在長沙征其兵，承胤大怒，言：「先調朝宣、先璧軍，皆章曠親行，今乃折箠使我。」
HCH_012_280_000117	遂馳至黎平，執騰蛟子，索餉數萬。
HCH_012_280_000118	子走訴騰蛟，騰蛟遣曠行，承胤乃以眾至。
HCH_012_280_000119	騰蛟為請於王，得封定蠻伯，且與為姻，承胤益驕。
HCH_012_280_000120	至是爵安國公，勛上柱國，賜尚方劍，益坐大。
HCH_012_280_000121	忌騰蛟出己上，欲奪其權，請用為戶部尚書，專領餉務，王不許。
