HCH_012_322_000083	禮官李至剛奏：「故事，番使入中國，不得私攜兵器鬻民。宜敕所司覈其舶，諸犯禁者悉籍送京師。」
HCH_012_322_000084	帝曰：「外夷修貢，履險蹈危，來遠，所費實多。有所齎以助資斧，亦人情，豈可概拘以禁令。至其兵器，亦准時直市之，毋阻向化。」
HCH_012_322_000085	十月，使者至，上王源道義表及貢物。
HCH_012_322_000086	帝厚禮之，遣官偕其使還，賚道義冠服、龜鈕金章及錦綺、紗羅。
HCH_012_322_000087	明年十一月來賀冊立皇太子。
HCH_012_322_000088	時對馬、臺岐諸島賊掠濱海居民，因諭其王捕之。
HCH_012_322_000089	王發兵盡殲其眾，縶其魁二十人，以三年十一月獻於朝，且修貢。
HCH_012_322_000090	帝益嘉之，遣鴻臚寺少卿潘賜偕中官王進賜其王九章冕服及錢鈔、錦綺加等，而還其所獻之人，令其國自治之。
HCH_012_322_000091	使者至寧波，盡置其人於甑，烝殺之。
HCH_012_322_000092	明年正月又遣侍郎俞士吉齎璽書褒嘉，賜賚優渥。
HCH_012_322_000093	封其國之山為壽安鎮國之山，御製碑文，立其上。
HCH_012_322_000094	六月，使來謝，賜冕服。
HCH_012_322_000095	五年、六年頻入貢，且獻所獲海寇。
HCH_012_322_000096	使還，請賜仁孝皇后所製勸善、內訓二書，即命各給百本。
HCH_012_322_000097	十一月再貢。
HCH_012_322_000098	十二月，其國世子源義持遣使來告父喪，命中官周全往祭，賜諡恭獻，且致賻。
HCH_012_322_000099	又遣官齎敕，封義持為日本國王。
HCH_012_322_000100	時海上復以倭警告，再遣官諭義持剿捕。
HCH_012_322_000101	八年四月，義持遣使謝恩，尋獻所獲海寇，帝嘉之。
HCH_012_322_000102	明年二月復遣王進齎敕褒賚，收市物貨。
HCH_012_322_000103	其君臣謀阻進不使歸，進潛登舶，從他道遁還。
HCH_012_322_000104	自是，久不貢。
HCH_012_322_000105	是年，倭寇盤石。
HCH_012_322_000106	十五年，倭寇松門、金鄉、平陽。
HCH_012_322_000107	有捕倭寇數十人至京者，廷臣請正法。
HCH_012_322_000108	帝曰：「威之以刑，不若懷之以德，宜還之。」
HCH_012_322_000109	乃命刑部員外郎呂淵等齎敕責讓，令悔罪自新。
HCH_012_322_000110	中華人被掠者，亦令送還。
HCH_012_322_000111	明年四月，其王遣使隨淵等來貢，謂：「海寇旁午，故貢使不能上達。其無賴鼠竊者，實非臣所知。願貸罪，容其朝貢。」
HCH_012_322_000112	帝以其詞順，許之，禮使者如故，然海寇猶不絕。
