HCH_010_041_000001	西京大同府，陶唐冀州之域。
HCH_010_041_000002	虞分并州。
HCH_010_041_000003	夏復屬冀州。
HCH_010_041_000004	周《職方》，正北曰并州。
HCH_010_041_000005	戰國屬趙，武靈王始置雲中郡。
HCH_010_041_000006	秦屬代王國，後為平城縣。
HCH_010_041_000007	魏屬新興郡。
HCH_010_041_000008	晉仍屬雁門。
HCH_010_041_000009	劉琨表封猗盧為代王，都平城。
HCH_010_041_000010	元魏道武於此遂建都邑。
HCH_010_041_000011	孝文帝改為司州牧，置代尹，遷都洛邑，改萬年，又置恒州。
HCH_010_041_000012	高齊文宣帝廢州為恒安鎮，今謂之東城，尋復恒州。
HCH_010_041_000013	周復恒安鎮，改朔州。
HCH_010_041_000014	隋仍為鎮。
HCH_010_041_000015	唐武德四年置北恒州，七年廢。
HCH_010_041_000016	貞觀十四年，移雲中定襄縣於此。
HCH_010_041_000017	永淳元年，默啜為民患，移民朔州。
HCH_010_041_000018	開元十八年，置雲州。
HCH_010_041_000019	天寶元年，改雲中郡。
HCH_010_041_000020	乾元元年曰雲州。
HCH_010_041_000021	乾符三年，大同軍節度使李國昌子克用為雲中守捉使，殺防禦使，據州以聞。
HCH_010_041_000022	僖宗赦克用，以國昌為大同軍防禦使，不受命。
HCH_010_041_000023	廣明元年，李琢攻國昌，國昌兵敗，與克用奔北地。
HCH_010_041_000024	黃巢入京師，詔發代北軍，尋赦國昌，使討賊。
HCH_010_041_000025	克用率三萬五千騎而南，收京師功第一，國昌封隴西郡王。
HCH_010_041_000026	國昌卒，克用取雲州。
HCH_010_041_000027	既而所向失利，乃卑詞厚禮，與太祖會於雲州之東城，謀大舉兵攻梁，不果。
HCH_010_041_000028	克用子存勖滅梁，是為唐莊宗。
HCH_010_041_000029	同光三年，復以雲州為大同軍節度使。
HCH_010_041_000030	晉高祖代唐，以契丹有援立功，割山前、代北地為賂，大同來屬，因建西京。
HCH_010_041_000031	敵樓、棚櫓具。
HCH_010_041_000032	廣袤二十里。
HCH_010_041_000033	門，東曰迎春，南曰朝陽，西曰定西，北曰拱極。
HCH_010_041_000034	元魏宮垣占城之北面，雙闕尚在。
HCH_010_041_000035	遼既建都，用為重地，非親王不得主之。
HCH_010_041_000036	清寧八年建華巖寺，奉安諸帝石像、銅像。
HCH_010_041_000037	又有天王寺、留守司衙，南曰西省。
HCH_010_041_000038	北門之東曰大同府，北門之西曰大同驛。
HCH_010_041_000039	初為大同軍節度，重熙十三年升為西京，府曰大同。
HCH_010_041_000040	統州二、縣七：大同縣。
HCH_010_041_000041	本大同川地。
HCH_010_041_000042	重熙十七年西夏犯邊，析雲中縣置。
HCH_010_041_000043	戶一萬。
HCH_010_041_000044	雲中縣。
HCH_010_041_000045	趙置。
HCH_010_041_000046	沿革與京府同。
HCH_010_041_000047	戶一萬。
HCH_010_041_000048	天成縣。
HCH_010_041_000049	本極塞之地。
HCH_010_041_000050	魏道武帝置廣牧縣，唐武德五年置定襄縣，遼析雲中置。
