HCH_012_026_000000	洪武元年五月甲申，犯填星。
HCH_012_026_000001	十二年三月戊辰朔，犯辰星。
HCH_012_026_000002	十四年十一月甲午，犯填星。
HCH_012_026_000003	十九年五月己未，犯岁星。
HCH_012_026_000004	二十三年四月丁酉，掩太白。
HCH_012_026_000005	十一月癸卯及永乐四年正月戊午，五年六月丙午，七年十二月壬子，俱犯荧惑。
HCH_012_026_000006	八年十二月壬子，九年四月庚子，十六年七月戊辰，俱犯岁星。
HCH_012_026_000007	十八年十一月辛卯，掩太白。
HCH_012_026_000008	二十年三月辛未，掩填星。
HCH_012_026_000009	二十二年八月乙丑，犯荧惑。
HCH_012_026_000010	洪熙元年二月己未，掩填星。
HCH_012_026_000011	宣德元年十二月丙子，掩荧惑。
HCH_012_026_000012	二年正月癸卯，犯荧惑。
HCH_012_026_000013	四月甲申，犯太白。
HCH_012_026_000014	六年十月丙申，掩太白。
HCH_012_026_000015	七年二月甲寅，犯填星。
HCH_012_026_000016	八年二月癸巳，掩岁星。
HCH_012_026_000017	四月戊子，犯岁星。
HCH_012_026_000018	正统二年正月辛亥，掩岁星。
HCH_012_026_000019	四月癸酉、五月庚子，俱犯岁星。
HCH_012_026_000020	七月戊申，犯荧惑。
HCH_012_026_000021	四年正月乙酉，掩填星。
HCH_012_026_000022	八年三月庚申，犯填星。
HCH_012_026_000023	十一月丙寅，掩岁星。
HCH_012_026_000024	十年十一月辛卯，犯荧惑。
HCH_012_026_000025	十一年十二月甲寅，犯岁星。
HCH_012_026_000026	十二年正月辛巳，闰四月庚午，俱犯岁星。
HCH_012_026_000027	十四年四月壬子，犯太白。
HCH_012_026_000028	五月癸未，掩太白。
HCH_012_026_000029	景泰二年四月戊子，犯岁星。
HCH_012_026_000030	九月甲辰，犯岁星于斗。
HCH_012_026_000031	五年二月丁亥，犯太白。
HCH_012_026_000032	六年正月甲寅，犯岁星。
HCH_012_026_000033	七年四月癸丑，犯填星。
HCH_012_026_000034	乙丑，犯太白。
HCH_012_026_000035	天顺五年十一月己亥，犯太白于斗。
HCH_012_026_000036	成化五年二月丙申、癸亥，俱犯岁星。
HCH_012_026_000037	六年三月癸未，八年正月癸亥，俱犯太白。
HCH_012_026_000038	十二年十一月戊申，犯岁星于室。
HCH_012_026_000039	十三年十月乙卯，犯填星。
HCH_012_026_000040	十二月丁酉，犯太白。
HCH_012_026_000041	十四年三月戊辰，十八年二月戊午，俱犯填星。
HCH_012_026_000042	八月己酉，二十三年四月乙亥，俱掩荧惑。
HCH_012_026_000043	五月戊午，六月乙酉，俱犯岁星。
HCH_012_026_000044	十月甲戌，掩岁星。
HCH_012_026_000045	弘治四年二月壬子，犯岁星。
HCH_012_026_000046	七年十一月戊申，犯荧惑。
HCH_012_026_000047	八年正月癸卯，犯岁星。
HCH_012_026_000048	十二月丙辰，掩填星。
HCH_012_026_000049	十一年四月甲申、九月庚子，俱犯岁星。
HCH_012_026_000050	十二年八月壬寅，犯荧惑。
HCH_012_026_000051	十四年七月丁卯，九月己丑，俱犯岁星。
HCH_012_026_000052	丙辰，掩岁星。
HCH_012_026_000053	十二月癸丑，犯荧惑。
HCH_012_026_000054	十七年十一月甲辰，犯岁星。
HCH_012_026_000055	十八年二月丙寅，掩岁星。
HCH_012_026_000056	九月乙巳，掩填星。
HCH_012_026_000057	正德元年十一月己卯，犯太白。
HCH_012_026_000058	四年闰九月癸亥，犯岁星。
HCH_012_026_000059	八年正月己丑，犯填星。
HCH_012_026_000060	十六年二月丙戌，掩太白。
HCH_012_026_000061	嘉靖二年五月戊子，掩岁星。
HCH_012_026_000062	十一月壬申，犯岁星。
